# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776116433501,1506618852175134,8.803479,-0.20590134,-4.3742065,NaN,NaN,NaN,TONIC,0a715211a9aa
1776116433509,1506618860261057,8.848969,-0.18435353,-4.3406878,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433517,1506618868255135,8.851364,-0.18195933,-4.3526587,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433525,1506618876251750,8.848969,-0.18195933,-4.3406878,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433533,1506618884363519,8.810662,-0.18435353,-4.3646297,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433541,1506618892242905,8.78672,-0.21308395,-4.3598413,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433549,1506618900237290,8.791509,-0.19393034,-4.3478703,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433557,1506618908319828,8.765172,-0.18674773,-4.3478703,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433565,1506618916259829,8.801085,-0.17238252,-4.3358994,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433573,1506618924256445,8.793902,-0.16759412,-4.3263226,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433581,1506618932276138,8.810662,-0.19393034,-4.3358994,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433589,1506618940247753,8.815451,-0.18195933,-4.345476,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433597,1506618948241984,8.805874,-0.18914193,-4.357447,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433605,1506618956237908,8.827422,-0.19632454,-4.355053,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433613,1506618964264985,8.822633,-0.17956513,-4.3382936,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433621,1506618972260679,8.796297,-0.18195933,-4.3239284,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433629,1506618980254294,8.813056,-0.20590134,-4.331111,-0.06291912,0.516792,1.5039502,TONIC,0a715211a9aa
1776116433637,1506618988310832,8.817844,-0.20350714,-4.3382936,0.0061086523,-0.0061086523,0.0012217305,TONIC,0a715211a9aa
1776116433645,1506618996245987,8.808268,-0.21547815,-4.3526587,0.005497787,-0.007330383,0.0012217305,TONIC,0a715211a9aa
1776116433653,1506619004242603,8.791509,-0.21068975,-4.3598413,0.0061086523,-0.009773844,0.0012217305,TONIC,0a715211a9aa
1776116433661,1506619012270834,8.822633,-0.22984336,-4.3622355,0.0067195175,-0.01038471,0.0,TONIC,0a715211a9aa
1776116433669,1506619020263834,8.825027,-0.22505496,-4.357447,0.007941248,-0.009773844,-6.1086525E-4,TONIC,0a715211a9aa
1776116433677,1506619028259219,8.817844,-0.22744916,-4.367024,0.007941248,-0.007941248,0.0,TONIC,0a715211a9aa
1776116433685,1506619036346297,8.825027,-0.21787235,-4.3526587,0.007941248,-0.0030543262,-0.0030543262,TONIC,0a715211a9aa
1776116433693,1506619044250220,8.827422,-0.23702596,-4.355053,0.009773844,0.002443461,-0.007330383,TONIC,0a715211a9aa
1776116433701,1506619052245989,8.825027,-0.22744916,-4.3622355,0.008552114,0.002443461,-0.0061086523,TONIC,0a715211a9aa
1776116433709,1506619060266914,8.836999,-0.24420857,-4.3502645,0.008552114,0.0036651916,-0.0067195175,TONIC,0a715211a9aa
1776116433717,1506619068237914,8.825027,-0.23942018,-4.3622355,0.009773844,0.005497787,-0.007941248,TONIC,0a715211a9aa
1776116433725,1506619076262607,8.825027,-0.25857377,-4.3406878,0.009773844,0.005497787,-0.009162978,TONIC,0a715211a9aa
1776116433733,1506619084314838,8.836999,-0.25857377,-4.345476,0.008552114,0.0067195175,-0.01038471,TONIC,0a715211a9aa
1776116433741,1506619092256145,8.827422,-0.25378537,-4.3406878,0.009773844,0.007330383,-0.01038471,TONIC,0a715211a9aa
1776116433749,1506619100250839,8.829816,-0.24660277,-4.31914,0.007941248,0.005497787,-0.012217305,TONIC,0a715211a9aa
1776116433757,1506619108209993,8.846576,-0.25378537,-4.3382936,0.009773844,0.004276057,-0.012217305,TONIC,0a715211a9aa
1776116433765,1506619116243763,8.825027,-0.22505496,-4.321534,0.007330383,0.004886922,-0.014049901,TONIC,0a715211a9aa
1776116433773,1506619124268763,8.832211,-0.24660277,-4.3239284,0.005497787,0.0012217305,-0.01282817,TONIC,0a715211a9aa
1776116433781,1506619132265686,8.827422,-0.22266077,-4.295198,0.0061086523,-0.0036651916,-0.014049901,TONIC,0a715211a9aa
1776116433789,1506619140258302,8.836999,-0.23223756,-4.3358994,0.004886922,-0.0061086523,-0.01282817,TONIC,0a715211a9aa
1776116433797,1506619148253918,8.851364,-0.22984336,-4.3287168,0.0061086523,-0.007941248,-0.015271631,TONIC,0a715211a9aa
1776116433805,1506619156251149,8.827422,-0.21787235,-4.333505,0.004276057,-0.01038471,-0.015271631,TONIC,0a715211a9aa
