# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776132077454,1522262804632031,8.932767,-1.9752164,-3.7541082,NaN,NaN,NaN,TREMOR,30715f9bdb61
1776132077462,1522262812717365,8.930372,-1.9871874,-3.7445314,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077470,1522262820714929,8.920795,-2.0039468,-3.7612908,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077478,1522262828707263,8.942344,-1.9967642,-3.7469256,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077486,1522262836705365,8.92319,-2.0159178,-3.7421372,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077494,1522262844700853,8.920795,-2.0015526,-3.7565024,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077502,1522262852725186,8.944737,-2.0039468,-3.7469256,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077510,1522262860722981,8.9279785,-1.9895816,-3.7253778,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077518,1522262868718391,8.918402,-1.9919758,-3.7373488,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077526,1522262876713571,8.920795,-2.0015526,-3.7229836,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077534,1522262884708058,8.930372,-1.9919758,-3.715801,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077542,1522262892705238,8.947132,-1.9991584,-3.7325604,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077550,1522262900702494,8.947132,-1.9847932,-3.7134068,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077558,1522262908725981,8.944737,-1.9488802,-3.7253778,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077566,1522262916722238,8.961497,-1.9488802,-3.70383,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077574,1522262924718341,8.956709,-1.946486,-3.691859,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077582,1522262932713443,8.966286,-1.9369092,-3.70383,6.1086525E-4,0.018936822,0.0018325958,TREMOR,30715f9bdb61
1776132077590,1522262940710699,8.925584,-1.922544,-3.6990416,-0.022602014,0.009162978,-0.01038471,TREMOR,30715f9bdb61
1776132077598,1522262948704264,8.937555,-1.9249382,-3.679888,-0.021380283,0.009773844,-0.008552114,TREMOR,30715f9bdb61
