# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776113917280,1504102630767580,0.32800564,-10.093954,0.5722142,NaN,NaN,NaN,JERKING,3f74e2da812c
1776113917289,1504102639481433,0.40222588,-10.058042,0.5554548,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917297,1504102647477364,0.45489833,-10.031705,0.58418524,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917305,1504102655475293,0.5243302,-9.986216,0.59136784,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917313,1504102663501069,0.557849,-9.974244,0.61052144,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917321,1504102671495613,0.5506664,-9.967062,0.6464345,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917329,1504102679489697,0.5291186,-9.947908,0.6679823,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917337,1504102687486934,0.49559975,-9.988609,0.7086837,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917345,1504102695482017,0.45968673,-10.0029745,0.7565677,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917353,1504102703477101,0.41180268,-10.0269165,0.82599956,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917361,1504102711473722,0.33758244,-10.0508585,0.8834604,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917369,1504102719498422,0.29688102,-10.043676,0.9720459,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917377,1504102727496812,0.2681506,-10.04607,1.0223241,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917385,1504102735489126,0.2705448,-10.036493,1.0893618,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917393,1504102743486056,0.29209262,-10.031705,1.1587936,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917401,1504102751480831,0.30166942,-10.055647,1.2234371,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917409,1504102759478761,0.30406362,-10.081984,1.271321,0.015271631,0.0061086523,0.0061086523,JERKING,3f74e2da812c
1776113917417,1504102767474152,0.29688102,-10.065224,1.3120226,0.01282817,-0.30787608,0.077579886,JERKING,3f74e2da812c
1776113917425,1504102775467621,0.30885202,-10.072407,1.3335704,0.0421497,-0.3494149,0.06719518,JERKING,3f74e2da812c
1776113917433,1504102783493857,0.28491,-10.070012,1.316811,0.06841691,-0.36651915,0.0580322,JERKING,3f74e2da812c
1776113917441,1504102791490479,0.29927522,-10.09156,1.2401965,0.09590584,-0.36957347,0.05375614,JERKING,3f74e2da812c
1776113917449,1504102799484871,0.2801216,-10.113108,1.1587936,0.12217305,-0.3585779,0.04886922,JERKING,3f74e2da812c
1776113917457,1504102807481877,0.29688102,-10.134656,1.0031705,0.1423316,-0.33475417,0.044593163,JERKING,3f74e2da812c
1776113917465,1504102815477576,0.30885202,-10.158598,0.8738836,0.15760323,-0.28710666,0.040927973,JERKING,3f74e2da812c
1776113917473,1504102823472890,0.34476504,-10.158598,0.7278373,0.16126843,-0.24617869,0.036651913,JERKING,3f74e2da812c
1776113917481,1504102831469203,0.35913026,-10.139444,0.59376204,0.15882497,-0.20158553,0.03176499,JERKING,3f74e2da812c
1776113917489,1504102839493210,0.37588966,-10.156203,0.46926352,0.15149458,-0.15821409,0.02443461,JERKING,3f74e2da812c
1776113917497,1504102847492678,0.34237084,-10.139444,0.34476504,0.13805555,-0.1001819,0.014660766,JERKING,3f74e2da812c
1776113917505,1504102855486454,0.35913026,-10.129868,0.24899697,0.124005646,-0.06414085,0.012217305,JERKING,3f74e2da812c
1776113917513,1504102863479999,0.34715924,-10.113108,0.19153613,0.103847094,-0.03481932,0.015882496,JERKING,3f74e2da812c
1776113917521,1504102871477312,0.33758244,-10.117896,0.1604115,0.07941248,-0.016493361,0.016493361,JERKING,3f74e2da812c
1776113917529,1504102879472935,0.36152446,-10.125079,0.19393034,0.050701816,-0.010995574,0.022602014,JERKING,3f74e2da812c
1776113917537,1504102887470248,0.38307226,-10.110714,0.25617957,0.012217305,-0.026267206,0.03359759,JERKING,3f74e2da812c
1776113917545,1504102895495102,0.4429273,-10.141838,0.35913026,-0.017104227,-0.051923547,0.040317107,JERKING,3f74e2da812c
1776113917553,1504102903488723,0.47884035,-10.0987425,0.51235914,-0.039095376,-0.086132,0.047036625,JERKING,3f74e2da812c
1776113917561,1504102911484422,0.50038815,-10.06283,0.62488663,-0.052534413,-0.124005646,0.05131268,JERKING,3f74e2da812c
1776113917569,1504102919481659,0.533907,-10.036493,0.7781156,-0.05681047,-0.15821409,0.054367006,JERKING,3f74e2da812c
1776113917577,1504102927477357,0.545878,-9.981427,0.89064306,-0.05497787,-0.20158553,0.05681047,JERKING,3f74e2da812c
1776113917585,1504102935471134,0.5315128,-9.947908,1.0103531,-0.047647487,-0.2284636,0.055588737,JERKING,3f74e2da812c
1776113917593,1504102943500140,0.50038815,-9.950302,1.0702082,-0.03726278,-0.24984388,0.057421334,JERKING,3f74e2da812c
1776113917601,1504102951494224,0.47405192,-9.92636,1.1420342,-0.021991149,-0.27122417,0.06047566,JERKING,3f74e2da812c
1776113917609,1504102959488999,0.47884035,-9.92636,1.2114661,0.0012217305,-0.29993483,0.06352998,JERKING,3f74e2da812c
1776113917617,1504102967486620,0.4405331,-9.919178,1.2354081,0.018936822,-0.32925636,0.06536258,JERKING,3f74e2da812c
1776113917625,1504102975480089,0.4141969,-9.92636,1.2569559,0.036651913,-0.3622431,0.062308256,JERKING,3f74e2da812c
1776113917633,1504102983477095,0.37110126,-9.950302,1.2473791,0.052534413,-0.39461896,0.05497787,JERKING,3f74e2da812c
1776113917641,1504102991470871,0.35194764,-9.974244,1.2306197,0.06841691,-0.42394048,0.047036625,JERKING,3f74e2da812c
1776113917649,1504102999498954,0.31124622,-10.014946,1.2210429,0.09407325,-0.44532076,0.034208454,JERKING,3f74e2da812c
1776113917657,1504103007493961,0.2753332,-10.058042,1.1827357,0.112399206,-0.4447099,0.021380283,JERKING,3f74e2da812c
1776113917665,1504103015489044,0.22505496,-10.1226845,1.13964,0.12950343,-0.43310347,0.0036651916,JERKING,3f74e2da812c
1776113917673,1504103023485742,0.16280572,-10.132261,1.079785,0.14355333,-0.4098906,-0.015882496,JERKING,3f74e2da812c
1776113917681,1504103031480519,0.088585466,-10.163386,0.9672575,0.15943582,-0.3659083,-0.040317107,JERKING,3f74e2da812c
1776113917689,1504103039477448,0.02873042,-10.189722,0.878672,0.16432275,-0.32559118,-0.056199603,JERKING,3f74e2da812c
1776113917697,1504103047472839,-0.050278235,-10.206482,0.7541735,0.16249016,-0.28527406,-0.06719518,JERKING,3f74e2da812c
1776113917705,1504103055497076,-0.1316811,-10.206482,0.6895301,0.15577064,-0.24495697,-0.07880162,JERKING,3f74e2da812c
1776113917713,1504103063494005,-0.17717093,-10.216059,0.60573304,0.14477506,-0.20952678,-0.087964594,JERKING,3f74e2da812c
1776113917721,1504103071489781,-0.24420857,-10.170568,0.5434838,0.124005646,-0.16371189,-0.09407325,JERKING,3f74e2da812c
1776113917729,1504103079485172,-0.33518824,-10.149021,0.48841715,0.10567969,-0.13316862,-0.095294975,JERKING,3f74e2da812c
1776113917737,1504103087481410,-0.37110126,-10.127473,0.45489833,0.08368854,-0.1001819,-0.09040806,JERKING,3f74e2da812c
1776113917745,1504103095474724,-0.39504328,-10.117896,0.45729253,0.059253927,-0.065973446,-0.08124508,JERKING,3f74e2da812c
1776113917753,1504103103471961,-0.40222588,-10.134656,0.48362875,0.02565634,-0.032375857,-0.06658431,JERKING,3f74e2da812c
1776113917761,1504103111499890,-0.40222588,-10.103531,0.5291186,-6.1086525E-4,0.0061086523,-0.04642576,JERKING,3f74e2da812c
1776113917769,1504103119492281,-0.40940848,-10.058042,0.6536171,-0.025045475,0.027488936,-0.030543262,JERKING,3f74e2da812c
1776113917777,1504103127490673,-0.37588966,-10.043676,0.7565677,-0.043982297,0.03726278,-0.014660766,JERKING,3f74e2da812c
1776113917785,1504103135485448,-0.33279404,-9.995792,0.89782566,-0.0580322,0.03848451,0.0012217305,JERKING,3f74e2da812c
1776113917793,1504103143481224,-0.31124622,-9.969456,1.0103531,-0.06780604,0.020158553,0.019547688,JERKING,3f74e2da812c
1776113917801,1504103151476846,-0.30166942,-9.986216,1.1324574,-0.065973446,0.0,0.03176499,JERKING,3f74e2da812c
1776113917809,1504103159471313,-0.260968,-10.022128,1.2162545,-0.0580322,-0.027488936,0.042760566,JERKING,3f74e2da812c
1776113917817,1504103167499705,-0.21787235,-10.024523,1.2593501,-0.04520403,-0.059864793,0.054367006,JERKING,3f74e2da812c
1776113917825,1504103175491942,-0.1364695,-10.024523,1.2617443,-0.028099801,-0.089186326,0.06536258,JERKING,3f74e2da812c
1776113917833,1504103183489256,-0.09816227,-10.012551,1.2521675,-0.007941248,-0.1282817,0.06963864,JERKING,3f74e2da812c
1776113917841,1504103191484955,-0.031124622,-9.962274,1.1947067,0.0036651916,-0.15210545,0.07086037,JERKING,3f74e2da812c
1776113917849,1504103199478731,0.019153614,-9.950302,1.1659763,0.012217305,-0.16310102,0.0720821,JERKING,3f74e2da812c
1776113917857,1504103207475737,0.059855044,-9.947908,1.1252748,0.014660766,-0.16371189,0.070249505,JERKING,3f74e2da812c
1776113917865,1504103215472281,0.10055647,-9.9550905,1.0630256,0.017715093,-0.15088372,0.06352998,JERKING,3f74e2da812c
1776113917873,1504103223496673,0.107739076,-9.950302,1.0630256,0.017104227,-0.12889257,0.057421334,JERKING,3f74e2da812c
1776113917881,1504103231492371,0.074220255,-9.957485,1.0342951,0.016493361,-0.103847094,0.049480084,JERKING,3f74e2da812c
1776113917889,1504103239486840,-0.0047884034,-9.9790325,1.0295067,0.015882496,-0.06963864,0.037873644,JERKING,3f74e2da812c
1776113917897,1504103247485308,-0.09816227,-10.0029745,1.0199299,0.016493361,-0.039095376,0.029932396,JERKING,3f74e2da812c
1776113917905,1504103255479467,-0.12928689,-10.031705,0.9983821,0.016493361,0.0061086523,0.031154128,JERKING,3f74e2da812c
1776113917913,1504103263474474,-0.17717093,-10.113108,0.9504981,0.017715093,0.036651913,0.027488936,JERKING,3f74e2da812c
1776113917921,1504103271471173,-0.19871874,-10.127473,0.94570965,0.014660766,0.065973446,0.029932396,JERKING,3f74e2da812c
1776113917928,1504103278982871,-0.21787235,-10.15381,0.92655605,0.009773844,0.093462385,0.032375857,JERKING,3f74e2da812c
1776113917937,1504103287494878,-0.2633622,-10.156203,0.92895025,0.0030543262,0.12156218,0.037873644,JERKING,3f74e2da812c
1776113917945,1504103295489346,-0.2801216,-10.146626,0.91219085,-0.0012217305,0.13805555,0.04520403,JERKING,3f74e2da812c
1776113917953,1504103303484968,-0.24420857,-10.144233,0.89543146,-0.002443461,0.14294247,0.054367006,JERKING,3f74e2da812c
1776113917961,1504103311480051,-0.18914193,-10.144233,0.89064306,-0.0061086523,0.13683382,0.06780604,JERKING,3f74e2da812c
1776113917969,1504103319474596,-0.095768064,-10.16578,0.8834604,-0.010995574,0.11728613,0.077579886,JERKING,3f74e2da812c
1776113917977,1504103327473295,0.0023942017,-10.175357,0.878672,-0.017715093,0.08124508,0.08368854,JERKING,3f74e2da812c
1776113917985,1504103335497994,0.062249243,-10.144233,0.8858546,-0.02443461,0.053145275,0.086132,JERKING,3f74e2da812c
1776113917993,1504103343493077,0.1364695,-10.113108,0.8690952,-0.02687807,0.029321533,0.08857546,JERKING,3f74e2da812c
1776113918001,1504103351487775,0.23223756,-10.09156,0.8643068,-0.030543262,0.012217305,0.092240654,JERKING,3f74e2da812c
1776113918009,1504103359485321,0.34715924,-10.0748005,0.8403648,-0.03481932,-0.002443461,0.092240654,JERKING,3f74e2da812c
1776113918017,1504103367481711,0.4285621,-10.043676,0.842759,-0.03848451,-0.018936822,0.08674286,JERKING,3f74e2da812c
1776113918025,1504103375475795,0.51235914,-9.983821,0.878672,-0.042760566,-0.02565634,0.08124508,JERKING,3f74e2da812c
1776113918033,1504103383500417,0.58897364,-9.97185,0.89303726,-0.044593163,-0.03176499,0.07147124,JERKING,3f74e2da812c
1776113918041,1504103391495807,0.62009823,-9.988609,0.93373865,-0.048258353,-0.036651913,0.059864793,JERKING,3f74e2da812c
1776113918049,1504103399493353,0.6440403,-10.01734,0.9672575,-0.045814894,-0.036651913,0.044593163,JERKING,3f74e2da812c
1776113918057,1504103407489128,0.6584055,-10.04607,1.0103531,-0.03970624,-0.032375857,0.034208454,JERKING,3f74e2da812c
1776113918065,1504103415482597,0.6488287,-10.079589,1.0749966,-0.032375857,-0.021991149,0.02443461,JERKING,3f74e2da812c
1776113918073,1504103423478372,0.6344634,-10.065224,1.115698,-0.019547688,-0.010995574,0.017104227,JERKING,3f74e2da812c
1776113918081,1504103431474302,0.5530606,-10.029311,1.1300632,-0.0061086523,6.1086525E-4,0.009162978,JERKING,3f74e2da812c
1776113918089,1504103439470693,0.46447513,-10.0029745,1.13964,0.009773844,0.012217305,-0.0030543262,JERKING,3f74e2da812c
