epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776114613236,1150802482696,1.0941502,1.3479356,8.099585,0.15393804,-0.16982053,-0.3726278,FALLS,420b16770436
1776114613272,1150822685333,2.4253263,1.079785,7.345411,-0.4129449,-0.1563815,-0.0720821,FALLS,420b16770436
1776114613279,1150842887969,2.2481554,2.1619642,6.4787097,-1.3243558,-0.07941248,-0.70249504,FALLS,420b16770436
1776114613304,1150863090606,1.8052281,0.7158663,6.6295447,-1.9669861,-0.21135938,-0.77457714,FALLS,420b16770436
1776114613316,1150883262725,2.2242134,-0.39025488,6.3446345,-2.1551325,-0.41905355,-1.0910053,FALLS,420b16770436
1776114613339,1150903465362,2.303222,-0.24899697,5.461174,-2.0891593,-0.74036866,-1.3475688,FALLS,420b16770436
1776114613372,1150923637481,2.4253263,-0.37110126,5.1571107,-1.8997909,-0.7684685,-1.2938126,FALLS,420b16770436
1776114613377,1150943840118,2.743755,-0.15562311,5.0014873,-2.0097466,-1.0665708,-1.6065756,FALLS,420b16770436
1776114613404,1150963981719,3.5098996,-0.17477672,4.6375685,-2.13925,-1.3500122,-1.8509218,FALLS,420b16770436
1776114613418,1150984153838,3.7229836,0.23223756,4.996699,-2.2321017,-1.5760323,-2.1563544,FALLS,420b16770436
1776114613441,1151004356475,4.7285485,-1.1013328,5.6790466,-2.4165828,-1.8032742,-2.2687535,FALLS,420b16770436
1776114613470,1151024559112,6.1530986,-2.1643584,5.767632,-2.4569001,-2.0305161,-2.5485299,FALLS,420b16770436
1776114613478,1151044761749,7.165846,-2.4037786,5.595249,-2.3322835,-2.0879374,-2.7806585,FALLS,420b16770436
1776114613506,1151064964385,7.479486,-1.7022774,4.912902,-2.324953,-2.107485,-3.104417,FALLS,420b16770436
1776114613519,1151085167022,8.24563,-1.2090719,3.8426938,-2.6316075,-2.239432,-3.4293976,FALLS,420b16770436
1776114613542,1151105369659,9.423578,-1.0079589,2.717419,-3.2107077,-2.4324653,-3.7421606,FALLS,420b16770436
1776114613563,1151125572295,10.891224,-1.0534488,1.5634137,-4.0011673,-2.6132815,-4.0402627,FALLS,420b16770436
1776114613583,1151145805450,12.825739,-1.5729905,0.5291186,-4.9895473,-2.7550023,-4.2992697,FALLS,420b16770436
1776114613605,1151165947051,15.064317,-3.0071173,-0.36391866,-6.0121355,-2.814867,-4.4935246,FALLS,420b16770436
1776114613625,1151186149688,17.403452,-4.596867,-0.94570965,-6.903999,-2.670703,-4.5631633,FALLS,420b16770436
1776114613645,1151206352325,19.127277,-5.920861,-0.8834604,-7.75921,-2.271197,-4.4703116,FALLS,420b16770436
1776114613666,1151226524444,19.431341,-7.3166804,0.06464344,-8.608313,-1.5564847,-4.284609,FALLS,420b16770436
1776114613689,1151246696563,17.958906,-9.0716305,1.2138603,-8.619308,-0.70371675,-4.189314,FALLS,420b16770436
1776114613700,1151266929717,15.018827,-8.702923,2.5713725,-7.6797976,0.095294975,-3.9608502,FALLS,420b16770436
1776114613727,1151287162872,11.959038,-7.867347,2.2720973,-6.1526346,0.44959682,-3.5894442,FALLS,420b16770436
1776114613760,1151307365508,9.588778,-6.291962,1.292869,-4.0964622,0.4129449,-3.0201178,FALLS,420b16770436
1776114613764,1151327568145,8.437167,-4.759673,0.6560113,-1.78617,0.07086037,-2.4727826,FALLS,420b16770436
1776114613791,1151347770782,8.252813,-4.3023806,0.07182605,0.27488935,-0.43982297,-1.9156734,FALLS,420b16770436
1776114613801,1151367973418,7.9702973,-4.027047,-0.23702596,1.6896533,-0.7281514,-1.3390167,FALLS,420b16770436
1776114613836,1151388176055,7.457938,-3.8043866,-0.48841715,2.4801128,-0.75136423,-0.89919364,FALLS,420b16770436
1776114613846,1151408348174,7.493851,-3.857059,-0.20829555,2.737898,-0.874759,-0.59742624,FALLS,420b16770436
1776114613881,1151428489776,7.795521,-4.0054994,-0.031124622,2.542421,-0.9969321,-0.4361578,FALLS,420b16770436
1776114613883,1151448600860,7.2304893,-3.608062,0.21308395,2.2174408,-0.78801614,-0.4447099,FALLS,420b16770436
1776114613910,1151468803497,5.8346696,-2.755726,0.51714754,1.7568485,-0.48258355,-0.40683624,FALLS,420b16770436
