epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776131844564,18382123241143,0.019153614,0.45968673,9.545682,0.061086524,0.0012217305,-0.034208454,TREMOR,4647bff8c1d8
1776131844577,18382143291192,-0.12210429,0.4429273,9.519346,0.16371189,-0.1881465,-0.3726278,TREMOR,4647bff8c1d8
1776131844598,18382163249688,0.038307227,0.34715924,9.581595,-0.12583824,-0.034208454,0.03176499,TREMOR,4647bff8c1d8
1776131844621,18382183299736,0.023942016,0.14604631,9.533711,-0.09773844,0.1441642,0.02687807,TREMOR,4647bff8c1d8
1776131844651,18382203288750,-0.093373865,0.18195933,9.560047,-0.059864793,0.019547688,-0.0036651916,TREMOR,4647bff8c1d8
1776131844659,18382223338799,0.0047884034,0.39983168,9.61272,-0.06963864,-0.0012217305,0.0036651916,TREMOR,4647bff8c1d8
1776131844682,18382243358330,0.011971008,-0.045489833,9.866506,-0.08307768,0.015882496,-0.019547688,TREMOR,4647bff8c1d8
1776131844698,18382263377861,-0.11971009,0.0047884034,9.682152,-0.019547688,0.034208454,-0.009773844,TREMOR,4647bff8c1d8
1776131844729,18382283366875,-0.05746084,0.60573304,9.440337,-0.004886922,0.02076942,0.007330383,TREMOR,4647bff8c1d8
1776131844754,18382303416924,0.0023942017,0.62009823,9.502586,-0.13927728,0.019547688,-0.009773844,TREMOR,4647bff8c1d8
1776131844765,18382323405938,0.023942016,1.1731589,9.466674,-0.35918877,0.015882496,-0.037873644,TREMOR,4647bff8c1d8
1776131844805,18382343455986,0.18674773,0.63206923,9.507375,-0.68294734,0.021991149,-0.080634214,TREMOR,4647bff8c1d8
1776131844807,18382363475518,0.023942016,0.8595184,9.380483,-0.9798279,0.012217305,-0.12583824,TREMOR,4647bff8c1d8
1776131844837,18382383495049,-0.24420857,0.7445967,9.478644,-1.4477507,-0.07086037,-0.07452556,TREMOR,4647bff8c1d8
1776131844840,18382403514580,-0.021547815,-0.1340753,9.085996,-1.7617353,-0.08674286,-0.07086037,TREMOR,4647bff8c1d8
1776131844870,18382423534111,-0.4189853,-0.39264908,9.560047,-2.2101104,-0.13072516,-0.040317107,TREMOR,4647bff8c1d8
1776131844878,18382443553643,0.36152446,-1.4508862,10.326192,-2.7097983,-0.21502456,0.015882496,TREMOR,4647bff8c1d8
1776131844898,18382463573174,0.8595184,-3.2393548,10.232818,-2.9003882,-0.103847094,0.04642576,TREMOR,4647bff8c1d8
1776131844925,18382483562188,-0.15083471,-2.8514943,8.813056,-3.0384438,0.14294247,0.037873644,TREMOR,4647bff8c1d8
1776131844948,18382503612236,-0.5602432,-4.606444,8.829816,-3.1667254,0.2565634,0.087964594,TREMOR,4647bff8c1d8
1776131844958,18382523631768,0.2705448,-6.7564373,9.234436,-3.0567696,0.267559,0.12217305,TREMOR,4647bff8c1d8
1776131844977,18382543651299,0.090979666,-6.517017,9.643845,-2.5619688,0.35430184,0.20769419,TREMOR,4647bff8c1d8
1776131844997,18382563670830,-0.4285621,-4.8985367,8.319851,-2.4239132,0.39584067,0.41416663,TREMOR,4647bff8c1d8
1776131845031,18382583690361,-0.01436521,-4.220978,8.070854,-2.910162,0.40194935,0.5900958,TREMOR,4647bff8c1d8
1776131845040,18382603709893,-0.2657564,-5.3103395,7.991845,-3.4697146,0.50946164,0.59986967,TREMOR,4647bff8c1d8
1776131845060,18382623668389,-0.6488287,-7.103596,7.302315,-4.0805798,0.59986967,0.657291,TREMOR,4647bff8c1d8
1776131845078,18382643718438,-0.92655605,-8.690952,5.494693,-4.6572366,0.59620446,0.77579886,TREMOR,4647bff8c1d8
1776131845100,18382663737969,-1.3359646,-10.338163,4.644751,-4.166101,0.6010914,0.61086524,TREMOR,4647bff8c1d8
1776131845126,18382683757500,-1.1468226,-11.147403,5.683835,-1.5662584,0.36285394,0.14172074,TREMOR,4647bff8c1d8
1776131845142,18382703777031,-0.59855044,-9.543288,6.423643,2.1038198,0.20647246,0.04886922,TREMOR,4647bff8c1d8
1776131845160,18382723796563,-1.103727,-7.680599,6.2512608,4.8209486,0.1001819,0.09162979,TREMOR,4647bff8c1d8
1776131845178,18382743785576,-1.7836803,-6.505046,6.3685765,5.4281487,-0.02687807,0.2846632,TREMOR,4647bff8c1d8
1776131845198,18382763835625,-2.2290018,-3.9552212,6.694188,2.9443705,0.080634214,0.7501425,TREMOR,4647bff8c1d8
1776131845235,18382783855156,-2.4636335,-2.9951463,6.694188,-0.56199604,0.204029,0.45204028,TREMOR,4647bff8c1d8
1776131845241,18382803966240,-2.0470424,-4.237737,6.8905125,-3.7116172,0.34208453,0.20280726,TREMOR,4647bff8c1d8
1776131845267,18382823985772,-2.5617957,-6.777985,6.823475,-4.346917,0.42638394,-0.21991149,TREMOR,4647bff8c1d8
1776131845279,18382844035820,-2.183512,-9.358934,7.4842744,-2.2968533,0.22235495,-0.3921755,TREMOR,4647bff8c1d8
1776131845311,18382864085869,-0.60333884,-8.537724,6.787562,1.3329079,0.058643065,-0.32620203,TREMOR,4647bff8c1d8
1776131845323,18382884166436,-1.0295067,-6.301539,5.1810527,3.4281757,-0.008552114,0.105068825,TREMOR,4647bff8c1d8
1776131845349,18382904277520,-2.1452048,-5.00867,5.5377884,2.6584857,-0.02565634,0.47525316,TREMOR,4647bff8c1d8
1776131845360,18382924327568,-1.6591818,-4.426879,6.567295,0.52290064,-0.17104226,0.36896262,TREMOR,4647bff8c1d8
1776131845380,18382944347100,-1.3431472,-4.7046065,6.457162,-1.9877555,-0.11362094,0.16982053,TREMOR,4647bff8c1d8
1776131845404,18382964397149,-1.7501614,-7.40766,5.9783216,-2.7953193,-0.064751714,-0.3555236,TREMOR,4647bff8c1d8
1776131845454,18382984416680,-1.541866,-9.560047,6.0525417,-1.4990633,-0.33108896,-0.6206391,TREMOR,4647bff8c1d8
1776131845456,18383004436211,-0.1436521,-8.995016,6.7085533,0.92485,-0.64996064,-0.4447099,TREMOR,4647bff8c1d8
1776131845458,18383024455742,-0.16759412,-7.699753,6.9623384,3.3793066,-0.6927212,-0.20769419,TREMOR,4647bff8c1d8
1776131845488,18383044444756,-0.82121116,-5.353435,7.9631147,4.4532075,-0.70249504,0.06352998,TREMOR,4647bff8c1d8
1776131845500,18383064464287,-0.6847417,-2.6120741,8.978256,2.8515189,-0.5338962,0.39584067,TREMOR,4647bff8c1d8
1776131845530,18383084514336,-0.8810662,-1.9728222,9.244013,-0.31642818,-0.18936823,0.34574974,TREMOR,4647bff8c1d8
1776131845540,18383104533867,-0.80924016,-3.727772,8.264784,-3.5332446,0.12705997,0.04153884,TREMOR,4647bff8c1d8
1776131845563,18383124553399,-0.7062895,-6.5601125,5.638345,-5.2387805,0.4202753,-0.14782938,TREMOR,4647bff8c1d8
1776131845578,18383144511895,-0.6631939,-10.532093,4.8961425,-4.192979,0.38973203,-0.24678956,TREMOR,4647bff8c1d8
1776131845599,18383164561943,0.18195933,-11.437101,5.4204726,-0.9663888,0.26633725,0.02321288,TREMOR,4647bff8c1d8
1776131845619,18383184581475,0.6512229,-8.626308,6.1219735,2.764776,0.2602286,0.19181168,TREMOR,4647bff8c1d8
1776131845640,18383204601006,-0.25378537,-6.215348,6.7612257,4.4263296,0.38362336,0.4251622,TREMOR,4647bff8c1d8
1776131845668,18383224620537,-0.8379706,-2.2744915,8.224083,3.3060026,0.52778757,0.56688297,TREMOR,4647bff8c1d8
1776131845708,18383244640068,-1.6400281,-2.4851813,7.501034,0.13194689,0.75869465,0.5143485,TREMOR,4647bff8c1d8
1776131845710,18383264659600,-2.15957,-5.741296,6.8881183,-3.072652,0.6792821,0.21380283,TREMOR,4647bff8c1d8
1776131845719,18383284679131,-1.4149733,-9.385271,6.682217,-3.6334264,0.16615535,-0.41538838,TREMOR,4647bff8c1d8
1776131845740,18383304729180,-0.7278373,-12.337321,6.241684,-2.0329595,-0.010995574,-0.46670106,TREMOR,4647bff8c1d8
1776131845758,18383324718193,-0.28491,-10.481815,5.451597,1.3316863,-0.096516706,-0.2406809,TREMOR,4647bff8c1d8
1776131845778,18383344768242,-0.79487497,-7.6231384,5.12838,4.169766,-0.061086524,0.2321288,TREMOR,4647bff8c1d8
1776131845799,18383364787774,-1.7501614,-4.685453,6.3087215,4.9858823,-0.073303826,0.38728857,TREMOR,4647bff8c1d8
1776131845821,18383384776787,-2.2218192,-0.11731588,9.706094,2.71102,0.02321288,0.39095375,TREMOR,4647bff8c1d8
1776131845846,18383404826836,-2.420538,-2.6048915,9.325416,-1.6432275,0.17837265,0.39095375,TREMOR,4647bff8c1d8
1776131845861,18383424846367,-2.1164744,-4.9105077,6.9360023,-5.119051,0.3811799,0.10262536,TREMOR,4647bff8c1d8
1776131845885,18383444865899,-2.719813,-7.9343843,3.5122938,-5.7238073,0.44593164,-0.23457226,TREMOR,4647bff8c1d8
1776131845905,18383464885430,-2.6503813,-11.769896,3.620033,-3.7568212,0.0061086523,-0.27000242,TREMOR,4647bff8c1d8
1776131845928,18383484874443,-0.7254431,-12.093113,5.614403,0.643852,-0.27366763,-0.073303826,TREMOR,4647bff8c1d8
1776131845944,18383504924492,-0.90979666,-6.95755,6.3063273,4.509407,-0.1441642,0.09285152,TREMOR,4647bff8c1d8
1776131845965,18383524913506,-2.3080103,-2.7700913,7.867347,4.627915,-0.03176499,0.3640757,TREMOR,4647bff8c1d8
1776131845983,18383544933037,-2.777274,-1.6328455,8.23366,1.4990633,-0.019547688,0.4288274,TREMOR,4647bff8c1d8
1776131846007,18383564983086,-1.9871874,-4.4699745,7.240066,-2.5778513,0.07452556,0.23701571,TREMOR,4647bff8c1d8
1776131846023,18383585002617,-1.9991584,-6.9407907,4.132392,-4.9919906,0.2919936,-0.17837265,TREMOR,4647bff8c1d8
1776131846040,18383605022149,-2.4301147,-10.139444,3.9097314,-4.5485024,0.073303826,-0.5180137,TREMOR,4647bff8c1d8
1776131846062,18383625041680,-0.8738836,-11.712435,5.7365074,-1.890017,-0.3286455,-0.39706242,TREMOR,4647bff8c1d8
1776131846085,18383645061211,0.1316811,-10.740389,6.253655,2.147802,-0.30665436,-0.05131268,TREMOR,4647bff8c1d8
1776131846104,18383665111260,-1.4748282,-6.6295447,7.1969705,3.34632,-0.06352998,0.4361578,TREMOR,4647bff8c1d8
1776131846126,18383685130791,-2.7820623,-5.209783,7.2304893,1.7739527,0.042760566,0.55833083,TREMOR,4647bff8c1d8
1776131846155,18383705150322,-2.2816741,-5.094861,6.682217,-0.7086037,0.057421334,0.3005457,TREMOR,4647bff8c1d8
1776131846167,18383725200371,-2.0015526,-7.086837,4.8578353,-2.575408,0.23090707,-0.13683382,TREMOR,4647bff8c1d8
1776131846187,18383745250420,-1.8746599,-8.50181,5.4779334,-2.5143213,0.13561209,-0.44837508,TREMOR,4647bff8c1d8
1776131846204,18383765300469,-1.115698,-9.847352,6.1985884,-0.74281216,-0.08552113,-0.40317106,TREMOR,4647bff8c1d8
1776131846225,18383785350518,-0.47884035,-9.770737,6.019023,1.7079792,-0.07696902,0.087964594,TREMOR,4647bff8c1d8
1776131846246,18383805400567,-1.673547,-6.8306575,6.2823853,2.5986207,0.07696902,0.3640757,TREMOR,4647bff8c1d8
1776131846267,18383825420098,-2.4947581,-6.007052,6.3709707,1.455081,0.10873401,0.39461896,TREMOR,4647bff8c1d8
1776131846287,18383845500664,-2.3654714,-5.3606176,6.0956373,-0.32986724,0.10629055,0.14538592,TREMOR,4647bff8c1d8
1776131846311,18383865550713,-2.0614076,-6.179435,4.9200845,-1.8558086,0.18081611,-0.15393804,TREMOR,4647bff8c1d8
1776131846324,18383885570244,-1.9728222,-8.389283,5.1259856,-2.0341814,0.05497787,-0.39461896,TREMOR,4647bff8c1d8
1776131846344,18383905589776,-1.4101849,-9.770737,6.1387334,-0.7684685,-0.1160644,-0.27366763,TREMOR,4647bff8c1d8
1776131846362,18383925609307,-1.055843,-9.246407,6.397307,1.2388347,-0.12950343,0.02687807,TREMOR,4647bff8c1d8
1776131846384,18383945628838,-1.8435353,-7.335834,6.5864487,2.2748623,-0.047647487,0.20891592,TREMOR,4647bff8c1d8
1776131846405,18383965617852,-2.2409728,-5.628768,6.7971387,1.3329079,0.034208454,0.3200934,TREMOR,4647bff8c1d8
1776131846424,18383985667901,-2.0733786,-5.5497594,6.4380083,-0.45814893,0.09773844,0.13927728,TREMOR,4647bff8c1d8
1776131846443,18384005626397,-1.8076223,-5.947197,5.815516,-2.3469443,0.22235495,-0.061086524,TREMOR,4647bff8c1d8
1776131846464,18384025676445,-1.9393034,-9.248801,4.225766,-3.4636059,0.30665436,-0.118507855,TREMOR,4647bff8c1d8
1776131846485,18384045695977,-2.0015526,-11.748347,4.4795513,-2.3139575,0.095294975,-0.13927728,TREMOR,4647bff8c1d8
