epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776131989340,18526896904862,-1.4700398,1.1300632,8.844181,0.14782938,-0.17837265,-0.3494149,TREMOR,635380530830
1776131989353,18526916924393,-1.5394717,0.6871359,8.918402,0.1001819,0.07574729,-0.05131268,TREMOR,635380530830
1776131989384,18526936943924,-1.5370775,0.533907,9.246407,0.9407325,0.23457226,0.056199603,TREMOR,635380530830
1776131989403,18526956932938,-1.4652514,1.4077905,9.433155,1.0934488,0.1160644,0.036651913,TREMOR,635380530830
1776131989415,18526977013504,-1.5729905,2.930503,8.9519205,1.028697,0.064751714,0.05497787,TREMOR,635380530830
1776131989442,18526997033036,-1.5753847,2.9975405,8.535329,0.61819565,0.064751714,0.047647487,TREMOR,635380530830
1776131989467,18527017052567,-1.553837,2.3175871,8.645462,-0.037873644,0.05131268,0.07574729,TREMOR,635380530830
1776131989472,18527037072098,-1.5969325,2.27928,9.67018,-0.74281216,0.008552114,0.009773844,TREMOR,635380530830
1776131989519,18527057122147,-1.6256629,1.2042835,9.607931,-0.6817256,0.018325957,-0.04886922,TREMOR,635380530830
1776131989537,18527077141678,-1.7836803,2.3678656,9.370906,-0.19425514,-0.008552114,-0.030543262,TREMOR,635380530830
1776131989543,18527097191727,-1.5442601,2.1428106,9.315839,-0.1600467,0.0061086523,-0.06352998,TREMOR,635380530830
1776131989552,18527117241776,-1.6807296,1.484405,9.174581,-0.26633725,0.0,-0.02443461,TREMOR,635380530830
1776131989586,18527137261307,-1.6567876,1.7741034,8.9519205,-0.36896262,-0.021991149,-0.030543262,TREMOR,635380530830
1776131989595,18527157311356,-1.5825673,2.0566192,8.532935,-0.8026769,-0.029321533,-0.030543262,TREMOR,635380530830
1776131989621,18527177361405,-1.6184803,2.1667526,9.076419,-1.6945401,-0.07452556,-0.039095376,TREMOR,635380530830
1776131989635,18527197411454,-1.520318,0.6703765,9.229648,-2.5277603,-0.13561209,-0.112399206,TREMOR,635380530830
1776131989653,18527217461502,-1.5586253,0.90740246,8.963891,-3.1300735,-0.15515977,-0.172264,TREMOR,635380530830
1776131989675,18527237511551,-1.4317327,0.92655605,8.820239,-4.229631,-0.15271631,-0.118507855,TREMOR,635380530830
1776131989703,18527257561600,-1.5394717,-0.89303726,9.045294,-5.353623,-0.10751228,-0.18448131,TREMOR,635380530830
1776131989714,18527277642166,-1.4867992,-2.4732103,10.479421,-5.6602774,-0.10262536,-0.19181168,TREMOR,635380530830
1776131989736,18527297661698,-1.5298948,-9.167398,10.146626,-4.321261,-0.20769419,-0.267559,TREMOR,635380530830
1776131989752,18527317681229,-0.9696517,-9.878476,7.4603324,0.26633725,0.07819075,-0.20891592,TREMOR,635380530830
1776131989774,18527337700760,-1.1013328,-1.6663644,9.083601,4.8820353,-0.013439035,-0.28344148,TREMOR,635380530830
1776131989803,18527357720291,-1.7429788,1.1348516,9.65821,5.127603,0.04886922,0.04642576,TREMOR,635380530830
1776131989834,18527377770340,-1.6256629,-0.46926352,9.083601,2.806315,-0.015882496,0.1685988,TREMOR,635380530830
1776131989836,18527397789872,-1.3910311,-0.78529817,7.855376,0.93828905,-0.057421334,0.112399206,TREMOR,635380530830
1776131989862,18527417839920,-1.9273324,1.1348516,8.049306,-0.84665924,-0.08307768,0.043982297,TREMOR,635380530830
1776131989872,18527437859452,-1.6807296,0.19632454,8.844181,-3.1080823,-0.16371189,0.007330383,TREMOR,635380530830
1776131989906,18527457878983,-1.3790601,-3.3566709,10.359711,-4.5399504,-0.23823744,-0.047647487,TREMOR,635380530830
1776131989921,18527477898514,-1.2808979,-6.244078,9.85214,-3.6688566,-0.12950343,-0.06963864,TREMOR,635380530830
1776131989937,18527497918045,-0.8810662,-5.0900726,9.251195,-1.0250319,-0.019547688,-0.012217305,TREMOR,635380530830
1776131989959,18527517937577,-0.8762778,-2.80361,9.452309,1.1826351,0.06841691,0.07574729,TREMOR,635380530830
1776131989974,18527537957108,-1.1803415,-2.1978772,8.841787,1.5198327,0.06841691,0.009773844,TREMOR,635380530830
1776131990001,18527557976639,-0.7517793,-2.7844565,9.279925,0.98349303,-0.014660766,0.021991149,TREMOR,635380530830
1776131990019,18527577996170,-1.13964,-2.1571758,9.349358,0.453262,-0.034208454,0.010995574,TREMOR,635380530830
1776131990032,18527598076737,-1.3599066,-1.553837,8.623915,-0.3213151,-0.0842994,-0.009773844,TREMOR,635380530830
1776131990057,18527618126786,-1.3838485,-2.1643584,8.784326,-1.3109168,-0.11728613,-0.004886922,TREMOR,635380530830
1776131990072,18527638146317,-1.1947067,-4.8745947,9.931149,-1.5088371,-0.08307768,0.004886922,TREMOR,635380530830
1776131990101,18527658165848,-1.0462662,-4.453215,9.840169,-0.5766568,0.05375614,0.019547688,TREMOR,635380530830
1776131990124,18527678215897,-1.1563994,-2.7629087,9.306262,0.37751472,0.13561209,0.059864793,TREMOR,635380530830
1776131990133,18527698235428,-1.1803415,-2.4947581,9.246407,0.41538838,0.23457226,0.029321533,TREMOR,635380530830
1776131990153,18527718285477,-1.0319009,-2.8634653,9.519346,0.1001819,0.2919936,0.02321288,TREMOR,635380530830
1776131990172,18527738305008,-1.2737153,-2.906561,8.839393,-0.058643065,0.32742378,0.013439035,TREMOR,635380530830
1776131990202,18527758385575,-1.6136919,-3.2944214,8.767567,-0.23701571,0.32742378,0.010995574,TREMOR,635380530830
1776131990212,18527778374588,-2.1332338,-3.083732,7.2831616,-0.4092797,0.111177474,0.002443461,TREMOR,635380530830
1776131990234,18527798455155,-1.6998832,-2.195483,7.0245876,-0.8393288,-0.17470746,-0.081855945,TREMOR,635380530830
1776131990257,18527818474686,-1.733402,-3.3925838,9.313444,-1.5137241,-0.23335053,-0.12339478,TREMOR,635380530830
1776131990272,18527838494217,-1.6903064,-4.8267107,10.086772,-1.568702,-0.27366763,-0.081855945,TREMOR,635380530830
1776131990301,18527858513748,-1.2186487,-6.1076083,9.560047,-0.56077427,-0.28221974,-0.14538592,TREMOR,635380530830
1776131990318,18527878533280,-0.8762778,-4.8506527,9.354146,0.7806858,-0.12339478,-0.12950343,TREMOR,635380530830
1776131990334,18527898583329,-1.2138603,-3.6272156,9.085996,1.4330899,0.03176499,-0.057421334,TREMOR,635380530830
1776131990357,18527918602860,-1.0462662,-1.163582,8.63828,0.9053023,0.028099801,-0.021991149,TREMOR,635380530830
1776131990372,18527938622391,-1.2952632,-0.7230489,7.97748,-1.5357152,0.119729586,0.09040806,TREMOR,635380530830
1776131990401,18527958641922,-1.6448165,-3.8067808,8.123527,-3.9681807,0.09896017,0.13316862,TREMOR,635380530830
1776131990418,18527978691971,-1.5825673,-6.136339,7.747637,-4.796514,-0.062308256,0.10751228,TREMOR,635380530830
1776131990440,18527998711502,-1.1085154,-9.737218,7.9822683,-3.2693508,-0.1966986,-0.056199603,TREMOR,635380530830
1776131990453,18528018792069,-0.46447513,-9.3733,7.8865004,0.13561209,-0.05131268,-0.14172074,TREMOR,635380530830
1776131990473,18528038811600,-0.5674258,-5.4899044,8.324639,3.1618385,0.04520403,-0.1563815,TREMOR,635380530830
1776131990510,18528058831131,-1.3120226,-3.6655228,8.329428,4.111123,0.105068825,-0.058643065,TREMOR,635380530830
1776131990518,18528078881180,-1.3239936,-2.9903579,8.995016,3.5100317,0.0720821,-0.057421334,TREMOR,635380530830
1776131990536,18528098900711,-1.1659763,-0.9744401,7.9607205,1.1191051,0.036651913,0.095294975,TREMOR,635380530830
1776131990553,18528118920243,-2.183512,-2.6982653,6.754043,-1.9413297,0.080634214,0.12583824,TREMOR,635380530830
1776131990574,18528139000809,-1.7286136,-5.209783,7.630321,-3.5906658,-0.095294975,0.080634214,TREMOR,635380530830
1776131990608,18528159020340,-1.412579,-7.4148426,9.425972,-3.4684927,-0.10995574,-0.018325957,TREMOR,635380530830
1776131990615,18528179039872,-0.842759,-9.088389,9.062054,-1.2302825,-0.064751714,-0.08674286,TREMOR,635380530830
1776131990635,18528199120438,-0.62249243,-5.133168,8.350976,1.8240436,0.112399206,-0.14538592,TREMOR,635380530830
1776131990657,18528219139969,-1.0319009,-3.8402996,8.346188,3.1948252,0.16737708,0.03176499,TREMOR,635380530830
1776131990675,18528239220536,-1.1827357,-3.2752678,8.987833,2.8393016,0.16982053,-0.058643065,TREMOR,635380530830
1776131990702,18528259301102,-0.9983821,-1.1659763,7.785944,0.6914995,0.12217305,0.10262536,TREMOR,635380530830
1776131990715,18528279351151,-1.8674773,-3.169923,6.8162923,-2.2382102,0.14782938,0.16982053,TREMOR,635380530830
1776131990735,18528299401200,-1.7788919,-5.793968,7.383718,-4.0402627,-0.019547688,0.16126843,TREMOR,635380530830
1776131990756,18528319512284,-1.541866,-8.104373,8.568848,-3.8716638,-0.05009095,0.013439035,TREMOR,635380530830
1776131990784,18528339562332,-0.89303726,-8.683769,8.240842,-1.5858061,-0.02565634,-0.032986723,TREMOR,635380530830
1776131990801,18528359642899,-1.055843,-5.511452,7.69257,1.0812315,0.14049901,-0.105068825,TREMOR,635380530830
1776131990823,18528379692948,-1.376666,-5.118803,7.85777,2.2956316,0.119729586,0.057421334,TREMOR,635380530830
1776131990834,18528399712479,-1.448492,-3.7828386,7.714118,1.6285667,0.05131268,0.042760566,TREMOR,635380530830
1776131990853,18528419732010,-1.9057846,-4.5896845,6.873753,-0.19303341,0.008552114,0.06963864,TREMOR,635380530830
1776131990874,18528439721024,-1.7070658,-5.9926867,7.3047094,-1.7201965,-0.10140363,0.12705997,TREMOR,635380530830
1776131990909,18528459740555,-1.5610195,-7.513005,7.8386164,-1.8203784,-0.15027285,-0.0036651916,TREMOR,635380530830
1776131990915,18528479790604,-1.1444284,-7.4842744,8.118738,-0.4654793,-0.09285152,-0.05131268,TREMOR,635380530830
1776131990935,18528499810135,-1.1587936,-5.7604494,7.7548194,1.1594223,0.009773844,-0.04520403,TREMOR,635380530830
1776131990958,18528519829666,-1.3862427,-4.9344497,8.1642275,1.8350391,0.02565634,0.05375614,TREMOR,635380530830
1776131990976,18528539849198,-1.3144168,-3.4955344,7.7548194,0.8723156,0.02076942,0.06352998,TREMOR,635380530830
1776131991001,18528559868729,-1.7501614,-4.4939165,7.3071036,-1.128879,0.014660766,0.12950343,TREMOR,635380530830
1776131991019,18528579888260,-1.6711528,-5.849035,6.8067155,-2.4556782,-0.07574729,0.13927728,TREMOR,635380530830
1776131991034,18528599907791,-1.4053963,-6.4044895,7.759608,-2.5595255,-0.09407325,0.010995574,TREMOR,635380530830
1776131991058,18528619927323,-1.1420342,-9.837775,7.819463,-1.2449434,-0.19914207,-0.059864793,TREMOR,635380530830
1776131991074,18528639946854,-0.7230489,-8.374918,7.7667904,1.4709635,-0.056199603,-0.11728613,TREMOR,635380530830
1776131991101,18528659966385,-0.93852705,-5.379771,7.714118,3.4868188,0.04153884,-0.08552113,TREMOR,635380530830
1776131991124,18528679985916,-1.4221559,-4.3957543,8.23366,3.7995818,0.07452556,-0.042760566,TREMOR,635380530830
1776131991135,18528699974930,-1.2737153,-4.2521024,8.310274,3.1422908,0.04520403,-0.02687807,TREMOR,635380530830
1776131991154,18528720024979,-1.2976574,-3.3375173,8.779537,2.0305161,0.0842994,0.0036651916,TREMOR,635380530830
1776131991174,18528740075028,-1.5442601,-1.4053963,8.24563,0.04886922,0.1563815,0.1001819,TREMOR,635380530830
1776131991201,18528760094559,-2.0446482,-2.9017725,7.800309,-2.2467623,0.17837265,0.12339478,TREMOR,635380530830
1776131991219,18528780114090,-1.733402,-5.2145715,8.042124,-3.4232888,0.08552113,0.09285152,TREMOR,635380530830
1776131991234,18528800194657,-1.520318,-6.5696893,7.965509,-3.1948252,0.07086037,0.052534413,TREMOR,635380530830
1776131991255,18528820214188,-1.3215994,-6.7013707,7.489063,-1.9559906,0.06352998,-0.010995574,TREMOR,635380530830
