# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776116964690,1507150041373101,9.718064,-0.18674773,-1.6280571,NaN,NaN,NaN,TONIC,87b69e245e54
1776116964699,1507150050102648,9.7324295,-0.17717093,-1.6184803,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964707,1507150058097039,9.725247,-0.17717093,-1.6256629,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964715,1507150066091276,9.713276,-0.17477672,-1.6280571,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964723,1507150074086668,9.718064,-0.20111294,-1.6280571,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964731,1507150082083906,9.727641,-0.19871874,-1.6376339,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964739,1507150090079913,9.7084875,-0.20350714,-1.6304513,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964747,1507150098104458,9.727641,-0.21068975,-1.6328455,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964755,1507150106100158,9.7324295,-0.21308395,-1.6400281,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964763,1507150114095549,9.734824,-0.22026655,-1.6352397,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964771,1507150122092556,9.746795,-0.22266077,-1.6256629,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964779,1507150130089102,9.730036,-0.21308395,-1.6376339,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964787,1507150138083340,9.722853,-0.20111294,-1.6184803,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964795,1507150146078039,9.718064,-0.18195933,-1.6208745,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964803,1507150154105200,9.7084875,-0.17717093,-1.6160861,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964811,1507150162099668,9.6845455,-0.17477672,-1.6232687,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964819,1507150170097521,9.706094,-0.16759412,-1.6136919,-0.22785273,0.27000242,-2.4514022,TONIC,87b69e245e54
1776116964827,1507150178092221,9.696517,-0.16519992,-1.6208745,-0.002443461,0.0,-0.004276057,TONIC,87b69e245e54
1776116964835,1507150186086459,9.701305,-0.18674773,-1.6376339,-0.0018325958,-0.002443461,-0.002443461,TONIC,87b69e245e54
1776116964843,1507150194083696,9.710882,-0.15562311,-1.6424223,-6.1086525E-4,0.0,-0.0012217305,TONIC,87b69e245e54
1776116964851,1507150202077473,9.713276,-0.16519992,-1.6352397,0.0,0.0036651916,0.0,TONIC,87b69e245e54
1776116964859,1507150210104864,9.694122,-0.1412579,-1.6400281,-0.0012217305,0.009162978,0.0,TONIC,87b69e245e54
1776116964867,1507150218124641,9.701305,-0.15562311,-1.6256629,-0.0012217305,0.01282817,-6.1086525E-4,TONIC,87b69e245e54
1776116964875,1507150226094724,9.701305,-0.16759412,-1.6280571,6.1086525E-4,0.015271631,0.0,TONIC,87b69e245e54
1776116964883,1507150234091039,9.701305,-0.17238252,-1.6136919,-6.1086525E-4,0.018325957,0.0018325958,TONIC,87b69e245e54
1776116964891,1507150242086200,9.689334,-0.16519992,-1.6184803,-0.0018325958,0.019547688,0.0012217305,TONIC,87b69e245e54
1776116964899,1507150250083130,9.7084875,-0.18195933,-1.6136919,-0.0018325958,0.020158553,6.1086525E-4,TONIC,87b69e245e54
1776116964907,1507150258077214,9.689334,-0.16998832,-1.6041151,-0.0012217305,0.018936822,0.0,TONIC,87b69e245e54
1776116964915,1507150266103144,9.679757,-0.15801731,-1.6017209,-6.1086525E-4,0.015882496,0.0012217305,TONIC,87b69e245e54
