# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776116627013,1506812363596482,8.870518,-0.20590134,-4.2185836,NaN,NaN,NaN,TONIC,b19ce51cedf7
1776116627022,1506812372326342,8.872911,-0.21308395,-4.2161894,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627030,1506812380322971,8.884883,-0.22026655,-4.201824,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627038,1506812388316829,8.875306,-0.21068975,-4.19943,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627046,1506812396313381,8.884883,-0.21787235,-4.223372,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627054,1506812404307316,8.872911,-0.21308395,-4.232949,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627062,1506812412302329,8.865729,-0.22505496,-4.2305546,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627070,1506812420301418,8.8777,-0.22744916,-4.235343,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627078,1506812428324892,8.884883,-0.22744916,-4.213795,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627086,1506812436320905,8.870518,-0.22505496,-4.211401,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627094,1506812444318686,8.89446,-0.24420857,-4.201824,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627102,1506812452312623,8.896853,-0.23223756,-4.213795,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627110,1506812460308558,8.882488,-0.23942018,-4.213795,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627118,1506812468302494,8.882488,-0.23223756,-4.225766,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627126,1506812476329198,8.9040365,-0.25617957,-4.2185836,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627134,1506812484324365,8.863335,-0.24181437,-4.2185836,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627142,1506812492321608,8.8777,-0.24420857,-4.2042184,0.0,-0.002443461,0.002443461,TONIC,b19ce51cedf7
1776116627150,1506812500316928,8.875306,-0.23702596,-4.2281604,0.0012217305,-0.01160644,-0.002443461,TONIC,b19ce51cedf7
1776116627158,1506812508311171,8.872911,-0.24420857,-4.225766,0.002443461,-0.009773844,-0.0018325958,TONIC,b19ce51cedf7
1776116627166,1506812516308338,8.865729,-0.23223756,-4.2401314,0.0018325958,-0.009162978,-0.004886922,TONIC,b19ce51cedf7
1776116627174,1506812524303735,8.858546,-0.22505496,-4.232949,0.0018325958,-0.005497787,-0.0061086523,TONIC,b19ce51cedf7
1776116627182,1506812532297671,8.875306,-0.23463176,-4.237737,0.0012217305,-0.0012217305,-0.005497787,TONIC,b19ce51cedf7
1776116627190,1506812540326530,8.872911,-0.23463176,-4.225766,0.0018325958,0.0036651916,-0.0061086523,TONIC,b19ce51cedf7
1776116627198,1506812548322004,8.865729,-0.22744916,-4.2161894,0.002443461,0.0061086523,-0.005497787,TONIC,b19ce51cedf7
1776116627206,1506812556317017,8.872911,-0.21787235,-4.247314,0.0018325958,0.009773844,-0.0067195175,TONIC,b19ce51cedf7
1776116627214,1506812564310567,8.868123,-0.22026655,-4.232949,0.002443461,0.012217305,-0.007330383,TONIC,b19ce51cedf7
1776116627222,1506812572308118,8.863335,-0.20350714,-4.2161894,0.0012217305,0.014660766,-0.005497787,TONIC,b19ce51cedf7
1776116627230,1506812580305669,8.853758,-0.20590134,-4.2281604,0.002443461,0.016493361,-0.004886922,TONIC,b19ce51cedf7
1776116627238,1506812588299913,8.863335,-0.21068975,-4.2161894,0.002443461,0.015882496,-0.0061086523,TONIC,b19ce51cedf7
1776116627246,1506812596324771,8.858546,-0.19632454,-4.2161894,0.004886922,0.018325957,-0.0036651916,TONIC,b19ce51cedf7
1776116627254,1506812604321092,8.844181,-0.20590134,-4.225766,0.004886922,0.02076942,-0.004276057,TONIC,b19ce51cedf7
1776116627262,1506812612315873,8.872911,-0.19393034,-4.201824,0.0036651916,0.02076942,-0.0036651916,TONIC,b19ce51cedf7
1776116627270,1506812620313424,8.865729,-0.20111294,-4.189853,0.004276057,0.02076942,-0.0018325958,TONIC,b19ce51cedf7
1776116627278,1506812628306668,8.848969,-0.18435353,-4.173094,0.0067195175,0.020158553,-0.002443461,TONIC,b19ce51cedf7
1776116627286,1506812636302449,8.853758,-0.19632454,-4.1922474,0.005497787,0.017715093,-0.0018325958,TONIC,b19ce51cedf7
1776116627294,1506812644297770,8.8777,-0.19871874,-4.1826706,0.0067195175,0.015271631,6.1086525E-4,TONIC,b19ce51cedf7
1776116627302,1506812652324321,8.884883,-0.20350714,-4.201824,0.007941248,0.014660766,0.0,TONIC,b19ce51cedf7
1776116627310,1506812660320949,8.911219,-0.19632454,-4.1922474,0.0061086523,0.01160644,-6.1086525E-4,TONIC,b19ce51cedf7
1776116627318,1506812668315115,8.884883,-0.21308395,-4.175488,0.007330383,0.012217305,-6.1086525E-4,TONIC,b19ce51cedf7
1776116627326,1506812676311051,8.899248,-0.21308395,-4.197036,0.005497787,0.010995574,-0.0018325958,TONIC,b19ce51cedf7
1776116627334,1506812684306140,8.8777,-0.22026655,-4.177882,0.0067195175,0.005497787,-0.0012217305,TONIC,b19ce51cedf7
1776116627342,1506812692303076,8.896853,-0.21787235,-4.173094,0.005497787,0.0061086523,0.0,TONIC,b19ce51cedf7
1776116627350,1506812700330165,8.89446,-0.22026655,-4.1922474,0.0061086523,0.0036651916,-6.1086525E-4,TONIC,b19ce51cedf7
1776116627358,1506812708324947,8.89446,-0.25378537,-4.185065,0.005497787,0.0018325958,6.1086525E-4,TONIC,b19ce51cedf7
1776116627366,1506812716319499,8.889671,-0.24420857,-4.197036,0.005497787,6.1086525E-4,-6.1086525E-4,TONIC,b19ce51cedf7
1776116627374,1506812724316434,8.916007,-0.23942018,-4.185065,0.0036651916,0.0,-0.0012217305,TONIC,b19ce51cedf7
