epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776114713059,1250622511777,1.6208745,1.055843,9.588778,-0.0012217305,0.0,0.0,FALLS,bbbf8741d1ff
1776114713104,1250642714414,1.4293385,0.5793968,9.543288,0.008552114,0.11484267,-0.13927728,FALLS,bbbf8741d1ff
1776114713106,1250662917051,1.3024458,0.5793968,9.588778,-0.112399206,0.28710666,-0.04886922,FALLS,bbbf8741d1ff
1776114713117,1250683119688,1.2306197,0.78769237,9.543288,-0.010995574,0.095294975,-0.081855945,FALLS,bbbf8741d1ff
1776114713157,1250703322324,1.1971009,0.9911995,9.481039,0.04153884,0.02443461,-0.035430185,FALLS,bbbf8741d1ff
1776114713159,1250723524961,1.2042835,1.0127473,9.433155,0.02076942,-0.013439035,0.008552114,FALLS,bbbf8741d1ff
1776114713204,1250743727598,1.3311762,0.7230489,9.442732,-0.004886922,-0.04153884,0.04886922,FALLS,bbbf8741d1ff
1776114713206,1250763899717,1.4341269,0.6679823,9.524135,0.0,-0.04520403,0.032986723,FALLS,bbbf8741d1ff
1776114713218,1250784071836,1.436521,0.7062895,9.512163,-0.017104227,-0.018325957,0.008552114,FALLS,bbbf8741d1ff
1776114713271,1250804243955,1.3934253,0.6847417,9.411607,-0.02687807,0.002443461,-0.034208454,FALLS,bbbf8741d1ff
1776114713274,1250824446592,1.2210429,0.7637503,9.394848,-0.029321533,0.0012217305,-0.02076942,FALLS,bbbf8741d1ff
1776114713281,1250844649229,1.316811,0.7254431,9.471462,-0.037873644,-0.028099801,0.002443461,FALLS,bbbf8741d1ff
1776114713304,1250864821348,1.3311762,0.7158663,9.390059,-0.061086524,-0.04642576,0.019547688,FALLS,bbbf8741d1ff
1776114713319,1250885023985,1.2737153,0.7661445,9.279925,-0.07452556,-0.06719518,0.03176499,FALLS,bbbf8741d1ff
1776114713352,1250905226621,1.283292,0.81881696,9.088389,-0.087964594,-0.095294975,0.02687807,FALLS,bbbf8741d1ff
1776114713360,1250925398740,1.2593501,0.842759,8.939949,-0.13683382,-0.13439035,0.04642576,FALLS,bbbf8741d1ff
1776114713385,1250945601377,1.2665327,0.90021986,8.655039,-0.22357668,-0.18448131,0.07086037,FALLS,bbbf8741d1ff
1776114713400,1250965804014,1.5682021,1.0390835,8.159439,-0.29932398,-0.22479841,0.096516706,FALLS,bbbf8741d1ff
1776114713421,1250986006651,2.7365725,0.04070143,6.528988,-0.4007276,-0.3115413,0.21380283,FALLS,bbbf8741d1ff
