# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776116843034,1507028384838944,9.7324295,-0.34237084,-1.6089035,NaN,NaN,NaN,TONIC,eb39f5985490
1776116843043,1507028393570033,9.725247,-0.32800564,-1.5921441,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843051,1507028401564121,9.730036,-0.35434186,-1.6041151,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843059,1507028409558286,9.730036,-0.34715924,-1.5921441,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843067,1507028417555221,9.718064,-0.33279404,-1.5969325,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843075,1507028425550309,9.7324295,-0.33518824,-1.5945383,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843083,1507028433547629,9.713276,-0.33279404,-1.5993267,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843091,1507028441542410,9.713276,-0.31124622,-1.5993267,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843099,1507028449567575,9.730036,-0.32800564,-1.6017209,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843107,1507028457563049,9.727641,-0.33518824,-1.5777789,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843115,1507028465559983,9.7084875,-0.32800564,-1.5849615,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843123,1507028473555687,9.710882,-0.32321724,-1.5753847,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843131,1507028481550160,9.730036,-0.29927522,-1.5729905,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843139,1507028489545556,9.710882,-0.32561144,-1.5945383,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843147,1507028497541567,9.715671,-0.32561144,-1.5921441,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843155,1507028505567041,9.7084875,-0.32800564,-1.6041151,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843163,1507028513562206,9.7084875,-0.32561144,-1.5897499,0.0,0.005497787,-0.0018325958,TONIC,eb39f5985490
1776116843171,1507028521557602,9.701305,-0.31603462,-1.5969325,-0.0012217305,-0.0018325958,0.0018325958,TONIC,eb39f5985490
1776116843179,1507028529555383,9.722853,-0.33518824,-1.6041151,-0.0012217305,-0.0030543262,0.0018325958,TONIC,eb39f5985490
1776116843187,1507028537549010,9.727641,-0.34476504,-1.5945383,-6.1086525E-4,-0.0012217305,0.0036651916,TONIC,eb39f5985490
1776116843195,1507028545548330,9.701305,-0.33758244,-1.5873557,-0.0012217305,-0.0018325958,6.1086525E-4,TONIC,eb39f5985490
1776116843203,1507028553573649,9.706094,-0.33997664,-1.6136919,-0.0012217305,-0.0030543262,0.0012217305,TONIC,eb39f5985490
1776116843211,1507028561566276,9.725247,-0.33039984,-1.6041151,-6.1086525E-4,-0.0036651916,0.0018325958,TONIC,eb39f5985490
1776116843219,1507028569587748,9.698911,-0.32800564,-1.5921441,-6.1086525E-4,-0.0036651916,0.0012217305,TONIC,eb39f5985490
1776116843227,1507028577560376,9.698911,-0.30406362,-1.6041151,0.0,-6.1086525E-4,0.0012217305,TONIC,eb39f5985490
1776116843235,1507028585555233,9.691729,-0.31364042,-1.6065093,6.1086525E-4,-0.0012217305,0.002443461,TONIC,eb39f5985490
1776116843243,1507028593550937,9.715671,-0.30885202,-1.6352397,0.0,6.1086525E-4,0.0012217305,TONIC,eb39f5985490
1776116843251,1507028601546025,9.696517,-0.30166942,-1.6017209,0.0,6.1086525E-4,0.0018325958,TONIC,eb39f5985490
1776116843259,1507028609572114,9.696517,-0.31603462,-1.6136919,0.0,0.0012217305,0.002443461,TONIC,eb39f5985490
1776116843267,1507028617566587,9.696517,-0.31124622,-1.6160861,0.0,0.005497787,0.0030543262,TONIC,eb39f5985490
1776116843275,1507028625565060,9.713276,-0.3184288,-1.5969325,-6.1086525E-4,0.002443461,0.0030543262,TONIC,eb39f5985490
