# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776116707808,1506893159321919,8.865729,-0.2681506,-4.2664676,NaN,NaN,NaN,TONIC,f91fb1effc9e
1776116707817,1506893168035767,8.868123,-0.24420857,-4.247314,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707825,1506893176033924,8.882488,-0.24660277,-4.2544966,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707833,1506893184027157,8.884883,-0.23942018,-4.268862,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707841,1506893192023852,8.868123,-0.22505496,-4.2664676,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707849,1506893200050315,8.860941,-0.23942018,-4.2521024,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707857,1506893208045934,8.851364,-0.25139117,-4.232949,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707865,1506893216042936,8.858546,-0.24899697,-4.2401314,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707873,1506893224037092,8.846576,-0.24420857,-4.2305546,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707881,1506893232031172,8.848969,-0.25378537,-4.2401314,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707889,1506893240028404,8.865729,-0.25139117,-4.2161894,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707897,1506893248054638,8.872911,-0.2633622,-4.2305546,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707905,1506893256050333,8.846576,-0.25617957,-4.2161894,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707913,1506893264044182,8.853758,-0.24420857,-4.2305546,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707921,1506893272039491,8.851364,-0.23942018,-4.223372,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707929,1506893280035186,8.863335,-0.22744916,-4.223372,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707936,1506893287630343,8.839393,-0.24181437,-4.220978,0.0036651916,-0.0061086523,-0.004276057,TONIC,f91fb1effc9e
1776116707945,1506893296029422,8.863335,-0.24660277,-4.2161894,0.002443461,0.008552114,0.0030543262,TONIC,f91fb1effc9e
1776116707953,1506893304054271,8.870518,-0.24660277,-4.211401,0.002443461,0.009162978,0.0036651916,TONIC,f91fb1effc9e
1776116707960,1506893311635888,8.884883,-0.2633622,-4.209007,0.0030543262,0.009773844,0.002443461,TONIC,f91fb1effc9e
1776116707969,1506893320043890,8.870518,-0.272939,-4.197036,0.002443461,0.005497787,6.1086525E-4,TONIC,f91fb1effc9e
1776116707977,1506893328039816,8.884883,-0.260968,-4.189853,0.0030543262,0.004276057,0.0030543262,TONIC,f91fb1effc9e
