# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776114644547,1504829897065281,2.3463178,-9.763555,0.4189853,NaN,NaN,NaN,FALLS,fc5205a8e4fd
1776114644555,1504829905795445,2.360683,-9.749189,0.44532153,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644563,1504829913789223,2.4013844,-9.742006,0.47644615,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644571,1504829921783462,2.4277205,-9.710882,0.50278234,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644579,1504829929779471,2.4277205,-9.703699,0.51475334,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644587,1504829937776711,2.492364,-9.691729,0.5434838,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644595,1504829945771720,2.5354595,-9.6845455,0.51954174,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644603,1504829953797575,2.5378537,-9.701305,0.50757074,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644611,1504829961793660,2.5737667,-9.701305,0.5243302,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644619,1504829969788669,2.552219,-9.725247,0.50038815,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644627,1504829977783216,2.4947581,-9.727641,0.47884035,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644635,1504829985781918,2.4349031,-9.794679,0.4405331,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644643,1504829993777618,2.3535004,-9.828198,0.4165911,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644651,1504830001771858,2.303222,-9.89763,0.38307226,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644659,1504830009796174,2.231396,-9.909601,0.33518824,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
1776114644667,1504830017791876,2.1619642,-9.950302,0.3184288,0.0030543262,0.05009095,-0.02565634,FALLS,fc5205a8e4fd
