# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775842461819,950687190898489,8.846576,-1.5394717,-4.027047,NaN,NaN,NaN,TONIC,00ea34ac34c8
1775842461827,950687198986438,8.844181,-1.5442601,-4.0294414,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461835,950687206980926,8.870518,-1.5346833,-4.0198646,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461843,950687214976952,8.851364,-1.5442601,-4.0342298,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461851,950687222971824,8.851364,-1.541866,-4.0222588,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461859,950687230967543,8.844181,-1.5394717,-4.0174704,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461867,950687238962645,8.851364,-1.5442601,-4.0342298,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461875,950687246988210,8.834604,-1.5442601,-4.0557775,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461883,950687254985774,8.832211,-1.5275006,-4.0533834,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461891,950687262981185,8.832211,-1.5442601,-4.060566,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461899,950687270977442,8.820239,-1.5394717,-4.060566,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461907,950687278972622,8.851364,-1.5394717,-4.048595,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461915,950687286968340,8.839393,-1.5490485,-4.06296,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461923,950687294963366,8.832211,-1.5466543,-4.0533834,-0.0030543262,-0.01160644,0.002443461,TONIC,00ea34ac34c8
1775842461931,950687302959084,8.846576,-1.5490485,-4.0773253,-0.0067195175,-0.03176499,0.004276057,TONIC,00ea34ac34c8
1775842461939,950687310985264,8.836999,-1.5346833,-4.074931,-0.0061086523,-0.03481932,0.0030543262,TONIC,00ea34ac34c8
1775842461947,950687318978906,8.813056,-1.5275006,-4.0821137,-0.007330383,-0.035430185,0.0030543262,TONIC,00ea34ac34c8
1775842461955,950687326976701,8.815451,-1.553837,-4.084508,-0.007330383,-0.03481932,0.004886922,TONIC,00ea34ac34c8
1775842461963,950687334972419,8.798691,-1.532289,-4.0653543,-0.0067195175,-0.035430185,0.0018325958,TONIC,00ea34ac34c8
1775842461971,950687342967522,8.796297,-1.532289,-4.074931,-0.0067195175,-0.035430185,0.0030543262,TONIC,00ea34ac34c8
1775842461979,950687350962702,8.796297,-1.5514427,-4.1036615,-0.004886922,-0.034208454,6.1086525E-4,TONIC,00ea34ac34c8
1775842461987,950687358988190,8.789114,-1.5442601,-4.1036615,-0.007330383,-0.034208454,0.0018325958,TONIC,00ea34ac34c8
1775842461995,950687366985216,8.781932,-1.5370775,-4.110844,-0.0061086523,-0.031154128,0.0012217305,TONIC,00ea34ac34c8
1775842462003,950687374980857,8.801085,-1.5586253,-4.1276035,-0.005497787,-0.02687807,0.0012217305,TONIC,00ea34ac34c8
1775842462011,950687382976345,8.7771435,-1.5729905,-4.201824,-0.004886922,-0.021380283,0.0,TONIC,00ea34ac34c8
1775842462019,950687390970140,8.774749,-1.553837,-4.268862,-0.0061086523,-0.01160644,-0.002443461,TONIC,00ea34ac34c8
1775842462027,950687398967474,8.731653,-1.553837,-4.2784386,-0.013439035,0.0036651916,-0.0018325958,TONIC,00ea34ac34c8
1775842462035,950687406963115,8.614338,-1.5346833,-4.2664676,-0.018936822,0.028099801,-0.0012217305,TONIC,00ea34ac34c8
1775842462043,950687414988064,8.583213,-1.5011644,-4.185065,-0.021991149,0.049480084,0.007330383,TONIC,00ea34ac34c8
1775842462051,950687422985321,8.722076,-1.5442601,-4.0078936,-0.028099801,0.06169739,0.02076942,TONIC,00ea34ac34c8
1775842462059,950687430981116,8.882488,-1.5586253,-3.7684734,-0.023823744,0.045814894,0.021991149,TONIC,00ea34ac34c8
1775842462067,950687438977450,9.090784,-1.5777789,-3.5865142,-0.010995574,0.015882496,0.017104227,TONIC,00ea34ac34c8
1775842462075,950687446972784,9.215282,-1.6256629,-3.6631286,0.004886922,-0.018936822,0.0018325958,TONIC,00ea34ac34c8
1775842462083,950687454967579,9.186552,-1.6591818,-3.9480386,0.028710667,-0.057421334,-0.026267206,TONIC,00ea34ac34c8
1775842462091,950687462962988,9.0237465,-1.5945383,-4.237737,0.03359759,-0.069027774,-0.040317107,TONIC,00ea34ac34c8
1775842462099,950687470990092,8.76996,-1.4437037,-4.405331,0.02687807,-0.058643065,-0.0421497,TONIC,00ea34ac34c8
1775842462107,950687478984656,8.59279,-1.3718776,-4.381389,0.007941248,-0.040927973,-0.029321533,TONIC,00ea34ac34c8
1775842462115,950687486979759,8.540117,-1.3623008,-4.3119574,-0.008552114,-0.02076942,-0.009162978,TONIC,00ea34ac34c8
1775842462123,950687494975400,8.645462,-1.4173675,-4.261679,-0.016493361,-0.010995574,0.015271631,TONIC,00ea34ac34c8
1775842462131,950687502971118,8.839393,-1.4748282,-4.2281604,-0.017104227,-0.004886922,0.02076942,TONIC,00ea34ac34c8
1775842462139,950687510967529,8.89446,-1.5131354,-4.1946416,-0.014049901,0.008552114,0.017104227,TONIC,00ea34ac34c8
1775842462147,950687518962632,8.911219,-1.5155296,-4.1276035,-0.005497787,0.025045475,0.01160644,TONIC,00ea34ac34c8
1775842462155,950687526990043,8.858546,-1.5059528,-4.0653543,-0.0036651916,0.04520403,0.0061086523,TONIC,00ea34ac34c8
1775842462163,950687534984761,8.791509,-1.520318,-3.9552212,-0.0061086523,0.054367006,0.0067195175,TONIC,00ea34ac34c8
1775842462171,950687542980787,8.793902,-1.541866,-3.9001546,-0.009162978,0.05009095,0.014049901,TONIC,00ea34ac34c8
1775842462179,950687550975967,8.825027,-1.5825673,-3.8522706,-0.010995574,0.032986723,0.018325957,TONIC,00ea34ac34c8
1775842462187,950687558970454,8.8777,-1.5897499,-3.8905778,-0.010995574,0.002443461,0.018325957,TONIC,00ea34ac34c8
1775842462195,950687566968019,8.916007,-1.6065093,-3.9432502,-0.004276057,-0.037873644,0.015271631,TONIC,00ea34ac34c8
1775842462203,950687574963122,8.9040365,-1.5610195,-4.050989,0.0036651916,-0.05497787,0.012217305,TONIC,00ea34ac34c8
1775842462211,950687582988917,8.868123,-1.5155296,-4.1299977,0.008552114,-0.062308256,0.005497787,TONIC,00ea34ac34c8
1775842462219,950687590985020,8.810662,-1.5131354,-4.156334,0.012217305,-0.0580322,-0.0012217305,TONIC,00ea34ac34c8
1775842462227,950687598980046,8.772355,-1.5179238,-4.175488,0.01038471,-0.042760566,-0.0018325958,TONIC,00ea34ac34c8
1775842462235,950687606975764,8.724471,-1.5251064,-4.1706996,0.007941248,-0.030543262,-0.0018325958,TONIC,00ea34ac34c8
1775842462243,950687614971252,8.695741,-1.5442601,-4.156334,0.005497787,-0.021380283,6.1086525E-4,TONIC,00ea34ac34c8
1775842462251,950687622967201,8.698134,-1.5394717,-4.156334,0.0012217305,-0.014049901,0.0061086523,TONIC,00ea34ac34c8
1775842462259,950687630960842,8.700529,-1.5634137,-4.1946416,-0.002443461,-0.01160644,0.009773844,TONIC,00ea34ac34c8
1775842462267,950687638988792,8.74123,-1.5993267,-4.177882,-0.007941248,-0.008552114,0.012217305,TONIC,00ea34ac34c8
1775842462275,950687646983587,8.767567,-1.6089035,-4.1922474,-0.009773844,-0.0036651916,0.01160644,TONIC,00ea34ac34c8
1775842462283,950687654980228,8.808268,-1.6280571,-4.1635165,-0.009773844,0.0036651916,0.010995574,TONIC,00ea34ac34c8
1775842462291,950687662976254,8.829816,-1.6328455,-4.1395745,-0.009162978,0.012217305,0.007941248,TONIC,00ea34ac34c8
1775842462299,950687670971973,8.848969,-1.5969325,-4.110844,-0.007941248,0.021380283,0.002443461,TONIC,00ea34ac34c8
1775842462307,950687678967999,8.848969,-1.6017209,-4.086902,-0.007941248,0.02321288,-0.002443461,TONIC,00ea34ac34c8
1775842462315,950687686993871,8.851364,-1.5753847,-4.0773253,-0.0067195175,0.02687807,-0.0061086523,TONIC,00ea34ac34c8
1775842462323,950687694988358,8.853758,-1.5705963,-4.0438066,-0.005497787,0.025045475,-0.007941248,TONIC,00ea34ac34c8
1775842462331,950687702985000,8.856153,-1.5346833,-4.039018,-0.0018325958,0.017715093,-0.007941248,TONIC,00ea34ac34c8
1775842462339,950687710980180,8.848969,-1.5394717,-4.0677485,0.0012217305,0.009162978,-0.008552114,TONIC,00ea34ac34c8
1775842462347,950687718974667,8.834604,-1.5179238,-4.072537,0.0036651916,0.0018325958,-0.008552114,TONIC,00ea34ac34c8
1775842462355,950687726972770,8.820239,-1.520318,-4.0701427,0.0036651916,-0.002443461,-0.009162978,TONIC,00ea34ac34c8
