epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776054563535,307574696140371,3.6631286,-3.359065,8.480263,-0.008552114,-0.019547688,0.028099801,JERKING,1089e73e7259
1776054563564,307574716190420,3.6343982,-3.3039982,8.492233,0.42149702,0.052534413,-0.0012217305,JERKING,1089e73e7259
1776054563575,307574736270987,3.7229836,-3.311181,8.499416,-0.5497787,-0.02443461,-0.013439035,JERKING,1089e73e7259
1776054563596,307574756290518,3.7565024,-3.3063924,8.559271,-0.010995574,0.0012217305,0.0061086523,JERKING,1089e73e7259
1776054563635,307574776310049,3.6750996,-3.1675289,8.506598,0.02565634,0.009773844,0.0012217305,JERKING,1089e73e7259
1776054563639,307574796360098,3.7660792,-3.1483753,8.465898,0.013439035,-0.014660766,0.0061086523,JERKING,1089e73e7259
1776054563659,307574816440664,3.7181952,-3.3494883,8.456321,0.009773844,-0.0012217305,0.0036651916,JERKING,1089e73e7259
1776054563678,307574836490713,3.6894648,-3.3327289,8.439561,0.018325957,0.0,0.007330383,JERKING,1089e73e7259
1776054563697,307574856571280,3.7134068,-3.3446999,8.523358,0.012217305,-0.002443461,0.015882496,JERKING,1089e73e7259
1776054563727,307574876651846,3.691859,-3.311181,8.470686,0.0036651916,0.009773844,0.02076942,JERKING,1089e73e7259
1776054563736,307574896701895,3.6990416,-3.277662,8.446744,-0.017104227,0.015882496,0.02076942,JERKING,1089e73e7259
1776054563758,307574916782461,3.655946,-3.4021606,8.418014,-0.032986723,0.017104227,0.008552114,JERKING,1089e73e7259
1776054563777,307574936832510,3.7134068,-3.2082303,8.418014,-0.052534413,0.018325957,-0.0036651916,JERKING,1089e73e7259
1776054563797,307574956852041,3.7708676,-3.301604,8.4826565,-0.08307768,0.03176499,-0.010995574,JERKING,1089e73e7259
1776054563825,307574976932608,3.940856,-3.0573955,8.508993,-0.096516706,0.06352998,-0.008552114,JERKING,1089e73e7259
1776054563841,307574997013174,3.9863458,-2.8203697,8.47308,-0.19181168,0.1600467,-0.019547688,JERKING,1089e73e7259
1776054563858,307575017063223,3.9145198,-3.13401,8.231265,-0.36774087,0.2773328,-0.019547688,JERKING,1089e73e7259
1776054563877,307575037143789,3.8618474,-3.265691,8.121132,-0.47158796,0.36651915,-0.014660766,JERKING,1089e73e7259
1776054563895,307575057193838,3.7469256,-3.4404678,8.252813,-0.51923543,0.41905355,0.009773844,JERKING,1089e73e7259
1776054563934,307575077243887,3.5362358,-3.5434184,8.525752,-0.52656585,0.46303585,0.030543262,JERKING,1089e73e7259
1776054563947,307575097293936,3.347094,-3.5865142,8.678981,-0.5497787,0.48991394,0.040317107,JERKING,1089e73e7259
1776054563958,307575117313467,3.1842883,-3.5745432,8.585608,-0.63529986,0.50701815,0.017104227,JERKING,1089e73e7259
1776054563977,307575137363516,2.9759927,-3.6224272,8.523358,-0.7611381,0.5143485,-0.0061086523,JERKING,1089e73e7259
1776054563997,307575157413565,2.777274,-3.9121256,8.4587145,-0.8918633,0.49846604,-0.04886922,JERKING,1089e73e7259
1776054564025,307575177433096,2.791639,-4.177882,8.298303,-1.0250319,0.47403142,-0.09040806,JERKING,1089e73e7259
1776054564041,307575197513662,2.8562827,-4.6830587,8.212111,-1.1301007,0.44593164,-0.12705997,JERKING,1089e73e7259
1776054564058,307575217563711,2.8323407,-4.9799395,8.070854,-1.17897,0.41905355,-0.15393804,JERKING,1089e73e7259
1776054564077,307575237613760,2.8179753,-5.073313,8.030152,-1.1716396,0.41050145,-0.16737708,JERKING,1089e73e7259
1776054564097,307575257663809,2.801216,-5.3558292,7.9750857,-1.1582005,0.41050145,-0.16982053,JERKING,1089e73e7259
1776054564130,307575277713858,2.8514943,-5.506664,7.872135,-1.1117748,0.40683624,-0.1600467,JERKING,1089e73e7259
1776054564138,307575297794424,2.6982653,-5.499481,7.819463,-1.0726794,0.4092797,-0.14294247,JERKING,1089e73e7259
1776054564163,307575317844473,2.6479871,-5.592855,7.836222,-1.0555751,0.40683624,-0.103847094,JERKING,1089e73e7259
1776054564179,307575337864004,2.4732103,-5.7963624,7.656657,-1.1508701,0.34697145,-0.111177474,JERKING,1089e73e7259
1776054564198,307575357914053,2.3630772,-5.896919,7.3645644,-1.2302825,0.267559,-0.07819075,JERKING,1089e73e7259
1776054564228,307575377964102,2.2457612,-6.375759,7.273585,-1.2144,0.2284636,-0.08552113,JERKING,1089e73e7259
1776054564238,307575398014151,2.5019407,-6.907272,7.7787614,-1.0409144,0.21868975,-0.059864793,JERKING,1089e73e7259
1776054564260,307575418094717,2.2720973,-7.103596,7.16824,-0.95539325,0.042760566,-0.16126843,JERKING,1089e73e7259
1776054564281,307575438144766,2.4037786,-7.1227503,7.0700774,-0.7696902,0.029321533,-0.118507855,JERKING,1089e73e7259
1776054564297,307575458225332,2.5091233,-7.1730285,6.897695,-0.7330383,-0.22724187,-0.25289822,JERKING,1089e73e7259
1776054564325,307575478275381,2.2744915,-7.457938,6.873753,-0.51923543,-0.039095376,-0.09896017,JERKING,1089e73e7259
1776054564342,307575498325430,2.4037786,-6.967127,6.4906807,-0.2761111,-0.19303341,-0.17104226,JERKING,1089e73e7259
1776054564362,307575518344961,2.4396915,-7.419631,6.655881,-0.1441642,-0.19425514,-0.1881465,JERKING,1089e73e7259
1776054564379,307575538364493,2.516306,-7.098808,6.739678,0.09162979,-0.22235495,-0.21380283,JERKING,1089e73e7259
1776054564399,307575558414541,2.942474,-6.7708025,6.8162923,0.19914207,-0.30787608,-0.25411993,JERKING,1089e73e7259
1776054564429,307575578495108,3.311181,-6.7971387,6.967127,0.20280726,-0.2919936,-0.28099802,JERKING,1089e73e7259
1776054564437,307575598575674,3.5338416,-6.4523735,6.847417,0.06841691,-0.43982297,-0.37507126,JERKING,1089e73e7259
1776054564461,307575618595205,3.4452562,-6.4667387,7.1873937,-0.035430185,-0.2687807,-0.3567453,JERKING,1089e73e7259
1776054564479,307575638706289,3.4979286,-6.7468605,7.563283,-0.08552113,-0.30176744,-0.3652974,JERKING,1089e73e7259
1776054564512,307575658756338,3.9959226,-7.204153,7.6614456,-0.08674286,-0.37507126,-0.35796702,JERKING,1089e73e7259
1776054564520,307575678806387,4.6926355,-7.326257,7.4746976,0.06719518,-0.43860126,-0.31520647,JERKING,1089e73e7259
1776054564547,307575698856436,5.961562,-8.863335,6.727707,0.27855456,-0.5510005,-0.081855945,JERKING,1089e73e7259
1776054564558,307575718906485,7.338228,-9.248801,6.6175733,0.3640757,-0.32620203,0.28099802,JERKING,1089e73e7259
1776054564585,307575738956534,5.9448028,-7.314286,7.7093296,0.5131268,0.25167647,0.5216789,JERKING,1089e73e7259
1776054564599,307575759067618,4.223372,-6.2967505,8.504205,0.096516706,0.64873886,0.67073005,JERKING,1089e73e7259
1776054564635,307575779117666,2.8275523,-6.0381765,8.027759,0.17592919,0.9896017,0.52656585,JERKING,1089e73e7259
1776054564639,307575799167715,1.958457,-4.9464207,7.369353,0.7623598,1.1594223,0.29932398,JERKING,1089e73e7259
1776054564660,307575819217764,1.2761095,-3.4691982,7.0245876,1.0201449,1.2534955,0.07086037,JERKING,1089e73e7259
1776054564679,307575839237295,0.7182605,-2.0207062,6.967127,0.72326446,1.3060299,-0.29565877,JERKING,1089e73e7259
1776054564703,307575859317862,0.19632454,-1.340753,6.825869,0.2761111,1.319469,-0.68539083,JERKING,1089e73e7259
1776054564725,307575879398428,-0.3184288,-0.89303726,6.0740895,0.11362094,1.3048081,-1.1545353,JERKING,1089e73e7259
1776054564744,307575899417959,-0.81402856,-0.4261679,6.0764837,0.23701571,1.2119566,-1.6847663,JERKING,1089e73e7259
1776054564759,307575919498526,-0.39743748,-0.18195933,6.0357823,0.040317107,0.906524,-2.1343632,JERKING,1089e73e7259
1776054564779,307575939548575,0.19632454,0.093373865,5.705383,-0.21013765,0.548557,-2.660929,JERKING,1089e73e7259
1776054564805,307575959629141,0.61770403,0.20590134,5.2600613,-0.22968534,0.24923302,-3.2314773,JERKING,1089e73e7259
1776054564825,307575979709707,0.533907,1.4939818,3.821146,0.0,-0.07696902,-3.8679988,JERKING,1089e73e7259
1776054564842,307575999759756,-0.59136784,3.8618474,2.1404164,0.6389651,-0.516792,-4.7720795,JERKING,1089e73e7259
1776054564859,307576019840323,-0.48123455,4.5154643,1.8076223,0.93462384,-1.3768903,-5.856976,JERKING,1089e73e7259
1776054564879,307576039920889,4.6902413,1.5705963,5.8705826,0.44104472,-3.31822,-7.1605625,JERKING,1089e73e7259
1776054564912,307576060001455,18.784906,0.82360536,7.6734166,-1.0873401,-6.104987,-8.300437,JERKING,1089e73e7259
1776054564920,307576080082022,52.294155,-3.4739866,0.11252748,0.5363397,-6.4495153,-9.600358,JERKING,1089e73e7259
1776054564946,307576100132071,41.13957,-22.989124,3.940856,0.59864795,-2.2821925,-6.817256,JERKING,1089e73e7259
1776054564959,307576120182119,-3.2489316,-12.20564,3.2225955,-10.284527,5.2876496,-0.56321776,JERKING,1089e73e7259
1776054564981,307576140262686,-12.703634,-23.041798,12.473791,-6.696305,2.71102,3.935194,JERKING,1089e73e7259
1776054565023,307576160312735,13.500903,-8.690952,7.026982,1.563815,-3.8521163,3.4367278,JERKING,1089e73e7259
1776054565026,307576180362784,17.559074,-2.1045034,2.0973208,7.379252,-2.5045476,2.3408356,JERKING,1089e73e7259
1776054565045,307576200412832,15.294161,3.0119057,2.7126305,6.6254444,-0.4288274,2.679255,JERKING,1089e73e7259
1776054565061,307576220462881,9.765948,3.8043866,5.710171,3.1251867,1.4648548,2.4642303,JERKING,1089e73e7259
1776054565080,307576240512930,4.4795513,1.091756,7.702147,0.37873647,2.307849,2.2235496,JERKING,1089e73e7259
1776054565108,307576260562979,3.0238767,-0.39983168,7.788338,-1.0861185,1.396438,1.9034561,JERKING,1089e73e7259
1776054565126,307576280582510,5.243302,-0.6991069,7.405266,-2.048842,0.5363397,1.6383406,JERKING,1089e73e7259
1776054565139,307576300602041,7.6015906,-2.372654,7.249643,-2.6279423,0.25411993,1.5332718,JERKING,1089e73e7259
1776054565161,307576320682608,8.051701,-4.43885,7.1490865,-2.189341,0.6401868,1.4220943,JERKING,1089e73e7259
1776054565180,307576340702139,6.8545995,-5.0278234,6.991069,-0.91629785,0.8539896,1.4905112,JERKING,1089e73e7259
1776054565212,307576360782705,5.81791,-3.7684734,6.5265937,-0.105068825,0.7819075,1.5845845,JERKING,1089e73e7259
1776054565222,307576380832754,5.6239796,-3.3255463,6.5265937,-0.06352998,0.7538077,1.5833627,JERKING,1089e73e7259
1776054565246,307576400913321,5.410896,-2.7246015,6.7013707,-0.3567453,0.70738196,1.4440855,JERKING,1089e73e7259
1776054565261,307576420993887,4.7620673,-2.707842,6.8569937,-0.59498274,0.6792821,1.1899655,JERKING,1089e73e7259
1776054565283,307576441043936,3.8546648,-2.80361,6.777985,-0.5839872,0.6243043,0.90285885,JERKING,1089e73e7259
1776054565317,307576461063467,2.956839,-2.9759927,6.5265937,-0.38362336,0.5448918,0.5815437,JERKING,1089e73e7259
1776054565321,307576481113516,2.0566192,-3.0310593,6.2991447,-0.16249016,0.40561453,0.24923302,JERKING,1089e73e7259
1776054565346,307576501194082,1.3742718,-2.6144683,5.923255,-0.06841691,0.22479841,-0.095294975,JERKING,1089e73e7259
1776054565363,307576521274649,0.61291564,-0.12689269,3.739743,0.15027285,0.04153884,-0.68294734,JERKING,1089e73e7259
1776054565388,307576541324698,-1.1444284,4.3957543,0.866701,0.77457714,-0.039095376,-1.7079792,JERKING,1089e73e7259
1776054565409,307576561374746,-4.247314,8.573636,0.90500826,1.6737708,-0.548557,-3.2986724,JERKING,1089e73e7259
1776054565431,307576581424795,-0.91458505,6.9048777,6.471527,1.5931365,-2.4007003,-5.4648004,JERKING,1089e73e7259
1776054565446,307576601505362,12.952631,1.3072342,11.374852,0.3323107,-5.8215456,-7.5991635,JERKING,1089e73e7259
1776054565462,307576621524893,41.55616,0.4357447,-3.1866825,-0.9798279,-6.952868,-8.68406,JERKING,1089e73e7259
1776054565482,307576641635977,40.806774,-24.66746,-2.15957,0.47769663,-1.9083431,-5.5649824,JERKING,1089e73e7259
1776054565509,307576661716543,-3.5769374,-10.884041,8.209718,-8.346863,5.379279,0.42394048,JERKING,1089e73e7259
1776054565531,307576681766592,-10.9103775,-18.971655,11.810597,-5.119051,2.4153612,4.2100835,JERKING,1089e73e7259
1776054565542,307576701816641,11.18571,-4.4077253,4.232949,3.1410692,-3.7067304,2.140472,JERKING,1089e73e7259
1776054565561,307576721897207,20.496761,0.093373865,0.01436521,6.7635,-3.0469959,2.0647244,JERKING,1089e73e7259
1776054565581,307576742008291,19.63006,3.301604,1.661576,4.288274,-0.67073005,2.8026497,JERKING,1089e73e7259
1776054565613,307576762088858,11.745954,-0.2825158,5.415684,0.69027776,1.8044959,3.0641,JERKING,1089e73e7259
1776054565621,307576782138907,6.2632318,-3.8235402,6.8330517,-1.0054842,2.157576,3.0457742,JERKING,1089e73e7259
1776054565647,307576802188955,4.9775453,-4.3742065,6.2871737,-0.9578367,1.0861185,2.8893926,JERKING,1089e73e7259
1776054565662,307576822239004,6.5577183,-2.980781,6.244078,-0.43371433,0.35063666,2.8050933,JERKING,1089e73e7259
1776054565683,307576842289053,7.1945763,-1.8339585,5.707777,-0.29443705,0.37384954,2.4043655,JERKING,1089e73e7259
1776054565715,307576862400137,5.0517654,-0.24899697,4.3742065,-0.33108896,0.9651671,1.8032742,JERKING,1089e73e7259
1776054565726,307576882450186,0.31124622,6.8522053,-2.2122424,0.5839872,1.5149459,0.7305948,JERKING,1089e73e7259
1776054565746,307576902530752,-14.343662,14.961367,-1.5298948,2.9614747,2.2382102,-1.8875736,JERKING,1089e73e7259
1776054565762,307576922611319,-6.7229185,6.279991,11.326968,1.3329079,-1.3377949,-4.138001,JERKING,1089e73e7259
1776054565803,307576942661368,10.931925,2.896984,7.881712,-1.2046263,-6.66454,-6.957755,JERKING,1089e73e7259
1776054565805,307576962741934,23.467964,12.138602,-9.169792,-4.1245623,-6.0671134,-7.68102,JERKING,1089e73e7259
1776054565826,307576982791983,64.31544,-29.508535,0.842759,-1.6872098,-4.4764204,-7.442782,JERKING,1089e73e7259
1776054565843,307577002872549,8.50181,-9.390059,4.9679685,-5.468466,6.051231,-0.3200934,JERKING,1089e73e7259
1776054565862,307577022922598,-11.96622,-15.069105,11.018116,-4.0036106,2.5118778,2.0818288,JERKING,1089e73e7259
1776054565887,307577043003164,3.0502129,-8.719683,4.661511,-0.21991149,-1.4489723,4.188092,JERKING,1089e73e7259
1776054565914,307577063022696,19.170374,-6.8091097,2.56419,4.6865582,-2.941927,3.3072245,JERKING,1089e73e7259
1776054565924,307577083103262,21.279665,-0.39025488,2.6623523,5.3658404,-0.93584555,3.7555995,JERKING,1089e73e7259
1776054565948,307577103153311,15.861587,2.906561,4.84347,2.83808,0.7806858,3.3023374,JERKING,1089e73e7259
1776054565962,307577123233877,8.341399,-1.30484,6.423643,-0.829555,2.6743681,3.2876768,JERKING,1089e73e7259
1776054565984,307577143283926,4.333505,-5.092467,6.8186865,-2.8893926,2.371379,3.005457,JERKING,1089e73e7259
1776054566013,307577163364493,4.453215,-7.503428,6.9048777,-2.7183504,1.2400564,3.073874,JERKING,1089e73e7259
1776054566023,307577183445059,6.349423,-6.612785,6.0836663,-1.1386528,0.5510005,3.0286698,JERKING,1089e73e7259
1776054566047,307577203495108,6.0597243,-4.2544966,5.3701944,0.20647246,0.7464773,2.7501154,JERKING,1089e73e7259
1776054566065,307577223545157,3.8067808,-2.9257145,5.130774,0.63407815,1.2412782,2.3115141,JERKING,1089e73e7259
1776054566088,307577243595205,1.3383588,-0.24181437,3.6942532,0.66706485,1.473407,1.7531832,JERKING,1089e73e7259
