# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776053764649,1161990020915408,8.307879,1.5873557,-5.070919,NaN,NaN,NaN,TONIC,13f1bbb21224
1776053764658,1161990029003379,8.3390045,1.5634137,-5.073313,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764665,1161990036997659,8.358158,1.5969325,-5.097255,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764673,1161990044994630,8.358158,1.6184803,-5.1116204,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764681,1161990052989678,8.348581,1.6352397,-5.116409,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764689,1161990060984880,8.317456,1.6519991,-5.118803,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764698,1161990069012006,8.283937,1.6160861,-5.1475334,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764706,1161990077006515,8.252813,1.5993267,-5.145139,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764713,1161990084511483,8.24563,1.5705963,-5.142745,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764721,1161990092999765,8.212111,1.5514427,-5.1235914,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764729,1161990100994275,8.200141,1.5155296,-5.1259856,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764737,1161990108988785,8.1881695,1.4796166,-5.116409,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764745,1161990116986679,8.171411,1.4532804,-5.1523223,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764753,1161990124980881,8.1881695,1.4197617,-5.159505,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764761,1161990132525927,8.192958,1.4030021,-5.1882353,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764770,1161990141002517,8.190564,1.3814543,-5.209783,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764777,1161990148998257,8.183381,1.4030021,-5.231331,-0.002443461,-0.002443461,0.005497787,TONIC,13f1bbb21224
1776053764785,1161990156993459,8.1881695,1.4173675,-5.2121773,-0.002443461,-0.028710667,-0.008552114,TONIC,13f1bbb21224
1776053764793,1161990164988584,8.183381,1.3862427,-5.2265425,6.1086525E-4,-0.029321533,-0.004886922,TONIC,13f1bbb21224
1776053764801,1161990172984633,8.207323,1.4101849,-5.2409077,-6.1086525E-4,-0.027488936,-0.0036651916,TONIC,13f1bbb21224
