epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775842193754,95204915353094,2.9831753,0.45729253,9.172187,-0.002443461,-0.02321288,0.028099801,JERKING,1cc1cb06d8db
1775842193773,95204935372626,3.1028855,0.007182605,9.200917,0.4202753,0.07941248,-0.032986723,JERKING,1cc1cb06d8db
1775842193799,95204955392157,3.2225955,-0.04309563,9.3182335,-0.61941737,-0.028099801,-0.029321533,JERKING,1cc1cb06d8db
1775842193827,95204975472723,3.2848446,0.079008654,9.315839,-0.04520403,0.0012217305,-0.037873644,JERKING,1cc1cb06d8db
1775842193838,95204995492255,3.301604,0.045489833,9.25359,-0.040317107,0.0012217305,-0.040317107,JERKING,1cc1cb06d8db
1775842193855,95205015511786,3.3734303,-0.06943185,9.081207,-0.09162979,-0.002443461,-0.056199603,JERKING,1cc1cb06d8db
1775842193874,95205035531317,3.311181,-0.038307227,9.088389,-0.05131268,-0.0036651916,-0.065973446,JERKING,1cc1cb06d8db
1775842193894,95205055581366,3.2800562,-0.011971008,9.131485,-0.015882496,-0.004886922,-0.06963864,JERKING,1cc1cb06d8db
1775842193922,95205075600897,3.4141316,-0.045489833,9.107543,-0.018325957,-0.015882496,-0.08674286,JERKING,1cc1cb06d8db
1775842193938,95205095650946,3.3925838,-0.30885202,9.090784,-0.04153884,-0.015882496,-0.087964594,JERKING,1cc1cb06d8db
1775842193955,95205115670477,3.1435869,-0.61530983,9.076419,-0.004886922,-0.014660766,-0.06352998,JERKING,1cc1cb06d8db
1775842193974,95205135690009,2.89459,-0.4165911,9.131485,0.029321533,-0.035430185,-0.037873644,JERKING,1cc1cb06d8db
1775842193995,95205155740057,3.2561142,-0.08379706,9.212888,-0.03176499,-0.087964594,-0.02565634,JERKING,1cc1cb06d8db
1775842194022,95205175790106,3.6343982,0.12928689,9.344569,-0.09773844,-0.10262536,-0.02687807,JERKING,1cc1cb06d8db
1775842194038,95205195840155,3.8857894,0.2825158,9.569624,-0.089186326,-0.07574729,-0.047647487,JERKING,1cc1cb06d8db
1775842194055,95205215890204,4.369418,0.4165911,9.885659,-0.010995574,-0.019547688,-0.10751228,JERKING,1cc1cb06d8db
1775842194076,95205235940253,5.2002063,2.0015526,9.672575,-0.2003638,-0.032986723,-0.1600467,JERKING,1cc1cb06d8db
1775842194096,95205255990301,4.939238,0.6440403,8.652645,-0.7171558,0.17959438,-0.20891592,JERKING,1cc1cb06d8db
1775842194121,95205276009833,5.451597,0.038307227,9.315839,-0.9224065,0.21868975,-0.44715336,JERKING,1cc1cb06d8db
1775842194146,95205296059882,5.530606,0.48123455,9.653421,-0.6450737,0.27855456,-0.4092797,JERKING,1cc1cb06d8db
1775842194156,95205316109930,4.9799395,1.1971009,8.801085,-0.5925393,0.3567453,-0.74036866,JERKING,1cc1cb06d8db
1775842194178,95205336159979,4.381389,0.6703765,8.295909,-0.77824235,0.3408628,-0.8491027,JERKING,1cc1cb06d8db
1775842194197,95205356179510,3.7565024,1.2497733,8.700529,-0.73792523,0.2565634,-1.1166617,JERKING,1cc1cb06d8db
1775842194225,95205376229559,3.2824504,1.271321,8.9758625,-0.53878313,0.17592919,-1.3206906,JERKING,1cc1cb06d8db
1775842194236,95205396249091,3.0238767,0.7398083,9.136273,-0.41783184,0.07819075,-1.4819591,JERKING,1cc1cb06d8db
1775842194258,95205416329657,2.5809495,0.8571242,9.217676,-0.3200934,-0.015882496,-1.6432275,JERKING,1cc1cb06d8db
1775842194276,95205436410223,2.1787236,1.5562311,9.315839,-0.20158553,-0.09407325,-1.9193386,JERKING,1cc1cb06d8db
1775842194297,95205456460272,1.9991584,1.9273324,9.294291,-0.25411993,-0.15393804,-2.1697934,JERKING,1cc1cb06d8db
1775842194328,95205476510321,1.460463,1.9177556,8.48984,-0.51068336,-0.18570304,-2.3554964,JERKING,1cc1cb06d8db
