epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775843626778,96637938381812,2.456451,10.101137,0.12449849,0.35430184,0.16737708,-0.07819075,TREMOR,5c26e0bc77c9
1775843626805,96637958431861,2.4181437,10.103531,-0.22026655,0.5119051,0.08674286,-0.11728613,TREMOR,5c26e0bc77c9
1775843626822,96637978481910,2.6671407,9.964667,-0.46208093,-0.37507126,-0.02687807,-0.40317106,TREMOR,5c26e0bc77c9
1775843626844,96637998470924,2.765303,9.787497,-0.62009823,0.009773844,-0.02687807,-0.5180137,TREMOR,5c26e0bc77c9
1775843626857,96638018551490,2.789245,9.718064,-0.6655881,-0.058643065,-0.018325957,-0.63163465,TREMOR,5c26e0bc77c9
1775843626878,96638038601539,2.9400797,9.636662,-0.7661445,-0.21624629,-0.0036651916,-0.7452556,TREMOR,5c26e0bc77c9
1775843626905,96638058651588,2.8275523,9.404425,-0.81163436,-0.36163223,0.013439035,-0.8918633,TREMOR,5c26e0bc77c9
1775843626922,96638078671119,2.468422,8.973468,-0.7254431,-0.41416663,0.05497787,-1.0152581,TREMOR,5c26e0bc77c9
1775843626940,96638098721168,1.4173675,8.607155,-0.39504328,-0.36163223,0.1001819,-1.1349876,TREMOR,5c26e0bc77c9
1775843626957,96638118740699,0.5626374,8.719683,-0.12210429,-0.16737708,0.05375614,-1.2608259,TREMOR,5c26e0bc77c9
1775843626979,96638138760230,0.02633622,9.011775,0.0047884034,-0.02687807,-0.07819075,-1.3414601,TREMOR,5c26e0bc77c9
1775843627005,96638158779761,-0.45489833,9.289502,0.1436521,-0.095294975,-0.18692477,-1.3524556,TREMOR,5c26e0bc77c9
1775843627022,96638178799293,-1.4053963,9.078813,0.37588966,-0.23090707,-0.24556783,-1.2681563,TREMOR,5c26e0bc77c9
1775843627039,96638198849342,-2.360683,8.743625,0.7493851,-0.204029,-0.32253686,-1.1349876,TREMOR,5c26e0bc77c9
1775843627058,96638218899390,-2.56419,8.944737,0.81163436,-0.021991149,-0.4886922,-0.9798279,TREMOR,5c26e0bc77c9
1775843627078,96638238888404,-2.2002714,9.461885,0.61291564,0.07574729,-0.6133087,-0.8405506,TREMOR,5c26e0bc77c9
1775843627110,96638258938453,-1.8674773,9.674969,0.6679823,-0.1160644,-0.61208695,-0.68416905,TREMOR,5c26e0bc77c9
1775843627119,96638278957984,-1.6472107,9.627085,0.6775591,-0.42394048,-0.56688297,-0.56199604,TREMOR,5c26e0bc77c9
1775843627144,96638299008033,-1.9416976,9.313444,1.0726024,-0.62796944,-0.49113566,-0.5375614,TREMOR,5c26e0bc77c9
1775843627159,96638319027564,-2.540248,8.492233,1.6304513,-0.65118235,-0.37507126,-0.46792278,TREMOR,5c26e0bc77c9
1775843627180,96638339047095,-1.9273324,8.820239,1.9273324,-0.30298916,-0.3811799,-0.5363397,TREMOR,5c26e0bc77c9
1775843627213,96638359066627,-1.3239936,9.504981,1.8171991,-0.12095132,-0.24556783,-0.6230826,TREMOR,5c26e0bc77c9
1775843627219,96638379116676,-1.1971009,9.97185,1.4532804,-0.4092797,-0.015882496,-0.752586,TREMOR,5c26e0bc77c9
1775843627245,96638399136207,-1.1228806,9.667787,1.292869,-0.8552113,0.16615535,-0.91874135,TREMOR,5c26e0bc77c9
1775843627259,96638419155738,-1.1324574,8.815451,1.4652514,-1.1582005,0.30787608,-1.0641272,TREMOR,5c26e0bc77c9
1775843627279,96638439236304,-1.5346833,8.422802,1.6496049,-1.1899655,0.38606682,-1.1301007,TREMOR,5c26e0bc77c9
1775843627311,96638459286353,-2.4037786,7.81228,1.8148049,-0.79168135,0.5497787,-1.2486086,TREMOR,5c26e0bc77c9
1775843627319,96638479305885,-3.3446999,7.6255326,1.9201498,-0.535118,0.5729916,-1.2547172,TREMOR,5c26e0bc77c9
1775843627344,96638499355933,-3.8355112,8.283937,1.8962077,-0.073303826,0.50946164,-1.282817,TREMOR,5c26e0bc77c9
1775843627362,96638519405982,-3.8522706,8.796297,1.3742718,0.0,0.43004912,-1.314582,TREMOR,5c26e0bc77c9
1775843627403,96638539425513,-4.4364557,8.734048,1.3120226,-0.31764993,0.4288274,-1.2962561,TREMOR,5c26e0bc77c9
