epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776054515671,307526831063609,2.7150247,-2.3008277,9.078813,-0.012217305,-0.021991149,0.028099801,JERKING,5cb8ee41c823
1776054515694,307526851144175,2.681506,-2.3247697,9.090784,0.42760566,0.07941248,-0.0036651916,JERKING,5cb8ee41c823
1776054515718,307526871163706,2.597709,-2.4827871,9.109938,-0.5900958,-0.014660766,-0.029321533,JERKING,5cb8ee41c823
1776054515737,307526891244273,2.6384103,-2.552219,9.105149,-0.07574729,0.0012217305,-0.02443461,JERKING,5cb8ee41c823
1776054515760,307526911294322,2.5833437,-2.6120741,9.038112,-0.015882496,-0.004886922,-0.019547688,JERKING,5cb8ee41c823
1776054515771,307526931374888,2.5617957,-2.5929205,9.018958,0.02076942,-0.008552114,-0.017104227,JERKING,5cb8ee41c823
1776054515790,307526951394419,2.6048915,-2.4420857,9.093178,0.061086524,-0.028099801,-0.017104227,JERKING,5cb8ee41c823
1776054515813,307526971444468,2.7150247,-2.231396,9.126697,0.058643065,-0.05131268,-0.02321288,JERKING,5cb8ee41c823
1776054515840,307526991525035,2.822764,-2.3008277,9.105149,0.02076942,-0.056199603,-0.047647487,JERKING,5cb8ee41c823
1776054515855,307527011605601,2.9735985,-2.1811178,9.165004,-0.029321533,-0.05009095,-0.087964594,JERKING,5cb8ee41c823
1776054515871,307527031655650,3.1531637,-2.0015526,9.062054,-0.09040806,-0.007330383,-0.15882497,JERKING,5cb8ee41c823
1776054515890,307527051705699,3.2441432,-2.1332338,8.834604,-0.19547687,0.081855945,-0.2602286,JERKING,5cb8ee41c823
1776054515911,307527071755747,3.2513258,-2.3104045,8.726865,-0.2968805,0.19303341,-0.36774087,JERKING,5cb8ee41c823
1776054515940,307527091775279,3.2369606,-2.3654714,8.602366,-0.36651915,0.32620203,-0.5290093,JERKING,5cb8ee41c823
1776054515951,307527111825328,3.2752678,-2.5210943,8.588001,-0.48747048,0.48991394,-0.7318166,JERKING,5cb8ee41c823
1776054515974,307527131875376,3.052607,-2.5905263,8.65025,-0.63407815,0.66339964,-0.9370673,JERKING,5cb8ee41c823
1776054515992,307527151925425,2.791639,-2.420538,8.738836,-0.79045963,0.8136725,-1.1325442,JERKING,5cb8ee41c823
1776054516025,307527171944956,1.4796166,-1.9273324,10.156203,-0.8906415,0.9615019,-1.2034045,JERKING,5cb8ee41c823
1776054516032,307527191995005,2.4109612,-1.9177556,9.871294,-1.1997393,0.7440339,-1.3304645,JERKING,5cb8ee41c823
1776054516056,307527212075572,3.8498764,-2.006341,8.9519205,-1.5845845,0.7867944,-1.4782939,JERKING,5cb8ee41c823
1776054516072,307527232125621,4.259285,-1.9416976,8.365341,-1.9095647,1.1129965,-1.4892895,JERKING,5cb8ee41c823
