epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776054741083,307752244312821,3.7828386,-2.3439236,8.659827,-0.008552114,-0.019547688,0.028099801,JERKING,6b84fa496a3c
1776054741119,307752264393387,3.7948096,-2.2457612,8.698134,0.41783184,0.12705997,0.0,JERKING,6b84fa496a3c
1776054741123,307752284373953,3.6631286,-2.3223755,8.719683,-0.63285637,0.036651913,0.0061086523,JERKING,6b84fa496a3c
1776054741145,307752304454520,3.7110126,-2.4061728,8.686164,-0.1563815,0.089186326,0.035430185,JERKING,6b84fa496a3c
1776054741171,307752324304569,3.560178,-2.3798366,8.798691,-0.11362094,0.080634214,0.043982297,JERKING,6b84fa496a3c
1776054741187,307752344415653,3.5697548,-2.372654,8.851364,-0.111177474,0.057421334,0.042760566,JERKING,6b84fa496a3c
1776054741204,307752364465701,3.526659,-2.3702598,8.75799,-0.13316862,0.039095376,0.032986723,JERKING,6b84fa496a3c
1776054741223,307752384515750,3.4572272,-2.56419,8.796297,-0.16737708,0.012217305,0.02321288,JERKING,6b84fa496a3c
1776054741244,307752404565799,3.5889084,-2.7006595,8.8777,-0.17348573,-0.032986723,0.018325957,JERKING,6b84fa496a3c
1776054741276,307752424646366,3.727772,-2.695871,8.748413,-0.14660765,-0.040317107,0.014660766,JERKING,6b84fa496a3c
1776054741286,307752444696414,3.6415808,-2.717419,8.607155,-0.119729586,-0.017104227,0.017104227,JERKING,6b84fa496a3c
1776054741304,307752464746463,3.6703112,-2.6431987,8.595184,-0.07696902,-0.014660766,0.019547688,JERKING,6b84fa496a3c
1776054741323,307752484796512,3.751714,-2.6360161,8.779537,-0.06352998,-0.03176499,0.007330383,JERKING,6b84fa496a3c
1776054741344,307752504816043,3.8139634,-2.5115175,8.889671,-0.089186326,-0.010995574,-0.018325957,JERKING,6b84fa496a3c
1776054741374,307752524866092,3.9336734,-2.3822308,8.808268,-0.18692477,0.04642576,-0.05375614,JERKING,6b84fa496a3c
1776054741384,307752544977176,4.0198646,-2.3774424,8.690952,-0.35308012,0.14049901,-0.10140363,JERKING,6b84fa496a3c
1776054741409,307752565027225,4.1012673,-2.4779987,8.583213,-0.54611355,0.27488935,-0.16126843,JERKING,6b84fa496a3c
1776054741425,307752585077274,4.036624,-2.5953147,8.425196,-0.7086037,0.43249258,-0.22968534,JERKING,6b84fa496a3c
1776054741456,307752605157840,3.8857894,-2.6264393,8.456321,-0.87109387,0.5888741,-0.3005457,JERKING,6b84fa496a3c
1776054741473,307752625207889,3.881001,-2.8921957,8.540117,-1.0519099,0.72326446,-0.34208453,JERKING,6b84fa496a3c
1776054741491,307752645288455,3.7373488,-2.7629087,8.590396,-1.2144,0.87109387,-0.36651915,JERKING,6b84fa496a3c
1776054741504,307752665338504,3.3997664,-2.777274,8.717288,-1.4758505,1.0079277,-0.3848451,JERKING,6b84fa496a3c
1776054741524,307752685388553,3.217807,-2.7844565,8.74123,-2.0769417,0.9896017,-0.38606682,JERKING,6b84fa496a3c
1776054741562,307752705438602,2.908955,-3.25372,8.499416,-2.7134633,0.9859365,-0.36774087,JERKING,6b84fa496a3c
1776054741567,307752725488651,2.566584,-3.5913026,7.836222,-3.345098,0.9419542,-0.35308012,JERKING,6b84fa496a3c
1776054741596,307752745538700,2.207454,-4.9943047,7.1275387,-3.9926152,0.8332202,-0.28710666,JERKING,6b84fa496a3c
1776054741604,307752765588748,2.2266076,-6.3470287,7.1969705,-4.3896775,0.61453044,-0.2321288,JERKING,6b84fa496a3c
1776054741626,307752785669315,2.3223755,-7.2065473,7.1059904,-4.3346996,0.42271876,-0.1441642,JERKING,6b84fa496a3c
1776054741660,307752805749881,2.7509377,-7.7667904,6.6534867,-4.0952406,0.26389378,-0.17715092,JERKING,6b84fa496a3c
1776054741667,307752825799930,3.7205894,-8.295909,6.9144545,-3.6395352,0.29077184,-0.34208453,JERKING,6b84fa496a3c
1776054741691,307752845911014,3.5793316,-8.48984,5.947197,-2.1673498,0.10751228,-0.9211848,JERKING,6b84fa496a3c
1776054741706,307752865961063,2.1883004,-8.334216,6.0884547,-0.12095132,0.61941737,-0.75991637,JERKING,6b84fa496a3c
1776054741729,307752886041629,2.3654714,-6.4619503,5.9878983,1.2999213,0.49846604,-0.8527679,JERKING,6b84fa496a3c
1776054741767,307752906091678,3.2680852,-5.0781016,5.985504,1.613906,0.41783184,-1.0580186,JERKING,6b84fa496a3c
1776054741773,307752926172244,3.430891,-4.63278,5.7484784,1.1850786,0.4886922,-1.2730432,JERKING,6b84fa496a3c
