# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775842114713,950340084132140,9.184157,-0.2801216,-3.7541082,NaN,NaN,NaN,JERKING,77a0f7083bfb
1775842114721,950340092219831,9.188946,-0.30166942,-3.715801,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114729,950340100216522,9.181764,-0.33279404,-3.7373488,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114737,950340108212751,9.16261,-0.35194764,-3.7565024,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114745,950340116206287,9.143456,-0.35434186,-3.7924154,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114753,950340124204210,9.14585,-0.38307226,-3.8139634,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114761,950340132197361,9.11712,-0.35673606,-3.845088,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114769,950340140225745,9.088389,-0.33279404,-3.833117,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114777,950340148221128,9.131485,-0.31603462,-3.8474822,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114785,950340156215281,9.078813,-0.23463176,-3.8139634,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114793,950340164211279,9.097966,-0.20590134,-3.799598,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114801,950340172206354,9.107543,-0.20829555,-3.7373488,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114809,950340180201660,9.16261,-0.22505496,-3.667917,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114817,950340188197658,9.114726,-0.19393034,-3.5697548,0.008552114,-0.15210545,0.040927973,JERKING,77a0f7083bfb
1775842114825,950340196226657,9.196129,-0.22505496,-3.655946,0.025045475,-0.07147124,-0.0030543262,JERKING,77a0f7083bfb
1775842114833,950340204221117,9.157822,-0.21308395,-3.6224272,0.030543262,-0.0983493,-0.0030543262,JERKING,77a0f7083bfb
1775842114841,950340212217116,9.184157,-0.20350714,-3.6990416,0.03176499,-0.115453534,-0.0061086523,JERKING,77a0f7083bfb
1775842114849,950340220212498,9.165004,-0.22505496,-3.86903,0.035430185,-0.13683382,-0.004276057,JERKING,77a0f7083bfb
1775842114857,950340228206651,9.119514,-0.22026655,-4.0294414,0.03359759,-0.13744467,-0.0067195175,JERKING,77a0f7083bfb
1775842114865,950340236202342,9.0476885,-0.24420857,-4.1012673,0.023823744,-0.12034045,-0.005497787,JERKING,77a0f7083bfb
1775842114873,950340244198879,8.99741,-0.23702596,-4.039018,0.01282817,-0.10140363,6.1086525E-4,JERKING,77a0f7083bfb
1775842114881,950340252223569,9.090784,-0.33518824,-4.015076,0.0061086523,-0.08674286,0.005497787,JERKING,77a0f7083bfb
1775842114889,950340260220798,8.963891,-0.22505496,-3.892972,0.0018325958,-0.061086524,0.008552114,JERKING,77a0f7083bfb
1775842114897,950340268215490,9.057265,-0.35194764,-4.010288,0.0036651916,-0.05497787,0.008552114,JERKING,77a0f7083bfb
1775842114905,950340276209949,9.050082,-0.30885202,-3.9264908,0.0036651916,-0.049480084,0.0067195175,JERKING,77a0f7083bfb
1775842114913,950340284207256,9.062054,-0.29688102,-3.9504328,6.1086525E-4,-0.034208454,-0.002443461,JERKING,77a0f7083bfb
1775842114921,950340292202023,9.040505,-0.2873042,-4.003105,0.0036651916,-0.016493361,-0.007941248,JERKING,77a0f7083bfb
1775842114929,950340300230637,9.011775,-0.2801216,-3.964798,6.1086525E-4,-0.0018325958,-0.010995574,JERKING,77a0f7083bfb
1775842114937,950340308225097,8.990228,-0.260968,-3.904943,-0.004886922,0.01160644,-0.010995574,JERKING,77a0f7083bfb
1775842114945,950340316220096,9.040505,-0.21547815,-3.8426938,-0.009773844,0.015271631,-0.01282817,JERKING,77a0f7083bfb
1775842114953,950340324217094,9.057265,-0.19632454,-3.7852328,-0.009162978,0.017104227,-0.01038471,JERKING,77a0f7083bfb
1775842114961,950340332210247,9.088389,-0.18435353,-3.7325604,-0.0067195175,0.015882496,-0.010995574,JERKING,77a0f7083bfb
1775842114969,950340340208399,9.078813,-0.17717093,-3.7229836,-0.0036651916,0.015271631,-0.012217305,JERKING,77a0f7083bfb
1775842114977,950340348202243,9.059659,-0.14844051,-3.7373488,-0.0012217305,0.015271631,-0.01038471,JERKING,77a0f7083bfb
1775842114985,950340356198857,9.0429,-0.17956513,-3.7493198,-6.1086525E-4,0.007941248,-0.005497787,JERKING,77a0f7083bfb
1775842114993,950340364223548,9.035717,-0.21547815,-3.775656,-0.002443461,-0.004886922,-0.0018325958,JERKING,77a0f7083bfb
1775842115001,950340372219547,8.983045,-0.23942018,-3.7972038,-0.0012217305,-0.012217305,-0.002443461,JERKING,77a0f7083bfb
1775842115009,950340380215545,8.925584,-0.20590134,-3.8402996,-0.005497787,-0.012217305,-0.004276057,JERKING,77a0f7083bfb
1775842115017,950340388211467,8.851364,-0.20829555,-3.9145198,-0.004886922,-0.020158553,0.0018325958,JERKING,77a0f7083bfb
1775842115025,950340396205080,8.882488,-0.21068975,-3.9001546,-0.01160644,-0.02076942,0.007941248,JERKING,77a0f7083bfb
1775842115033,950340404202618,8.956709,-0.23702596,-3.8474822,-0.02076942,-0.02076942,0.015882496,JERKING,77a0f7083bfb
1775842115041,950340412227462,9.119514,-0.33279404,-3.8307228,-0.017715093,-0.015271631,0.015882496,JERKING,77a0f7083bfb
1775842115049,950340420223152,9.222465,-0.36631286,-3.8594532,-0.010995574,-0.01160644,0.007941248,JERKING,77a0f7083bfb
1775842115057,950340428221074,9.224859,-0.34955344,-3.8905778,-0.0067195175,-0.005497787,-0.0018325958,JERKING,77a0f7083bfb
1775842115065,950340436213995,9.131485,-0.31364042,-3.8857894,-0.0018325958,0.004886922,-0.015882496,JERKING,77a0f7083bfb
1775842115073,950340444209302,9.095572,-0.2705448,-3.8379054,0.0012217305,0.013439035,-0.022602014,JERKING,77a0f7083bfb
1775842115081,950340452206531,9.131485,-0.33279404,-3.8139634,0.004886922,0.016493361,-0.021991149,JERKING,77a0f7083bfb
1775842115089,950340460201684,8.963891,-0.22505496,-3.715801,0.0018325958,0.02565634,-0.027488936,JERKING,77a0f7083bfb
1775842115097,950340468227451,9.01417,-0.260968,-3.775656,0.004886922,0.018936822,-0.02565634,JERKING,77a0f7083bfb
1775842115105,950340476224681,9.018958,-0.2777274,-3.7708676,6.1086525E-4,0.008552114,-0.017715093,JERKING,77a0f7083bfb
1775842115113,950340484218294,8.9998045,-0.2657564,-3.7301662,-0.009162978,0.004276057,-0.015271631,JERKING,77a0f7083bfb
1775842115121,950340492214600,8.978256,-0.21308395,-3.7445314,-0.018936822,-0.0012217305,-0.015882496,JERKING,77a0f7083bfb
1775842115129,950340500211214,9.0429,-0.21547815,-3.763685,-0.023823744,-0.01160644,-0.013439035,JERKING,77a0f7083bfb
1775842115137,950340508205982,9.02614,-0.17238252,-3.7900212,-0.02565634,-0.02076942,-0.018936822,JERKING,77a0f7083bfb
1775842115145,950340516202288,9.081207,-0.1436521,-3.8977604,-0.02565634,-0.032375857,-0.022602014,JERKING,77a0f7083bfb
1775842115153,950340524226594,9.124303,-0.12210429,-3.9791632,-0.021991149,-0.04520403,-0.02443461,JERKING,77a0f7083bfb
1775842115161,950340532221670,9.232041,-0.088585466,-4.039018,-0.019547688,-0.065973446,-0.022602014,JERKING,77a0f7083bfb
1775842115169,950340540218899,9.287108,-0.08140286,-4.0701427,-0.013439035,-0.087964594,-0.01282817,JERKING,77a0f7083bfb
1775842115177,950340548216052,9.334992,-0.095768064,-4.0581717,-0.008552114,-0.0983493,-0.004886922,JERKING,77a0f7083bfb
1775842115185,950340556210203,9.363723,-0.17238252,-3.9983168,-0.0018325958,-0.1001819,0.004886922,JERKING,77a0f7083bfb
1775842115193,950340564207202,9.344569,-0.23223756,-3.9025488,0.004276057,-0.09773844,0.018325957,JERKING,77a0f7083bfb
1775842115201,950340572200970,9.320627,-0.2896984,-3.7924154,0.0036651916,-0.09896017,0.027488936,JERKING,77a0f7083bfb
1775842115209,950340580228352,9.244013,-0.33758244,-3.7229836,0.0012217305,-0.10567969,0.03848451,JERKING,77a0f7083bfb
1775842115217,950340588223428,9.193734,-0.35913026,-3.7062242,-0.0018325958,-0.108123146,0.044593163,JERKING,77a0f7083bfb
1775842115225,950340596220734,9.126697,-0.39504328,-3.7014358,-0.007330383,-0.10751228,0.047647487,JERKING,77a0f7083bfb
1775842115233,950340604214579,9.028535,-0.40462008,-3.7349546,-0.009773844,-0.10140363,0.045814894,JERKING,77a0f7083bfb
1775842115241,950340612209270,8.9040365,-0.37588966,-3.8355112,-0.012217305,-0.099571034,0.03481932,JERKING,77a0f7083bfb
1775842115249,950340620204653,8.789114,-0.36391866,-3.9240966,-0.015271631,-0.11056661,0.02321288,JERKING,77a0f7083bfb
1775842115257,950340628202574,8.717288,-0.320823,-4.050989,-0.019547688,-0.12339478,0.014660766,JERKING,77a0f7083bfb
1775842115265,950340636227189,8.7053175,-0.260968,-4.1683054,-0.02443461,-0.12950343,0.0061086523,JERKING,77a0f7083bfb
1775842115273,950340644224648,8.683769,-0.22744916,-4.225766,-0.02565634,-0.12767084,-0.0018325958,JERKING,77a0f7083bfb
1775842115281,950340652218569,8.722076,-0.19153613,-4.247314,-0.027488936,-0.106901415,-0.008552114,JERKING,77a0f7083bfb
1775842115289,950340660215491,8.767567,-0.1316811,-4.1922474,-0.028099801,-0.089186326,-0.01038471,JERKING,77a0f7083bfb
1775842115297,950340668210182,8.827422,-0.09816227,-4.10845,-0.030543262,-0.07086037,-0.009773844,JERKING,77a0f7083bfb
1775842115305,950340676204027,8.887277,-0.079008654,-4.027047,-0.032375857,-0.05009095,-0.0067195175,JERKING,77a0f7083bfb
1775842115313,950340684201256,8.980651,-0.05746084,-3.9432502,-0.031154128,-0.030543262,-0.002443461,JERKING,77a0f7083bfb
1775842115321,950340692226793,9.045294,-0.059855044,-3.8546648,-0.029321533,-0.017715093,0.0,JERKING,77a0f7083bfb
