epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775844201455,97212615158022,-3.2154129,9.835381,2.195483,-0.0036651916,0.0036651916,0.05375614,TREMOR,7e1a788cd2cf
1775844201480,97212635208071,-2.9017725,9.485827,2.0518308,0.3848451,0.07452556,-0.04520403,TREMOR,7e1a788cd2cf
1775844201501,97212655288638,-2.8107927,9.272743,2.006341,-0.6585127,-0.043982297,-0.46181414,TREMOR,7e1a788cd2cf
1775844201514,97212675338687,-2.873042,9.555259,2.3415294,-0.02565634,0.034208454,-0.8857546,TREMOR,7e1a788cd2cf
1775844201538,97212695419253,-2.6288335,9.701305,2.5617957,-0.05375614,0.11484267,-1.1142182,TREMOR,7e1a788cd2cf
1775844201555,97212715499819,-2.2218192,8.942344,2.815581,-0.4569272,0.22113322,-1.3658947,TREMOR,7e1a788cd2cf
1775844201582,97212735549868,-1.9776106,7.5106106,3.2082303,-1.0250319,0.32498032,-1.455081,TREMOR,7e1a788cd2cf
1775844201599,97212755630435,-2.5689783,7.443573,3.3207579,-0.9419542,0.59864795,-1.6468927,TREMOR,7e1a788cd2cf
1775844201616,97212775680483,-3.4476504,8.269572,3.5458126,-0.2003638,0.84299403,-1.8472565,TREMOR,7e1a788cd2cf
1775844201635,97212795730532,-4.271256,8.78672,4.1180267,0.45937067,0.9602802,-2.0195205,TREMOR,7e1a788cd2cf
1775844201658,97212815780581,-5.422867,10.505757,4.2185836,0.51923543,1.0775663,-2.2626448,TREMOR,7e1a788cd2cf
1775844201682,97212835861147,-7.6614456,11.978191,3.976769,0.04520403,1.319469,-2.574186,TREMOR,7e1a788cd2cf
1775844201699,97212855911196,-10.474632,11.446678,3.7062242,-0.9932669,1.536937,-2.6719246,TREMOR,7e1a788cd2cf
1775844201721,97212875961245,-11.805809,9.11712,3.4691982,-2.1991148,1.3988814,-2.5595255,TREMOR,7e1a788cd2cf
1775844201736,97212895980776,-9.349358,6.3326635,3.1962593,-2.9211576,0.9272934,-2.5265386,TREMOR,7e1a788cd2cf
1775844201756,97212916030825,-5.741296,5.614403,3.4261026,-3.087313,0.6536258,-2.4947736,TREMOR,7e1a788cd2cf
1775844201782,97212936111392,-3.7732618,5.12838,3.2728736,-3.3267722,0.9334021,-2.2919664,TREMOR,7e1a788cd2cf
1775844201799,97212956161440,-3.6870706,4.5202527,2.2768857,-4.125784,1.5283848,-2.1587977,TREMOR,7e1a788cd2cf
1775844201816,97212976211489,-4.8099513,2.5785553,1.0654198,-5.2290063,1.9889772,-2.0244074,TREMOR,7e1a788cd2cf
1775844201836,97212996322573,-6.4499793,0.088585466,0.4381389,-5.7751203,2.0916026,-1.7983873,TREMOR,7e1a788cd2cf
1775844201865,97213016403140,-7.091625,-5.475539,-0.37828386,-4.874705,1.8362609,-1.491733,TREMOR,7e1a788cd2cf
1775844201882,97213036483706,-9.186552,-11.008539,-5.741296,-3.7519343,1.5088371,-1.2632693,TREMOR,7e1a788cd2cf
1775844201899,97213056503237,-11.324574,-14.058752,-3.6774938,0.6780604,0.79412484,-0.47403142,TREMOR,7e1a788cd2cf
1775844201920,97213076583804,-7.8027034,-4.9081135,-4.960786,10.266201,0.15149458,-0.31520647,TREMOR,7e1a788cd2cf
1775844201936,97213096664370,-8.796297,5.386954,-5.1235914,16.201368,0.7147123,-0.14294247,TREMOR,7e1a788cd2cf
1775844201966,97213116714419,-12.071565,12.811374,-1.2018893,14.575245,1.0482447,0.23335053,TREMOR,7e1a788cd2cf
1775844201983,97213136733950,-10.766725,14.255077,1.4221559,6.92599,0.19914207,-0.36041048,TREMOR,7e1a788cd2cf
1775844202003,97213156814517,-9.991004,10.632649,1.055843,-0.7122689,0.2883284,-0.7696902,TREMOR,7e1a788cd2cf
1775844202016,97213176895083,-10.869676,6.229713,-0.78290397,-5.243667,0.77579886,-0.8222246,TREMOR,7e1a788cd2cf
1775844202039,97213196945132,-10.213664,3.145981,-1.7860745,-7.9168134,0.86132,-0.8576548,TREMOR,7e1a788cd2cf
1775844202066,97213217025698,-8.920795,0.7110779,-1.6783354,-9.706649,0.75747293,-0.80756384,TREMOR,7e1a788cd2cf
1775844202082,97213237075747,-7.991845,-0.32321724,-2.2888567,-10.014524,0.7122689,-0.5900958,TREMOR,7e1a788cd2cf
1775844202100,97213257095278,-8.202535,-4.4460325,-2.4875755,-7.982787,0.59131753,-0.33841935,TREMOR,7e1a788cd2cf
1775844202118,97213277145327,-7.8505874,-4.9655743,-0.89782566,-3.0812044,0.4361578,-0.16249016,TREMOR,7e1a788cd2cf
1775844202138,97213297225894,-7.575254,-0.40940848,-0.90500826,3.2669072,0.55955255,0.05375614,TREMOR,7e1a788cd2cf
1775844202172,97213317306460,-9.950302,4.220978,1.4700398,6.549697,0.9761627,0.21624629,TREMOR,7e1a788cd2cf
1775844202181,97213337356509,-13.01488,8.317456,2.6312277,4.1587706,0.5864306,0.22357668,TREMOR,7e1a788cd2cf
1775844202203,97213357406558,-9.186552,7.836222,1.7597382,-2.4825563,-0.25411993,0.13805555,TREMOR,7e1a788cd2cf
1775844202216,97213377487124,-7.73806,2.920926,0.14604631,-7.9155917,0.18325958,-0.05375614,TREMOR,7e1a788cd2cf
1775844202238,97213397537173,-9.928755,-0.770933,-3.6822822,-9.252165,0.784351,-0.36651915,TREMOR,7e1a788cd2cf
1775844202266,97213417648257,-11.235989,-6.95755,-5.949591,-7.142236,0.2773328,-0.453262,TREMOR,7e1a788cd2cf
1775844202283,97213437728823,-9.081207,-7.809886,-3.5075054,-0.8552113,-0.7330383,-0.26511553,TREMOR,7e1a788cd2cf
1775844202316,97213457778872,-6.8067155,-0.5410896,-3.2130187,8.073195,-0.24923302,0.4166101,TREMOR,7e1a788cd2cf
1775844202319,97213477859438,-9.883265,4.900931,-2.4875755,12.922243,0.82711154,0.675617,TREMOR,7e1a788cd2cf
1775844202339,97213497909487,-14.252683,12.385205,2.8778305,11.055439,0.7049385,0.5925393,TREMOR,7e1a788cd2cf
1775844202366,97213517990054,-7.536947,11.669339,2.0973208,1.5723672,-0.3408628,0.5448918,TREMOR,7e1a788cd2cf
