# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776101517939,1209743309586190,-3.4979286,-8.619126,-0.9648633,NaN,NaN,NaN,FALLS,85a13b66d1a5
1776101517947,1209743317673512,-3.5170822,-8.688558,-0.9600749,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101517955,1209743325671142,-3.5673606,-8.765172,-0.94810385,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101517963,1209743333664079,-3.5697548,-8.839393,-0.93852705,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101517971,1209743341660632,-3.5817258,-8.911219,-0.93134445,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101517979,1209743349655800,-3.5769374,-8.971074,-0.9648633,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101517987,1209743357650891,-3.572149,-9.016563,-0.9528923,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101517995,1209743365678520,-3.620033,-9.006987,-0.94570965,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518003,1209743373674611,-3.6463692,-9.038112,-0.9576807,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518011,1209743381669933,-3.5936968,-9.0429,-0.9720459,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518019,1209743389664716,-3.5170822,-9.0476885,-1.0199299,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518027,1209743397659499,-3.5553896,-9.054871,-1.0175357,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518035,1209743405656129,-3.5673606,-9.02614,-1.0534488,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518043,1209743413650912,-3.5122938,-9.038112,-1.1061212,-0.3463606,0.5369505,-0.46609017,FALLS,85a13b66d1a5
1776101518051,1209743421678311,-3.5218706,-9.045294,-1.1109096,-0.49418998,0.41050145,-0.6102544,FALLS,85a13b66d1a5
1776101518059,1209743429672556,-3.5362358,-9.057265,-1.0726024,-0.50885075,0.42760566,-0.65057147,FALLS,85a13b66d1a5
1776101518067,1209743437669493,-3.5098996,-9.050082,-0.8571242,-0.52534413,0.44776422,-0.6927212,FALLS,85a13b66d1a5
1776101518075,1209743445665123,-3.5553896,-8.942344,-0.58897364,-0.54611355,0.46731192,-0.75686204,FALLS,85a13b66d1a5
1776101518083,1209743453661214,-3.6032736,-8.829816,-0.30406362,-0.5571091,0.46670106,-0.8032878,FALLS,85a13b66d1a5
1776101518091,1209743461656305,-3.691859,-8.6813755,-0.14844051,-0.56199604,0.44959682,-0.8472701,FALLS,85a13b66d1a5
1776101518099,1209743469651626,-3.6966474,-8.528147,-0.15801731,-0.56321776,0.42271876,-0.88514376,FALLS,85a13b66d1a5
1776101518107,1209743477677794,-3.6942532,-8.279149,-0.2873042,-0.56321776,0.39950588,-0.91690874,FALLS,85a13b66d1a5
1776101518115,1209743485672962,-3.6894648,-8.061277,-0.44532153,-0.58032197,0.3811799,-0.95539325,FALLS,85a13b66d1a5
1776101518123,1209743493669284,-3.5913026,-7.750031,-0.59136784,-0.6053675,0.37384954,-0.9810496,FALLS,85a13b66d1a5
1776101518131,1209743501666221,-3.4715924,-7.4627266,-0.6607997,-0.6407976,0.37751472,-1.0024298,FALLS,85a13b66d1a5
1776101518139,1209743509660697,-3.2944214,-7.086837,-0.6584055,-0.68416905,0.3915646,-1.0274754,FALLS,85a13b66d1a5
1776101518147,1209743517656326,-3.1603463,-6.7588315,-0.6799533,-0.7452556,0.43310347,-1.0665708,FALLS,85a13b66d1a5
1776101518155,1209743525652109,-2.954445,-6.4858923,-0.80684596,-0.7855727,0.4746423,-1.0983357,FALLS,85a13b66d1a5
1776101518163,1209743533679432,-2.779668,-6.2608376,-0.9744401,-0.82894415,0.5308419,-1.1301007,FALLS,85a13b66d1a5
1776101518171,1209743541673907,-2.5570073,-6.133945,-1.1444284,-0.87781334,0.61269784,-1.16492,FALLS,85a13b66d1a5
1776101518179,1209743549667152,-2.4540567,-6.105214,-1.1971009,-0.95172805,0.75625116,-1.2125676,FALLS,85a13b66d1a5
1776101518187,1209743557665397,-2.4588451,-6.157887,-1.0486604,-1.0103711,0.8753699,-1.2479976,FALLS,85a13b66d1a5
1776101518195,1209743565660796,-2.4708161,-6.2728086,-0.7661445,-1.0622946,0.9877691,-1.2754866,FALLS,85a13b66d1a5
1776101518203,1209743573656425,-2.554613,-6.3542113,-0.48362875,-1.0946705,1.0757337,-1.2962561,FALLS,85a13b66d1a5
1776101518211,1209743581649747,-2.717419,-6.517017,-0.25139117,-1.1111639,1.1404854,-1.3090842,FALLS,85a13b66d1a5
1776101518219,1209743589676530,-2.9496565,-6.655881,-0.2873042,-1.1074986,1.1777482,-1.3127494,FALLS,85a13b66d1a5
1776101518227,1209743597674313,-3.1435869,-6.83784,-0.581791,-1.097114,1.1716396,-1.3066407,FALLS,85a13b66d1a5
1776101518235,1209743605667635,-3.3446999,-7.0126166,-0.8619126,-1.1001683,1.1655309,-1.2883148,FALLS,85a13b66d1a5
1776101518243,1209743613664264,-3.4859576,-7.2233067,-1.2976574,-1.1191051,1.1820242,-1.2718215,FALLS,85a13b66d1a5
1776101518251,1209743621660509,-3.5218706,-7.369353,-1.6783354,-1.1844677,1.2565498,-1.2504412,FALLS,85a13b66d1a5
1776101518259,1209743629654985,-3.53863,-7.4363904,-2.0015526,-1.2626585,1.3432927,-1.2400564,FALLS,85a13b66d1a5
1776101518267,1209743637680615,-3.4715924,-7.4842744,-2.3439236,-1.3622295,1.4459181,-1.237613,FALLS,85a13b66d1a5
1776101518275,1209743645676860,-3.3375173,-7.52737,-2.5474305,-1.4703526,1.5625933,-1.2443326,FALLS,85a13b66d1a5
1776101518283,1209743653671951,-3.0693667,-7.524976,-2.6168625,-1.59558,1.6584991,-1.269378,FALLS,85a13b66d1a5
1776101518291,1209743661667657,-2.7150247,-7.5800424,-2.5809495,-1.7611245,1.7550159,-1.323745,FALLS,85a13b66d1a5
1776101518299,1209743669665517,-2.2816741,-7.517793,-2.554613,-1.8723019,1.7910569,-1.3952162,FALLS,85a13b66d1a5
1776101518307,1209743677660378,-1.9847932,-7.395689,-2.8083985,-1.9596558,1.790446,-1.496009,FALLS,85a13b66d1a5
1776101518315,1209743685655084,-1.7046716,-7.1371155,-3.1962593,-2.0372355,1.785559,-1.6200147,FALLS,85a13b66d1a5
1776101518323,1209743693653559,-1.508347,-6.873753,-3.3303347,-2.157576,1.7666223,-1.8228219,FALLS,85a13b66d1a5
1776101518331,1209743701677650,-0.9959879,-6.742072,-3.4931402,-2.2473733,1.7910569,-1.9767599,FALLS,85a13b66d1a5
1776101518339,1209743709675126,-0.25617957,-6.8186865,-3.5003228,-2.3310618,1.8234328,-2.1239784,FALLS,85a13b66d1a5
1776101518347,1209743717670525,0.2896984,-6.5601125,-3.2609026,-2.392759,1.8576412,-2.288912,FALLS,85a13b66d1a5
1776101518355,1209743725664462,0.90979666,-5.9160724,-2.966416,-2.420248,1.8942931,-2.4788911,FALLS,85a13b66d1a5
1776101518363,1209743733660091,1.3215994,-5.209783,-2.9281087,-2.3848178,1.7849482,-2.7189612,FALLS,85a13b66d1a5
