epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776101517186,45636249301088,0.9840169,2.695871,6.5744777,0.35185838,0.14782938,-0.07452556,FALLS,85a13b66d1a5
1776101517219,45636269320619,1.0869676,2.9161377,6.8450227,-0.028099801,0.034208454,-0.47158796,FALLS,85a13b66d1a5
1776101517228,45636289340150,1.13964,2.5210943,7.0365586,-2.067168,-0.26633725,-1.3243558,FALLS,85a13b66d1a5
1776101517261,45636309390199,1.2114661,1.6136919,7.5680714,-2.0280726,-0.39095375,-1.6517797,FALLS,85a13b66d1a5
1776101517266,45636329409730,1.2665327,1.2617443,8.487445,-2.1563544,-0.5009095,-1.7983873,FALLS,85a13b66d1a5
1776101517286,45636349459779,1.5705963,0.45729253,9.260772,-2.2540927,-0.548557,-1.9364429,FALLS,85a13b66d1a5
1776101517307,45636369479310,1.5514427,0.19393034,9.229648,-2.32984,-0.59864795,-1.9804251,FALLS,85a13b66d1a5
1776101517338,45636389529359,1.6998832,-0.39264908,9.234436,-2.3176227,-0.6621779,-2.026851,FALLS,85a13b66d1a5
1776101517347,45636409579408,1.8171991,-0.10055647,9.916783,-2.2418754,-0.7305948,-2.008525,FALLS,85a13b66d1a5
1776101517368,45636429659974,2.4061728,-0.21068975,10.34774,-2.2284365,-0.77213365,-2.098933,FALLS,85a13b66d1a5
1776101517387,45636449679506,2.6862943,-1.721431,10.400413,-2.39337,-0.62796944,-2.0683897,FALLS,85a13b66d1a5
1776101517407,45636469729554,2.5019407,-1.9153614,10.819398,-2.379931,-0.6084218,-2.0635028,FALLS,85a13b66d1a5
1776101517440,45636489749086,3.0190883,-3.0430303,11.583148,-2.1587977,-0.535118,-2.0647244,FALLS,85a13b66d1a5
1776101517447,45636509860170,3.2154129,-3.632004,11.930307,-1.781283,-0.47036624,-1.8533652,FALLS,85a13b66d1a5
1776101517474,45636529910219,3.3973722,-3.3997664,11.6190605,-1.704314,-0.44104472,-1.7983873,FALLS,85a13b66d1a5
1776101517487,45636549929750,3.3494883,-3.6008794,11.164163,-1.6994271,-0.3359759,-1.6896533,FALLS,85a13b66d1a5
1776101517508,45636569979799,2.932897,-3.9264908,11.164163,-1.72264,-0.2565634,-1.5063937,FALLS,85a13b66d1a5
1776101517540,45636590060365,2.7940333,-3.9552212,11.168951,-1.632232,-0.22602014,-1.4135422,FALLS,85a13b66d1a5
1776101517548,45636610140931,2.96881,-3.8738184,11.022904,-1.5552629,-0.18325958,-1.2999213,FALLS,85a13b66d1a5
1776101517574,45636630221498,2.8275523,-4.235343,10.500969,-1.4343116,-0.1001819,-1.1533136,FALLS,85a13b66d1a5
1776101517588,45636650241029,2.657564,-4.4005427,10.084377,-1.1496484,-0.073303826,-1.0567969,FALLS,85a13b66d1a5
1776101517610,45636670291078,2.753332,-4.280833,9.876082,-0.81245077,-0.09162979,-0.9309586,FALLS,85a13b66d1a5
1776101517641,45636690341127,3.0502129,-4.1922474,9.883265,-0.5363397,-0.09040806,-0.8136725,FALLS,85a13b66d1a5
1776101517649,45636710391176,3.13401,-4.0677485,9.746795,-0.38728857,-0.04642576,-0.68416905,FALLS,85a13b66d1a5
1776101517674,45636730441224,3.2106245,-3.7948096,9.358934,-0.38240165,0.036651913,-0.61575216,FALLS,85a13b66d1a5
1776101517690,45636750460756,3.2393548,-3.9264908,8.971074,-0.41783184,0.15027285,-0.57910025,FALLS,85a13b66d1a5
1776101517713,45636770480287,3.3734303,-4.197036,8.6813755,-0.36774087,0.2443461,-0.55955255,FALLS,85a13b66d1a5
1776101517732,45636790530336,3.478775,-4.144363,8.477868,-0.26633725,0.31887165,-0.5290093,FALLS,85a13b66d1a5
1776101517750,45636810580385,3.6248214,-3.8905778,8.23366,-0.2125811,0.37507126,-0.54733527,FALLS,85a13b66d1a5
1776101517770,45636830630433,3.8426938,-3.8283286,7.9511437,-0.26633725,0.4569272,-0.5571091,FALLS,85a13b66d1a5
