# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776053183123,1161408494191065,-6.8761473,-2.7389667,6.811504,NaN,NaN,NaN,TONIC,919c6803c1f7
1776053183131,1161408502907687,-6.8186865,-2.7485435,6.9503675,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183139,1161408510902154,-6.775591,-2.7485435,7.0006456,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183147,1161408518897159,-6.727707,-2.741361,6.9599442,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183155,1161408526923396,-6.727707,-2.7365725,6.873753,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183163,1161408534922402,-6.588843,-2.7126305,6.9719152,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183171,1161408542916022,-6.6510925,-2.657564,6.9503675,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183179,1161408550911028,-6.6415157,-2.657564,6.921637,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183187,1161408558906111,-6.6391215,-2.657564,6.895301,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183195,1161408566901270,-6.6630635,-2.6791117,6.9000893,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183203,1161408574897507,-6.6606693,-2.6862943,6.8402343,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183211,1161408582924050,-6.6726403,-2.6982653,6.8426285,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183219,1161408590918749,-6.658275,-2.7006595,6.8569937,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183227,1161408598914755,-6.6510925,-2.7269957,6.8929067,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183235,1161408606910837,-6.646304,-2.707842,6.9360023,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183243,1161408614906843,-6.6391215,-2.7006595,6.969521,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183251,1161408622903080,-6.612785,-2.669535,6.979098,-0.10995574,-0.02687807,0.13439035,TONIC,919c6803c1f7
1776053183259,1161408630899700,-6.5840545,-2.657564,7.0102224,-0.004276057,-0.007330383,-0.002443461,TONIC,919c6803c1f7
1776053183267,1161408638893321,-6.55293,-2.6647465,7.038953,-0.007330383,-0.007330383,-0.0018325958,TONIC,919c6803c1f7
1776053183275,1161408646919789,-6.5265937,-2.657564,7.062895,-0.007330383,-0.008552114,0.0018325958,TONIC,919c6803c1f7
