epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776101470533,45589584994494,2.195483,6.1770406,7.1107793,0.3408628,0.17104226,-0.07452556,FALLS,ad03ab3969de
1776101470593,45589605044543,2.3415294,6.2871737,7.1083846,0.51068336,0.09285152,-0.014660766,FALLS,ad03ab3969de
1776101470600,45589625094592,2.4037786,6.117185,7.0820484,-0.44348818,0.0036651916,-0.030543262,FALLS,ad03ab3969de
1776101470602,45589645144640,2.2864625,6.1195793,7.0605006,-0.018325957,0.02321288,-0.0012217305,FALLS,ad03ab3969de
1776101470604,45589665164172,2.3127987,6.191406,6.9407907,-0.014660766,0.02076942,-0.0061086523,FALLS,ad03ab3969de
1776101470624,45589685244738,2.2266076,6.3230867,6.787562,-0.073303826,0.021991149,-0.018325957,FALLS,ad03ab3969de
1776101470687,45589705264269,2.1859062,6.021417,6.6367273,-0.16737708,0.02321288,-0.034208454,FALLS,ad03ab3969de
1776101470693,45589725314318,2.0518308,6.131551,6.435614,-0.20891592,0.012217305,-0.0720821,FALLS,ad03ab3969de
1776101470695,45589745364367,2.054225,6.4763155,6.136339,-0.24923302,-0.008552114,-0.1563815,FALLS,ad03ab3969de
1776101470703,45589765414416,2.054225,6.4499793,6.301539,-0.28710666,-0.047647487,-0.25045475,FALLS,ad03ab3969de
1776101470743,45589785494982,2.1092918,6.191406,6.6630635,-0.24923302,-0.12461651,-0.31398472,FALLS,ad03ab3969de
1776101470795,45589805545031,2.2697031,6.2967505,6.813898,-0.13194689,-0.22602014,-0.3726278,FALLS,ad03ab3969de
1776101470797,45589825595080,2.3630772,6.2991447,7.03177,-0.111177474,-0.2883284,-0.44593164,FALLS,ad03ab3969de
1776101470800,45589845645129,2.456451,6.0285997,7.1610575,-0.14049901,-0.31031954,-0.5119051,FALLS,ad03ab3969de
1776101470805,45589865695178,2.372654,6.117185,7.311892,-0.13072516,-0.3286455,-0.548557,FALLS,ad03ab3969de
1776101470852,45589885745226,2.3199813,6.265626,7.273585,-0.16737708,-0.33108896,-0.61819565,FALLS,ad03ab3969de
1776101470854,45589905795275,2.2361844,6.2847795,7.2592196,-0.3115413,-0.31887165,-0.69027776,FALLS,ad03ab3969de
1776101470866,45589925814807,2.099715,6.0621185,7.323863,-0.4813618,-0.29932398,-0.77091193,FALLS,ad03ab3969de
1776101470904,45589945864855,2.1212628,5.60722,7.4507556,-0.5705481,-0.25900686,-0.84421575,FALLS,ad03ab3969de
1776101470907,45589965914904,1.9752164,5.3007627,7.7093296,-0.49235737,-0.24556783,-0.88697636,FALLS,ad03ab3969de
1776101470953,45589985934435,2.2098482,5.351041,7.8865004,-0.3494149,-0.21624629,-0.96761054,FALLS,ad03ab3969de
1776101470958,45590006015002,2.0901382,5.544971,7.9583263,-0.28710666,-0.17348573,-1.0262536,FALLS,ad03ab3969de
1776101470968,45590026065051,2.0590134,5.327099,7.881712,-0.38728857,-0.1160644,-1.1178834,FALLS,ad03ab3969de
1776101471006,45590046084582,1.9752164,4.9679685,7.807492,-0.5216789,-0.043982297,-1.1435398,FALLS,ad03ab3969de
1776101471009,45590066104113,1.697489,5.0996494,7.7189064,-0.5852089,-0.007330383,-1.174083,FALLS,ad03ab3969de
