epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776053852860,306864021436966,0.6512229,-3.6583402,9.059659,0.0036651916,-0.018325957,0.029321533,TONIC,afdf55ed2a96
1776053852882,306864041456497,0.6631939,-3.7541082,9.0476885,0.43371433,0.0842994,-0.002443461,TONIC,afdf55ed2a96
1776053852908,306864061476029,0.6392518,-3.6391866,9.035717,-0.5693264,-0.017104227,-0.021991149,TONIC,afdf55ed2a96
1776053852930,306864081495560,0.7062895,-3.643975,9.01417,-0.057421334,0.010995574,-0.02076942,TONIC,afdf55ed2a96
1776053852940,306864101515091,0.6967127,-3.70383,8.99741,-0.018325957,0.014660766,-0.02443461,TONIC,afdf55ed2a96
1776053852960,306864121534622,0.6847417,-3.667917,9.069236,-0.007330383,0.015882496,-0.03176499,TONIC,afdf55ed2a96
1776053852982,306864141554154,0.6823475,-3.7205894,9.02614,0.002443461,0.015882496,-0.042760566,TONIC,afdf55ed2a96
1776053853014,306864161573685,0.6344634,-3.7229836,8.901642,-0.019547688,0.015882496,-0.05375614,TONIC,afdf55ed2a96
1776053853023,306864181593216,0.6536171,-3.7349546,9.064447,-0.0720821,0.010995574,-0.062308256,TONIC,afdf55ed2a96
1776053853049,306864201612747,0.58418524,-3.7421372,8.690952,-0.080634214,0.010995574,-0.07941248,TONIC,afdf55ed2a96
1776053853060,306864221632279,0.50038815,-3.6343982,8.291121,-0.16737708,-0.058643065,-0.081855945,TONIC,afdf55ed2a96
1776053853082,306864241651810,0.8595184,-4.0581717,8.145074,-0.30665436,-0.13805555,-0.10629055,TONIC,afdf55ed2a96
1776053853108,306864261671341,1.3479356,-4.4675803,8.935161,-0.267559,-0.10629055,-0.105068825,TONIC,afdf55ed2a96
1776053853127,306864281721390,0.91458505,-3.9193082,9.548077,0.0720821,-0.043982297,-0.16982053,TONIC,afdf55ed2a96
1776053853142,306864301740921,0.6631939,-3.335123,9.3733,0.23823744,-0.06352998,-0.17715092,TONIC,afdf55ed2a96
1776053853162,306864321760452,0.7613561,-3.4811692,8.990228,0.042760566,-0.047647487,-0.18448131,TONIC,afdf55ed2a96
1776053853195,306864341779984,0.8403648,-3.6463692,9.272743,-0.13683382,0.019547688,-0.20647246,TONIC,afdf55ed2a96
1776053853202,306864361830033,0.60812724,-3.6894648,9.397242,-0.064751714,0.036651913,-0.2406809,TONIC,afdf55ed2a96
1776053853231,306864381880081,0.8331822,-3.9193082,9.220071,-0.013439035,0.02687807,-0.21991149,TONIC,afdf55ed2a96
1776053853240,306864401899613,0.79487497,-4.173094,8.829816,-0.047647487,0.05497787,-0.20647246,TONIC,afdf55ed2a96
1776053853263,306864421919144,0.5267244,-4.2305546,8.844181,-0.057421334,0.057421334,-0.1600467,TONIC,afdf55ed2a96
1776053853300,306864441938675,0.48123455,-4.2425256,8.944737,0.012217305,0.03176499,-0.12461651,TONIC,afdf55ed2a96
1776053853306,306864461988724,0.6871359,-4.177882,8.671799,0.057421334,-0.009773844,-0.09040806,TONIC,afdf55ed2a96
1776053853329,306864482038773,0.7469909,-4.0916905,8.767567,0.073303826,-0.02565634,-0.058643065,TONIC,afdf55ed2a96
1776053853342,306864502058304,0.7469909,-4.027047,9.011775,0.12950343,-0.042760566,-0.04153884,TONIC,afdf55ed2a96
1776053853364,306864522077835,0.8714894,-3.8833952,9.368511,0.14172074,-0.043982297,-0.021991149,TONIC,afdf55ed2a96
1776053853400,306864542127884,0.9744401,-3.7948096,9.334992,0.12461651,-0.02687807,-0.036651913,TONIC,afdf55ed2a96
1776053853406,306864562177933,0.92655605,-3.5194764,9.172187,0.05375614,-0.008552114,-0.065973446,TONIC,afdf55ed2a96
1776053853433,306864582197464,0.8738836,-3.3925838,9.119514,-0.13683382,-0.009773844,-0.07941248,TONIC,afdf55ed2a96
1776053853442,306864602247513,0.8355764,-3.4524388,9.078813,-0.37140608,-0.0012217305,-0.112399206,TONIC,afdf55ed2a96
1776053853462,306864622267044,0.9744401,-3.7014358,8.523358,-0.59986967,-0.004886922,-0.12705997,TONIC,afdf55ed2a96
1776053853500,306864642317093,1.0726024,-4.546589,8.844181,-0.5571091,0.05131268,-0.10873401,TONIC,afdf55ed2a96
1776053853505,306864662336624,0.8451532,-5.1882353,8.987833,-0.07574729,0.1001819,-0.07452556,TONIC,afdf55ed2a96
1776053853534,306864682356156,0.7110779,-4.283227,8.456321,0.28588495,0.0012217305,-0.043982297,TONIC,afdf55ed2a96
1776053853544,306864702406204,0.9768343,-3.6152446,8.269572,0.33475417,-0.080634214,-0.03176499,TONIC,afdf55ed2a96
1776053853565,306864722456253,1.1085154,-3.4979286,8.468291,0.21624629,-0.09407325,-0.05009095,TONIC,afdf55ed2a96
1776053853600,306864742506302,1.271321,-3.7062242,9.284714,-0.073303826,-0.008552114,-0.07086037,TONIC,afdf55ed2a96
1776053853604,306864762525833,0.9959879,-4.110844,9.552865,-0.03176499,0.008552114,-0.04886922,TONIC,afdf55ed2a96
1776053853629,306864782545365,0.89303726,-4.0294414,9.272743,0.103847094,0.010995574,-0.015882496,TONIC,afdf55ed2a96
1776053853643,306864802564896,0.8523358,-3.775656,9.0716305,0.13194689,0.032986723,-0.012217305,TONIC,afdf55ed2a96
1776053853670,306864822614945,0.80684596,-3.6727054,8.882488,0.019547688,0.04886922,-0.02565634,TONIC,afdf55ed2a96
1776053853692,306864842664994,0.8499416,-3.7229836,9.011775,-0.14538592,0.03176499,-0.039095376,TONIC,afdf55ed2a96
1776053853720,306864862715042,0.770933,-3.8115692,8.9998045,-0.2406809,-0.0012217305,-0.02565634,TONIC,afdf55ed2a96
1776053853728,306864882765091,0.8714894,-3.7948096,8.944737,-0.31764993,-0.02443461,-0.029321533,TONIC,afdf55ed2a96
1776053853741,306864902784622,1.0342951,-4.232949,9.0716305,-0.37507126,0.030543262,-0.009773844,TONIC,afdf55ed2a96
1776053853764,306864922834671,0.85473,-5.1547165,8.710106,-0.22357668,0.07574729,0.04642576,TONIC,afdf55ed2a96
1776053853802,306864942884720,0.6536171,-4.405331,8.111555,0.064751714,0.0012217305,0.029321533,TONIC,afdf55ed2a96
1776053853809,306864962904251,0.90261406,-3.964798,8.176199,0.1441642,-0.12095132,0.06719518,TONIC,afdf55ed2a96
1776053853828,306864982923783,1.1971009,-4.1252093,8.89446,0.0,-0.10751228,0.029321533,TONIC,afdf55ed2a96
1776053853845,306865002973831,1.2114661,-4.3957543,9.232041,0.029321533,-0.06963864,0.021991149,TONIC,afdf55ed2a96
1776053853862,306865023054398,1.0606314,-4.4556093,9.126697,0.12217305,-0.04520403,0.057421334,TONIC,afdf55ed2a96
1776053853891,306865043073929,0.9959879,-4.2305546,8.846576,0.16126843,-0.02687807,0.064751714,TONIC,afdf55ed2a96
1776053853909,306865063123978,1.0366893,-3.9935284,8.827422,0.1282817,-0.029321533,0.047647487,TONIC,afdf55ed2a96
1776053853924,306865083143509,1.0749966,-4.010288,8.942344,0.058643065,-0.02321288,0.021991149,TONIC,afdf55ed2a96
1776053853942,306865103193558,0.9864111,-3.9384618,9.009381,0.015882496,-0.013439035,-0.002443461,TONIC,afdf55ed2a96
1776053853964,306865123213089,0.91937345,-3.8235402,8.892065,-0.040317107,-0.013439035,-0.02443461,TONIC,afdf55ed2a96
1776053853991,306865143232620,0.9983821,-3.9719806,8.89446,-0.17715092,-0.013439035,-0.034208454,TONIC,afdf55ed2a96
1776053854007,306865163282669,1.1348516,-4.2305546,9.011775,-0.25289822,0.0,-0.05009095,TONIC,afdf55ed2a96
1776053854024,306865183302201,1.1587936,-4.307169,8.918402,-0.19425514,0.019547688,-0.04153884,TONIC,afdf55ed2a96
1776053854042,306865203352249,1.0773908,-4.3119574,8.640674,-0.13072516,0.029321533,-0.029321533,TONIC,afdf55ed2a96
1776053854062,306865223371781,1.0702082,-4.6016555,8.808268,-0.009773844,0.05497787,-0.012217305,TONIC,afdf55ed2a96
1776053854096,306865243452347,1.0726024,-4.2880154,8.635885,0.042760566,0.02565634,-0.0036651916,TONIC,afdf55ed2a96
1776053854104,306865263471878,0.91219085,-3.9911342,8.327033,0.030543262,-0.008552114,-0.002443461,TONIC,afdf55ed2a96
1776053854127,306865283491410,0.94092125,-4.1659107,8.439561,-0.057421334,-0.052534413,0.02443461,TONIC,afdf55ed2a96
1776053854143,306865303510941,1.1875241,-4.522647,9.009381,-0.087964594,-0.07819075,0.035430185,TONIC,afdf55ed2a96
1776053854166,306865323530472,1.163582,-4.2999864,9.313444,0.081855945,-0.039095376,0.03176499,TONIC,afdf55ed2a96
