# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776052791486,1161016857303193,0.10534488,0.29927522,10.022128,NaN,NaN,NaN,TREMOR,ba806c19fd58
1776052791494,1161016865389883,0.088585466,0.31364042,10.024523,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791502,1161016873385573,0.08379706,0.30885202,10.014946,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791510,1161016881381956,0.110133275,0.30166942,10.022128,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791518,1161016889376337,0.12689269,0.31603462,10.019734,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791526,1161016897372412,0.10295067,0.31124622,10.031705,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791534,1161016905366257,0.10534488,0.30406362,10.024523,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791542,1161016913364332,0.10055647,0.30885202,10.014946,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791550,1161016921390253,0.11731588,0.30645782,10.038888,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791558,1161016929383789,0.107739076,0.30645782,10.0341,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791566,1161016937381556,0.110133275,0.30406362,10.031705,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791574,1161016945376324,0.11731588,0.30885202,10.041282,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791582,1161016953372628,0.06943185,0.30166942,9.9790325,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791590,1161016961367165,0.076614454,0.2753332,9.900024,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,ba806c19fd58
1776052791598,1161016969364394,0.019153614,0.34715924,9.916783,0.004886922,-0.0018325958,-0.0012217305,TREMOR,ba806c19fd58
1776052791606,1161016977388007,0.045489833,0.22026655,9.339781,0.013439035,-0.007941248,6.1086525E-4,TREMOR,ba806c19fd58
1776052791614,1161016985385236,-0.36631286,0.33758244,11.171345,0.026267206,-0.026267206,0.0,TREMOR,ba806c19fd58
1776052791622,1161016993379772,-0.009576807,0.4309563,10.989386,-0.015271631,0.047036625,-0.01160644,TREMOR,ba806c19fd58
1776052791630,1161017001376924,0.17717093,0.2896984,9.251195,0.01160644,0.010995574,0.0030543262,TREMOR,ba806c19fd58
1776052791638,1161017009371999,0.06464344,0.260968,9.078813,0.0036651916,0.028710667,-0.0018325958,TREMOR,ba806c19fd58
