epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776052346072,305357224935227,-4.5896845,2.89459,9.512163,-0.015882496,0.002443461,0.007330383,TREMOR,d638e4eae001
1776052346097,305357244985276,-4.6686935,2.6743233,9.504981,0.40317106,0.1282817,-0.032986723,TREMOR,d638e4eae001
1776052346104,305357265004807,-4.8698063,2.633622,9.449914,-0.9016371,0.39095375,-0.39950588,TREMOR,d638e4eae001
1776052346132,305357284924338,-4.9296613,2.633622,9.339781,-0.73914695,0.7696902,-0.7440339,TREMOR,d638e4eae001
1776052346143,305357304943870,-4.984728,2.5594015,9.255983,-0.8491027,0.8258898,-0.80756384,TREMOR,d638e4eae001
1776052346174,305357324963401,-4.9559975,2.231396,9.461885,-1.4709635,1.0091494,-1.0115929,TREMOR,d638e4eae001
1776052346190,305357344952414,-5.0302176,1.3455414,9.100361,-1.7324139,1.0824533,-1.0836749,TREMOR,d638e4eae001
1776052346208,305357364971946,-5.068525,0.50278234,9.050082,-2.1734586,1.2608259,-1.1863003,TREMOR,d638e4eae001
1776052346228,305357384991477,-5.1355624,0.32561144,8.767567,-2.2626448,1.4526376,-1.1960741,TREMOR,d638e4eae001
1776052346244,305357405011008,-5.1116204,-0.62009823,6.8330517,-2.3506095,1.6786577,-1.1838568,TREMOR,d638e4eae001
1776052346273,305357425030539,-5.231331,-1.8052281,5.379771,-2.7036896,1.8277088,-1.1191051,TREMOR,d638e4eae001
1776052346290,305357445050071,-5.590461,-2.585738,4.4699745,-2.9956832,1.9425515,-1.0384709,TREMOR,d638e4eae001
1776052346307,305357465069602,-6.090849,-4.402937,2.2361844,-3.1923819,1.958434,-0.9431759,TREMOR,d638e4eae001
1776052346324,305357485089133,-6.9838862,-6.1770406,1.6280571,-3.3475416,1.8154916,-0.83199847,TREMOR,d638e4eae001
1776052346343,305357505108664,-7.45315,-6.05733,2.9640217,-2.6096163,1.3475688,-0.71593404,TREMOR,d638e4eae001
1776052346374,305357525158713,-7.5800424,-3.5673606,3.8881836,-1.5454891,0.9981538,-0.6010914,TREMOR,d638e4eae001
