epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776053806796,306817955917651,1.6567876,-5.463568,8.101978,-0.07452556,0.017104227,0.004886922,TONIC,da5268d9f517
1776053806816,306817975906664,1.6903064,-5.48751,7.979874,0.43493605,0.07941248,-0.0036651916,TONIC,da5268d9f517
1776053806839,306817995956713,1.6543933,-5.4420204,7.955932,-0.52656585,-0.0720821,-0.019547688,TONIC,da5268d9f517
1776053806862,306818015884692,1.6759412,-5.427655,8.058883,-0.36285394,-0.0842994,-0.03176499,TONIC,da5268d9f517
1776053806874,306818035843188,1.7788919,-5.351041,8.054094,0.10140363,-0.095294975,-0.02076942,TONIC,da5268d9f517
1776053806895,306818055862719,1.8291701,-5.2289367,8.1642275,0.08552113,-0.0720821,-0.02687807,TONIC,da5268d9f517
1776053806923,306818075821215,1.7357962,-5.3127337,7.967903,0.081855945,-0.058643065,-0.043982297,TONIC,da5268d9f517
1776053806939,306818095871264,1.769315,-5.518635,7.599196,0.032986723,-0.081855945,-0.036651913,TONIC,da5268d9f517
1776053806958,306818115890795,1.8842367,-5.559336,7.7787614,0.030543262,-0.09407325,-0.028099801,TONIC,da5268d9f517
1776053806974,306818135849291,1.9273324,-5.2959743,8.255207,0.1160644,-0.112399206,-0.040317107,TONIC,da5268d9f517
1776053806995,306818155838305,2.0039468,-5.044583,8.506598,0.1600467,-0.087964594,-0.037873644,TONIC,da5268d9f517
1776053807023,306818175857836,1.8746599,-4.960786,8.259995,0.089186326,-0.062308256,-0.030543262,TONIC,da5268d9f517
1776053807039,306818195877368,1.8722657,-5.3103395,8.176199,-0.04886922,-0.04153884,-0.017104227,TONIC,da5268d9f517
1776053807056,306818215896899,1.7645266,-5.5042696,8.192958,-0.09773844,-0.034208454,-0.014660766,TONIC,da5268d9f517
1776053807074,306818235916430,1.8818425,-5.463568,8.303091,-0.052534413,-0.04153884,0.0012217305,TONIC,da5268d9f517
1776053807095,306818255935961,1.9129672,-5.391742,8.147469,0.007330383,-0.047647487,0.002443461,TONIC,da5268d9f517
1776053807128,306818275955493,1.7717092,-5.2265425,8.070854,0.02565634,-0.05009095,0.002443461,TONIC,da5268d9f517
1776053807136,306818295975024,1.922544,-5.209783,8.154651,-0.007330383,-0.04153884,-0.004886922,TONIC,da5268d9f517
1776053807162,306818315994555,1.9153614,-5.351041,8.360553,-0.02443461,-0.029321533,-0.015882496,TONIC,da5268d9f517
1776053807175,306818336014086,2.0685902,-5.2241483,8.355764,0.014660766,-0.008552114,-0.02687807,TONIC,da5268d9f517
1776053807196,306818356033618,1.9632454,-5.0876784,8.274361,-0.0012217305,0.012217305,-0.043982297,TONIC,da5268d9f517
1776053807233,306818376022631,1.9416976,-5.097255,8.1402855,-0.10140363,0.030543262,-0.06841691,TONIC,da5268d9f517
1776053807238,306818396072680,2.030283,-5.1235914,8.317456,-0.21868975,0.04886922,-0.09773844,TONIC,da5268d9f517
1776053807256,306818416092211,1.9991584,-5.0421886,8.477868,-0.27977628,0.08307768,-0.13072516,TONIC,da5268d9f517
1776053807276,306818436111743,2.0590134,-5.0421886,7.33344,-0.4654793,0.07819075,-0.14660765,TONIC,da5268d9f517
1776053807295,306818456131274,2.0853498,-6.64391,8.056489,-0.39706242,0.19058995,-0.10873401,TONIC,da5268d9f517
1776053807327,306818476181323,1.8842367,-6.241684,7.8984714,0.028099801,0.14782938,-0.07696902,TONIC,da5268d9f517
1776053807336,306818496231371,1.8818425,-4.865018,7.2711906,0.3567453,0.0061086523,-0.09040806,TONIC,da5268d9f517
