epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776054694263,307705424064499,3.3327289,-4.122815,8.250419,-0.009773844,0.009773844,0.0,JERKING,e02b0f63e82a
1776054694284,307705444084030,3.205836,-4.213795,8.264784,0.37018433,0.09285152,0.008552114,JERKING,e02b0f63e82a
1776054694320,307705464103561,3.1962593,-4.3742065,8.169016,-0.7305948,0.05497787,0.021991149,JERKING,e02b0f63e82a
1776054694326,307705484123092,3.0933087,-4.55856,8.066066,-0.30665436,0.13805555,0.052534413,JERKING,e02b0f63e82a
1776054694352,307705504173141,3.0358477,-4.8362875,7.943961,-0.2724459,0.14782938,0.052534413,JERKING,e02b0f63e82a
1776054694363,307705524192672,2.8562827,-4.8506527,8.11395,-0.21135938,0.119729586,0.06352998,JERKING,e02b0f63e82a
1776054694384,307705544242721,2.9161377,-4.6016555,8.312668,-0.14172074,0.06963864,0.07574729,JERKING,e02b0f63e82a
1776054694403,307705564262253,2.9041667,-4.5274353,8.3629465,-0.16737708,0.04153884,0.073303826,JERKING,e02b0f63e82a
1776054694431,307705584212301,2.942474,-4.4436383,8.276755,-0.28099802,0.04642576,0.061086524,JERKING,e02b0f63e82a
1776054694447,307705604231833,3.0358477,-4.6160207,8.185776,-0.408058,0.06352998,0.04153884,JERKING,e02b0f63e82a
1776054694464,307705624251364,3.086126,-4.783615,8.051701,-0.48380527,0.095294975,0.009773844,JERKING,e02b0f63e82a
1776054694482,307705644331930,3.0310593,-4.936844,7.8888946,-0.52534413,0.12583824,-0.036651913,JERKING,e02b0f63e82a
1776054694503,307705664351462,3.13401,-5.12838,7.785944,-0.5448918,0.15760323,-0.0720821,JERKING,e02b0f63e82a
1776054694531,307705684401510,3.0190883,-5.279215,7.6949644,-0.5314528,0.20525073,-0.09773844,JERKING,e02b0f63e82a
1776054694547,307705704451559,3.0119057,-5.4444146,7.7452426,-0.52290064,0.2565634,-0.11484267,JERKING,e02b0f63e82a
1776054694564,307705724471090,3.0502129,-5.463568,7.8170686,-0.49235737,0.29565877,-0.13439035,JERKING,e02b0f63e82a
1776054694583,307705744490622,3.0693667,-5.279215,7.8769236,-0.47769663,0.35308012,-0.16126843,JERKING,e02b0f63e82a
1776054694603,307705764540670,2.873042,-4.841076,7.8410106,-0.54244834,0.43249258,-0.19547687,JERKING,e02b0f63e82a
1776054694630,307705784590719,2.8802247,-4.2640734,7.836222,-0.77824235,0.4801401,-0.23701571,JERKING,e02b0f63e82a
1776054694648,307705804640768,3.110068,-4.31914,8.178593,-1.2559389,0.54367006,-0.29810223,JERKING,e02b0f63e82a
1776054694664,307705824660299,3.1890767,-4.8745947,7.9942393,-1.8057177,0.6805039,-0.36774087,JERKING,e02b0f63e82a
1776054694683,307705844679831,3.0358477,-5.2887917,7.493851,-2.2602015,0.80878556,-0.42149702,JERKING,e02b0f63e82a
1776054694703,307705864699362,3.1387985,-5.303157,7.5465236,-2.6731462,0.9126327,-0.48624873,JERKING,e02b0f63e82a
1776054694730,307705884749411,3.490746,-6.26802,7.529764,-3.0750957,0.9798279,-0.6218608,JERKING,e02b0f63e82a
1776054694748,307705904768942,3.1842883,-7.967903,7.249643,-2.8454103,0.9309586,-0.80878556,JERKING,e02b0f63e82a
1776054694764,307705924818991,2.3654714,-8.0924015,7.252037,-1.5613716,1.0030408,-0.7330383,JERKING,e02b0f63e82a
1776054694784,307705944838522,2.7006595,-7.369353,6.8881183,-0.312763,0.86620694,-0.8173377,JERKING,e02b0f63e82a
1776054694803,307705964858053,3.6415808,-7.9463553,7.3047094,0.23823744,0.8527679,-0.816116,JERKING,e02b0f63e82a
1776054694834,307705984908102,3.8714242,-8.422802,7.7213006,0.50823987,0.9297369,-0.7635816,JERKING,e02b0f63e82a
1776054694845,307706004927633,3.9863458,-8.956709,8.202535,0.52412236,0.9896017,-0.6450737,JERKING,e02b0f63e82a
1776054694867,307706024977682,3.7469256,-7.704541,7.6973586,0.29443705,0.8979719,-0.45448375,JERKING,e02b0f63e82a
1776054694885,307706045027731,3.1866825,-6.5864487,5.145139,0.13194689,0.8417723,-0.4129449,JERKING,e02b0f63e82a
1776054694904,307706065047262,2.7964275,-7.52737,4.7309427,-0.6133087,0.7855727,-0.21013765,JERKING,e02b0f63e82a
1776054694935,307706085066794,2.291251,-7.9726915,6.6774287,-0.8038987,0.8527679,-0.28710666,JERKING,e02b0f63e82a
1776054694944,307706105116842,1.2066777,-8.372523,6.2129536,0.4886922,0.95417154,-0.3408628,JERKING,e02b0f63e82a
1776054694970,307706125166891,0.50996494,-6.8545995,5.2265425,1.5430456,0.86254174,-0.4569272,JERKING,e02b0f63e82a
1776054694983,307706145247458,0.23223756,-4.5394063,4.819528,1.7348573,0.73426,-0.71593404,JERKING,e02b0f63e82a
1776054695004,307706165297506,0.074220255,-3.3734303,4.6806645,1.1325442,0.52290064,-1.0482447,JERKING,e02b0f63e82a
1776054695035,307706185317038,-0.088585466,-3.9959226,5.2385135,0.27000242,0.3726278,-1.455081,JERKING,e02b0f63e82a
1776054695043,307706205336569,0.641646,-4.2760444,4.7524905,-0.40683624,0.09773844,-1.7018706,JERKING,e02b0f63e82a
1776054695071,307706225386618,0.23223756,-1.6472107,3.454833,-0.040317107,-0.073303826,-2.0928242,JERKING,e02b0f63e82a
1776054695084,307706245406149,-0.9935937,2.5737667,1.9057846,0.83077675,-0.25289822,-2.7806585,JERKING,e02b0f63e82a
1776054695109,307706265425680,-2.2122424,6.131551,2.8514943,1.6603317,-0.7770206,-3.7959166,JERKING,e02b0f63e82a
1776054695131,307706285475729,-1.5993267,6.7923503,4.220978,1.6713274,-1.6847663,-4.9736648,JERKING,e02b0f63e82a
1776054695147,307706305556295,2.906561,5.0517654,5.485116,1.0629056,-3.2620203,-6.31879,JERKING,e02b0f63e82a
1776054695169,307706325575827,12.023681,2.7102363,6.447585,0.41050145,-5.517335,-7.888714,JERKING,e02b0f63e82a
1776054695184,307706345595358,35.575443,-1.2737153,3.6846764,0.9505063,-6.669427,-9.275378,JERKING,e02b0f63e82a
1776054695205,307706365645407,55.51675,-6.26802,6.88333,6.0866613,-5.2705455,-9.490402,JERKING,e02b0f63e82a
1776054695230,307706385756491,14.075512,-10.496181,-1.6424223,0.22357668,2.9859092,-4.3896775,JERKING,e02b0f63e82a
1776054695253,307706405776022,-10.362105,-11.7268,12.787432,-5.738468,4.246735,1.1838568,JERKING,e02b0f63e82a
1776054695265,307706425826071,-0.7086837,-7.675811,10.311827,-5.7543507,0.53878313,3.6395352,JERKING,e02b0f63e82a
1776054695285,307706445876120,19.235016,-7.201759,6.706159,-2.4874432,-3.068987,2.3286183,JERKING,e02b0f63e82a
1776054695314,307706465926169,19.855114,-7.019799,4.9296613,2.375044,0.21135938,3.196047,JERKING,e02b0f63e82a
1776054695336,307706485976217,12.7730665,0.93373865,3.7972038,4.2186356,0.119729586,2.7061331,JERKING,e02b0f63e82a
1776054695344,307706505995749,8.180987,1.2473791,4.9344497,2.806315,1.5283848,2.742785,JERKING,e02b0f63e82a
1776054695366,307706526015280,4.709395,-0.033518825,5.78918,0.91629785,1.8472565,2.3371704,JERKING,e02b0f63e82a
1776054695391,307706546065329,4.086902,-1.1923125,5.8921304,-0.3640757,1.210735,2.0024164,JERKING,e02b0f63e82a
1776054695405,307706566115378,5.3725886,-2.1092918,5.446809,-1.0250319,0.6621779,1.7886134,JERKING,e02b0f63e82a
1776054695426,307706586165426,5.7149596,-2.480393,5.3845596,-1.097114,0.6096435,1.5442673,JERKING,e02b0f63e82a
1776054695448,307706606215475,4.7381253,-2.3654714,5.303157,-0.92485,0.81000733,1.3365731,JERKING,e02b0f63e82a
1776054695465,307706626265524,3.7924154,-2.15957,4.8745947,-0.874759,0.79779,1.1679744,JERKING,e02b0f63e82a
1776054695485,307706646315573,3.6846764,-2.1547816,4.865018,-1.0665708,0.61941737,0.9737192,JERKING,e02b0f63e82a
1776054695507,307706666365622,4.0198646,-2.4492683,5.0493712,-1.2620476,0.39706242,0.7806858,JERKING,e02b0f63e82a
1776054695535,307706686385153,4.256891,-2.4756045,5.2385135,-1.0311406,0.23335053,0.5314528,JERKING,e02b0f63e82a
1776054695545,307706706404684,3.7541082,-1.5969325,4.72376,-0.28955013,0.17959438,0.14905111,JERKING,e02b0f63e82a
1776054695570,307706726454733,2.6024973,1.9895816,3.1172507,0.4886922,0.09896017,-0.40194935,JERKING,e02b0f63e82a
1776054695586,307706746474264,0.7398083,8.379706,0.7062895,1.1472049,-0.15271631,-1.428203,JERKING,e02b0f63e82a
1776054695625,307706766524313,-2.8443117,13.026852,4.213795,1.2815952,-0.89919364,-3.2253685,JERKING,e02b0f63e82a
1776054695627,307706786574362,0.6823475,6.3901243,6.1770406,0.02443461,-2.1563544,-4.972443,JERKING,e02b0f63e82a
1776054695648,307706806593893,10.927136,2.1140802,8.073248,-1.1386528,-4.4666467,-7.18011,JERKING,e02b0f63e82a
1776054695668,307706826674460,30.238768,-0.20590134,4.7285485,-0.6927212,-5.3279667,-8.681617,JERKING,e02b0f63e82a
