# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1775841392541,949617912004143,1.5394717,0.33279404,9.900024,NaN,NaN,NaN,JERKING,f77aab4d35fa
1775841392549,949617920732451,1.5634137,0.33039984,9.911995,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392557,949617928726297,1.5466543,0.33279404,9.921572,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392565,949617936723837,1.5490485,0.34237084,9.91439,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392573,949617944718837,1.532289,0.34476504,9.909601,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392581,949617952715453,1.532289,0.33279404,9.907207,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392589,949617960709991,1.5442601,0.32561144,9.916783,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392597,949617968737069,1.532289,0.32561144,9.909601,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392605,949617976730839,1.532289,0.33039984,9.907207,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392613,949617984728377,1.5275006,0.33039984,9.921572,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392621,949617992723147,1.553837,0.34237084,9.89763,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392629,949618000718609,1.5370775,0.33518824,9.907207,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392637,949618008713302,1.520318,0.33518824,9.89763,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392645,949618016710918,1.5346833,0.33279404,9.92636,0.0,-0.0012217305,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392653,949618024736456,1.5370775,0.33997664,9.900024,-0.0012217305,0.0018325958,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392661,949618032732380,1.5514427,0.320823,9.909601,0.0,0.0018325958,-0.0018325958,JERKING,f77aab4d35fa
1775841392669,949618040726611,1.541866,0.32800564,9.904813,-0.0012217305,-6.1086525E-4,-0.0012217305,JERKING,f77aab4d35fa
1775841392677,949618048724997,1.5298948,0.33518824,9.916783,-0.0012217305,0.0,-6.1086525E-4,JERKING,f77aab4d35fa
1775841392685,949618056719535,1.520318,0.34476504,9.907207,0.0,-6.1086525E-4,0.0012217305,JERKING,f77aab4d35fa
1775841392693,949618064715458,1.5370775,0.33758244,9.904813,-0.0012217305,6.1086525E-4,0.0012217305,JERKING,f77aab4d35fa
