epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777356612108,16408736018280,-9.198523,2.554613,-1.541866,0.0,0.004886922,0.02443461,JERKING,0493f8c34923
1777356612125,16408756068328,-9.150639,2.542642,-1.6112977,-0.064751714,0.007330383,-0.065973446,JERKING,0493f8c34923
1777356612144,16408776148895,-9.076419,2.645593,-1.6328455,-0.05009095,0.20647246,0.05131268,JERKING,0493f8c34923
1777356612174,16408796198944,-9.193734,2.6048915,-1.6950948,-0.015882496,0.037873644,0.017104227,JERKING,0493f8c34923
1777356612184,16408816248993,-9.097966,2.5139117,-1.7812861,-0.02565634,0.028099801,0.013439035,JERKING,0493f8c34923
1777356612204,16408836299041,-9.215282,2.5498247,-1.7549498,-0.0036651916,0.02443461,0.02076942,JERKING,0493f8c34923
1777356612224,16408856349090,-9.100361,2.516306,-1.745373,0.013439035,0.010995574,0.02321288,JERKING,0493f8c34923
1777356612255,16408876399139,-9.14585,2.6264393,-1.70946,0.004886922,0.013439035,0.02443461,JERKING,0493f8c34923
1777356612265,16408896479705,-9.172187,2.6743233,-1.7190368,-0.0061086523,0.0061086523,0.014660766,JERKING,0493f8c34923
1777356612288,16408916560272,-9.220071,2.7126305,-1.7525556,-0.02687807,-0.0012217305,0.013439035,JERKING,0493f8c34923
1777356612304,16408936610321,-9.136273,2.585738,-1.7884687,-0.06352998,-0.004886922,0.021991149,JERKING,0493f8c34923
1777356612337,16408956690887,-9.181764,2.6479871,-1.7980455,-0.057421334,0.0,0.035430185,JERKING,0493f8c34923
1777356612347,16408976771453,-9.313444,2.681506,-1.934515,-0.009773844,-0.0061086523,0.05131268,JERKING,0493f8c34923
1777356612369,16408996852020,-9.330204,3.53863,-2.3870192,-0.0012217305,-0.043982297,-0.0036651916,JERKING,0493f8c34923
1777356612382,16409016602069,-9.28232,3.9121256,-2.6982653,-0.111177474,-0.0720821,-0.015882496,JERKING,0493f8c34923
1777356612402,16409036582635,-9.129091,3.7780502,-2.765303,-0.27977628,-0.14172074,-0.105068825,JERKING,0493f8c34923
1777356612422,16409056602166,-9.332599,3.8546648,-3.145981,-0.30787608,-0.16615535,-0.13683382,JERKING,0493f8c34923
1777356612445,16409076521698,-9.433155,4.795586,-3.727772,-0.267559,-0.29565877,-0.28710666,JERKING,0493f8c34923
1777356612476,16409096541229,-9.7084875,6.730101,-5.068525,-0.29443705,-0.50701815,-0.47891834,JERKING,0493f8c34923
1777356612482,16409116591278,-10.024523,9.196129,-6.3805475,-0.62796944,-0.7648033,-0.7684685,JERKING,0493f8c34923
1777356612504,16409136441327,-8.971074,8.461109,-5.8945246,-1.3854424,-1.1691961,-1.1081096,JERKING,0493f8c34923
1777356612523,16409156491375,-7.541735,5.48751,-3.9432502,-2.0928242,-1.3683381,-1.4110987,JERKING,0493f8c34923
1777356612555,16409176510907,-6.55293,4.1036615,-1.7836803,-2.117259,-1.4306464,-1.7886134,JERKING,0493f8c34923
1777356612563,16409196530438,-6.3230867,4.465186,-0.090979666,-1.7898352,-1.5027285,-2.2602015,JERKING,0493f8c34923
1777356612590,16409216549969,-6.325481,4.3119574,0.6607997,-1.7238617,-1.5381587,-2.7061331,JERKING,0493f8c34923
1777356612602,16409236569500,-5.650316,4.050989,0.7589619,-1.7263051,-1.6481144,-3.363424,JERKING,0493f8c34923
1777356612623,16409256589032,-4.55856,2.8179753,0.25617957,-1.6114625,-1.7776178,-4.012163,JERKING,0493f8c34923
1777356612660,16409276608563,-4.2904096,0.6607997,-0.6751649,-1.4367551,-1.7055358,-4.2736135,JERKING,0493f8c34923
1777356612666,16409296658612,-3.4644098,-1.0869676,-0.46926352,-0.74036866,-1.6945401,-4.517959,JERKING,0493f8c34923
1777356612692,16409316678143,-2.3702598,-2.2050598,-0.30406362,0.19058995,-1.9095647,-4.6987753,JERKING,0493f8c34923
1777356612704,16409336697674,-1.5873557,-2.8634653,0.7062895,0.7672467,-2.0549507,-4.78674,JERKING,0493f8c34923
1777356612724,16409356717205,0.079008654,-6.277597,3.5649664,0.8173377,-2.2137756,-4.6865582,JERKING,0493f8c34923
1777356612753,16409376767254,1.7932571,-11.449073,6.6486983,0.5131268,-2.212554,-4.2369614,JERKING,0493f8c34923
1777356612762,16409396786786,-0.91697925,-14.669273,7.735666,0.34208453,-1.5112807,-3.3341024,JERKING,0493f8c34923
1777356612785,16409416836834,-5.7245364,-18.452112,10.352529,0.28221974,-0.66828656,-2.3518312,JERKING,0493f8c34923
1777356612803,16409436886883,-8.59279,-22.39297,11.468226,0.4288274,-0.32986724,-1.8032742,JERKING,0493f8c34923
1777356612875,16409456875897,-10.070012,-22.076935,11.8896055,1.518611,-0.112399206,-0.9981538,JERKING,0493f8c34923
1777356612877,16409476925946,-8.669404,-18.423382,11.183316,2.0793853,-0.096516706,-0.017104227,JERKING,0493f8c34923
1777356612878,16409496975995,-6.1004257,-15.045163,9.19134,1.328021,0.24923302,0.93828905,JERKING,0493f8c34923
1777356612882,16409516995526,-4.6782703,-12.70124,7.955932,0.21991149,0.87964594,1.8081611,JERKING,0493f8c34923
1777356612918,16409536915057,-4.1922474,-11.173739,7.0221934,-0.5522222,1.4343116,2.485,JERKING,0493f8c34923
1777356612925,16409556934588,-4.1395745,-9.710882,5.93762,-0.7305948,1.7214183,2.983466,JERKING,0493f8c34923
1777356612943,16409576984637,-4.2161894,-7.9750857,4.745308,-0.5326745,1.8423696,3.3023374,JERKING,0493f8c34923
1777356612967,16409597034686,-4.402937,-6.021417,3.5122938,-0.32253686,1.9193386,3.5283577,JERKING,0493f8c34923
1777356612983,16409617054217,-4.5034933,-4.225766,2.6312277,-0.24190263,1.9315559,3.6664133,JERKING,0493f8c34923
1777356613003,16409637073748,-4.6016555,-2.7341783,2.3008277,-0.33964106,1.9058995,3.6969564,JERKING,0493f8c34923
1777356613023,16409657093280,-4.501099,-1.9369092,1.8435353,-0.5045747,1.8484782,3.6981783,JERKING,0493f8c34923
1777356613044,16409677112811,-4.7740383,-0.8499416,1.6352397,-0.6377433,1.8362609,3.684739,JERKING,0493f8c34923
1777356613066,16409697132342,-5.070919,0.090979666,1.3958195,-0.8539896,1.7666223,3.6688566,JERKING,0493f8c34923
1777356613087,16409717182391,-5.2768207,0.60333884,1.2210429,-1.4648548,1.6310102,3.684739,JERKING,0493f8c34923
1777356613109,16409737201922,-5.6096144,1.6232687,0.7086837,-2.543643,1.4624114,3.7861428,JERKING,0493f8c34923
1777356613126,16409757251971,-6.730101,2.4516625,0.48123455,-3.6248744,1.2791518,3.9877284,JERKING,0493f8c34923
1777356613143,16409777271502,-8.099585,2.348712,1.1540052,-4.0989056,0.9761627,4.2369614,JERKING,0493f8c34923
1777356613163,16409797260516,-7.443573,2.2337902,2.0829554,-3.4171803,0.43127087,4.2626176,JERKING,0493f8c34923
1777356613183,16409817310565,-5.3342814,3.028665,1.9081788,-1.6493362,-0.017104227,3.9816196,JERKING,0493f8c34923
1777356613204,16409837330096,-4.156334,5.8322754,1.0127473,0.24312437,0.02076942,3.604105,JERKING,0493f8c34923
1777356613223,16409857380145,-4.369418,9.239224,0.021547815,1.5344934,0.4202753,3.2045991,JERKING,0493f8c34923
1777356613249,16409877399676,-5.7604494,13.718776,-0.7278373,1.5858061,0.7476991,2.8087585,JERKING,0493f8c34923
1777356613270,16409897419207,-6.991069,17.32205,-1.3503298,0.7147123,0.75869465,2.3603833,JERKING,0493f8c34923
1777356613289,16409917438739,-6.3087215,16.90067,-2.078167,-0.73792523,0.42271876,1.6786577,JERKING,0493f8c34923
1777356613309,16409937458270,-5.638345,15.492879,-1.376666,-1.6639969,0.29810223,0.66950834,JERKING,0493f8c34923
1777356613331,16409957538836,-6.385336,15.162479,-0.62728083,-1.1215485,0.5717699,-0.56077427,JERKING,0493f8c34923
1777356613354,16409977588885,-7.019799,15.023616,-0.9911995,-0.061086524,0.5839872,-1.6676621,JERKING,0493f8c34923
1777356613367,16409997608416,-6.6534867,14.401123,-1.9656396,0.56688297,0.3200934,-2.5815165,JERKING,0493f8c34923
1777356613396,16410017658465,-5.7484784,12.401965,-2.195483,0.5290093,0.07696902,-3.3719761,JERKING,0493f8c34923
1777356613410,16410037677996,-4.879383,9.41879,-1.9632454,0.11362094,-0.073303826,-4.085467,JERKING,0493f8c34923
1777356613427,16410057728045,-4.1299977,6.4068837,-1.5514427,-0.20647246,-0.18448131,-4.6230283,JERKING,0493f8c34923
1777356613446,16410077778094,-3.7612908,3.4859576,-1.4413095,-0.24923302,-0.267559,-4.918687,JERKING,0493f8c34923
1777356613469,16410097828143,-3.6607344,1.3814543,-1.2737153,0.030543262,-0.30909783,-5.064073,JERKING,0493f8c34923
1777356613496,16410117878192,-3.8043866,0.2657564,-1.115698,0.5900958,-0.37384954,-5.072625,JERKING,0493f8c34923
1777356613513,16410137928241,-3.8043866,-0.7038953,-0.61770403,1.2229522,-0.47769663,-4.982217,JERKING,0493f8c34923
1777356613532,16410157978289,-3.0382419,-2.896984,-0.1388637,1.53205,-0.74036866,-4.831944,JERKING,0493f8c34923
1777356613551,16410178058856,-2.2481554,-5.5760956,0.5506664,1.210735,-1.0152581,-4.647463,JERKING,0493f8c34923
1777356613570,16410198108905,-2.89459,-7.5680714,0.7613561,0.48502702,-0.93584555,-4.344474,JERKING,0493f8c34923
1777356613590,16410218128436,-3.8115692,-12.696451,2.4875755,0.13316862,-0.625526,-3.780034,JERKING,0493f8c34923
1777356613610,16410238239520,-4.697424,-19.02672,4.7405195,-0.23457226,-0.3652974,-2.7721064,JERKING,0493f8c34923
1777356613631,16410258289569,-8.7292595,-21.346703,5.506664,0.09285152,0.14782938,-1.6639969,JERKING,0493f8c34923
1777356613662,16410278339618,-13.146562,-19.759346,5.1355624,0.2443461,0.34697145,-0.34697145,JERKING,0493f8c34923
1777356613673,16410298420184,-14.243106,-18.545486,4.474763,-0.26145032,0.26511553,0.72326446,JERKING,0493f8c34923
1777356613693,16410318470233,-12.698846,-16.713923,4.000711,-0.47525316,0.25411993,1.5931365,JERKING,0493f8c34923
1777356613716,16410338581317,-9.8042555,-13.469779,3.4261026,-0.029321533,0.23945917,2.257758,JERKING,0493f8c34923
1777356613726,16410358600848,-7.216124,-10.266336,2.5953147,0.38362336,0.30543262,2.7867672,JERKING,0493f8c34923
1777356613748,16410378681414,-5.17387,-7.5680714,1.745373,0.5717699,0.39950588,3.222925,JERKING,0493f8c34923
1777356613770,16410398700946,-3.916914,-5.0278234,1.055843,0.7171558,0.52412236,3.562566,JERKING,0493f8c34923
1777356613790,16410418720477,-3.4141316,-2.3870192,0.4405331,0.7367035,0.6780604,3.7348301,JERKING,0493f8c34923
1777356613824,16410438740008,-3.394978,-1.0390835,-0.07182605,0.54000485,0.8503244,3.8472292,JERKING,0493f8c34923
1777356613831,16410458790057,-4.2161894,0.59376204,-0.533907,0.1160644,1.0421361,3.9461894,JERKING,0493f8c34923
1777356613850,16410478840106,-5.3247046,1.3335704,-0.51235914,-0.1160644,1.1496484,4.019493,JERKING,0493f8c34923
1777356613870,16410498859637,-5.829881,1.70946,-0.80924016,-0.4642576,1.0690142,4.0414844,JERKING,0493f8c34923
1777356613888,16410518879168,-6.169858,2.1691468,-0.89782566,-0.65118235,0.94806284,3.9913936,JERKING,0493f8c34923
1777356613907,16410538898700,-6.26802,2.966416,-0.92176765,-0.5326745,0.83077675,3.9376373,JERKING,0493f8c34923
1777356613930,16410558918231,-6.126762,4.24492,-1.4796166,-0.37751472,0.6976081,3.893655,JERKING,0493f8c34923
1777356613951,16410578937762,-5.793968,5.5737014,-1.6543933,-0.18448131,0.56688297,3.8313468,JERKING,0493f8c34923
1777356613982,16410598957293,-5.3318872,6.943185,-1.6256629,-0.09773844,0.4728097,3.7226129,JERKING,0493f8c34923
1777356613995,16410619007342,-4.7524905,8.463503,-1.5011644,-0.19914207,0.36285394,3.5149186,JERKING,0493f8c34923
1777356614012,16410639026873,-4.307169,9.629479,-1.5586253,-0.33353242,0.3115413,3.2583551,JERKING,0493f8c34923
1777356614034,16410659076922,-4.357447,10.5919485,-1.7166426,-0.4288274,0.34697145,2.9907963,JERKING,0493f8c34923
1777356614059,16410679126971,-5.0278234,11.899182,-1.7310078,-0.38240165,0.45081854,2.670703,JERKING,0493f8c34923
1777356614071,16410699146502,-6.033388,14.992491,-1.7501614,-0.21868975,0.47158796,2.1905627,JERKING,0493f8c34923
1777356614090,16410719196551,-6.0980315,17.853561,-1.6304513,-0.04642576,0.24312437,1.4489723,JERKING,0493f8c34923
1777356614111,16410739216082,-4.939238,18.899828,-1.6711528,-0.12339478,-0.10751228,0.3848451,JERKING,0493f8c34923
1777356614134,16410759296649,-4.381389,18.50239,-1.673547,-0.21868975,-0.13194689,-0.79290307,JERKING,0493f8c34923
1777356614150,16410779316180,-4.7309427,16.70674,-1.6879122,-0.1441642,0.007330383,-1.8106046,JERKING,0493f8c34923
1777356614173,16410799366229,-4.781221,14.513651,-1.8555063,-0.014660766,-0.062308256,-2.6230555,JERKING,0493f8c34923
1777356614190,16410819416278,-4.560954,12.86644,-2.0590134,0.02687807,-0.22235495,-3.2925637,JERKING,0493f8c34923
1777356614211,16410839435809,-4.2999864,11.353305,-1.8411411,-0.07086037,-0.35185838,-3.844786,JERKING,0493f8c34923
1777356614231,16410859485858,-3.8187518,9.375694,-1.532289,-0.27366763,-0.47647488,-4.324926,JERKING,0493f8c34923
1777356614251,16410879505389,-3.430891,6.9982514,-1.3455414,-0.44104472,-0.5888741,-4.714658,JERKING,0493f8c34923
1777356614271,16410899524920,-3.4237084,5.00867,-1.3359646,-0.4813618,-0.6377433,-4.97,JERKING,0493f8c34923
1777356614292,16410919544452,-3.2848446,3.0933087,-0.9528923,-0.2443461,-0.65484756,-5.10439,JERKING,0493f8c34923
1777356614317,16410939563983,-3.064578,1.067814,-0.521936,0.0720821,-0.75747293,-5.1642547,JERKING,0493f8c34923
1777356614331,16410959583514,-2.8993783,-0.29688102,-0.2873042,0.37018433,-0.8491027,-5.214346,JERKING,0493f8c34923
1777356614360,16410979603045,-2.8778305,-0.7733272,-0.830788,0.72326446,-0.874759,-5.249776,JERKING,0493f8c34923
1777356614371,16410999622577,-2.8203697,-2.0254946,-0.7086837,1.1520919,-0.93218035,-5.2326717,JERKING,0493f8c34923
1777356614394,16411019642108,-1.7717092,-5.209783,0.7374141,1.3646729,-1.1337659,-5.0604076,JERKING,0493f8c34923
1777356614410,16411039661639,-1.5705963,-7.5225816,2.0638018,1.4318681,-1.1582005,-4.8099527,JERKING,0493f8c34923
1777356614431,16411059711688,-3.098097,-10.036493,2.9616275,1.781283,-0.90041536,-4.4043384,JERKING,0493f8c34923
1777356614462,16411079731219,-4.343082,-11.870452,4.6519337,1.8106046,-0.9407325,-3.8337903,JERKING,0493f8c34923
1777356614472,16411099750750,-5.6335564,-15.454572,6.787562,2.1294763,-0.8173377,-3.005457,JERKING,0493f8c34923
1777356614494,16411119800799,-8.4347725,-16.905458,7.917625,2.3652701,-0.5314528,-2.1539109,JERKING,0493f8c34923
1777356614515,16411139789813,-10.378864,-16.079458,8.554482,2.098933,-0.42394048,-1.2253957,JERKING,0493f8c34923
1777356614530,16411159839862,-9.416395,-17.027563,9.119514,1.1117748,-0.29810223,-0.31764993,JERKING,0493f8c34923
1777356614550,16411179859393,-9.076419,-17.468096,8.707711,0.27488935,0.26633725,0.6291912,JERKING,0493f8c34923
1777356614572,16411199878924,-8.662222,-14.93503,7.608773,0.15271631,0.7134906,1.4831808,JERKING,0493f8c34923
1777356614595,16411219898455,-6.9838862,-11.616667,6.349423,-0.012217305,0.9651671,2.0427334,JERKING,0493f8c34923
1777356618028,16411239948504,-6.007052,-9.725247,5.058948,-0.29565877,1.2864822,2.547308,JERKING,0493f8c34923
1777356618085,16411259998553,-5.4539914,-7.81228,3.9121256,-0.3567453,1.500285,2.9932396,JERKING,0493f8c34923
1777356618086,16411280018084,-4.8506527,-6.0022635,2.8395233,-0.33108896,1.582141,3.336546,JERKING,0493f8c34923
1777356618088,16409897419207,-6.991069,17.32205,-1.3503298,0.7147123,0.75869465,2.3603833,JERKING,0493f8c34923
1777356618090,16414921217743,-2.7102363,5.056554,-1.1372458,-0.6206391,-0.3408628,-5.0029864,JERKING,0493f8c34923
1777356618091,16414940637274,-2.8179753,2.813187,-1.0127473,-0.8405506,-0.38240165,-5.112942,JERKING,0493f8c34923
1777356618094,16414960087323,-3.2154129,1.1611878,-0.9552865,-0.9456194,-0.37995818,-5.116607,JERKING,0493f8c34923
1777356618096,16414979476336,-3.5577838,-0.260968,-0.35194764,-0.65240407,-0.36651915,-5.032308,JERKING,0493f8c34923
1777356618105,16414998926385,-3.6727054,-1.6831238,-0.14844051,0.04153884,-0.376293,-4.9419,JERKING,0493f8c34923
