epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777348300347,8096972874344,1.4556746,1.316811,10.199299,-0.04153884,0.039095376,0.05009095,TONIC,0891556b08fe
1777348300382,8096992954910,1.0319009,1.42455,9.782708,-0.087964594,0.04153884,-0.029321533,TONIC,0891556b08fe
1777348300386,8097013035477,0.8355764,1.4053963,8.322245,-0.3359759,0.49846604,0.12583824,TONIC,0891556b08fe
1777348300406,8097033116043,0.39983168,1.2258313,9.7084875,-0.41416663,0.6072,0.2724459,TONIC,0891556b08fe
1777348300420,8097053196610,0.19153613,1.7836803,9.296685,0.010995574,0.45937067,0.28099802,TONIC,0891556b08fe
1777348300448,8097073277176,0.12928689,1.2497733,9.31105,0.1966986,0.39584067,0.35185838,TONIC,0891556b08fe
1777348300472,8097093388260,0.5267244,1.6927006,8.939949,0.18448131,0.3213151,0.3408628,TONIC,0891556b08fe
1777348300481,8097113438309,0.5482722,1.733402,9.224859,0.028099801,0.41783184,0.4373795,TONIC,0891556b08fe
1777348300505,8097133549393,0.095768064,1.8986019,10.1226845,0.021991149,0.5290093,0.48258355,TONIC,0891556b08fe
1777348300521,8097153629959,0.4429273,1.733402,9.459491,0.23457226,0.34208453,0.42271876,TONIC,0891556b08fe
1777348300556,8097173680008,0.31364042,2.8299465,8.413225,0.43493605,0.28344148,0.36041048,TONIC,0891556b08fe
1777348300562,8097193791092,0.5626374,2.813187,8.226477,0.3371976,0.2883284,0.344528,TONIC,0891556b08fe
1777348300586,8097213871658,0.36391866,2.4013844,8.413225,0.267559,0.30298916,0.27488935,TONIC,0891556b08fe
1777348300601,8097233952225,0.22984336,2.566584,8.516175,0.37751472,0.15882497,0.1282817,TONIC,0891556b08fe
1777348300621,8097254032791,0.272939,2.846706,8.075643,0.42638394,-0.009773844,-0.0012217305,TONIC,0891556b08fe
1777348300640,8097274052322,0.4261679,3.6176388,7.603985,0.2761111,-0.14660765,-0.07086037,TONIC,0891556b08fe
1777348300674,8097293871854,0.78529817,2.9951463,7.9248075,-0.02565634,-0.14782938,-0.061086524,TONIC,0891556b08fe
1777348300694,8097313691385,0.46208093,2.6168625,8.595184,-0.19914207,-0.08307768,-0.059864793,TONIC,0891556b08fe
1777348300713,8097333541434,0.16998832,2.3774424,8.801085,-0.19181168,-0.2284636,-0.13194689,TONIC,0891556b08fe
1777348300732,8097353560965,0.8451532,2.528277,8.865729,-0.07819075,-0.42271876,-0.15271631,TONIC,0891556b08fe
1777348300740,8097373541531,0.7086837,2.5187001,8.913613,-0.10140363,-0.3848451,-0.09040806,TONIC,0891556b08fe
1777348300775,8097393591580,1.1061212,2.1930888,9.830592,-0.12705997,-0.3200934,0.0012217305,TONIC,0891556b08fe
1777348300780,8097413611111,0.62249243,1.5490485,10.242394,-0.096516706,-0.267559,0.02321288,TONIC,0891556b08fe
1777348300803,8097433630643,1.3000516,2.1140802,9.8042555,0.0036651916,-0.37507126,-0.04520403,TONIC,0891556b08fe
1777348300819,8097453680692,0.9888053,2.087744,9.734824,-0.061086524,-0.25045475,-0.008552114,TONIC,0891556b08fe
1777348300842,8097473700223,1.3503298,2.3056161,10.043676,-0.09285152,-0.1441642,0.047647487,TONIC,0891556b08fe
1777348300876,8097493750272,0.7565677,2.4420857,10.390836,-0.23090707,-0.007330383,0.09285152,TONIC,0891556b08fe
1777348300880,8097513800320,0.9552865,1.8219875,10.240001,-0.29565877,-0.0720821,0.08307768,TONIC,0891556b08fe
1777348300906,8097533819852,0.830788,1.8219875,9.828198,-0.23335053,-0.07452556,0.05131268,TONIC,0891556b08fe
1777348300920,8097553869901,0.9720459,2.123657,9.368511,-0.007330383,-0.02565634,0.06719518,TONIC,0891556b08fe
1777348300942,8097573919949,0.7422025,1.8148049,9.619903,0.073303826,0.13561209,0.118507855,TONIC,0891556b08fe
1777348300989,8097593969998,0.5722142,1.9967642,9.555259,0.14172074,0.13561209,0.12950343,TONIC,0891556b08fe
1777348300994,8097613989529,0.40222588,1.8243817,9.090784,0.13194689,0.047647487,0.095294975,TONIC,0891556b08fe
1777348301000,8097634009061,0.5315128,2.1021092,7.8410106,0.043982297,-0.015882496,0.081855945,TONIC,0891556b08fe
1777348301020,8097654059110,0.866701,2.135628,8.027759,-0.13927728,0.059864793,0.17715092,TONIC,0891556b08fe
1777348301045,8097674139676,0.35194764,1.721431,9.540894,-0.3933972,0.13927728,0.31398472,TONIC,0891556b08fe
1777348301064,8097694189725,0.39504328,1.0749966,9.210494,-0.53878313,-0.119729586,0.3494149,TONIC,0891556b08fe
1777348301099,8097714270291,0.51475334,1.5825673,8.851364,-0.2565634,-0.3640757,0.3200934,TONIC,0891556b08fe
1777348301110,8097734350858,1.103727,1.7836803,8.576031,-0.004886922,-0.44348818,0.3726278,TONIC,0891556b08fe
1777348301120,8097754431424,1.067814,2.0925324,9.78989,-0.06352998,-0.2687807,0.39706242,TONIC,0891556b08fe
1777348301140,8097774511990,0.93852705,1.6591818,10.398018,-0.06352998,-0.2406809,0.33108896,TONIC,0891556b08fe
1777348301175,8097794562039,1.6448165,1.8483237,10.007763,0.095294975,-0.4202753,0.14049901,TONIC,0891556b08fe
1777348301182,8097814642606,1.7238252,2.5378537,9.196129,0.20647246,-0.32742378,0.037873644,TONIC,0891556b08fe
1777348301216,8097834692654,1.4173675,2.9137435,9.114726,-0.11728613,-0.081855945,0.039095376,TONIC,0891556b08fe
1777348301229,8097854742703,0.8762778,2.2290018,9.291897,-0.43249258,0.05131268,-0.019547688,TONIC,0891556b08fe
1777348301266,8097874853787,0.85473,2.1212628,9.476251,-0.23335053,-0.047647487,-0.20280726,TONIC,0891556b08fe
1777348301268,8097894903836,1.3215994,2.147599,8.868123,0.064751714,-0.19792034,-0.32742378,TONIC,0891556b08fe
1777348301282,8097914984402,1.8028339,2.1068976,8.834604,0.039095376,-0.12095132,-0.32986724,TONIC,0891556b08fe
1777348301304,8097935034451,1.352724,1.4317327,9.677363,-0.2846632,0.13805555,-0.2602286,TONIC,0891556b08fe
1777348301321,8097955053983,1.1994951,0.61770403,10.491392,-0.4654793,0.2003638,-0.25778514,TONIC,0891556b08fe
1777348301352,8097975104031,1.1923125,0.79008657,10.0341,-0.23945917,0.089186326,-0.31642818,TONIC,0891556b08fe
1777348301375,8097995123563,1.2976574,1.4580688,9.31105,-0.02687807,0.06719518,-0.29077184,TONIC,0891556b08fe
1777348301382,8098015173611,1.4796166,1.6136919,9.569624,-0.18448131,0.22235495,-0.19425514,TONIC,0891556b08fe
1777348301404,8098035223660,1.0079589,1.8555063,10.18254,-0.6609562,0.39950588,-0.13194689,TONIC,0891556b08fe
1777348301421,8098055273709,0.9600749,0.8595184,9.907207,-0.9798279,0.33964106,-0.09040806,TONIC,0891556b08fe
1777348301457,8098075293240,0.9792285,1.4987702,9.457097,-1.0128145,0.30665436,-0.09040806,TONIC,0891556b08fe
1777348301466,8098095312772,0.9744401,1.8818425,8.961497,-1.4856243,0.40683624,0.042760566,TONIC,0891556b08fe
1777348301499,8098115332303,0.80924016,0.8499416,9.299079,-2.5998425,0.6169739,0.22602014,TONIC,0891556b08fe
1777348301507,8098135351834,0.78290397,-1.9752164,10.206482,-2.987131,0.68294734,0.43004912,TONIC,0891556b08fe
1777348301522,8098155401883,0.14604631,-1.6041151,10.479421,-2.5607471,0.6169739,0.37018433,TONIC,0891556b08fe
1777348301561,8098175421414,0.46686932,-2.5881321,9.916783,-2.057394,0.35796702,0.4129449,TONIC,0891556b08fe
1777348301563,8098195471463,-0.24181437,-1.5298948,9.689334,-1.6126842,0.4251622,0.3640757,TONIC,0891556b08fe
1777348301590,8098215521512,-0.24899697,-2.1212628,9.507375,-1.2596041,0.31764993,0.32375857,TONIC,0891556b08fe
1777348301603,8098235571561,-0.2801216,-2.1164744,9.193734,-0.73426,0.19303341,0.22113322,TONIC,0891556b08fe
1777348301642,8098255591092,0.06703765,-2.5378537,9.275137,-0.2883284,0.1160644,0.17348573,TONIC,0891556b08fe
1777348301646,8098275671658,0.18195933,-2.3223755,9.109938,0.25167647,0.09040806,0.172264,TONIC,0891556b08fe
1777348301674,8098295691190,0.0,-2.0949266,9.469068,0.5742133,0.14905111,0.1966986,TONIC,0891556b08fe
1777348301684,8098315741238,-0.19393034,-1.1300632,9.543288,0.52534413,0.08307768,0.112399206,TONIC,0891556b08fe
1777348301706,8098335791287,-0.15083471,-1.0175357,8.860941,0.23457226,-0.10873401,0.009773844,TONIC,0891556b08fe
1777348301722,8098355841336,0.49320555,-1.352724,7.6590514,0.1160644,-0.20891592,0.0,TONIC,0891556b08fe
1777348301745,8098375860867,0.45010993,-2.2816741,9.354146,0.18203785,0.059864793,0.032986723,TONIC,0891556b08fe
1777348301775,8098395880399,-0.007182605,-1.5969325,9.861717,0.42271876,0.17715092,0.029321533,TONIC,0891556b08fe
1777348301783,8098415930447,0.10055647,-1.769315,9.696517,0.29077184,0.030543262,0.0036651916,TONIC,0891556b08fe
1777348301803,8098435949979,-0.095768064,-1.3024458,8.62152,0.13072516,-0.05375614,-0.03176499,TONIC,0891556b08fe
1777348301822,8098456000027,0.4165911,-2.1188686,8.66701,0.04886922,-0.021991149,0.065973446,TONIC,0891556b08fe
1777348301850,8098476019559,-0.16998832,-2.135628,9.967062,0.15149458,0.23090707,0.1282817,TONIC,0891556b08fe
1777348301880,8098496069608,-0.23223756,-2.0135236,9.921572,0.32253686,0.12095132,0.15760323,TONIC,0891556b08fe
1777348301886,8098516119656,-0.25617957,-1.3072342,9.148245,0.23335053,-0.030543262,0.13072516,TONIC,0891556b08fe
1777348301905,8098536139188,-0.059855044,-1.13964,8.700529,0.081855945,-0.07941248,0.18448131,TONIC,0891556b08fe
1777348301928,8098556158719,-0.031124622,-1.2066777,9.224859,0.06352998,0.02443461,0.2321288,TONIC,0891556b08fe
1777348301947,8098576178250,-0.24899697,-1.4987702,9.9790325,0.172264,0.059864793,0.24923302,TONIC,0891556b08fe
1777348301973,8098596197781,-0.1340753,-1.1875241,9.9790325,0.21013765,-0.07574729,0.19303341,TONIC,0891556b08fe
1777348301983,8098616217313,0.16280572,-0.93134445,8.899248,0.09896017,-0.20280726,0.16249016,TONIC,0891556b08fe
1777348302008,8098636236844,0.22744916,-0.9840169,9.224859,0.012217305,-0.096516706,0.20280726,TONIC,0891556b08fe
1777348302037,8098656286893,-0.01436521,-1.1923125,10.134656,-0.009773844,0.013439035,0.22357668,TONIC,0891556b08fe
1777348302042,8098676367459,0.10055647,-1.2378023,10.041282,0.02076942,-0.07696902,0.17104226,TONIC,0891556b08fe
1777348302069,8098696417508,0.1388637,-0.80205756,9.385271,0.14049901,-0.14294247,0.1001819,TONIC,0891556b08fe
