# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777356522046,16364240901430,2.111686,3.4715924,9.064447,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522054,16364248988204,2.1452048,3.4332852,9.050082,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522062,16364256985441,2.1643584,3.41892,9.035717,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522070,16364264979523,2.135628,3.371036,9.038112,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522078,16364272973683,2.0685902,3.3327289,9.006987,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522086,16364280969996,2.0159178,3.3183637,8.963891,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522094,16364288965770,1.9249382,3.3207579,8.973468,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522102,16364296992853,1.8435353,3.3159695,8.9519205,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522110,16364304987858,1.7501614,3.301604,8.939949,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522118,16364312982941,1.6998832,3.2800562,8.872911,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522126,16364320978330,1.6496049,3.3638535,8.90643,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522134,16364328975335,1.769315,3.550601,9.100361,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522142,16364336969188,1.8698715,3.5984852,9.303867,0.007330383,-0.0018325958,0.0,JERKING,10778cb0282b
1777356522150,16364344964269,1.9536686,3.6894648,9.543288,0.002443461,-0.0012217305,0.007330383,JERKING,10778cb0282b
1777356522158,16364352990968,2.0685902,3.6774938,9.603143,-6.1086525E-4,-0.009773844,0.01038471,JERKING,10778cb0282b
1777356522166,16364360987973,2.2050598,3.6391866,9.543288,-0.0012217305,-0.013439035,0.012217305,JERKING,10778cb0282b
1777356522174,16364368981516,2.183512,3.5362358,9.473856,-0.004886922,-0.010995574,0.004886922,JERKING,10778cb0282b
1777356522182,16364376978676,2.1188686,3.454833,9.375694,-0.008552114,-0.0036651916,6.1086525E-4,JERKING,10778cb0282b
1777356522190,16364384973220,2.054225,3.4045548,9.26556,-0.005497787,0.0061086523,0.0018325958,JERKING,10778cb0282b
1777356522198,16364392967995,1.9871874,3.4524388,9.155427,0.002443461,0.01160644,6.1086525E-4,JERKING,10778cb0282b
1777356522206,16364400965769,1.9273324,3.514688,9.038112,0.01038471,0.013439035,0.0018325958,JERKING,10778cb0282b
1777356522214,16364408990697,1.8914193,3.5745432,8.944737,0.009773844,0.014660766,0.0036651916,JERKING,10778cb0282b
1777356522222,16364416986472,1.910573,3.58412,8.925584,0.0030543262,0.015882496,0.0036651916,JERKING,10778cb0282b
1777356522230,16364424983939,1.9369092,3.53863,8.908825,-6.1086525E-4,0.010995574,0.005497787,JERKING,10778cb0282b
1777356522238,16364432980253,1.946486,3.383007,8.793902,-0.0012217305,0.008552114,0.0030543262,JERKING,10778cb0282b
1777356522246,16364440976335,1.9440918,3.2130187,8.688558,-6.1086525E-4,0.004276057,6.1086525E-4,JERKING,10778cb0282b
1777356522254,16364448970494,1.9440918,3.040636,8.556877,0.002443461,0.0067195175,6.1086525E-4,JERKING,10778cb0282b
1777356522262,16364456963961,1.910573,2.873042,8.334216,0.01282817,0.014660766,-0.0030543262,JERKING,10778cb0282b
1777356522270,16364464991351,1.7525556,2.7341783,8.090008,0.032986723,0.02565634,-0.012217305,JERKING,10778cb0282b
1777356522278,16364472984972,1.685518,2.6551697,7.896077,0.057421334,0.0421497,-0.01160644,JERKING,10778cb0282b
1777356522286,16364480982746,1.8435353,2.6120741,8.046912,0.06169739,0.047036625,0.005497787,JERKING,10778cb0282b
1777356522294,16364488978444,2.2385786,2.5306711,8.7292595,0.047036625,0.05375614,0.030543262,JERKING,10778cb0282b
1777356522302,16364496974219,2.6001031,2.8874073,9.679757,0.015271631,0.09162979,0.05009095,JERKING,10778cb0282b
1777356522310,16364504971147,2.7365725,3.466804,10.7116585,-0.01038471,0.16493362,0.057421334,JERKING,10778cb0282b
1777356522318,16364512964384,2.6288335,4.1539397,11.341333,0.0,0.22235495,0.05009095,JERKING,10778cb0282b
1777356522326,16364520991389,2.2505496,4.7884035,11.317391,0.05131268,0.19364429,0.031154128,JERKING,10778cb0282b
1777356522334,16364528987394,1.8171991,5.3366756,10.500969,0.10995574,0.108123146,0.0061086523,JERKING,10778cb0282b
1777356522342,16364536980938,1.328782,5.681441,9.651027,0.12522738,0.023823744,-0.0421497,JERKING,10778cb0282b
1777356522350,16364544979405,0.91458505,5.872977,9.109938,0.042760566,-0.07941248,-0.08735373,JERKING,10778cb0282b
1777356522358,16364552972949,1.2617443,5.305551,8.983045,-0.050701816,-0.13622294,-0.052534413,JERKING,10778cb0282b
1777356522366,16364560969570,1.8914193,3.7301662,8.607155,-0.115453534,-0.15393804,-0.004276057,JERKING,10778cb0282b
1777356522374,16364568964036,1.9919758,2.705448,8.259995,-0.16310102,-0.13805555,0.007941248,JERKING,10778cb0282b
1777356522382,16364576991119,1.8267759,2.1428106,7.9343843,-0.1863139,-0.108123146,0.004886922,JERKING,10778cb0282b
