epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777359257164,19053789258355,0.90021986,-2.2242134,9.260772,0.14905111,-0.18692477,-0.3567453,FALLS,11217423f00b
1777359257291,19053809308404,0.90261406,-2.2529438,9.368511,-0.14172074,-0.103847094,0.10262536,FALLS,11217423f00b
1777359257293,19053829358453,1.2545617,-2.3319526,9.232041,-0.14660765,-0.05497787,0.14049901,FALLS,11217423f00b
1777359257297,19053849377984,1.5059528,-2.4875755,9.155427,-0.105068825,-0.21013765,0.07696902,FALLS,11217423f00b
1777359257301,19053869428033,1.0390835,-2.111686,9.246407,-0.1001819,-0.13316862,-0.07086037,FALLS,11217423f00b
1777359257303,19053889478082,1.2856863,-2.1619642,9.14585,-0.10262536,-0.19058995,-0.02076942,FALLS,11217423f00b
1777359257305,19053909558648,1.3263878,-2.1260512,9.0429,-0.10995574,-0.24312437,0.018325957,FALLS,11217423f00b
1777359257307,19053929578179,1.2162545,-2.315193,9.033323,-0.10751228,-0.2773328,-0.010995574,FALLS,11217423f00b
1777359257325,19053949658746,1.4317327,-2.5809495,9.157822,-0.058643065,-0.30787608,-0.059864793,FALLS,11217423f00b
1777359257339,19053969739312,1.4915876,-2.3535004,9.136273,0.036651913,-0.32375857,-0.052534413,FALLS,11217423f00b
1777359257413,19053989819879,1.3958195,-2.0685902,8.990228,0.08674286,-0.33841935,-0.04886922,FALLS,11217423f00b
1777359257415,19054009930963,1.4149733,-2.0111294,8.896853,0.008552114,-0.37751472,-0.07452556,FALLS,11217423f00b
1777359257417,19054030011529,1.4437037,-2.0590134,8.724471,-0.0842994,-0.4373795,-0.13194689,FALLS,11217423f00b
1777359257419,19054050061578,1.5275006,-1.9440918,8.48984,-0.17104226,-0.49480084,-0.18570304,FALLS,11217423f00b
1777359257481,19054070172662,1.5682021,-1.958457,8.252813,-0.22724187,-0.535118,-0.24190263,FALLS,11217423f00b
1777359257486,19054090253228,1.2569559,-1.8626889,7.9272017,-0.26633725,-0.58032197,-0.31887165,FALLS,11217423f00b
1777359257488,19054110333795,1.1755531,-1.7645266,7.383718,-0.32253686,-0.6988298,-0.4447099,FALLS,11217423f00b
1777359257568,19054130414361,1.3670892,-1.1827357,6.8186865,-0.36651915,-0.8735373,-0.6047566,FALLS,11217423f00b
1777359257570,19054150494927,1.4173675,-1.4269443,6.179435,-0.41783184,-1.0775663,-0.7293731,FALLS,11217423f00b
1777359257571,19054170575494,2.4061728,-0.89782566,5.497087,-0.37384954,-1.3084733,-0.8332202,FALLS,11217423f00b
1777359257573,19054190625543,4.5801077,1.2785037,4.841076,-0.3885103,-1.3817772,-0.956615,FALLS,11217423f00b
