epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350983519,10780146626772,-3.1052797,4.912902,7.795521,0.0,0.004886922,0.02443461,TREMOR,174ec61208be
1777350983547,10780166676821,-2.9879637,5.0900726,8.111555,-0.073303826,-0.007330383,-0.12461651,TREMOR,174ec61208be
1777350983563,10780186696352,-3.2202013,6.1890116,7.9248075,-0.18570304,0.18936823,-0.095294975,TREMOR,174ec61208be
1777350983592,10780206746401,-3.514688,7.539341,7.4866686,-0.31764993,0.004886922,-0.24678956,TREMOR,174ec61208be
1777350983607,10780226796450,-4.0198646,9.25359,7.764396,-0.28955013,-0.04153884,-0.24556783,TREMOR,174ec61208be
1777350983623,10780246815981,-4.2640734,11.195287,7.824251,-0.9114109,-0.15515977,-0.4092797,TREMOR,174ec61208be
1777350983639,10780266835513,-4.369418,11.453861,7.723695,-2.3139575,-0.28955013,-0.5742133,TREMOR,174ec61208be
1777350983657,10780286885561,-4.6279917,9.950302,8.221688,-3.7507126,-0.39095375,-0.7501425,TREMOR,174ec61208be
1777350983673,10780306905093,-4.24492,6.2967505,8.154651,-5.1239376,-0.55833083,-0.63285637,TREMOR,174ec61208be
1777350983693,10780326924624,-2.4181437,-2.2409728,5.777209,-6.4605107,-0.9101892,-0.25289822,TREMOR,174ec61208be
1777350983722,10780346944155,-0.9864111,-6.691794,5.813122,-6.170961,-0.6377433,-0.8381071,TREMOR,174ec61208be
1777350983739,10780366963686,-1.9273324,-5.9448028,8.853758,-4.62425,0.2406809,-2.0928242,TREMOR,174ec61208be
1777350983756,10780387013735,-3.6822822,-5.5617304,11.650186,-2.6450465,0.8063421,-2.7415633,TREMOR,174ec61208be
1777350983774,10780407063784,-4.096479,-8.35337,9.97185,0.61819565,0.66706485,-3.1606169,TREMOR,174ec61208be
1777350983798,10780427113833,-4.6686935,-4.9176903,10.163386,3.997502,0.49235737,-3.331659,TREMOR,174ec61208be
1777350983822,10780447133364,-4.024653,0.40462008,9.871294,4.9247956,-0.2602286,-3.2754595,TREMOR,174ec61208be
