epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350784725,10581358996253,0.1412579,8.767567,7.771579,0.15027285,-0.20158553,-0.37018433,TREMOR,1a1698940774
1777350784747,10581379076819,-0.90979666,11.84651,8.228871,-0.036651913,0.10629055,0.02443461,TREMOR,1a1698940774
1777350784782,10581399126868,-1.3335704,4.6782703,9.873688,-1.7458528,0.10995574,0.05131268,TREMOR,1a1698940774
1777350784791,10581419207434,0.2873042,-3.4596214,10.986992,-2.7806585,-0.6133087,-0.02687807,TREMOR,1a1698940774
1777350784816,10581439288001,1.9847932,-9.076419,9.742006,-1.6334536,-0.6365216,-0.0061086523,TREMOR,1a1698940774
1777350784826,10581459338049,2.1667526,-7.9750857,8.779537,0.2846632,-0.24312437,0.07086037,TREMOR,1a1698940774
1777350784849,10581479388098,1.5753847,0.79248077,9.557653,1.736079,0.15515977,-0.02443461,TREMOR,1a1698940774
1777350784874,10581498907629,0.8475474,5.4659624,9.849746,1.7373008,0.3494149,-0.009773844,TREMOR,1a1698940774
1777350784891,10581518527161,0.4213795,4.6232033,9.188946,0.83199847,0.26267207,-0.056199603,TREMOR,1a1698940774
1777350784910,10581538346692,0.15322891,6.0046577,8.820239,-0.15027285,0.17592919,-0.008552114,TREMOR,1a1698940774
1777350784930,10581558196741,-0.06943185,2.1140802,9.725247,-1.2632693,0.05009095,0.039095376,TREMOR,1a1698940774
1777350784944,10581578116272,0.79008657,-2.6120741,9.344569,-1.704314,-0.21624629,-0.02076942,TREMOR,1a1698940774
1777350784966,10581598166321,1.4269443,-5.329493,9.7563715,-1.0384709,-0.16493362,-0.087964594,TREMOR,1a1698940774
1777350784990,10581618085852,1.3096284,-6.10282,9.967062,0.23579398,0.028099801,-0.08552113,TREMOR,1a1698940774
1777350785012,10581638105383,0.866701,0.7757214,11.20247,1.409877,0.15515977,-0.059864793,TREMOR,1a1698940774
1777350785024,10581658124915,0.33518824,6.3685765,10.876859,1.5283848,0.20891592,-0.0036651916,TREMOR,1a1698940774
1777350785044,10581678144446,-0.076614454,7.723695,7.4746976,0.42394048,0.12950343,0.06719518,TREMOR,1a1698940774
1777350785075,10581698163977,-0.7206547,6.682217,7.3549876,-0.97494096,0.14172074,0.105068825,TREMOR,1a1698940774
1777350785085,10581718244544,-0.011971008,0.16280572,8.7292595,-2.0390682,-0.0842994,-0.009773844,TREMOR,1a1698940774
1777350785113,10581738264075,1.436521,-3.5194764,8.980651,-1.890017,-0.27977628,-0.18448131,TREMOR,1a1698940774
1777350785124,10581758314124,2.0207062,-9.11712,10.386047,-1.0506883,-0.12950343,0.012217305,TREMOR,1a1698940774
1777350785144,10581778364172,1.7286136,-9.574412,8.956709,-0.1600467,-0.039095376,0.17837265,TREMOR,1a1698940774
1777350785174,10581798383704,1.2641385,-0.5770026,8.954314,1.3695599,0.2284636,0.1685988,TREMOR,1a1698940774
1777350785197,10581818364270,0.6392518,4.417302,9.176975,1.5809193,0.21624629,0.24312437,TREMOR,1a1698940774
1777350785206,10581838383801,0.46447513,6.3829417,9.301474,0.1600467,0.12583824,0.32620203,TREMOR,1a1698940774
1777350785224,10581858403333,0.25857377,7.7093296,8.935161,-0.28710666,0.07574729,0.15149458,TREMOR,1a1698940774
1777350785245,10581878453381,-0.30166942,7.309498,9.555259,-2.2870796,0.02687807,-0.13316862,TREMOR,1a1698940774
1777350785282,10581898472913,0.25139117,-1.1061212,9.847352,-3.196047,-0.11728613,-0.04520403,TREMOR,1a1698940774
1777350785288,10581918522962,1.0151415,-7.762002,9.346964,-2.855184,-0.119729586,-0.18448131,TREMOR,1a1698940774
1777350785307,10581938573010,0.8882488,-13.881581,9.0237465,-1.1691961,0.05131268,-0.02443461,TREMOR,1a1698940774
1777350785324,10581958592542,0.91219085,-10.151415,8.327033,0.77213365,0.09162979,-0.019547688,TREMOR,1a1698940774
1777350785347,10581978642590,0.46208093,-1.0702082,8.075643,2.4397957,0.1282817,0.1881465,TREMOR,1a1698940774
1777350785375,10581998692639,0.1388637,6.2249246,9.49301,2.6487117,0.1600467,0.45570546,TREMOR,1a1698940774
1777350785385,10582018712170,0.94331545,8.3868885,10.472239,1.0800097,-0.13561209,0.12095132,TREMOR,1a1698940774
1777350785408,10582038762219,0.9959879,7.8170686,9.006987,-0.25045475,-0.07819075,-0.032986723,TREMOR,1a1698940774
1777350785425,10582058781751,-0.2801216,2.4061728,8.834604,-1.8203784,0.24801129,-0.043982297,TREMOR,1a1698940774
1777350785447,10582078801282,-0.4309563,-2.9903579,8.619126,-2.6743681,0.14905111,-0.07452556,TREMOR,1a1698940774
1777350785473,10582098851331,0.0,-4.501099,7.9104424,-2.098933,0.02565634,-0.20158553,TREMOR,1a1698940774
1777350785490,10582118901379,0.2753332,-8.346188,10.108319,-1.3023647,-0.004886922,-0.26145032,TREMOR,1a1698940774
1777350785506,10582138951428,1.6304513,-13.740324,9.679757,0.11362094,-0.36163223,-0.047647487,TREMOR,1a1698940774
1777350785525,10582158970960,2.1571758,-6.3566055,9.425972,2.6450465,-0.20280726,0.15149458,TREMOR,1a1698940774
1777350785549,10582178990491,1.5562311,5.351041,9.346964,3.5870006,0.27977628,0.5326745,TREMOR,1a1698940774
1777350785574,10582199010022,0.6440403,8.480263,9.586384,2.0292943,0.3921755,0.24678956,TREMOR,1a1698940774
1777350785585,10582219060071,0.39743748,4.9440265,9.464279,-0.089186326,0.15393804,0.17470746,TREMOR,1a1698940774
1777350785608,10582239079602,-0.011971008,3.406949,8.717288,-0.77824235,0.12583824,0.081855945,TREMOR,1a1698940774
1777350785625,10582259099133,-0.79248077,3.5434184,8.791509,-1.378112,0.24312437,-0.07941248,TREMOR,1a1698940774
1777350785647,10582279118665,-0.82599956,0.6991069,10.7116585,-2.1820107,0.12583824,-0.30298916,TREMOR,1a1698940774
1777350785673,10582299168713,0.06943185,-2.0685902,10.172963,-2.7036896,-0.16126843,-0.38606682,TREMOR,1a1698940774
1777350785690,10582319188245,0.50996494,-7.0964136,9.184157,-2.39337,-0.10262536,-0.4813618,TREMOR,1a1698940774
1777350785706,10582339238294,1.3192052,-17.345991,7.369353,-1.5357152,-0.18936823,-0.073303826,TREMOR,1a1698940774
1777350785725,10582359257825,1.5921441,-13.247118,7.656657,1.2986995,-0.13927728,0.14660765,TREMOR,1a1698940774
1777350785748,10582379246838,1.5586253,-2.3870192,9.241618,3.9522982,-0.15393804,0.5131268,TREMOR,1a1698940774
1777350785773,10582399296887,1.7788919,8.961497,8.985439,3.7971385,0.13927728,0.86009824,TREMOR,1a1698940774
1777350785791,10582419346936,0.61530983,8.669404,10.290278,0.23457226,0.34208453,0.4569272,TREMOR,1a1698940774
1777350785805,10582439366467,-0.94092125,6.8522053,8.429984,-1.6444492,0.2687807,0.22602014,TREMOR,1a1698940774
1777350785825,10582459416516,-1.5682021,5.0661306,8.664616,-1.1374311,0.25778514,-0.22968534,TREMOR,1a1698940774
1777350785846,10582479436047,-0.533907,-0.581791,10.692505,-1.863139,-0.15882497,-0.3371976,TREMOR,1a1698940774
1777350785868,10582499455579,1.0582372,-3.2034419,10.232818,-2.0182989,-0.29443705,-0.5375614,TREMOR,1a1698940774
1777350785892,10582519475110,0.8810662,-2.846706,8.379706,-0.8454375,0.065973446,-0.8588765,TREMOR,1a1698940774
1777350785905,10582539525159,-0.1388637,-6.0980315,7.9391727,-1.0531317,0.34330627,-0.48502702,TREMOR,1a1698940774
1777350785925,10582559544690,-0.074220255,-14.329297,7.16824,-1.3048081,0.019547688,-0.09040806,TREMOR,1a1698940774
1777350785946,10582579564221,1.3383588,-14.379576,7.78355,0.784351,-0.312763,0.09407325,TREMOR,1a1698940774
1777350785979,10582599583753,2.6719291,-5.0158525,8.937555,3.0176742,-0.5045747,0.41416663,TREMOR,1a1698940774
1777350785986,10582619633801,2.743755,5.851429,10.620679,3.6468656,-0.105068825,0.94806284,TREMOR,1a1698940774
1777350786006,10582639683850,1.2090719,11.212047,11.0061455,1.9559906,0.34574974,0.37140608,TREMOR,1a1698940774
1777350786026,10582659703381,-0.7541735,8.63828,9.076419,-0.61941737,0.4642576,0.16982053,TREMOR,1a1698940774
1777350786046,10582679722913,-1.5610195,4.55856,8.037335,-1.8435913,0.2125811,0.04520403,TREMOR,1a1698940774
1777350786074,10582699742444,-0.78050977,-0.9552865,9.801862,-1.8509218,0.009773844,-0.29810223,TREMOR,1a1698940774
1777350786099,10582719792493,0.45729253,-2.3654714,9.749189,-1.5564847,-0.105068825,-0.52656585,TREMOR,1a1698940774
1777350786107,10582739873059,0.33039984,-4.0054994,8.219295,-0.79168135,0.05375614,-0.8368854,TREMOR,1a1698940774
1777350786126,10582759953626,0.38067806,-12.021287,8.508993,-1.6102408,0.10629055,-0.26389378,TREMOR,1a1698940774
1777350786148,10582780034192,0.91219085,-16.24466,7.6351094,-0.5180137,-0.13194689,0.21135938,TREMOR,1a1698940774
1777350786173,10582800084241,0.7613561,-6.277597,7.5704656,2.3225098,-0.12705997,0.34574974,TREMOR,1a1698940774
1777350786196,10582820134290,1.1731589,3.2609026,9.167398,3.408628,-0.18936823,0.5412266,TREMOR,1a1698940774
1777350786207,10582840184338,1.757344,7.290344,11.547235,2.0977113,-0.29565877,0.7110472,TREMOR,1a1698940774
1777350786227,10582860264905,1.6831238,7.062895,11.075577,0.5522222,0.013439035,0.1563815,TREMOR,1a1698940774
1777350786258,10582880314954,-0.016759412,3.7110126,7.9511437,-0.9859365,0.2846632,0.15882497,TREMOR,1a1698940774
1777350786269,10582900365003,-1.8555063,1.2354081,7.9272017,-1.382999,0.48624873,0.039095376,TREMOR,1a1698940774
1777350786291,10582920415051,-1.5179238,-0.78290397,10.15381,-1.3182472,0.05497787,-0.31642818,TREMOR,1a1698940774
1777350786307,10582940465100,0.21308395,-1.1468226,11.116279,-1.0543534,-0.29077184,-0.50823987,TREMOR,1a1698940774
1777350786329,10582960484631,1.2593501,-0.45968673,9.821015,-0.6621779,-0.22968534,-0.73914695,TREMOR,1a1698940774
1777350786360,10582980565198,1.4053963,-7.1754227,8.5473,-1.4306464,0.014660766,-0.44226643,TREMOR,1a1698940774
1777350786368,10583000615247,0.7637503,-14.891934,6.619968,-1.2351695,0.14172074,-0.018325957,TREMOR,1a1698940774
1777350786390,10583020695813,0.7230489,-16.14889,7.8027034,1.1484267,0.09162979,0.20158553,TREMOR,1a1698940774
1777350786417,10583040806897,2.0254946,-6.7133417,8.39886,2.8747318,-0.41538838,0.6401868,TREMOR,1a1698940774
1777350786430,10583060887463,2.4133554,8.35337,9.646238,3.6334264,-0.16737708,1.1276573,TREMOR,1a1698940774
1777350786457,10583080937512,0.44771573,15.564705,11.063606,2.3420575,0.4007276,-0.032986723,TREMOR,1a1698940774
1777350786473,10583100987561,-1.6687586,9.775525,8.449138,-0.73792523,0.30665436,0.27855456,TREMOR,1a1698940774
1777350786490,10583121098645,-1.5179238,3.6846764,7.6255326,-1.9291124,0.032986723,-0.059864793,TREMOR,1a1698940774
1777350786513,10583141148694,-0.21068975,-2.5115175,9.548077,-2.3823745,-0.3567453,-0.15760323,TREMOR,1a1698940774
1777350786530,10583161259778,1.0055647,-2.60968,11.003751,-1.6236799,-0.3213151,-0.61941737,TREMOR,1a1698940774
1777350786556,10583181340344,0.878672,1.3742718,10.503363,0.10873401,0.13683382,-1.0262536,TREMOR,1a1698940774
1777350786580,10583201359876,0.62249243,-1.1707647,9.3733,-0.657291,0.25900686,-0.91874135,TREMOR,1a1698940774
1777350786590,10583221379407,1.1971009,-10.304645,7.6853876,-2.1429152,0.015882496,-0.44348818,TREMOR,1a1698940774
