# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777357027275,16869470339772,-0.20590134,3.7565024,9.172187,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027283,16869478428088,-0.20829555,3.7421372,9.169792,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027291,16869486421406,-0.19393034,3.751714,9.174581,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027299,16869494417415,-0.18195933,3.7612908,9.160215,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027307,16869502414578,-0.19632454,3.763685,9.181764,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027315,16869510438280,-0.18674773,3.7804444,9.165004,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027323,16869518434597,-0.18674773,3.775656,9.143456,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027331,16869526429684,-0.18674773,3.775656,9.143456,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027339,16869534424847,-0.17238252,3.7732618,9.143456,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027347,16869542421394,-0.17477672,3.763685,9.153033,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027355,16869550415866,-0.19153613,3.7588966,9.155427,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027363,16869558413106,-0.20590134,3.751714,9.157822,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027371,16869566407653,-0.20350714,3.763685,9.157822,-6.1086525E-4,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027379,16869574433509,-0.20350714,3.7660792,9.160215,-0.0012217305,0.0,0.0,JERKING,21cef797aa38
1777357027387,16869582429211,-0.20829555,3.7732618,9.169792,0.0,-0.0012217305,0.0,JERKING,21cef797aa38
1777357027395,16869590426067,-0.21308395,3.7684734,9.174581,0.0,-6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027403,16869598421153,-0.21068975,3.7612908,9.193734,0.0,-0.0012217305,6.1086525E-4,JERKING,21cef797aa38
1777357027411,16869606416239,-0.19871874,3.7732618,9.186552,0.0,-0.0030543262,-6.1086525E-4,JERKING,21cef797aa38
1777357027419,16869614412941,-0.18914193,3.751714,9.176975,-6.1086525E-4,-0.002443461,-6.1086525E-4,JERKING,21cef797aa38
1777357027427,16869622408027,-0.18435353,3.7684734,9.172187,-6.1086525E-4,-0.0018325958,-6.1086525E-4,JERKING,21cef797aa38
1777357027435,16869630434421,-0.18195933,3.7660792,9.160215,-0.0012217305,-0.002443461,6.1086525E-4,JERKING,21cef797aa38
1777357027443,16869638430431,-0.18435353,3.787627,9.169792,-0.0012217305,-0.002443461,0.0012217305,JERKING,21cef797aa38
1777357027451,16869646425286,-0.17477672,3.799598,9.160215,-0.0012217305,0.0,0.0,JERKING,21cef797aa38
1777357027459,16869654420064,-0.17238252,3.7684734,9.174581,-0.002443461,-6.1086525E-4,-6.1086525E-4,JERKING,21cef797aa38
1777357027467,16869662415459,-0.15562311,3.7924154,9.184157,-0.0030543262,-0.0012217305,-6.1086525E-4,JERKING,21cef797aa38
1777357027475,16869670411468,-0.17717093,3.7612908,9.179369,-0.0036651916,6.1086525E-4,0.0012217305,JERKING,21cef797aa38
1777357027483,16869678407400,-0.19153613,3.7541082,9.184157,-0.002443461,0.0,-6.1086525E-4,JERKING,21cef797aa38
1777357027491,16869686433871,-0.17477672,3.763685,9.165004,-0.0036651916,-6.1086525E-4,0.0012217305,JERKING,21cef797aa38
1777357027499,16869694429342,-0.17238252,3.7493198,9.167398,-0.0036651916,-6.1086525E-4,6.1086525E-4,JERKING,21cef797aa38
1777357027507,16869702425660,-0.18914193,3.7541082,9.19134,-0.0030543262,0.0,0.0018325958,JERKING,21cef797aa38
1777357027515,16869710421053,-0.18435353,3.7301662,9.179369,-0.0036651916,0.0,0.0012217305,JERKING,21cef797aa38
1777357027523,16869718414832,-0.19393034,3.7445314,9.186552,-0.002443461,-0.0018325958,0.0018325958,JERKING,21cef797aa38
1777357027531,16869726411765,-0.19153613,3.7469256,9.198523,-0.002443461,-0.0018325958,6.1086525E-4,JERKING,21cef797aa38
1777357027539,16869734436774,-0.20111294,3.7349546,9.193734,-0.0030543262,-6.1086525E-4,0.0018325958,JERKING,21cef797aa38
1777357027547,16869742432706,-0.18195933,3.7349546,9.184157,-0.002443461,-0.0012217305,0.0018325958,JERKING,21cef797aa38
1777357027555,16869750430870,-0.19153613,3.7325604,9.169792,-0.0018325958,6.1086525E-4,6.1086525E-4,JERKING,21cef797aa38
1777357027563,16869758426879,-0.17477672,3.7445314,9.155427,-0.0018325958,-0.002443461,0.0012217305,JERKING,21cef797aa38
1777357027571,16869766420427,-0.18435353,3.7469256,9.150639,-0.0012217305,-6.1086525E-4,6.1086525E-4,JERKING,21cef797aa38
1777357027579,16869774415821,-0.16998832,3.7373488,9.153033,-0.0012217305,-0.0012217305,0.0,JERKING,21cef797aa38
1777357027587,16869782410984,-0.18674773,3.751714,9.150639,-0.0018325958,-0.002443461,0.0,JERKING,21cef797aa38
1777357027595,16869790438378,-0.19393034,3.7612908,9.160215,-0.002443461,6.1086525E-4,-6.1086525E-4,JERKING,21cef797aa38
1777357027603,16869798434618,-0.19153613,3.7541082,9.155427,-0.002443461,6.1086525E-4,-0.0018325958,JERKING,21cef797aa38
1777357027611,16869806427935,-0.20350714,3.7469256,9.16261,-0.0012217305,-0.0012217305,-0.0018325958,JERKING,21cef797aa38
1777357027619,16869814425714,-0.19871874,3.7565024,9.157822,-0.002443461,-6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027627,16869822420261,-0.17956513,3.7445314,9.169792,-0.0012217305,-0.002443461,-0.0018325958,JERKING,21cef797aa38
1777357027635,16869830415270,-0.18435353,3.7565024,9.179369,-0.0018325958,-0.0030543262,0.0,JERKING,21cef797aa38
1777357027643,16869838411281,-0.19393034,3.7445314,9.200917,-0.0030543262,-0.0018325958,-6.1086525E-4,JERKING,21cef797aa38
1777357027651,16869846437213,-0.19393034,3.7660792,9.196129,-0.0036651916,-0.0012217305,6.1086525E-4,JERKING,21cef797aa38
1777357027659,16869854435300,-0.20590134,3.739743,9.208099,-0.0012217305,0.0,-6.1086525E-4,JERKING,21cef797aa38
1777357027667,16869862429232,-0.18674773,3.7493198,9.181764,-6.1086525E-4,-0.0036651916,0.0,JERKING,21cef797aa38
1777357027675,16869870426471,-0.19153613,3.751714,9.174581,0.0012217305,-0.002443461,0.0,JERKING,21cef797aa38
1777357027683,16869878418789,-0.17477672,3.7541082,9.148245,6.1086525E-4,-0.0018325958,0.0,JERKING,21cef797aa38
1777357027691,16869886416029,-0.19871874,3.775656,9.141062,-0.0012217305,-0.002443461,6.1086525E-4,JERKING,21cef797aa38
1777357027699,16869894411730,-0.16998832,3.7469256,9.153033,-0.0012217305,-0.0012217305,-6.1086525E-4,JERKING,21cef797aa38
1777357027707,16869902436279,-0.17956513,3.751714,9.14585,0.0,-0.0012217305,0.0018325958,JERKING,21cef797aa38
1777357027715,16869910432057,-0.20590134,3.7660792,9.121908,6.1086525E-4,-0.0018325958,0.0,JERKING,21cef797aa38
1777357027723,16869918428989,-0.18914193,3.7684734,9.157822,-0.0012217305,-0.0036651916,-6.1086525E-4,JERKING,21cef797aa38
1777357027731,16869926425614,-0.17238252,3.775656,9.188946,-0.0018325958,-0.0012217305,0.0,JERKING,21cef797aa38
1777357027739,16869934420624,-0.17717093,3.7612908,9.181764,-0.002443461,-0.0018325958,-0.002443461,JERKING,21cef797aa38
1777357027747,16869942414172,-0.16759412,3.7469256,9.172187,-0.002443461,-0.0018325958,-0.002443461,JERKING,21cef797aa38
1777357027755,16869950411489,-0.15083471,3.7708676,9.184157,-0.0018325958,6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027763,16869958435805,-0.17956513,3.7445314,9.16261,-6.1086525E-4,-0.0018325958,-6.1086525E-4,JERKING,21cef797aa38
1777357027771,16869966433354,-0.17956513,3.7373488,9.174581,-6.1086525E-4,-0.0012217305,-0.0012217305,JERKING,21cef797aa38
1777357027779,16869974429978,-0.18914193,3.739743,9.184157,-0.0018325958,0.0,-0.0012217305,JERKING,21cef797aa38
1777357027787,16869982423218,-0.18435353,3.739743,9.167398,0.0,-0.0012217305,-0.0012217305,JERKING,21cef797aa38
1777357027795,16869990419228,-0.18914193,3.7541082,9.143456,0.0,-6.1086525E-4,0.0,JERKING,21cef797aa38
1777357027803,16869998415237,-0.17956513,3.7780502,9.153033,6.1086525E-4,-0.0012217305,-6.1086525E-4,JERKING,21cef797aa38
1777357027811,16870006411477,-0.17477672,3.7924154,9.131485,0.002443461,0.002443461,-0.0018325958,JERKING,21cef797aa38
1777357027819,16870014438641,-0.17717093,3.8019924,9.157822,0.0,-6.1086525E-4,-6.1086525E-4,JERKING,21cef797aa38
1777357027827,16870022433034,-0.1604115,3.7900212,9.14585,0.0,-0.0018325958,0.0012217305,JERKING,21cef797aa38
1777357027835,16870030427814,-0.14844051,3.787627,9.141062,0.0,-0.0018325958,0.0030543262,JERKING,21cef797aa38
1777357027843,16870038424746,-0.14844051,3.7852328,9.13388,-0.004276057,0.0012217305,0.002443461,JERKING,21cef797aa38
1777357027851,16870046418370,-0.16280572,3.7349546,9.179369,-0.004276057,0.002443461,0.0018325958,JERKING,21cef797aa38
1777357027859,16870054415534,-0.17238252,3.7325604,9.184157,-0.004886922,0.0030543262,0.0012217305,JERKING,21cef797aa38
1777357027867,16870062411235,-0.21547815,3.7014358,9.165004,-6.1086525E-4,0.0036651916,0.0018325958,JERKING,21cef797aa38
1777357027875,16870070438706,-0.22026655,3.7062242,9.157822,6.1086525E-4,6.1086525E-4,0.0012217305,JERKING,21cef797aa38
1777357027883,16870078434639,-0.21068975,3.715801,9.16261,0.0018325958,6.1086525E-4,0.0018325958,JERKING,21cef797aa38
1777357027891,16870086427571,-0.21068975,3.7541082,9.184157,0.0012217305,0.0018325958,0.0018325958,JERKING,21cef797aa38
1777357027899,16870094423349,-0.19632454,3.7301662,9.169792,0.0018325958,0.002443461,0.0018325958,JERKING,21cef797aa38
1777357027907,16870102421206,-0.17477672,3.7445314,9.174581,6.1086525E-4,6.1086525E-4,0.002443461,JERKING,21cef797aa38
