epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777348155431,7952065071617,3.5936968,2.5785553,8.552089,0.13561209,-0.2125811,-0.34697145,TONIC,265d2de4885f
1777348155597,7952085091148,3.1531637,2.96881,8.441956,-0.07819075,-0.02565634,0.037873644,TONIC,265d2de4885f
1777348155599,7952105202232,2.89459,3.0765493,8.465898,0.07452556,0.14538592,0.052534413,TONIC,265d2de4885f
1777348155601,7952125221763,2.8778305,3.25372,8.358158,0.0720821,-0.02565634,0.02321288,TONIC,265d2de4885f
1777348155603,7952145271812,3.1004913,3.4021606,8.214506,-0.0012217305,0.0061086523,0.017104227,TONIC,265d2de4885f
1777348155606,7952165291343,2.7389667,2.920926,8.942344,-0.0061086523,0.080634214,0.040317107,TONIC,265d2de4885f
1777348155608,7952185371909,2.8993783,2.801216,9.0716305,0.02443461,-0.0012217305,0.039095376,TONIC,265d2de4885f
1777348155610,7952205391441,3.1316159,2.8874073,8.961497,0.052534413,-0.0720821,0.039095376,TONIC,265d2de4885f
1777348155612,7952225472007,3.5745432,3.3758245,8.516175,0.057421334,-0.062308256,0.037873644,TONIC,265d2de4885f
1777348155630,7952245491538,3.1651347,3.4644098,8.123527,0.02321288,-0.0012217305,0.02076942,TONIC,265d2de4885f
1777348155638,7952265541587,2.815581,3.074155,8.504205,-0.021991149,-0.0061086523,0.008552114,TONIC,265d2de4885f
1777348155658,7952285561118,3.1196449,2.8993783,8.446744,-0.058643065,-0.040317107,0.030543262,TONIC,265d2de4885f
1777348155798,7952305611167,3.229778,2.9496565,8.655039,-0.035430185,-0.035430185,0.052534413,TONIC,265d2de4885f
1777348155802,7952325661216,3.25372,3.004723,8.645462,-0.05009095,-0.010995574,0.05497787,TONIC,265d2de4885f
1777348155807,7952345680747,3.193865,3.0573955,8.635885,-0.052534413,0.013439035,0.05497787,TONIC,265d2de4885f
1777348155810,7952365761314,3.1986535,2.5953147,8.863335,-0.030543262,0.0,0.06352998,TONIC,265d2de4885f
1777348155813,7952385780845,3.5122938,2.6312277,8.755595,0.06841691,-0.015882496,0.0842994,TONIC,265d2de4885f
1777348155816,7952405830894,3.5649664,2.9712043,8.573636,0.13439035,0.06719518,0.12095132,TONIC,265d2de4885f
1777348155818,7952425850425,3.3662477,3.7445314,8.137892,0.14782938,0.11728613,0.09162979,TONIC,265d2de4885f
1777348155820,7952445869956,3.3399115,3.4811692,8.310274,-0.04520403,0.02565634,0.0036651916,TONIC,265d2de4885f
1777348155840,7952465920005,2.908955,2.5139117,8.963891,-0.095294975,-0.0012217305,-0.02321288,TONIC,265d2de4885f
