epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777359184680,18981300998997,2.0805612,-1.4748282,8.9519205,0.0,0.004886922,0.02443461,FALLS,309c54a1c174
1777359184700,18981321049045,2.2146366,-1.6591818,9.107543,-0.037873644,0.10262536,-0.030543262,FALLS,309c54a1c174
1777359184859,18981341099094,2.3056161,-1.7022774,9.358934,-0.172264,-0.028099801,0.021991149,FALLS,309c54a1c174
1777359184864,18981361118625,2.348712,-1.5346833,9.758766,-0.11484267,0.12950343,0.047647487,FALLS,309c54a1c174
1777359184866,18981381168674,2.1930888,-1.2354081,9.844957,-0.06963864,-0.04886922,0.04520403,FALLS,309c54a1c174
1777359184869,18981401218723,1.7238252,-0.90740246,9.78989,-0.1563815,-0.09773844,-0.02321288,FALLS,309c54a1c174
1777359184871,18981421268772,1.5921441,-1.2641385,10.019734,-0.31642818,-0.14049901,-0.10262536,FALLS,309c54a1c174
1777359184874,18981441349338,1.5921441,-1.7501614,10.086772,-0.34574974,-0.15515977,-0.19181168,FALLS,309c54a1c174
1777359184876,18981461368870,1.9321208,-1.8531121,9.981427,-0.16371189,-0.12095132,-0.24678956,FALLS,309c54a1c174
1777359184880,18981481418918,1.8028339,-1.5035586,9.828198,0.009773844,-0.009773844,-0.23090707,FALLS,309c54a1c174
1777359184882,18981501438450,2.0805612,-1.3096284,9.540894,0.095294975,0.058643065,-0.13072516,FALLS,309c54a1c174
1777359184899,18981521488499,2.3511062,-1.4460979,9.227253,0.07819075,0.15393804,-0.019547688,FALLS,309c54a1c174
1777359185044,18981541508030,2.4492683,-1.685518,9.093178,-0.012217305,0.29077184,0.10995574,FALLS,309c54a1c174
1777359185046,18981561588596,2.2242134,-2.147599,8.896853,-0.12705997,0.36285394,0.17104226,FALLS,309c54a1c174
1777359185048,18981581638645,1.8435353,-2.1763294,9.059659,-0.17104226,0.3652974,0.14782938,FALLS,309c54a1c174
1777359185051,18981601719211,1.400608,-2.1619642,9.102755,-0.17837265,0.26633725,0.11484267,FALLS,309c54a1c174
1777359185053,18981621738743,1.2378023,-2.4660277,9.002198,-0.19303341,0.095294975,0.04886922,FALLS,309c54a1c174
1777359185055,18981641788791,1.091756,-2.396596,8.942344,-0.12339478,-0.035430185,-0.013439035,FALLS,309c54a1c174
1777359185058,18981661808323,0.82121116,-2.2122424,8.9519205,-0.040317107,-0.118507855,-0.02687807,FALLS,309c54a1c174
1777359185060,18981681827854,0.7422025,-2.1045034,8.961497,-0.010995574,-0.16615535,-0.002443461,FALLS,309c54a1c174
1777359185072,18981701847385,0.59615624,-1.9321208,9.054871,-0.040317107,-0.18203785,0.02321288,FALLS,309c54a1c174
1777359185097,18981721866916,0.5554548,-2.078167,9.215282,-0.08552113,-0.14782938,0.05009095,FALLS,309c54a1c174
