epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777355833436,15630063115744,0.41180268,0.5746084,9.528923,0.0,0.004886922,0.02443461,JERKING,498a056b1269
1777355833450,15630083165793,0.39025488,0.82360536,9.49301,-0.02443461,0.0036651916,-0.028099801,JERKING,498a056b1269
1777355833472,15630103185324,0.41180268,0.81642276,9.552865,-0.05497787,0.21624629,0.04153884,JERKING,498a056b1269
1777355833533,15630123235373,0.4381389,0.6392518,9.555259,-0.028099801,0.036651913,0.0012217305,JERKING,498a056b1269
1777355833534,15630143315939,0.49799395,0.5602432,9.706094,0.0012217305,0.013439035,-0.02443461,JERKING,498a056b1269
1777355833537,15630163365988,0.46926352,0.6871359,9.634268,0.040317107,-0.002443461,-0.029321533,JERKING,498a056b1269
1777355833592,15630183446555,0.48123455,0.6847417,9.545682,0.02321288,-0.008552114,-0.034208454,JERKING,498a056b1269
1777355833594,15630203496604,0.50757074,0.5626374,9.485827,-0.03176499,-0.004886922,-0.043982297,JERKING,498a056b1269
1777355833595,15630223546652,0.581791,0.4381389,9.631873,-0.047647487,0.002443461,-0.039095376,JERKING,498a056b1269
1777355833651,15630243566184,0.5243302,0.4189853,9.67018,-0.030543262,0.010995574,-0.037873644,JERKING,498a056b1269
1777355833653,15630263585715,0.51714754,0.4237737,9.605537,0.002443461,0.007330383,-0.028099801,JERKING,498a056b1269
1777355833656,15630283666281,0.58657944,0.51475334,9.562442,0.021991149,0.017104227,-0.02321288,JERKING,498a056b1269
1777355833687,15630303685813,0.50757074,0.6847417,9.545682,-0.021991149,0.021991149,-0.02443461,JERKING,498a056b1269
1777355833696,15630323735861,0.51475334,0.78529817,9.648633,-0.10262536,0.028099801,-0.032986723,JERKING,498a056b1269
1777355833746,15630343755393,0.62249243,1.0749966,9.8042555,-0.172264,0.05009095,-0.04886922,JERKING,498a056b1269
1777355833748,15630363835959,0.91937345,1.6280571,10.103531,-0.23701571,0.08307768,-0.11484267,JERKING,498a056b1269
1777355833799,15630383916525,0.81163436,2.4779987,10.682928,-0.42271876,0.19792034,-0.25289822,JERKING,498a056b1269
1777355833801,15630403966574,0.088585466,2.7940333,11.48738,-0.7257079,0.23945917,-0.4361578,JERKING,498a056b1269
1777355833803,15630423986105,1.8100165,2.8921957,11.511322,-0.98349303,0.13683382,-0.7330383,JERKING,498a056b1269
1777355833832,15630444005637,2.5091233,2.3702598,12.564771,-1.3158038,0.70616025,-0.85154617,JERKING,498a056b1269
1777355833834,15630464025168,2.1260512,-0.4261679,14.374787,-1.5418239,1.4062119,-0.8552113,JERKING,498a056b1269
1777355833863,15630484044699,2.8562827,-2.4157495,16.062698,-1.5296066,1.8655825,-0.9089675,JERKING,498a056b1269
1777355833892,15630504064230,3.1842883,-4.4603977,16.795324,-1.7788396,2.4764478,-0.7305948,JERKING,498a056b1269
1777355833894,15630524083762,2.408567,-6.543353,15.337256,-2.2650883,3.3096678,-0.20647246,JERKING,498a056b1269
1777355833920,15630544103293,1.0989386,-9.536105,14.092271,-2.624277,4.114788,0.5143485,JERKING,498a056b1269
1777355833947,15630564122824,-0.82599956,-10.036493,12.373235,-2.438574,4.7073274,1.2339478,JERKING,498a056b1269
1777355833997,15630584142355,-1.9871874,-9.667787,10.577583,-2.0635028,5.0298643,1.9303342,JERKING,498a056b1269
1777355833999,15630604161887,-1.910573,-9.040505,8.815451,-1.8594738,5.007873,2.6401596,JERKING,498a056b1269
1777355834002,15630624181418,-2.7461493,-6.5218053,7.297527,-1.6578883,4.9162436,3.3377676,JERKING,498a056b1269
1777355834029,15630644231467,-2.7844565,-3.9001546,5.3103395,-1.4037683,4.543616,3.875329,JERKING,498a056b1269
1777355834033,15630664281516,-2.1188686,-2.2960393,3.1962593,-1.0543534,4.1184535,4.3689084,JERKING,498a056b1269
1777355834061,15630684301047,-2.5187001,0.38307226,2.0446482,-0.38240165,3.8093557,4.6083674,JERKING,498a056b1269
1777355834089,15630704351096,-3.0071173,4.4005427,0.51475334,0.46181414,3.3646457,4.415334,JERKING,498a056b1269
1777355834093,15630724401145,-4.144363,7.8410106,-0.4429273,0.8503244,2.9700267,4.0146065,JERKING,498a056b1269
1777355834117,15630744451193,-4.9919105,10.290278,-0.46447513,1.0848967,2.574186,3.4074063,JERKING,498a056b1269
1777355834150,15630764531760,-5.439626,12.081141,-0.50757074,1.5393804,2.1209242,2.4898868,JERKING,498a056b1269
1777355834158,15630784551291,-5.9041014,13.223176,-0.7158663,2.1551325,1.5968018,1.2718215,JERKING,498a056b1269
1777355834179,15630804631857,-6.5984197,13.515268,-0.33518824,2.8209758,0.9932669,-0.10873401,JERKING,498a056b1269
1777355834207,15630824681906,-7.0820484,12.964602,0.32321724,3.40985,0.36041048,-1.4440855,JERKING,498a056b1269
1777355834213,15630844762473,-7.252037,12.318168,0.7445967,3.9474113,-0.29077184,-2.538756,JERKING,498a056b1269
1777355834241,15630864843039,-7.357382,12.890382,0.6368576,4.397008,-0.9798279,-3.4929276,JERKING,498a056b1269
1777355834291,15630884893088,-7.0700774,12.682086,0.9672575,4.411669,-1.7055358,-4.3921213,JERKING,498a056b1269
1777355834293,15630904943137,-6.325481,12.418724,0.6440403,3.662748,-2.4324653,-5.3255234,JERKING,498a056b1269
1777355834296,15630925054221,-5.5377884,13.067553,-0.878672,2.3066273,-2.9712486,-6.2418213,JERKING,498a056b1269
1777355834323,15630945104270,-2.6240451,10.651803,-0.46208093,0.59498274,-3.40985,-7.2790704,JERKING,498a056b1269
1777355834352,15630965154318,0.8690952,4.3526587,3.2249897,-0.39950588,-3.3402112,-8.213694,JERKING,498a056b1269
1777355834378,15630985265402,4.0054994,-1.1827357,4.675876,-0.9431759,-3.264464,-8.934515,JERKING,498a056b1269
1777355834380,15631005284934,10.635044,-3.5003228,5.2265425,-1.6664404,-3.6138787,-9.786061,JERKING,498a056b1269
1777355834406,15631025365500,27.75598,-8.875306,6.7372837,-2.9712486,-4.746423,-10.210002,JERKING,498a056b1269
1777355834433,15631045415549,39.075768,-27.827806,10.261548,-1.5125023,-3.8191295,-8.977276,JERKING,498a056b1269
1777355834435,15631065496115,21.923704,-32.123005,10.577583,3.522249,-1.5149459,-7.547851,JERKING,498a056b1269
1777355834461,15631085546164,7.771579,-21.90455,6.4044895,4.554611,-0.096516706,-5.1153855,JERKING,498a056b1269
1777355834489,15631105626730,-2.4660277,-18.49042,8.872911,1.6920967,1.8655825,-2.1820107,JERKING,498a056b1269
1777355834514,15631125676779,-4.122815,-19.297266,9.169792,-1.7996091,2.0109684,-0.43493605,JERKING,498a056b1269
1777355834516,15631145787863,-1.9129672,-20.999542,9.603143,-3.5369098,1.5540411,1.4477507,JERKING,498a056b1269
1777355834565,15631165807395,0.6655881,-20.487185,8.552089,-1.3585643,1.0213667,2.787989,JERKING,498a056b1269
1777355834567,15631185857443,1.484405,-19.01475,7.1059904,0.35063666,0.7892379,3.169169,JERKING,498a056b1269
1777355834596,15631205846457,2.5689783,-14.425065,5.097255,2.4630086,0.7415904,3.6322048,JERKING,498a056b1269
1777355834598,15631225896506,3.5194764,-11.616667,5.4204726,2.1697934,1.1484267,4.0365977,JERKING,498a056b1269
1777355834630,15631245885520,3.7828386,-11.319786,5.659893,0.6096435,1.5980235,4.5704937,JERKING,498a056b1269
1777355834634,15631265935568,3.6894648,-12.492945,7.5680714,-0.54733527,1.8008307,5.222898,JERKING,498a056b1269
1777355834659,15631285955100,3.095703,-12.8448925,6.7564373,-0.112399206,1.6786577,5.814215,JERKING,498a056b1269
1777355834700,15631306035666,2.2385786,-10.443508,5.66947,0.90041536,1.6383406,6.1550784,JERKING,498a056b1269
1777355834702,15631326024680,1.3814543,-7.7452426,5.719748,1.1753048,1.6994271,6.274808,JERKING,498a056b1269
1777355834720,15631346074729,0.3878607,-5.4563856,4.7644615,0.8539896,1.7214183,6.3566637,JERKING,498a056b1269
1777355834734,15631366094260,-0.16759412,-3.7612908,4.426879,0.63407815,1.7470746,6.361551,JERKING,498a056b1269
1777355834765,15631386174826,-0.0023942017,-2.3582888,3.6032736,0.59131753,1.672549,6.2357125,JERKING,498a056b1269
1777355834774,15631406194357,0.6392518,-1.1468226,2.5258827,0.5742133,1.5809193,6.119648,JERKING,498a056b1269
1777355834812,15631426244406,0.6560113,0.21547815,2.3295584,0.35430184,1.563815,6.0854397,JERKING,498a056b1269
1777355834814,15631446263938,0.22266077,1.340753,2.2601264,0.15149458,1.5503759,6.087883,JERKING,498a056b1269
1777355834868,15631466283469,0.035913024,2.396596,1.7238252,0.2565634,1.4294246,6.1563,JERKING,498a056b1269
1777355834878,15631486303000,0.35434186,3.490746,1.1611878,0.43127087,1.2608259,6.2796946,JERKING,498a056b1269
1777355834881,15631506383566,1.1372458,5.9902925,0.58897364,0.36285394,1.0848967,6.365216,JERKING,498a056b1269
1777355834908,15631526403098,1.9608512,10.426748,-0.31603462,0.065973446,0.8454375,6.3444467,JERKING,498a056b1269
1777355834913,15631546453147,2.1763294,17.7554,-2.0494366,-0.07086037,0.7464773,6.2882466,JERKING,498a056b1269
1777355834934,15631566503195,1.448492,34.605793,-1.0414777,0.9737192,1.1643091,5.935167,JERKING,498a056b1269
1777355834954,15631586553244,5.779603,31.79021,-2.7605145,4.1905355,0.68294734,3.7360518,JERKING,498a056b1269
1777355834973,15631606603293,1.2785037,27.870901,-2.528277,5.534439,-0.4251622,-1.7763962,JERKING,498a056b1269
1777355835007,15631626622824,-1.5466543,16.678009,-1.8148049,3.7592647,-0.9309586,-3.9852848,JERKING,498a056b1269
1777355835013,15631646642355,-1.448492,16.005238,-3.4356794,1.5149459,-1.9242256,-4.4996333,JERKING,498a056b1269
1777355835033,15631666661887,-0.6512229,17.183186,-3.2824504,-0.24312437,-2.3273966,-4.7207665,JERKING,498a056b1269
1777355835055,15631686742453,1.0510546,15.44739,-2.5737667,-2.375044,-2.5607471,-5.0933943,JERKING,498a056b1269
1777355835085,15631706761984,1.532289,13.84088,-1.6041151,-2.9480357,-2.26631,-5.9730406,JERKING,498a056b1269
1777355835105,15631726812033,0.7781156,16.51281,-1.5155296,-2.0732768,-1.781283,-7.0506067,JERKING,498a056b1269
1777355835115,15631746862082,1.3838485,18.780119,-0.7733272,-1.2009611,-1.7641789,-8.227133,JERKING,498a056b1269
1777355835137,15631766942648,4.7165775,15.763424,-1.0319009,-1.6285667,-2.538756,-9.733527,JERKING,498a056b1269
1777355835153,15631786962180,9.153033,9.41879,-1.1731589,-2.4471262,-3.0017917,-11.407297,JERKING,498a056b1269
1777355835174,15631806981711,15.98369,0.7661445,-5.130774,-3.7055085,-3.35365,-12.680341,JERKING,498a056b1269
1777355835194,15631827001242,35.16843,-5.0421886,-4.663905,-4.7317624,-3.3267722,-13.032199,JERKING,498a056b1269
1777355835215,15631847051291,60.9468,-18.526333,4.098873,-3.1606169,-2.1294763,-13.911845,JERKING,498a056b1269
1777355835235,15631867162375,39.439686,-31.756691,7.2807674,-0.26511553,-1.1960741,-11.848342,JERKING,498a056b1269
1777355835257,15631887181906,17.250223,-37.83557,-12.112267,1.3377949,0.78801614,-7.712785,JERKING,498a056b1269
1777355835273,15631907201438,-9.730036,-33.743877,8.219295,-4.9651127,3.9694023,-1.6334536,JERKING,498a056b1269
1777355835294,15631927282004,-26.76478,-35.74543,9.763555,-6.945538,4.0353756,1.2095132,JERKING,498a056b1269
1777355835314,15631947301535,2.5761611,-37.380672,1.5179238,1.6957619,-3.5124753,1.1215485,JERKING,498a056b1269
1777355835340,15631967351584,5.1930237,-17.2598,3.7110126,6.8661256,-2.4336872,1.3072516,JERKING,498a056b1269
1777355835361,15631987371115,0.20829555,-7.699753,5.121197,6.124535,-0.30543262,2.0024164,JERKING,498a056b1269
1777355835374,15632007390647,-1.8938135,-10.053253,6.9407907,0.5900958,0.593761,2.5143213,JERKING,498a056b1269
1777355835394,15632027410178,-2.0805612,-17.211916,7.5920134,-3.227812,0.7489208,2.8735101,JERKING,498a056b1269
1777355835414,15632047429709,-1.1683705,-18.346767,7.690176,-1.8338175,0.25045475,3.1398473,JERKING,498a056b1269
1777355835434,15632067449240,1.0031705,-15.133749,6.9144545,0.70005155,-0.22235495,3.4122932,JERKING,498a056b1269
1777355835455,15632087468772,1.9967642,-13.745112,5.861006,1.3536774,-0.029321533,4.0084977,JERKING,498a056b1269
1777355835479,15632107488303,2.1787236,-13.9151,5.046977,1.1349876,0.28710666,4.7171016,JERKING,498a056b1269
1777355835501,15632127568869,2.8898015,-12.042834,5.5641246,0.8576548,0.29443705,5.280319,JERKING,498a056b1269
1777355835529,15632147588400,3.7301662,-10.682928,5.6335564,0.6035349,0.17470746,5.67616,JERKING,498a056b1269
1777355835540,15632167638449,3.8426938,-9.962274,4.8578353,0.8527679,0.3115413,6.0866613,JERKING,498a056b1269
1777355835561,15632187657980,3.7732618,-7.678205,4.3478703,1.609019,0.5497787,6.3029075,JERKING,498a056b1269
1777355835598,15632207677512,3.5913026,-4.9679685,4.232949,1.9743165,0.84788096,6.3664374,JERKING,498a056b1269
1777355835602,15632227727561,3.0262709,-2.6360161,3.430891,1.7971655,1.1826351,6.367659,JERKING,498a056b1269
1777355835618,15632247747092,2.2720973,-1.055843,3.1244333,1.53205,1.4672983,6.378655,JERKING,498a056b1269
1777355835636,15632267797141,1.5490485,0.32321724,2.4301147,1.3646729,1.6200147,6.3444467,JERKING,498a056b1269
1777355835660,15632287816672,1.30484,1.7046716,1.6232687,1.3304645,1.65911,6.3126817,JERKING,498a056b1269
1777355835686,15632307866721,1.70946,2.1859062,0.40462008,1.1227703,1.5992452,6.34689,JERKING,498a056b1269
1777355835701,15632327855734,2.3989902,3.2489316,0.10534488,0.6377433,1.473407,6.3810983,JERKING,498a056b1269
1777355835719,15632347905783,3.2321723,5.9160724,0.4213795,0.2602286,1.3817772,6.3627725,JERKING,498a056b1269
1777355835738,15632367955832,4.010288,9.536105,-0.079008654,-0.1001819,1.1924089,6.3664374,JERKING,498a056b1269
1777355835758,15632388005881,4.2185836,12.591106,-1.055843,-0.267559,0.99204516,6.2137213,JERKING,498a056b1269
1777355835780,15632408025412,3.8283286,15.047558,-1.3934253,0.10140363,0.95172805,6.0084705,JERKING,498a056b1269
1777355835800,15632428105979,2.5833437,22.570139,-3.2082303,1.6249015,1.1178834,5.4733524,JERKING,498a056b1269
1777355835827,15632448156027,1.9991584,36.93056,-4.9224787,4.010941,1.2779301,4.1453314,JERKING,498a056b1269
1777355835837,15632468267111,4.098873,33.054348,-5.011064,6.007249,-0.23457226,0.46303585,JERKING,498a056b1269
1777355835868,15632488286643,0.8643068,24.123976,-2.9113493,4.482529,-1.4318681,-3.5601227,JERKING,498a056b1269
1777355835888,15632508367209,0.46686932,17.439365,-2.6719291,1.3084733,-2.7818804,-4.7781878,JERKING,498a056b1269
1777355835899,15632528417258,0.25617957,18.243816,-3.2082303,-1.0616838,-3.1581733,-5.136155,JERKING,498a056b1269
1777355835925,15632548528342,1.4652514,15.404294,-2.645593,-2.8576276,-3.1618385,-5.5148916,JERKING,498a056b1269
1777355835939,15632568578391,2.6767175,10.752359,-1.6472107,-3.386637,-2.7220156,-6.06467,JERKING,498a056b1269
1777355835961,15632588689475,1.6663644,7.338228,0.4429273,-2.6865854,-1.8887954,-6.6156707,JERKING,498a056b1269
1777355835982,15632608739523,-0.5267244,5.604826,2.3582888,-1.7886134,-1.1520919,-7.0799284,JERKING,498a056b1269
1777355836011,15632628820090,-2.1859062,4.477157,2.2768857,-1.2119566,-1.1337659,-7.2473054,JERKING,498a056b1269
1777355836025,15632648900656,-2.4995465,2.5378537,2.3702598,-0.8246681,-1.3927728,-7.360926,JERKING,498a056b1269
1777355836045,15632668981223,-1.283292,0.51954174,2.054225,-0.5180137,-1.7800614,-7.536855,JERKING,498a056b1269
1777355836076,15632689031272,0.088585466,-0.7015011,2.2816741,-0.04520403,-1.9633209,-7.689572,JERKING,498a056b1269
1777355836079,15632709111838,1.7621324,-2.15957,3.052607,0.23090707,-2.204002,-7.8618355,JERKING,498a056b1269
1777355836103,15632729192404,4.618415,-3.3423057,3.2202013,-0.080634214,-2.823419,-8.322428,JERKING,498a056b1269
1777355836243,15632749303488,9.382876,-3.442862,2.3774424,-1.3805555,-3.4941492,-8.736595,JERKING,498a056b1269
