epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777359074077,18870709038761,5.21936,2.27928,7.797915,0.18081611,-0.17715092,-0.35430184,FALLS,4d85a58eb8cd
1777359074095,18870729058292,5.4420204,2.207454,7.762002,-0.06352998,-0.0061086523,0.08552113,FALLS,4d85a58eb8cd
1777359074159,18870749077823,5.5377884,2.585738,7.8386164,0.17104226,0.2321288,0.14538592,FALLS,4d85a58eb8cd
1777359074161,18870769127872,5.2600613,2.6384103,7.8050976,0.20525073,0.14172074,0.13805555,FALLS,4d85a58eb8cd
1777359074163,18870789177921,5.2169657,2.7629087,7.680599,0.15760323,0.12950343,0.1160644,FALLS,4d85a58eb8cd
1777359074177,18870809197452,5.3127337,2.741361,7.620744,0.1160644,0.10995574,0.09896017,FALLS,4d85a58eb8cd
1777359074243,18870829216984,5.341464,2.4492683,7.716512,0.10140363,0.12339478,0.105068825,FALLS,4d85a58eb8cd
1777359074246,18870849236515,5.425261,2.60968,7.807492,0.14049901,0.10751228,0.080634214,FALLS,4d85a58eb8cd
1777359074247,18870869286564,5.363012,2.669535,7.6949644,0.11484267,0.12095132,0.059864793,FALLS,4d85a58eb8cd
1777359074261,18870889306095,4.996699,2.56419,7.642292,0.028099801,0.14660765,0.06963864,FALLS,4d85a58eb8cd
1777359074295,18870909356144,5.0278234,2.5953147,7.6734166,-0.02443461,0.11728613,0.073303826,FALLS,4d85a58eb8cd
1777359074297,18870929406193,5.0062757,2.456451,7.5824366,-0.06963864,0.09896017,0.09162979,FALLS,4d85a58eb8cd
1777359074315,18870949425724,4.996699,2.1547816,7.4842744,-0.03176499,0.10629055,0.10629055,FALLS,4d85a58eb8cd
1777359074347,18870969475773,4.8506527,2.2146366,7.4723034,0.064751714,0.10751228,0.10262536,FALLS,4d85a58eb8cd
1777359074377,18870989525821,4.747702,2.3870192,7.4746976,0.10751228,0.12217305,0.10751228,FALLS,4d85a58eb8cd
1777359074379,18871009545353,4.4556093,2.585738,7.371747,0.10262536,0.12461651,0.12217305,FALLS,4d85a58eb8cd
1777359074415,18871029595402,4.355053,2.5234885,7.1275387,-0.02443461,0.10873401,0.15271631,FALLS,4d85a58eb8cd
1777359074423,18871049614933,4.333505,2.566584,6.849811,-0.22479841,0.096516706,0.17470746,FALLS,4d85a58eb8cd
1777359074449,18871069634464,4.2544966,2.3558946,6.7133417,-0.44837508,0.09285152,0.20158553,FALLS,4d85a58eb8cd
1777359074456,18871089684513,4.3023806,1.8411411,6.591237,-0.5839872,0.05497787,0.20891592,FALLS,4d85a58eb8cd
1777359074487,18871109765079,4.5920787,1.6687586,6.5744777,-0.5925393,-0.014660766,0.18203785,FALLS,4d85a58eb8cd
1777359074519,18871129815128,4.6806645,2.1164744,6.564901,-0.6377433,-0.07086037,0.14049901,FALLS,4d85a58eb8cd
1777359074522,18871149865177,4.5513773,2.3199813,6.0956373,-0.92485,-0.08674286,0.08307768,FALLS,4d85a58eb8cd
1777359074578,18871169915226,4.27365,2.1571758,5.815516,-1.4159856,-0.112399206,0.019547688,FALLS,4d85a58eb8cd
1777359074580,18871189934757,4.465186,2.1284454,5.793968,-1.953547,-0.21502456,-0.07941248,FALLS,4d85a58eb8cd
1777359074582,18871209954288,4.996699,3.1723173,6.093243,-2.624277,-0.29565877,-0.19181168,FALLS,4d85a58eb8cd
1777359074613,18871230034855,5.29358,3.3375173,5.092467,-3.6749654,-0.2565634,-0.34697145,FALLS,4d85a58eb8cd
1777359074618,18871250084903,5.463568,2.6384103,3.9456444,-5.044525,-0.16493362,-0.48380527,FALLS,4d85a58eb8cd
1777359074648,18871270134952,5.6527104,2.3463178,3.6535518,-6.2540383,-0.034208454,-0.6621779,FALLS,4d85a58eb8cd
1777359074657,18871290185001,6.0238113,2.3223755,2.3822308,-7.4684386,0.10995574,-0.8943067,FALLS,4d85a58eb8cd
1777359074682,18871310204532,6.528988,1.460463,-0.38067806,-9.180083,0.21746802,-1.0115929,FALLS,4d85a58eb8cd
1777359074713,18871330224064,7.1466923,-0.39264908,-2.2409728,-10.866071,0.40683624,-1.0543534,FALLS,4d85a58eb8cd
