# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777348501968,8344163550530,0.36152446,-0.15801731,9.945514,NaN,NaN,NaN,TONIC,6181b800fa07
1777348501976,8344171634854,0.37349546,-0.17477672,9.952697,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348501984,8344179632485,0.35673606,-0.1604115,9.935937,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348501992,8344187627578,0.35194764,-0.16519992,9.957485,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502000,8344195623210,0.36152446,-0.18195933,9.957485,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502008,8344203619532,0.37828386,-0.17477672,9.964667,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502016,8344211615241,0.3854665,-0.1604115,9.938332,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502024,8344219641488,0.36631286,-0.16519992,9.940725,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502032,8344227637734,0.37349546,-0.16280572,9.940725,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502040,8344235632597,0.39983168,-0.14604631,9.928755,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502048,8344243626690,0.3878607,-0.17956513,9.935937,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502056,8344251621782,0.40701428,-0.18435353,9.931149,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502064,8344259617491,0.40940848,-0.17717093,9.9550905,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502072,8344267612891,0.3878607,-0.16280572,9.931149,0.0018325958,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502080,8344275640061,0.37588966,-0.21068975,9.928755,-0.0018325958,0.0036651916,6.1086525E-4,TONIC,6181b800fa07
1777348502088,8344283636693,0.35673606,-0.21547815,9.945514,-0.0036651916,0.0036651916,0.0030543262,TONIC,6181b800fa07
1777348502096,8344291632939,0.37349546,-0.17956513,9.950302,-0.0036651916,0.0,0.0018325958,TONIC,6181b800fa07
1777348502104,8344299628648,0.36631286,-0.16759412,9.9550905,-0.002443461,0.0036651916,0.0012217305,TONIC,6181b800fa07
1777348502112,8344307624124,0.36391866,-0.16759412,9.986216,-0.004276057,0.004276057,0.002443461,TONIC,6181b800fa07
1777348502120,8344315619525,0.37110126,-0.17477672,9.947908,-0.0036651916,0.0012217305,0.0030543262,TONIC,6181b800fa07
1777348502128,8344323613003,0.35913026,-0.16759412,9.945514,-0.002443461,0.002443461,6.1086525E-4,TONIC,6181b800fa07
1777348502136,8344331641403,0.34955344,-0.15322891,9.931149,-0.002443461,0.0012217305,0.0,TONIC,6181b800fa07
1777348502144,8344339634881,0.34476504,-0.17477672,9.952697,-0.0018325958,0.002443461,6.1086525E-4,TONIC,6181b800fa07
1777348502152,8344347632820,0.35913026,-0.17717093,9.94312,-0.0018325958,0.0012217305,0.0012217305,TONIC,6181b800fa07
1777348502160,8344355627913,0.36631286,-0.18435353,9.938332,-0.0012217305,6.1086525E-4,0.0012217305,TONIC,6181b800fa07
1777348502168,8344363621775,0.37349546,-0.18674773,9.928755,-0.0018325958,-0.0012217305,6.1086525E-4,TONIC,6181b800fa07
1777348502176,8344371619329,0.37588966,-0.17717093,9.940725,-6.1086525E-4,6.1086525E-4,0.0018325958,TONIC,6181b800fa07
1777348502184,8344379613499,0.3878607,-0.21547815,9.940725,-0.0018325958,0.0012217305,6.1086525E-4,TONIC,6181b800fa07
1777348502192,8344387641515,0.38307226,-0.18435353,9.950302,-6.1086525E-4,0.0,-6.1086525E-4,TONIC,6181b800fa07
1777348502200,8344395636301,0.3878607,-0.15562311,9.945514,0.0,0.0,-6.1086525E-4,TONIC,6181b800fa07
1777348502208,8344403634086,0.36870706,-0.17238252,9.959879,0.0018325958,0.0018325958,6.1086525E-4,TONIC,6181b800fa07
1777348502216,8344411627639,0.36152446,-0.20590134,9.969456,0.002443461,6.1086525E-4,0.0,TONIC,6181b800fa07
1777348502224,8344419624963,0.38307226,-0.18674773,9.94312,0.0012217305,-0.002443461,-0.0012217305,TONIC,6181b800fa07
1777348502232,8344427617287,0.38067806,-0.18435353,9.947908,0.004276057,-6.1086525E-4,0.0018325958,TONIC,6181b800fa07
