epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777356158208,15954839641679,-4.1683054,5.626374,6.325481,0.002443461,0.0,0.004886922,JERKING,7779dedec51c
1777356158267,15954859630693,-4.1539397,5.925649,6.3087215,-0.04520403,0.05375614,-0.095294975,JERKING,7779dedec51c
1777356158269,15954879680742,-4.0821137,5.901707,6.241684,-0.018325957,0.20891592,0.047647487,JERKING,7779dedec51c
1777356158273,15954899700273,-4.120421,5.849035,6.31351,0.007330383,0.036651913,0.03176499,JERKING,7779dedec51c
1777356158287,15954919719804,-4.1299977,5.9759274,6.2704144,0.0036651916,0.03176499,0.04520403,JERKING,7779dedec51c
1777356158316,15954939708818,-4.1491513,6.0836663,6.327875,0.0036651916,0.02687807,0.039095376,JERKING,7779dedec51c
1777356158344,15954959758867,-4.084508,6.093243,6.2871737,-0.02565634,0.034208454,0.037873644,JERKING,7779dedec51c
1777356158349,15954979747881,-4.1802764,5.997475,6.373365,-0.034208454,0.04520403,0.04642576,JERKING,7779dedec51c
1777356158383,15954999767412,-4.0342298,6.0022635,6.2823853,-0.015882496,0.04153884,0.02687807,JERKING,7779dedec51c
1777356158390,15955019756426,-4.2042184,6.0262055,6.2464724,0.034208454,0.040317107,0.009773844,JERKING,7779dedec51c
1777356158416,15955039775957,-4.6830587,7.2448545,4.7907977,0.17837265,-0.043982297,-0.034208454,JERKING,7779dedec51c
1777356158447,15955059764970,-6.2105594,12.732365,-0.20111294,0.5717699,-0.08674286,-0.25534168,JERKING,7779dedec51c
1777356158492,15955079815019,-6.409278,17.568651,-3.2848446,1.0140363,-0.36896262,-0.8698721,JERKING,7779dedec51c
1777356158493,15955099834551,-4.711789,21.035456,-5.521029,0.54611355,-1.0238101,-2.0011945,JERKING,7779dedec51c
1777356158495,15955119823564,-0.6847417,18.533516,-2.15957,0.04520403,-1.7165314,-3.3707545,JERKING,7779dedec51c
1777356158520,15955139843095,1.4987702,16.019604,2.0135236,0.061086524,-2.3726006,-4.554611,JERKING,7779dedec51c
1777356158531,15955159862627,1.8483237,12.8927765,5.4180784,0.33108896,-2.9480357,-5.277876,JERKING,7779dedec51c
1777356158554,15955179882158,3.787627,9.473856,6.777985,-0.02443461,-3.8582249,-5.9412756,JERKING,7779dedec51c
1777356158581,15955199901689,6.691794,5.995081,5.8107276,-0.81122905,-4.477642,-6.169739,JERKING,7779dedec51c
1777356158591,15955219951738,10.359711,2.9855695,3.0214825,-0.64996064,-4.376239,-6.3224554,JERKING,7779dedec51c
1777356158610,15955240001787,12.770672,-3.8666358,6.6247563,0.6133087,-3.7201693,-5.84598,JERKING,7779dedec51c
1777356158634,15955260082353,12.861651,-10.323798,15.308526,1.6493362,-3.0653217,-4.1636577,JERKING,7779dedec51c
1777356158661,15955280132402,10.101137,-7.469909,20.17115,1.7788396,-2.5802948,-3.0579915,JERKING,7779dedec51c
1777356158668,15955300243486,2.0087352,-8.293514,23.623589,1.1410962,-1.1337659,-1.4831808,JERKING,7779dedec51c
1777356158693,15955320293535,-5.542577,-9.564836,23.496695,0.20891592,0.06963864,-0.037873644,JERKING,7779dedec51c
1777356158745,15955340313066,-8.185776,-7.311892,23.314735,0.45570546,0.7415904,0.7244862,JERKING,7779dedec51c
1777356158749,15955360393633,-7.9152308,-5.17387,21.509508,0.6035349,1.4404203,1.2742649,JERKING,7779dedec51c
1777356158751,15955380443681,-6.327875,-3.6655228,19.242199,0.16982053,2.3530529,1.4966198,JERKING,7779dedec51c
1777356158769,15955400554765,-3.7708676,-3.691859,16.47929,-0.408058,3.2302554,1.7018706,JERKING,7779dedec51c
1777356158793,15955420574297,-0.94331545,-4.0294414,14.353239,-0.84788096,3.9730675,2.0329595,JERKING,7779dedec51c
1777356158825,15955440624345,0.2633622,-2.717419,11.310209,-0.9431759,4.5399504,2.533869,JERKING,7779dedec51c
1777356158830,15955460704912,1.5346833,-1.3790601,8.827422,-1.0360274,4.845383,3.040887,JERKING,7779dedec51c
1777356158859,15955480785478,1.9608512,1.2354081,6.361394,-1.428203,4.9419,3.4416149,JERKING,7779dedec51c
1777356158867,15955500805010,1.9369092,3.2321723,4.0581717,-1.953547,4.796514,3.8496728,JERKING,7779dedec51c
1777356158892,15955520824541,2.7126305,3.9935284,3.3423057,-2.2956316,4.3994517,4.225966,JERKING,7779dedec51c
1777356158909,15955540844072,3.4165258,4.6662993,2.791639,-2.2516494,3.9559634,4.5191813,JERKING,7779dedec51c
1777356158928,15955560863603,3.3925838,7.2472486,2.8491,-1.4428637,3.4855971,4.471534,JERKING,7779dedec51c
1777356158951,15955580944170,3.3925838,9.710882,1.472434,-0.49480084,3.0702088,4.257731,JERKING,7779dedec51c
1777356158977,15955600963701,1.7908629,12.667721,0.35673606,0.3323107,2.8735101,3.7690387,JERKING,7779dedec51c
1777356158987,15955621013750,-0.81402856,14.925453,-1.2306197,1.187522,2.6682594,3.1899383,JERKING,7779dedec51c
1777356159015,15955641033281,-3.9552212,21.41374,-6.579266,2.2809708,2.3640485,2.0830505,JERKING,7779dedec51c
1777356159028,15955661083330,-7.809886,25.548527,-11.109096,4.2186356,1.6542231,0.35308012,JERKING,7779dedec51c
1777356159059,15955681102861,-7.5584946,17.056293,-5.6910176,-0.17715092,0.19181168,0.2003638,JERKING,7779dedec51c
1777356159067,15955701152910,-6.8689647,9.868899,-3.9360676,-1.518611,-0.11484267,-1.1630874,JERKING,7779dedec51c
1777356159115,15955721172441,-8.346188,13.618219,-8.185776,1.0641272,-0.5119051,-1.9938642,JERKING,7779dedec51c
1777356159119,15955741222490,-7.9343843,16.579847,-9.847352,1.65911,-1.4953982,-2.3432791,JERKING,7779dedec51c
1777356159128,15955761242021,-5.3486466,15.907076,-9.241618,0.34574974,-2.5192082,-3.0225613,JERKING,7779dedec51c
1777356159159,15955781292070,-2.8754363,15.389929,-9.004593,-0.44715336,-3.4159584,-3.781256,JERKING,7779dedec51c
1777356159168,15955801311601,-0.38307226,13.857639,-6.64391,-0.4373795,-4.216192,-4.619363,JERKING,7779dedec51c
1777356159192,15955821331133,1.9177556,12.112267,-6.4044895,-0.43249258,-5.116607,-5.417153,JERKING,7779dedec51c
1777356159228,15955841350664,4.489128,11.259931,-5.9041014,-0.30665436,-5.7372465,-6.007249,JERKING,7779dedec51c
1777356159231,15955861400713,13.670892,0.055066638,0.8571242,0.3359759,-5.9999185,-5.6052995,JERKING,7779dedec51c
1777356159259,15955881420244,24.164679,-14.401123,13.464991,-1.1911873,-6.1758475,-4.5069637,JERKING,7779dedec51c
1777356159267,15955901500810,14.791378,-16.893488,25.917233,-1.4172074,-3.3695326,-5.33041,JERKING,7779dedec51c
1777356159292,15955921520342,8.588001,-23.21418,25.82386,0.50946164,-2.3958135,-2.9712486,JERKING,7779dedec51c
1777356159329,15955941539873,-2.5258827,-18.389864,27.30587,1.8509218,-1.314582,-0.17470746,JERKING,7779dedec51c
1777356159335,15955961559404,-12.899959,-12.780249,26.625917,1.8692477,-0.19547687,1.9144517,JERKING,7779dedec51c
1777356159382,15955981578935,-16.048334,-6.909666,24.873362,2.1001546,0.66706485,3.1606169,JERKING,7779dedec51c
1777356159385,15956001659502,-11.128249,-3.2561142,21.679497,1.6835446,1.6786577,3.3279939,JERKING,7779dedec51c
1777356159390,15956021648515,-5.1642933,-0.15083471,17.901445,0.83077675,2.933375,3.2302554,JERKING,7779dedec51c
1777356159433,15956041698564,-0.6775591,0.35434186,14.403518,-0.18936823,4.0365977,2.9956832,JERKING,7779dedec51c
1777356159435,15956061718095,1.328782,1.0103531,10.259154,-0.8063421,4.787962,3.0042353,JERKING,7779dedec51c
1777356159450,15956081737627,2.480393,1.7764976,6.8641763,-0.91751957,5.112942,3.199712,JERKING,7779dedec51c
1777356159479,15956101787676,3.7612908,2.7820623,4.096479,-0.86254174,5.0347514,3.4941492,JERKING,7779dedec51c
1777356159492,15956121776689,4.3742065,4.2880154,2.5354595,-0.8185594,4.756197,3.7641516,JERKING,7779dedec51c
1777356159526,15956141826738,4.5058875,5.693412,1.1444284,-0.5815437,4.3346996,3.9938369,JERKING,7779dedec51c
1777356159532,15956161815752,4.06296,7.8984714,-0.6847417,-0.27855456,3.8325686,4.065919,JERKING,7779dedec51c
1777356159558,15956181896318,2.7509377,10.388441,-1.7645266,-0.16493362,3.3793066,4.0402627,JERKING,7779dedec51c
