epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350760749,10557383180359,0.7589619,2.669535,9.232041,0.14049901,-0.18936823,-0.36651915,TREMOR,8fee44db8ad2
1777350760774,10557403260926,0.48841715,2.906561,10.0029745,-0.35308012,-0.05497787,0.052534413,TREMOR,8fee44db8ad2
1777350760798,10557423280457,0.7445967,-0.6560113,10.527305,-0.8784242,0.05131268,0.05375614,TREMOR,8fee44db8ad2
1777350760824,10557443330506,1.4101849,-4.5082817,10.809821,-0.4202753,-0.09285152,-0.03176499,TREMOR,8fee44db8ad2
1777350760830,10557463380555,2.1547816,-3.7660792,10.484209,0.29443705,-0.15271631,-0.058643065,TREMOR,8fee44db8ad2
1777350760854,10557483430604,1.2569559,3.3494883,8.226477,0.7611381,0.029321533,-0.09162979,TREMOR,8fee44db8ad2
1777350760870,10557503450135,-0.36152446,6.787562,7.917625,0.7733554,0.21135938,0.040317107,TREMOR,8fee44db8ad2
1777350760892,10557523500184,-0.2825158,4.687847,9.325416,-0.4728097,-0.14538592,0.018325957,TREMOR,8fee44db8ad2
1777350760926,10557543519715,1.6041151,-3.799598,11.33894,-1.9058995,-0.4728097,-0.18325958,TREMOR,8fee44db8ad2
1777350760934,10557563569764,2.4756045,-8.853758,9.088389,-1.4404203,-0.43249258,-0.17715092,TREMOR,8fee44db8ad2
1777350760950,10557583619813,1.2162545,-5.305551,7.762002,0.50946164,0.17592919,-0.040317107,TREMOR,8fee44db8ad2
1777350760974,10557603669861,-0.90979666,-0.04070143,6.811504,1.2046263,0.5852089,-0.12583824,TREMOR,8fee44db8ad2
1777350760999,10557623689393,-1.5969325,9.188946,8.161834,1.3084733,0.27855456,-0.06841691,TREMOR,8fee44db8ad2
1777350761015,10557643708924,-0.24660277,6.8306575,12.20564,-0.15515977,-0.3005457,0.16493362,TREMOR,8fee44db8ad2
1777350761037,10557663758973,2.791639,-10.3692875,14.477737,-2.2968533,-0.8539896,-0.34697145,TREMOR,8fee44db8ad2
1777350761050,10557683778504,4.8027687,-14.800955,9.387665,-0.18203785,-0.59131753,-0.47769663,TREMOR,8fee44db8ad2
1777350761072,10557703828553,3.5482068,-0.92176765,7.477092,1.8545868,0.4654793,-0.02565634,TREMOR,8fee44db8ad2
1777350761104,10557723848084,-1.2042835,11.3964,5.3247046,2.1832323,1.3866642,0.56688297,TREMOR,8fee44db8ad2
1777350761111,10557743928650,-5.023035,18.32522,4.8578353,0.7965683,0.8698721,0.14172074,TREMOR,8fee44db8ad2
1777350761132,10557763978699,-1.091756,9.246407,10.16578,-1.5454891,-0.95172805,-0.036651913,TREMOR,8fee44db8ad2
1777350761150,10557783998231,4.0701427,-8.319851,14.544775,-4.4984117,-1.7715092,0.05375614,TREMOR,8fee44db8ad2
1777350761172,10557804048279,4.9224787,-20.104113,10.220847,-2.679255,-0.7367035,-0.3286455,TREMOR,8fee44db8ad2
1777350761198,10557824098328,3.2010477,-11.032481,7.1275387,0.8503244,0.30665436,0.16615535,TREMOR,8fee44db8ad2
1777350761223,10557844117859,0.24181437,2.705448,7.6590514,3.1093042,1.0873401,0.017104227,TREMOR,8fee44db8ad2
1777350761230,10557864167908,-1.8363527,15.935806,6.895301,2.8612928,0.7831292,0.24801129,TREMOR,8fee44db8ad2
1777350761251,10557884187440,-1.5873557,15.279796,9.763555,-0.2602286,-0.029321533,0.02076942,TREMOR,8fee44db8ad2
1777350761274,10557904206971,1.1444284,-4.5537715,12.722788,-4.162436,-0.9101892,-0.15027285,TREMOR,8fee44db8ad2
1777350761298,10557924226502,3.9552212,-19.129671,9.811439,-2.973692,-0.9492846,-0.31642818,TREMOR,8fee44db8ad2
1777350761314,10557944276551,3.9815574,-12.739547,6.7229185,0.45204028,-0.2003638,0.080634214,TREMOR,8fee44db8ad2
1777350761352,10557964296082,1.0965444,1.1779473,6.5601125,2.879619,0.9077458,0.009773844,TREMOR,8fee44db8ad2
1777350761362,10557984346131,-1.8986019,19.009962,6.265626,3.0787609,0.9737192,0.34208453,TREMOR,8fee44db8ad2
