epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777355952287,15748920360939,0.074220255,0.31364042,9.19134,0.13927728,-0.18570304,-0.37507126,JERKING,97675c90e024
1777355952379,15748940410988,-0.1412579,0.7637503,9.076419,0.06352998,0.2565634,0.13439035,JERKING,97675c90e024
1777355952381,15748960430519,-0.19871874,1.4149733,9.224859,0.408058,0.8979719,0.2883284,JERKING,97675c90e024
1777355952383,15748980450050,-0.20350714,1.3479356,9.26556,0.3371976,0.829555,0.33964106,JERKING,97675c90e024
1777355952385,15749000500099,-0.51475334,0.61770403,8.956709,0.3323107,0.7733554,0.38728857,JERKING,97675c90e024
1777355952394,15749020550148,-0.8762778,0.90500826,8.492233,0.42760566,0.77824235,0.39828414,JERKING,97675c90e024
1777355952410,15749040569679,-0.9504981,1.151611,8.283937,0.49235737,0.75502944,0.39706242,JERKING,97675c90e024
1777355952549,15749060619728,-0.9792285,1.8626889,8.468291,0.42638394,0.7012733,0.38973203,JERKING,97675c90e024
1777355952551,15749080639259,-1.1013328,2.1140802,8.671799,0.1685988,0.6426302,0.42271876,JERKING,97675c90e024
1777355952554,15749100658790,-1.2186487,1.8459295,9.150639,-0.05131268,0.5546656,0.47647488,JERKING,97675c90e024
1777355952557,15749120708839,-0.5434838,1.70946,9.895236,-0.17715092,0.46303585,0.5558874,JERKING,97675c90e024
1777355952560,15749140758888,-0.4333505,1.733402,11.305421,-0.17348573,0.6658431,0.7623598,JERKING,97675c90e024
1777355952563,15749160778419,-0.8738836,1.2617443,13.917495,-0.12583824,0.9443977,0.8723156,JERKING,97675c90e024
1777355952565,15749180828468,2.1452048,1.8339585,15.83525,-0.0720821,1.0812315,0.5522222,JERKING,97675c90e024
1777355952569,15749200909034,1.2330139,1.5682021,16.79293,-0.65118235,2.107485,0.66950834,JERKING,97675c90e024
1777355952662,15749220959083,0.7015011,-0.5315128,15.650896,-1.4135422,2.8112018,0.8857546,JERKING,97675c90e024
1777355952664,15749241009132,0.9696517,-1.4796166,12.567164,-1.6077974,3.2534683,1.0958922,JERKING,97675c90e024
1777355952665,15749261059181,-0.92176765,-0.6344634,10.220847,-1.7214183,3.8679988,1.2999213,JERKING,97675c90e024
