epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777355734074,15530701542114,-2.0757728,4.0438066,7.563283,0.15515977,-0.16126843,-0.36774087,JERKING,9cf1677a71a9
1777355734087,15530721622680,-1.8291701,3.2273839,4.8219223,-0.030543262,0.19547687,-0.13683382,JERKING,9cf1677a71a9
1777355734128,15530741642211,-1.9249382,5.398925,0.91937345,-0.064751714,1.2938126,-0.3359759,JERKING,9cf1677a71a9
1777355734141,15530761661743,-2.918532,8.628703,-4.256891,-0.3811799,1.6212363,-0.874759,JERKING,9cf1677a71a9
1777355734183,15530781681274,-5.391742,14.144943,-12.265495,-1.4990633,1.3475688,-1.2021828,JERKING,9cf1677a71a9
1777355734185,15530801700805,-9.710882,19.440918,-14.341269,-2.5350907,0.8503244,-1.5992452,JERKING,9cf1677a71a9
1777355734192,15530821781372,-7.6375036,15.763424,-4.209007,-3.1117475,-0.61575216,-1.6200147,JERKING,9cf1677a71a9
1777355734238,15530841800903,9.935937,7.433996,3.9217024,-1.5491543,-3.6114354,-3.5735617,JERKING,9cf1677a71a9
1777355734241,15530861850952,7.0461354,7.441179,10.704475,1.1667526,-3.385415,-5.9681535,JERKING,9cf1677a71a9
1777355734280,15530881901001,0.6631939,6.3709707,14.834474,2.2968533,-5.566204,-7.9180355,JERKING,9cf1677a71a9
1777355734311,15530901951049,3.8642416,2.078167,5.327099,-1.9022343,-8.412836,-7.487986,JERKING,9cf1677a71a9
1777355734313,15530921970581,6.8761473,5.781997,-10.2735195,-7.91437,-8.913746,-7.453778,JERKING,9cf1677a71a9
1777355734316,15530942020629,33.688812,-3.8905778,11.27669,-6.399424,-9.127548,-8.492249,JERKING,9cf1677a71a9
1777355734350,15530962070678,46.983814,-42.003876,17.06108,-2.8893926,-6.2332687,-3.532023,JERKING,9cf1677a71a9
1777355734391,15530982120727,15.811308,-26.709715,11.81778,0.6059783,0.23945917,-1.9315559,JERKING,9cf1677a71a9
1777355734393,15531002201293,4.975151,-15.507244,16.452953,1.5467108,3.0567696,0.5216789,JERKING,9cf1677a71a9
1777355734395,15531022281860,2.597709,-15.502456,18.274942,-0.99204516,2.1197023,1.8851302,JERKING,9cf1677a71a9
1777355734438,15531042331909,5.1547165,-15.928624,16.589424,-1.5760323,1.9511036,3.2058208,JERKING,9cf1677a71a9
1777355734440,15531062412475,8.224083,-13.127408,15.0715,0.49968776,1.2864822,3.9694023,JERKING,9cf1677a71a9
1777355734451,15531082432006,10.716447,-9.100361,11.092337,1.9877555,1.3793337,4.085467,JERKING,9cf1677a71a9
1777355734511,15531102482055,10.941502,-5.327099,9.533711,2.574186,2.3432791,4.5069637,JERKING,9cf1677a71a9
1777355734513,15531122532104,8.561666,-2.5067291,9.378088,2.6804767,3.227812,4.732984,JERKING,9cf1677a71a9
1777355734515,15531142551635,6.0405707,0.11252748,8.7053175,2.515543,3.580892,4.7036624,JERKING,9cf1677a71a9
1777355734565,15531162571167,3.809175,1.5705963,6.9647326,2.4459045,3.5931094,4.420221,JERKING,9cf1677a71a9
1777355734599,15531182590698,1.9800048,2.846706,6.7708025,2.3139575,3.50881,4.169766,JERKING,9cf1677a71a9
1777355734633,15531202671264,0.581791,3.9480386,6.603208,1.609019,3.1716123,4.0915756,JERKING,9cf1677a71a9
1777355734635,15531222690795,-0.7206547,5.6766524,5.8921304,1.0213667,2.886949,4.0695844,JERKING,9cf1677a71a9
1777355734637,15531242710327,-2.0829554,6.078878,5.9639564,0.55955255,2.719572,4.079358,JERKING,9cf1677a71a9
1777355734639,15531262760376,-2.695871,6.167464,5.0014873,-0.12705997,2.4446826,3.9559634,JERKING,9cf1677a71a9
1777355734673,15531282779907,-2.6719291,6.291962,4.6471453,-0.49357912,2.2284365,3.585779,JERKING,9cf1677a71a9
1777355734675,15531302860473,-2.6839,7.833828,3.3566709,-0.7892379,2.017077,3.159395,JERKING,9cf1677a71a9
1777355734720,15531322910522,-3.7948096,10.469844,1.5921441,-1.1936307,1.9058995,2.8173106,JERKING,9cf1677a71a9
1777355734722,15531342960571,-5.351041,12.152967,0.17477672,-1.9975294,1.6603317,2.430022,JERKING,9cf1677a71a9
1777355734735,15531362980102,-5.825093,11.5616,-0.093373865,-3.050661,0.9969321,1.7849482,JERKING,9cf1677a71a9
1777355734771,15531383030151,-3.8163576,9.129091,3.1483753,-3.2449162,-0.019547688,0.71837753,JERKING,9cf1677a71a9
1777355734774,15531403049682,-1.4341269,9.107543,6.411672,-1.4624114,-0.7806858,-0.7452556,JERKING,9cf1677a71a9
1777355734802,15531423069213,-1.2856863,13.922283,6.5601125,1.1753048,-1.070236,-2.3420575,JERKING,9cf1677a71a9
1777355734869,15531443119262,-1.388637,16.565481,5.60722,2.7256808,-1.6468927,-3.5735617,JERKING,9cf1677a71a9
1777355734871,15531463199829,0.4333505,16.00045,3.6774938,3.2045991,-2.8454103,-4.860044,JERKING,9cf1677a71a9
1777355734873,15531483219360,3.3063924,15.861587,1.3479356,3.0298917,-3.9205332,-6.3432245,JERKING,9cf1677a71a9
1777355734884,15531503238891,6.1866174,15.756242,1.4293385,2.2308798,-4.439769,-7.4501123,JERKING,9cf1677a71a9
1777355734890,15531523258422,8.50181,14.310143,1.3934253,0.7501425,-4.5252895,-7.8410664,JERKING,9cf1677a71a9
1777355734925,15531543308471,10.206482,12.670115,0.31364042,-0.7538077,-4.2455134,-7.783645,JERKING,9cf1677a71a9
1777355734933,15531563328002,17.080235,0.9935937,4.4220905,-2.339614,-4.01705,-6.9516463,JERKING,9cf1677a71a9
1777355734964,15531583347534,24.46874,-13.369223,19.637243,-5.744577,-2.9663615,-6.6523223,JERKING,9cf1677a71a9
1777355734973,15531603428100,19.974825,-13.769054,19.809626,-2.5729644,-2.1453588,-8.820894,JERKING,9cf1677a71a9
1777355735001,15531623478149,16.70674,-15.320497,20.2741,2.7537806,-2.679255,-8.031656,JERKING,9cf1677a71a9
1777355735067,15531643528198,16.656462,-14.72434,16.40507,1.4844025,-3.7739255,-6.44585,JERKING,9cf1677a71a9
1777355735069,15531663639282,14.791378,-15.200787,15.95496,-0.8014552,-2.8637362,-4.9162436,JERKING,9cf1677a71a9
1777355735071,15531683719848,10.833763,-19.86469,16.594212,-1.7201965,-0.86009824,-3.0396655,JERKING,9cf1677a71a9
1777355735079,15531703769897,6.4164605,-17.480066,14.693215,-2.2540927,1.1997393,-0.83199847,JERKING,9cf1677a71a9
1777355735113,15531723850463,6.181829,-15.832856,14.623784,-2.4165828,1.9181169,1.3622295,JERKING,9cf1677a71a9
1777355735115,15531743900512,7.261614,-14.7554655,13.575124,-1.5931365,1.8961257,2.764776,JERKING,9cf1677a71a9
1777355735149,15531763950561,7.9822683,-12.717999,12.615048,-0.02443461,2.0512855,3.7824776,JERKING,9cf1677a71a9
1777355735211,15531784000610,8.774749,-10.247183,11.803414,0.816116,2.4141395,4.4385467,JERKING,9cf1677a71a9
1777355735213,15531804081176,7.5920134,-7.9870567,11.058818,0.625526,3.0030136,4.7720795,JERKING,9cf1677a71a9
1777355735216,15531824131225,5.841852,-6.337452,10.929531,-0.1600467,3.4697146,4.963891,JERKING,9cf1677a71a9
1777355735251,15531844181274,4.697424,-5.8945246,10.635044,-0.6976081,3.6737435,5.1935763,JERKING,9cf1677a71a9
1777355735257,15531864261840,3.4859576,-4.3478703,9.13388,-0.5534439,3.7384953,5.3023105,JERKING,9cf1677a71a9
1777355735258,15531884342407,2.6048915,-2.6384103,8.207323,0.16126843,3.8203511,5.33041,JERKING,9cf1677a71a9
1777355735293,15531904422973,1.6639702,-0.0023942017,6.88333,0.59131753,3.8276815,5.35851,JERKING,9cf1677a71a9
1777355735295,15531924503540,1.1133038,1.7884687,6.1387334,0.8454375,3.780034,5.303532,JERKING,9cf1677a71a9
1777355735332,15531944614624,1.3718776,3.7972038,4.4220905,0.9309586,3.5931094,5.211902,JERKING,9cf1677a71a9
1777355735340,15531964664672,1.6711528,6.3422403,2.6767175,1.0934488,3.5344663,4.995656,JERKING,9cf1677a71a9
1777355735373,15531984745239,1.0582372,11.427525,0.107739076,0.98837996,3.649309,4.704884,JERKING,9cf1677a71a9
1777355735417,15532004795288,-0.93852705,19.045874,-1.0821792,0.7819075,3.8398988,4.3175955,JERKING,9cf1677a71a9
1777355735418,15532024875854,-1.8219875,28.407204,0.23463176,0.58276546,3.440393,3.4196236,JERKING,9cf1677a71a9
