epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777358560398,18357028865219,2.2146366,-1.8866309,9.871294,0.0,0.004886922,0.02443461,FALLS,9d168a84101e
1777358560502,18357048884750,1.4580688,-1.5011644,9.801862,0.010995574,0.10629055,-0.08307768,FALLS,9d168a84101e
1777358560505,18357068904282,1.2114661,-1.8986019,9.332599,-0.17348573,0.22357668,-0.42638394,FALLS,9d168a84101e
1777358560507,18357088923813,2.554613,-1.5346833,9.078813,-0.12217305,-0.0012217305,-0.7281514,FALLS,9d168a84101e
1777358560509,18357108943344,0.7661445,-1.4341269,9.674969,-0.12095132,0.20891592,-0.6414085,FALLS,9d168a84101e
1777358560512,18357128962875,1.6759412,-1.4341269,9.531317,-0.14782938,-0.013439035,-0.6780604,FALLS,9d168a84101e
1777358560523,18357149012924,1.4269443,-1.673547,9.301474,-0.15271631,0.037873644,-0.6267477,FALLS,9d168a84101e
1777358560537,18357169032456,1.5490485,-1.6903064,9.11712,-0.10751228,-0.008552114,-0.5815437,FALLS,9d168a84101e
1777358560675,18357189082504,1.364695,-1.3599066,9.169792,-0.07941248,0.002443461,-0.56688297,FALLS,9d168a84101e
1777358560676,18357209102036,1.5227122,-1.5849615,9.232041,-0.089186326,-0.042760566,-0.54611355,FALLS,9d168a84101e
1777358560678,18357229121567,1.6304513,-1.5131354,9.361329,-0.065973446,-0.0720821,-0.5204572,FALLS,9d168a84101e
1777358560682,18357249141098,1.6998832,-1.4676456,9.239224,-0.05131268,-0.10995574,-0.49602258,FALLS,9d168a84101e
1777358560683,18357269160629,1.7621324,-1.316811,8.90643,-0.089186326,-0.10873401,-0.47891834,FALLS,9d168a84101e
1777358560686,18357289149643,1.9033904,-1.0845734,8.571242,-0.1441642,-0.14172074,-0.47158796,FALLS,9d168a84101e
1777358560688,18357309169174,1.9895816,-1.2066777,8.456321,-0.19181168,-0.15760323,-0.44348818,FALLS,9d168a84101e
1777358560695,18357329188706,2.018312,-1.1204864,8.3629465,-0.16737708,-0.21991149,-0.453262,FALLS,9d168a84101e
1777358560779,18357349208237,1.934515,-0.8643068,7.97748,-0.21013765,-0.26389378,-0.48747048,FALLS,9d168a84101e
1777358560781,18357369258286,1.8650831,-0.36391866,7.467515,-0.34697145,-0.3200934,-0.5363397,FALLS,9d168a84101e
1777358560783,18357389308334,1.8459295,-0.41180268,6.8162923,-0.4728097,-0.4373795,-0.6230826,FALLS,9d168a84101e
1777358560786,18357409388901,1.9728222,-1.1947067,7.0102224,-0.39828414,-0.6047566,-0.75869465,FALLS,9d168a84101e
