epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777359219589,19016213597654,1.8243817,-2.4420857,9.469068,0.15149458,-0.18325958,-0.34330627,FALLS,a9ecaaa70814
1777359219673,19016233617185,1.7884687,-1.8962077,9.490616,-0.28588495,0.09162979,-0.2846632,FALLS,a9ecaaa70814
1777359219675,19016253667234,1.8459295,-2.542642,9.241618,-0.6047566,0.56321776,-0.8173377,FALLS,a9ecaaa70814
1777359219677,19016273686765,1.541866,-2.597709,9.076419,-0.69027776,0.5729916,-1.0372492,FALLS,a9ecaaa70814
1777359219681,19016293706296,0.7517793,-2.8083985,8.856153,-0.68539083,0.6609562,-1.0677924,FALLS,a9ecaaa70814
1777359219684,19016313725828,0.9840169,-2.719813,8.652645,-0.58276546,0.5729916,-1.1545353,FALLS,a9ecaaa70814
1777359219705,19016333745359,1.5466543,-2.7509377,8.645462,-0.50579643,0.43127087,-1.2388347,FALLS,a9ecaaa70814
1777359219778,19016353764890,2.3247697,-2.8323407,8.805874,-0.5546656,0.37140608,-1.2901474,FALLS,a9ecaaa70814
1777359219781,19016373784421,1.9201498,-2.9400797,8.841787,-0.66828656,0.47158796,-1.2278391,FALLS,a9ecaaa70814
1777359219785,19016393803953,1.388637,-2.8060043,8.65025,-0.75869465,0.4801401,-1.237613,FALLS,a9ecaaa70814
1777359219787,19016413854002,1.3383588,-2.96881,8.0445175,-0.80878556,0.3213151,-1.2913691,FALLS,a9ecaaa70814
1777359219859,19016433873533,1.3072342,-3.1316159,7.513005,-0.69027776,0.17348573,-1.3671165,FALLS,a9ecaaa70814
1777359219862,19016453893064,2.9161377,-1.6089035,8.152257,-0.53878313,-0.0036651916,-1.3756685,FALLS,a9ecaaa70814
1777359219866,19016473912595,1.352724,-2.5234885,6.799533,-0.5448918,-0.06719518,-1.0225884,FALLS,a9ecaaa70814
1777359219868,19016493932127,1.079785,-1.5131354,6.303933,-0.81245077,-0.07819075,-1.5125023,FALLS,a9ecaaa70814
1777359219951,19016513951658,1.8602947,-1.3479356,5.4444146,-1.0225884,-0.30665436,-1.8325957,FALLS,a9ecaaa70814
1777359219955,19016533971189,2.540248,-1.541866,5.0134583,-0.97494096,-0.6780604,-2.0512855,FALLS,a9ecaaa70814
1777359219957,19016554021238,4.6040497,-0.32321724,4.6662993,-0.7538077,-1.078788,-2.4984388,FALLS,a9ecaaa70814
1777359219959,19016574040769,5.7508726,-0.2825158,4.1276035,-0.9798279,-1.3255776,-2.8759537,FALLS,a9ecaaa70814
1777359219961,19016594060300,7.383718,-0.15562311,3.5889084,-1.3096951,-1.6187929,-3.1813862,FALLS,a9ecaaa70814
1777359220040,19016614079832,10.022128,0.45250413,3.064578,-1.7067575,-1.9767599,-3.7384953,FALLS,a9ecaaa70814
1777359220043,19016634099363,12.392388,0.36870706,2.5713725,-2.5802948,-2.13925,-4.189314,FALLS,a9ecaaa70814
1777359220046,19016654118894,14.537593,-0.29688102,2.303222,-3.7836993,-2.0463986,-4.5900416,FALLS,a9ecaaa70814
1777359220048,19016674168943,17.542316,-0.8355764,1.6208745,-5.01276,-2.0696115,-5.1385984,FALLS,a9ecaaa70814
1777359220069,19016694188474,21.102493,-1.8435353,0.7038953,-6.1526346,-1.9095647,-5.6517253,FALLS,a9ecaaa70814
1777359220130,19016714238523,23.410503,-3.0502129,0.18195933,-7.0469413,-1.1899655,-6.051231,FALLS,a9ecaaa70814
1777359220132,19016734288572,24.619576,-3.7612908,-0.6919243,-7.5502944,-0.28221974,-6.4837236,FALLS,a9ecaaa70814
1777359220134,19016754338621,25.962723,-3.8714242,-1.9752164,-7.742106,0.4251622,-6.899112,FALLS,a9ecaaa70814
1777359220143,19016774358152,27.703308,-4.0342298,-2.4468741,-7.61749,1.0189233,-7.1703362,FALLS,a9ecaaa70814
1777359220211,19016794408201,29.42474,-4.223372,-2.5187001,-7.1324625,1.6395624,-7.3401566,FALLS,a9ecaaa70814
1777359220213,19016814427732,29.214048,-4.477157,-2.2697031,-6.3126817,2.225993,-7.3010616,FALLS,a9ecaaa70814
1777359220215,19016834508298,28.29707,-4.7668557,-1.2785037,-4.9883256,2.5827382,-7.202101,FALLS,a9ecaaa70814
1777359220290,19016854527830,26.812664,-5.8921304,0.035913024,-3.0482175,2.742785,-7.0860367,FALLS,a9ecaaa70814
1777359220292,19016874547361,24.214956,-6.6893997,1.4987702,-0.50701815,2.8710666,-6.9064426,FALLS,a9ecaaa70814
1777359220294,19016894597410,21.346703,-7.2568254,2.669535,2.3506095,2.733011,-6.773274,FALLS,a9ecaaa70814
1777359220398,19016914647459,19.546263,-7.299921,3.1866825,4.8563786,2.2821925,-6.6559877,FALLS,a9ecaaa70814
1777359220400,19016934728025,18.128895,-6.3949127,2.030283,6.4702845,1.6945401,-6.4800587,FALLS,a9ecaaa70814
1777359220404,19016954808591,15.904682,-4.996699,1.6759412,6.4409633,1.2046263,-6.073222,FALLS,a9ecaaa70814
1777359220406,19016974889158,12.964602,-3.1292217,4.1132383,4.6535716,1.0543534,-5.70426,FALLS,a9ecaaa70814
1777359220408,19016994908689,11.03727,-2.291251,5.9663506,1.7275269,0.9859365,-5.275432,FALLS,a9ecaaa70814
1777359220410,19017014989255,9.813833,-1.436521,5.973533,-0.9627236,1.2156218,-4.56072,FALLS,a9ecaaa70814
1777359220412,19017035039304,7.560889,0.7493851,5.8322754,-3.0482175,1.8973475,-3.7995818,FALLS,a9ecaaa70814
1777359220427,19017055119871,5.6982,0.92895025,5.106832,-4.572937,2.3640485,-2.8417451,FALLS,a9ecaaa70814
1777359220445,19017075230955,4.903325,-0.093373865,4.2042184,-5.667608,2.5302038,-1.8240436,FALLS,a9ecaaa70814
