epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777356920725,16717351384962,-8.492233,2.1308396,3.608062,0.0,0.004886922,0.02443461,JERKING,ab66a9d1a24c
1777356920751,16717371404493,-8.734048,2.3582888,3.383007,-0.05131268,-0.008552114,-0.10629055,JERKING,ab66a9d1a24c
1777356920843,16717391454542,-9.083601,2.8060043,3.0454245,-0.059864793,-0.204029,-0.2919936,JERKING,ab66a9d1a24c
1777356920847,16717411474073,-8.961497,3.13401,2.822764,-0.23701571,-0.61575216,-0.5693264,JERKING,ab66a9d1a24c
1777356920851,16717431524122,-8.798691,2.8874073,2.7006595,-0.41050145,-0.6206391,-0.63285637,JERKING,ab66a9d1a24c
1777356920855,16717451543653,-8.425196,2.504335,2.7629087,-0.39095375,-0.6609562,-0.7171558,JERKING,ab66a9d1a24c
1777356920872,16717471563184,-8.130709,2.7365725,2.7820623,-0.2284636,-0.7538077,-0.81122905,JERKING,ab66a9d1a24c
1777356920876,16717491643751,-8.207323,3.2393548,2.5785553,-0.16493362,-0.8393288,-0.8918633,JERKING,ab66a9d1a24c
1777356920880,16717511663282,-8.432379,4.0773253,1.9895816,-0.27122417,-0.9505063,-1.0054842,JERKING,ab66a9d1a24c
1777356921048,16717531682813,-8.492233,5.1523223,1.271321,-0.6243043,-1.1496484,-1.2095132,JERKING,ab66a9d1a24c
1777356921051,16717551732862,-8.178593,5.731719,0.3878607,-1.2205088,-1.3842206,-1.5125023,JERKING,ab66a9d1a24c
1777356921055,16717571752393,-7.8027034,5.705383,0.36870706,-1.8497,-1.6175711,-1.8362609,JERKING,ab66a9d1a24c
1777356921064,16717591771925,-6.14831,3.6224272,1.2689269,-2.3127358,-2.0280726,-2.20278,JERKING,ab66a9d1a24c
1777356921068,16717611821973,-3.58412,0.60573304,2.372654,-2.1587977,-2.3371704,-2.8588493,JERKING,ab66a9d1a24c
1777356921071,16717631841505,-1.9919758,1.0726024,3.608062,-1.5161675,-2.6181684,-3.5833356,JERKING,ab66a9d1a24c
1777356921075,16717651861036,0.60812724,0.033518825,4.807557,-2.0732768,-2.9089403,-3.604105,JERKING,ab66a9d1a24c
1777356921078,16717671880567,2.2505496,-6.1243677,7.8769236,-2.7146852,-2.5118778,-2.8307495,JERKING,ab66a9d1a24c
1777356921082,16717691900098,1.3838485,-14.978126,9.0237465,-3.1398473,-1.6420058,-1.5589281,JERKING,ab66a9d1a24c
1777356921085,16717711919630,-3.086126,-19.189528,11.439496,-2.0659463,-0.6914995,-0.9822713,JERKING,ab66a9d1a24c
