# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350488229,10330423072684,-0.79487497,1.079785,9.921572,NaN,NaN,NaN,TREMOR,bd108ee282f5
1777350488237,10330431801081,-0.8403648,1.103727,9.878476,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488245,10330439796706,-0.8523358,1.0893618,9.842564,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488253,10330447792487,-0.80924016,1.0582372,9.787497,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488261,10330455790035,-0.81642276,1.067814,9.801862,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488269,10330463784123,-0.80205756,1.0893618,9.794679,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488277,10330471782288,-0.78050977,1.1204864,9.821015,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488285,10330479774990,-0.7781156,1.1252748,9.842564,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488293,10330487803001,-0.81163436,1.1324574,9.871294,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488301,10330495796857,-0.81881696,1.091756,9.849746,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488309,10330503792561,-0.8403648,1.0534488,9.821015,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488317,10330511789494,-0.842759,1.0319009,9.787497,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488325,10330519783582,-0.8283938,1.0366893,9.799467,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488333,10330527780900,-0.8403648,1.0654198,9.816227,0.0030543262,0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488341,10330535775988,-0.80924016,1.0821792,9.854534,6.1086525E-4,-6.1086525E-4,-0.0012217305,TREMOR,bd108ee282f5
1777350488349,10330543801152,-0.8283938,1.091756,9.878476,0.0012217305,0.0,0.0012217305,TREMOR,bd108ee282f5
1777350488357,10330551797239,-0.8331822,1.091756,9.880871,0.0018325958,0.0012217305,0.0,TREMOR,bd108ee282f5
1777350488365,10330559793250,-0.8595184,1.13964,9.861717,0.0018325958,0.0012217305,0.0,TREMOR,bd108ee282f5
1777350488373,10330567788953,-0.81881696,1.127669,9.842564,6.1086525E-4,-0.002443461,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488381,10330575784964,-0.8403648,1.1563994,9.85214,0.0,-0.004276057,6.1086525E-4,TREMOR,bd108ee282f5
1777350488389,10330583780358,-0.8571242,1.0941502,9.885659,-0.0018325958,0.0,-0.0018325958,TREMOR,bd108ee282f5
1777350488397,10330591775754,-0.82360536,1.079785,9.859323,-0.0036651916,0.0,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488405,10330599802457,-0.80924016,1.0654198,9.856929,-0.005497787,-0.0012217305,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488413,10330607797621,-0.7661445,1.0582372,9.837775,-0.004276057,-0.0030543262,0.0012217305,TREMOR,bd108ee282f5
1777350488421,10330615793324,-0.7733272,1.0654198,9.792285,-0.002443461,-0.004276057,6.1086525E-4,TREMOR,bd108ee282f5
1777350488429,10330623788642,-0.78769237,1.0582372,9.799467,-6.1086525E-4,-0.002443461,0.0012217305,TREMOR,bd108ee282f5
1777350488437,10330631784115,-0.79726917,1.0342951,9.78989,0.0,0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488445,10330639779509,-0.8331822,1.0486604,9.8042555,6.1086525E-4,-6.1086525E-4,6.1086525E-4,TREMOR,bd108ee282f5
1777350488453,10330647776136,-0.866701,1.0845734,9.854534,0.0012217305,0.0036651916,0.0,TREMOR,bd108ee282f5
1777350488461,10330655802224,-0.85473,1.0486604,9.866506,0.0012217305,0.0030543262,6.1086525E-4,TREMOR,bd108ee282f5
1777350488469,10330663797003,-0.8499416,1.0654198,9.878476,0.0012217305,-0.0012217305,6.1086525E-4,TREMOR,bd108ee282f5
1777350488477,10330671792476,-0.8331822,1.0821792,9.847352,0.0036651916,-0.0030543262,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488485,10330679790562,-0.8331822,1.1348516,9.844957,0.002443461,0.0018325958,0.0012217305,TREMOR,bd108ee282f5
1777350488493,10330687784420,-0.8619126,1.1492168,9.861717,0.0012217305,0.0018325958,0.0018325958,TREMOR,bd108ee282f5
1777350488501,10330695778660,-0.8619126,1.13964,9.85214,-0.0012217305,0.0,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488509,10330703774595,-0.842759,1.091756,9.866506,-0.0030543262,-0.0012217305,6.1086525E-4,TREMOR,bd108ee282f5
1777350488517,10330711801681,-0.81163436,1.0965444,9.844957,-0.004276057,-0.0030543262,6.1086525E-4,TREMOR,bd108ee282f5
1777350488525,10330719796539,-0.82360536,1.0989386,9.844957,-0.0036651916,-0.0030543262,0.0012217305,TREMOR,bd108ee282f5
1777350488533,10330727792857,-0.80445176,1.0845734,9.844957,-0.002443461,-0.0018325958,0.0,TREMOR,bd108ee282f5
1777350488541,10330735787560,-0.78529817,1.0534488,9.82341,-0.002443461,-0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488549,10330743784571,-0.79966336,1.0510546,9.821015,-0.002443461,-0.002443461,0.0,TREMOR,bd108ee282f5
1777350488557,10330751778427,-0.79248077,1.067814,9.818622,-0.0012217305,-0.004276057,0.0,TREMOR,bd108ee282f5
1777350488565,10330759807592,-0.82360536,1.0893618,9.811439,0.0012217305,6.1086525E-4,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488573,10330767801140,-0.8379706,1.091756,9.859323,0.0012217305,0.004276057,-0.0012217305,TREMOR,bd108ee282f5
1777350488581,10330775797536,-0.8762778,1.0821792,9.866506,0.0,0.0012217305,0.0,TREMOR,bd108ee282f5
1777350488589,10330783791931,-0.8355764,1.0845734,9.868899,-0.0018325958,-0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488597,10330791787634,-0.81881696,1.0726024,9.825804,0.0,0.0,0.0018325958,TREMOR,bd108ee282f5
1777350488605,10330799783337,-0.8283938,1.0893618,9.813833,0.002443461,6.1086525E-4,0.0,TREMOR,bd108ee282f5
1777350488613,10330807777578,-0.81402856,1.091756,9.799467,0.002443461,0.0012217305,0.0,TREMOR,bd108ee282f5
1777350488621,10330815804974,-0.82360536,1.0941502,9.818622,0.0030543262,6.1086525E-4,6.1086525E-4,TREMOR,bd108ee282f5
1777350488629,10330823800907,-0.81881696,1.0726024,9.830592,6.1086525E-4,0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488637,10330831796072,-0.82599956,1.103727,9.878476,6.1086525E-4,0.0,6.1086525E-4,TREMOR,bd108ee282f5
1777350488645,10330839792313,-0.8355764,1.1109096,9.890448,-6.1086525E-4,0.0012217305,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488653,10330847789323,-0.81163436,1.103727,9.883265,6.1086525E-4,0.0012217305,0.0,TREMOR,bd108ee282f5
1777350488661,10330855783796,-0.8331822,1.13964,9.849746,-6.1086525E-4,6.1086525E-4,0.0012217305,TREMOR,bd108ee282f5
1777350488669,10330863779806,-0.878672,1.115698,9.828198,0.0018325958,-0.0012217305,-0.0012217305,TREMOR,bd108ee282f5
1777350488677,10330871804125,-0.8595184,1.079785,9.835381,0.0,0.0012217305,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488685,10330879801058,-0.842759,1.0821792,9.873688,-0.004276057,6.1086525E-4,-0.0012217305,TREMOR,bd108ee282f5
1777350488693,10330887796684,-0.81402856,1.0749966,9.868899,-0.0067195175,-0.005497787,0.0012217305,TREMOR,bd108ee282f5
1777350488701,10330895794233,-0.7781156,1.067814,9.842564,-0.005497787,-0.0067195175,0.002443461,TREMOR,bd108ee282f5
1777350488709,10330903788705,-0.82360536,1.0462662,9.830592,-0.002443461,-0.002443461,0.0,TREMOR,bd108ee282f5
1777350488717,10330911784793,-0.82121116,1.0366893,9.8042555,-0.0018325958,6.1086525E-4,0.0012217305,TREMOR,bd108ee282f5
1777350488725,10330919779265,-0.80684596,1.0773908,9.770737,-0.0012217305,6.1086525E-4,0.0018325958,TREMOR,bd108ee282f5
1777350488733,10330927805353,-0.82121116,1.1180922,9.818622,0.0012217305,0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488741,10330935800747,-0.79248077,1.1013328,9.854534,6.1086525E-4,-0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488749,10330943797066,-0.79008657,1.1061212,9.878476,-6.1086525E-4,-0.004886922,0.0030543262,TREMOR,bd108ee282f5
1777350488757,10330951790999,-0.80924016,1.0702082,9.880871,-0.0012217305,-0.002443461,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488765,10330959788241,-0.8379706,1.0773908,9.844957,-6.1086525E-4,0.002443461,6.1086525E-4,TREMOR,bd108ee282f5
1777350488773,10330967782329,-0.866701,1.0654198,9.82341,0.0012217305,0.0036651916,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488781,10330975779031,-0.8595184,1.0821792,9.825804,0.0030543262,0.0018325958,6.1086525E-4,TREMOR,bd108ee282f5
1777350488789,10330983803658,-0.8499416,1.067814,9.82341,0.0018325958,-0.0018325958,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488797,10330991799668,-0.81642276,1.1061212,9.849746,6.1086525E-4,-0.0012217305,0.0018325958,TREMOR,bd108ee282f5
1777350488805,10330999796217,-0.8331822,1.091756,9.873688,-0.0018325958,-0.0018325958,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488813,10331007791304,-0.8451532,1.079785,9.900024,-0.0012217305,0.0012217305,0.0012217305,TREMOR,bd108ee282f5
1777350488821,10331015787007,-0.82121116,1.0893618,9.880871,-6.1086525E-4,0.002443461,0.0012217305,TREMOR,bd108ee282f5
1777350488829,10331023783634,-0.8283938,1.115698,9.82341,0.0,0.0012217305,-6.1086525E-4,TREMOR,bd108ee282f5
1777350488837,10331031778413,-0.82360536,1.1228806,9.799467,0.002443461,0.0,6.1086525E-4,TREMOR,bd108ee282f5
1777350488845,10331039804962,-0.8355764,1.1420342,9.832987,0.0012217305,0.0012217305,0.0,TREMOR,bd108ee282f5
