epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350702677,10499285216763,-2.4732103,7.8410106,5.889736,0.0,0.004886922,0.02443461,TREMOR,c5fc4c948f8b
1777350702679,10499305327847,-2.4708161,8.4587145,6.0118403,-0.08307768,-0.009773844,-0.112399206,TREMOR,c5fc4c948f8b
1777350702707,10499325408413,-2.755726,9.617508,6.066907,-0.84421575,0.13194689,0.02443461,TREMOR,c5fc4c948f8b
1777350702731,10499345488979,-2.9712043,10.261548,6.591237,-2.4813347,-0.2003638,-0.008552114,TREMOR,c5fc4c948f8b
1777350702733,10499365569546,-2.8514943,10.362105,6.327875,-4.333478,-0.35796702,0.07086037,TREMOR,c5fc4c948f8b
1777350702761,10499385650112,-2.779668,8.176199,7.0245876,-6.3566637,-0.4361578,0.3359759,TREMOR,c5fc4c948f8b
1777350702785,10499405730679,-2.27928,3.7134068,7.429208,-8.355414,-0.5412266,0.5876524,TREMOR,c5fc4c948f8b
1777350702800,10499425780728,-1.4053963,-2.6431987,6.564901,-9.539271,-0.5510005,0.7244862,TREMOR,c5fc4c948f8b
1777350702815,10499445861294,-0.48841715,-7.1466923,6.907272,-8.857546,-0.204029,0.50335294,TREMOR,c5fc4c948f8b
1777350702833,10499465941860,-0.59376204,-7.467515,9.763555,-5.9596014,0.55955255,-0.111177474,TREMOR,c5fc4c948f8b
1777350702851,10499485961392,-1.1875241,-9.725247,10.196905,-1.3426818,0.9407325,-0.5326745,TREMOR,c5fc4c948f8b
1777350702880,10499505511440,-1.8363527,-4.378995,9.394848,3.3377676,1.128879,-0.59131753,TREMOR,c5fc4c948f8b
1777350702901,10499525230972,-2.5785553,2.504335,8.535329,5.222898,0.89675015,-0.6951646,TREMOR,c5fc4c948f8b
1777350702911,10499545081020,-3.040636,6.093243,8.154651,2.4788911,0.56321776,-0.13439035,TREMOR,c5fc4c948f8b
1777350702930,10499564931069,-2.0949266,3.8163576,6.9479733,-2.886949,-0.118507855,0.20280726,TREMOR,c5fc4c948f8b
1777350702952,10499584881118,-0.90740246,-7.1849995,9.184157,-5.8447585,-0.51923543,0.27977628,TREMOR,c5fc4c948f8b
