epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350169885,9966511178681,1.8171991,3.394978,9.351752,0.0,0.004886922,0.02443461,TREMOR,d156d971a864
1777350169898,9966531198213,0.5530606,1.1827357,10.230424,-0.007330383,0.017104227,-0.059864793,TREMOR,d156d971a864
1777350169959,9966551248261,0.1436521,4.5537715,8.468291,0.059864793,0.23945917,0.07696902,TREMOR,d156d971a864
1777350169961,9966571267793,-0.08619126,4.8003745,9.5385,-0.204029,0.06841691,0.04520403,TREMOR,d156d971a864
1777350169963,9966591317842,1.7286136,-1.1563994,9.773131,-0.42394048,-0.27977628,0.0012217305,TREMOR,d156d971a864
1777350170023,9966611367890,3.4644098,-1.5131354,8.75799,-0.119729586,-0.34208453,-0.1160644,TREMOR,d156d971a864
1777350170029,9966631417939,1.8052281,1.4437037,8.597578,0.26389378,0.3005457,-0.029321533,TREMOR,d156d971a864
1777350170031,9966651437470,-0.37588966,4.247314,10.146626,0.2724459,0.48380527,0.05009095,TREMOR,d156d971a864
1777350170044,9966671487519,0.8571242,1.6376339,10.601525,0.07941248,-0.10751228,0.073303826,TREMOR,d156d971a864
1777350170140,9966691537568,2.2242134,1.5298948,8.7771435,0.112399206,-0.29077184,0.058643065,TREMOR,d156d971a864
1777350170142,9966711587617,0.10295067,8.441956,5.2648497,-0.02565634,0.18570304,0.034208454,TREMOR,d156d971a864
1777350170144,9966731607148,-1.733402,6.033388,9.923966,-0.7318166,0.40683624,0.13683382,TREMOR,d156d971a864
1777350170146,9966751657197,2.1691468,-4.331111,13.661315,-1.0983357,-0.548557,-0.2321288,TREMOR,d156d971a864
1777350170148,9966771707246,5.8226986,-9.030929,12.634202,-0.39828414,-0.8881981,-0.20525073,TREMOR,d156d971a864
1777350170212,9966791757295,4.27365,-4.43885,8.851364,0.86376345,0.1563815,0.017104227,TREMOR,d156d971a864
1777350170216,9966811868379,0.830788,6.375759,8.0445175,1.6224581,0.86498517,0.18570304,TREMOR,d156d971a864
1777350170219,9966831948945,-1.8435353,11.295844,2.2122424,1.0384709,0.64751714,0.15027285,TREMOR,d156d971a864
1777350170220,9966851968476,-3.1675289,15.047558,5.133168,-0.376293,0.32986724,0.04520403,TREMOR,d156d971a864
1777350170320,9966872049043,-0.60573304,-0.6440403,14.202404,-2.0451767,-0.47158796,-0.010995574,TREMOR,d156d971a864
1777350170322,9966892099092,4.759673,-14.00608,14.923059,-1.1117748,-1.2425,-0.13439035,TREMOR,d156d971a864
1777350170324,9966912118623,5.911284,-2.585738,8.152257,0.31642818,-0.6059783,0.02321288,TREMOR,d156d971a864
1777350170326,9966932168672,1.8770541,6.919243,7.4627266,1.0128145,0.75747293,-0.004886922,TREMOR,d156d971a864
1777350170328,9966952218720,-1.1061212,4.283227,6.7947445,0.3652974,0.70371675,0.103847094,TREMOR,d156d971a864
1777350170343,9966972268769,-0.81642276,7.4962454,7.07726,-0.25045475,0.037873644,-0.035430185,TREMOR,d156d971a864
1777350170431,9966992318818,-0.30406362,1.3910311,12.8832,-0.8136725,-0.087964594,0.08674286,TREMOR,d156d971a864
1777350170434,9967012399385,2.9999347,-7.5944076,12.588713,-0.45937067,-0.7318166,0.008552114,TREMOR,d156d971a864
1777350170438,9967032479951,5.473145,0.1388637,8.377312,0.36896262,-0.64873886,-0.089186326,TREMOR,d156d971a864
1777350170441,9967052591035,2.4253263,3.8283286,7.7931266,0.6768387,0.54244834,-0.021991149,TREMOR,d156d971a864
1777350170444,9967072641084,-1.3623008,5.7269306,5.379771,0.27122417,0.79045963,0.07086037,TREMOR,d156d971a864
1777350170465,9967092752168,-2.3415294,7.81228,9.289502,-0.42394048,0.37018433,0.002443461,TREMOR,d156d971a864
1777350170557,9967112832734,0.62967503,-3.4093432,13.632585,-0.86009824,-0.4813618,0.039095376,TREMOR,d156d971a864
1777350170561,9967132852265,4.7668557,-5.3965306,10.465055,-0.13194689,-1.0054842,0.0061086523,TREMOR,d156d971a864
1777350170564,9967152871797,4.211401,3.0909145,8.63828,0.5558874,-0.010995574,-0.037873644,TREMOR,d156d971a864
1777350170566,9967172921845,0.7637503,2.1883004,8.62152,0.5363397,0.79168135,0.14049901,TREMOR,d156d971a864
1777350170568,9967192941377,-0.1436521,4.197036,7.117962,0.2968805,0.37873647,0.09896017,TREMOR,d156d971a864
1777350170588,9967213021943,-0.12449849,8.4108305,7.6734166,-0.16249016,0.15393804,0.014660766,TREMOR,d156d971a864
1777350170681,9967233041474,-0.18195933,1.7238252,12.389994,-0.9077458,0.13805555,0.13072516,TREMOR,d156d971a864
1777350170683,9967253091523,2.906561,-5.9184666,11.626244,-0.66339964,-0.52778757,-0.0012217305,TREMOR,d156d971a864
1777350170685,9967273141572,4.0797195,-1.5921441,8.573636,0.06352998,-0.29077184,-0.06352998,TREMOR,d156d971a864
1777350170687,9967293161103,1.0031705,0.36870706,9.746795,0.59620446,0.65484756,-0.012217305,TREMOR,d156d971a864
1777350170690,9967313180635,0.019153614,0.5554548,10.196905,0.66706485,0.4251622,0.058643065,TREMOR,d156d971a864
1777350170700,9967333200166,0.94331545,3.2513258,8.408437,0.6609562,-0.07086037,0.039095376,TREMOR,d156d971a864
1777350170759,9967353219697,1.5610195,4.757279,7.2711906,0.6377433,-0.02443461,0.065973446,TREMOR,d156d971a864
1777350170762,9967373239228,-0.24899697,9.624691,6.253655,0.28955013,0.267559,0.10629055,TREMOR,d156d971a864
1777350170768,9967393258760,-1.697489,10.077195,8.808268,-1.378112,0.111177474,0.15027285,TREMOR,d156d971a864
1777350170784,9967413278291,0.24899697,0.2681506,11.394006,-1.6639969,-0.21624629,0.029321533,TREMOR,d156d971a864
1777350170829,9967433297822,3.9791632,-9.203311,11.513716,-1.3573426,-0.6927212,-0.46914452,TREMOR,d156d971a864
1777350170833,9967453347871,3.7445314,-9.227253,8.772355,-0.18325958,0.010995574,-0.21013765,TREMOR,d156d971a864
1777350170840,9967473367402,0.61052144,0.1340753,8.755595,1.1520919,0.6646214,0.12705997,TREMOR,d156d971a864
1777350170935,9967493386933,0.6679823,8.772355,10.354922,1.3060299,0.21502456,0.17470746,TREMOR,d156d971a864
