epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777356564145,16360777566169,-9.382876,2.1667526,-0.92655605,0.14782938,-0.16737708,-0.3323107,JERKING,d3cf63b6589a
1777356564164,16360797585700,-9.361329,2.480393,-1.292869,-0.118507855,-0.043982297,0.012217305,JERKING,d3cf63b6589a
1777356564188,16360817605232,-9.289502,3.4356794,-1.9369092,-0.030543262,0.09896017,-0.10262536,JERKING,d3cf63b6589a
1777356564214,16360837624763,-9.519346,4.654328,-2.5234885,-0.0012217305,-0.11362094,-0.27122417,JERKING,d3cf63b6589a
1777356564231,16360857644294,-9.691729,5.1235914,-2.906561,-0.31887165,-0.2602286,-0.47891834,JERKING,d3cf63b6589a
1777356564247,16360877663825,-9.763555,4.6279917,-2.779668,-0.5363397,-0.44226643,-0.6927212,JERKING,d3cf63b6589a
1777356564264,16360897683357,-9.768343,4.1371803,-2.0494366,-0.5522222,-0.63041294,-0.9456194,JERKING,d3cf63b6589a
1777356564297,16360917702888,-9.3733,3.5577838,-1.4772224,-0.3811799,-0.86498517,-1.17897,JERKING,d3cf63b6589a
1777356564316,16360937722419,-8.863335,3.2130187,-1.1204864,0.04642576,-1.0910053,-1.4208726,JERKING,d3cf63b6589a
1777356564326,16360957741950,-8.75799,3.1771057,-1.151611,0.6267477,-1.2938126,-1.6249015,JERKING,d3cf63b6589a
1777356564347,16360977761482,-8.599973,3.2225955,-0.89543146,0.9969321,-1.5234979,-1.8093829,JERKING,d3cf63b6589a
1777356564366,16360997781013,-8.408437,2.9137435,-0.7541735,0.9896017,-1.7214183,-1.9657644,JERKING,d3cf63b6589a
1777356564396,16361017800544,-8.015787,2.6479871,-0.48362875,0.79045963,-1.9205604,-2.1453588,JERKING,d3cf63b6589a
1777356564414,16361037850593,-7.2711906,1.3024458,-0.25617957,0.66339964,-2.085494,-2.2540927,JERKING,d3cf63b6589a
1777356564424,16361057870124,-7.264008,1.0606314,-0.059855044,0.6267477,-2.2149973,-2.3090706,JERKING,d3cf63b6589a
1777356564446,16361077889655,-6.9360023,1.13964,0.30166942,0.516792,-2.430022,-2.443461,JERKING,d3cf63b6589a
1777356564466,16361097909187,-6.021417,0.5267244,0.6967127,0.17592919,-2.7085764,-2.5961773,JERKING,d3cf63b6589a
1777356564495,16361117928718,-4.489128,-0.7206547,1.5753847,-0.1966986,-2.960253,-2.761111,JERKING,d3cf63b6589a
1777356564520,16361137978767,-3.193865,-2.0111294,2.3319526,-0.27122417,-3.0983086,-2.9236012,JERKING,d3cf63b6589a
1777356564525,16361157998298,-2.0757728,-3.122039,3.5362358,0.12461651,-3.2375858,-3.0653217,JERKING,d3cf63b6589a
1777356564546,16361178048347,-0.5746084,-5.092467,5.899313,0.79045963,-3.3829718,-3.072652,JERKING,d3cf63b6589a
1777356564566,16361198098396,0.7350199,-7.019799,10.46745,1.5161675,-3.3719761,-2.8429668,JERKING,d3cf63b6589a
1777356564601,16361218148444,0.50278234,-7.979874,14.43943,1.396438,-3.0360003,-2.1771238,JERKING,d3cf63b6589a
1777356564605,16361238167976,-1.4628572,-11.473015,16.94616,-0.0012217305,-2.0867157,-1.3683381,JERKING,d3cf63b6589a
1777356564633,16361258187507,-4.807557,-17.580624,18.152838,-1.0177015,-0.75747293,-0.42638394,JERKING,d3cf63b6589a
1777356564646,16361278207038,-8.717288,-16.666039,19.318813,-0.5656612,0.2932153,0.19547687,JERKING,d3cf63b6589a
1777356564682,16361298257087,-8.269572,-13.634978,17.820044,0.0036651916,0.75991637,0.75625116,JERKING,d3cf63b6589a
1777356564693,16361318276618,-5.255273,-12.631808,14.55914,0.07086037,1.2864822,1.2742649,JERKING,d3cf63b6589a
1777356564721,16361338296150,-3.53863,-9.662998,12.0093155,0.45814893,1.9254472,1.7434094,JERKING,d3cf63b6589a
1777356564726,16361358315681,-2.2337902,-6.2991447,9.634268,0.689056,2.3408356,2.107485,JERKING,d3cf63b6589a
1777356564746,16361378335212,-1.3982137,-4.8578353,7.489063,0.39706242,2.7464502,2.4471262,JERKING,d3cf63b6589a
1777356564767,16361398385261,-2.3535004,-3.5170822,5.3079453,0.14782938,3.1117475,2.7171285,JERKING,d3cf63b6589a
1777356564801,16361418435310,-3.6008794,-1.8483237,3.6248214,0.19425514,3.2571335,2.8270843,JERKING,d3cf63b6589a
1777356564805,16361438454841,-4.027047,-0.35673606,2.765303,0.119729586,3.1948252,2.7782152,JERKING,d3cf63b6589a
1777356564835,16361458474372,-4.4436383,0.23702596,2.1212628,-0.16615535,3.0750957,2.7305677,JERKING,d3cf63b6589a
1777356564846,16361478493903,-5.149928,0.40940848,1.4820108,-0.28710666,2.9712486,2.6890287,JERKING,d3cf63b6589a
1777356564887,16361498513435,-6.0238113,0.82360536,0.545878,-0.0842994,2.833193,2.6401596,JERKING,d3cf63b6589a
1777356564889,16361518532966,-6.7372837,1.7956513,-0.24420857,0.19181168,2.6621506,2.510656,JERKING,d3cf63b6589a
1777356564917,16361538644050,-7.36217,2.9520507,-0.8475474,0.2687807,2.4678955,2.3335052,JERKING,d3cf63b6589a
1777356564929,16361558663581,-7.711724,3.289633,-1.0007763,0.08674286,2.257758,2.1746802,JERKING,d3cf63b6589a
1777356564947,16361578683112,-7.8865004,3.3686419,-1.3982137,-0.087964594,2.0451767,2.0305161,JERKING,d3cf63b6589a
