# epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777359211241,19053435092568,0.0,0.15801731,9.935937,NaN,NaN,NaN,FALLS,debe5236cf64
1777359211249,19053443182109,-0.016759412,0.15562311,9.950302,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211257,19053451174728,0.0047884034,0.15562311,9.952697,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211265,19053459172346,-0.019153614,0.16519992,9.938332,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211273,19053467166734,-0.011971008,0.16280572,9.935937,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211281,19053475160892,-0.0023942017,0.1412579,9.938332,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211289,19053483157587,-0.016759412,0.14844051,9.938332,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211297,19053491186128,-0.016759412,0.15562311,9.952697,0.0,-0.0012217305,6.1086525E-4,FALLS,debe5236cf64
1777359211305,19053499180978,-0.01436521,0.16519992,9.935937,0.0,0.0,6.1086525E-4,FALLS,debe5236cf64
1777359211313,19053507174750,-0.0047884034,0.15322891,9.945514,0.0,0.0,6.1086525E-4,FALLS,debe5236cf64
1777359211321,19053515171445,0.01436521,0.1604115,9.938332,0.0,0.0,6.1086525E-4,FALLS,debe5236cf64
1777359211329,19053523166526,-0.0023942017,0.1436521,9.952697,0.0,0.0,6.1086525E-4,FALLS,debe5236cf64
1777359211337,19053531161914,-0.011971008,0.18195933,9.940725,0.0,0.0,6.1086525E-4,FALLS,debe5236cf64
1777359211345,19053539159763,-0.007182605,0.17477672,9.933543,0.0,0.0,6.1086525E-4,FALLS,debe5236cf64
1777359211353,19053547184689,-0.009576807,0.15322891,9.945514,-0.0018325958,-0.0012217305,-0.0012217305,FALLS,debe5236cf64
1777359211361,19053555182154,0.0,0.15083471,9.923966,0.0,0.0018325958,0.0012217305,FALLS,debe5236cf64
1777359211369,19053563177003,0.01436521,0.15322891,9.940725,0.0018325958,0.0,0.0012217305,FALLS,debe5236cf64
1777359211377,19053571172622,-0.019153614,0.15801731,9.947908,-6.1086525E-4,-6.1086525E-4,6.1086525E-4,FALLS,debe5236cf64
1777359211385,19053579166779,-0.009576807,0.15322891,9.957485,6.1086525E-4,6.1086525E-4,0.0,FALLS,debe5236cf64
1777359211393,19053587161628,0.0047884034,0.16280572,9.923966,0.0,0.0012217305,-6.1086525E-4,FALLS,debe5236cf64
1777359211401,19053595157554,-0.01436521,0.14844051,9.952697,6.1086525E-4,-0.0018325958,6.1086525E-4,FALLS,debe5236cf64
1777359211409,19053603185557,-0.011971008,0.15322891,9.935937,0.0,0.0012217305,0.0,FALLS,debe5236cf64
