epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777359210473,19007104026166,4.9536033,-1.4508862,8.001422,0.0,0.004886922,0.02443461,FALLS,debe5236cf64
1777359210630,19007124015180,5.140351,-2.219425,7.5824366,-0.14538592,0.065973446,-0.17959438,FALLS,debe5236cf64
1777359210632,19007144034711,5.1116204,-2.5737667,7.5584946,-0.6035349,0.27122417,-0.8943067,FALLS,debe5236cf64
1777359210633,19007164054242,5.3103395,-2.516306,7.7667904,-0.6243043,0.04153884,-1.4746287,FALLS,debe5236cf64
1777359210635,19007184104291,5.499481,-2.006341,7.8793178,-0.50579643,-0.08307768,-1.4905112,FALLS,debe5236cf64
1777359210639,19007204093305,5.556942,-1.9847932,7.8793178,-0.5009095,-0.14782938,-1.4941764,FALLS,debe5236cf64
1777359210643,19007224112836,5.6670756,-1.8028339,7.9367785,-0.52778757,-0.23823744,-1.518611,FALLS,debe5236cf64
1777359210646,19007244162885,6.0860605,-2.0973208,7.8649526,-0.49113566,-0.33841935,-1.582141,FALLS,debe5236cf64
1777359210647,19007264243451,6.315904,-2.006341,7.9702973,-0.37384954,-0.41905355,-1.6615535,FALLS,debe5236cf64
1777359210665,19007284293500,6.8402343,-1.9536686,7.843405,-0.35063666,-0.5363397,-1.7751744,FALLS,debe5236cf64
1777359210673,19007304313031,7.517793,-2.2361844,7.632715,-0.37995818,-0.6218608,-1.8545868,FALLS,debe5236cf64
1777359210813,19007324332563,7.6111674,-2.2242134,7.189788,-0.26511553,-0.5839872,-1.8423696,FALLS,debe5236cf64
1777359210815,19007344352094,7.489063,-1.7046716,6.8306575,-0.057421334,-0.5534439,-1.781283,FALLS,debe5236cf64
1777359210817,19007364371625,7.4028716,-0.78769237,6.634333,0.043982297,-0.5925393,-1.6872098,FALLS,debe5236cf64
1777359210818,19007384391156,7.386112,0.016759412,6.007052,-0.030543262,-0.63529986,-1.5809193,FALLS,debe5236cf64
1777359210821,19007404410688,7.479486,0.5434838,5.269638,-0.23823744,-0.6597345,-1.4953982,FALLS,debe5236cf64
1777359210823,19007424430219,7.608773,0.7422025,4.6806645,-0.5681047,-0.6963864,-1.4538593,FALLS,debe5236cf64
1777359210827,19007444449750,7.699753,0.7015011,4.1826706,-0.9260717,-0.72326446,-1.4257594,FALLS,debe5236cf64
1777359210832,19007464469281,7.704541,1.0319009,3.9600096,-1.314582,-0.74281216,-1.3927728,FALLS,debe5236cf64
1777359210919,19007484488813,7.869741,1.0510546,3.6894648,-1.8350391,-0.79412484,-1.3622295,FALLS,debe5236cf64
1777359210922,19007504508344,8.123527,0.90261406,3.3782187,-2.4727826,-0.8454375,-1.359786,FALLS,debe5236cf64
1777359210923,19007524497358,8.456321,0.5674258,2.9831753,-3.1117475,-0.8686504,-1.3793337,FALLS,debe5236cf64
1777359210926,19007544577924,8.7053175,0.09816227,2.6479871,-3.6480873,-0.84299403,-1.4269812,FALLS,debe5236cf64
1777359210934,19007564597455,9.011775,-0.35434186,2.4732103,-4.0378194,-0.77946407,-1.4953982,FALLS,debe5236cf64
1777359210955,19007584678022,9.174581,-0.63206923,2.1787236,-4.288274,-0.6805039,-1.5906931,FALLS,debe5236cf64
1777359211018,19007604697553,9.31105,-1.1300632,1.9991584,-4.378682,-0.59620446,-1.7079792,FALLS,debe5236cf64
1777359211020,19007624747602,9.404425,-1.5155296,2.0350714,-4.316374,-0.5155703,-1.8399261,FALLS,debe5236cf64
1777359211044,19007644767133,9.334992,-1.7262194,1.9847932,-4.1270056,-0.4202753,-1.9645426,FALLS,debe5236cf64
1777359211046,19007664817182,9.126697,-1.8315643,2.030283,-3.8631117,-0.33353242,-2.0781636,FALLS,debe5236cf64
1777359211119,19007684806196,8.899248,-1.7717092,2.0638018,-3.594331,-0.28221974,-2.1905627,FALLS,debe5236cf64
1777359211121,19007704886762,8.985439,-1.7310078,2.0231004,-3.3646457,-0.30665436,-2.3102922,FALLS,debe5236cf64
1777359211132,19007724906293,9.526528,-1.8459295,1.8100165,-3.1703906,-0.36163223,-2.4312437,FALLS,debe5236cf64
1777359211133,19007745017377,10.070012,-1.7597382,1.6089035,-3.0164526,-0.38240165,-2.5314255,FALLS,debe5236cf64
1777359211135,19007765006391,10.433931,-1.8531121,1.3670892,-2.9443705,-0.36774087,-2.6145031,FALLS,debe5236cf64
