epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777347927123,7723756498528,2.7844565,5.9567738,5.351041,0.16615535,-0.17715092,-0.37507126,TONIC,e4f65f7a47f3
1777347927167,7723776548577,2.7222073,6.4667387,5.149928,-0.061086524,-0.453262,-0.18692477,TONIC,e4f65f7a47f3
1777347927172,7723796568108,1.5227122,6.634333,5.1786585,-0.09162979,-0.96883225,-0.51923543,TONIC,e4f65f7a47f3
1777347927184,7723816587639,2.2337902,5.0014873,5.616797,-0.30543262,-1.704314,-0.5338962,TONIC,e4f65f7a47f3
1777347927205,7723836668205,2.4947581,4.321534,5.9160724,-0.06963864,-1.9291124,-0.5815437,TONIC,e4f65f7a47f3
1777347927227,7723856687737,1.7190368,5.092467,6.2991447,0.344528,-2.0109684,-0.6059783,TONIC,e4f65f7a47f3
1777347927248,7723876737785,-0.31603462,6.1770406,8.520964,0.41416663,-2.0390682,-0.36163223,TONIC,e4f65f7a47f3
1777347927270,7723896787834,0.7637503,6.066907,9.931149,0.047647487,-2.3493876,-0.064751714,TONIC,e4f65f7a47f3
1777347927293,7723916837883,2.9017725,4.735731,11.109096,-0.2919936,-2.4593434,-0.15882497,TONIC,e4f65f7a47f3
1777347927314,7723936857414,3.1627405,4.510676,10.673351,0.04153884,-2.098933,-0.33108896,TONIC,e4f65f7a47f3
1777347927337,7723956876946,3.2393548,5.29358,10.168175,0.2968805,-1.7238617,-0.50579643,TONIC,e4f65f7a47f3
1777347927359,7723976896477,2.7246015,6.2105594,9.560047,0.062308256,-1.4110987,-0.51923543,TONIC,e4f65f7a47f3
1777347927364,7723996916008,3.3973722,5.7269306,8.336611,-0.4654793,-1.4208726,-0.45937067,TONIC,e4f65f7a47f3
1777347927385,7724016935539,3.9336734,5.5641246,7.819463,-0.54000485,-1.2388347,-0.43127087,TONIC,e4f65f7a47f3
1777347927409,7724036955071,3.3925838,5.707777,6.8210807,-0.45081854,-1.0311406,-0.56688297,TONIC,e4f65f7a47f3
1777347927431,7724056974602,2.980781,5.865794,5.887342,-0.3213151,-1.0262536,-0.69027776,TONIC,e4f65f7a47f3
1777347927448,7724077024651,3.2585084,6.5122285,5.3127337,-0.2125811,-1.1630874,-0.7293731,TONIC,e4f65f7a47f3
1777347927494,7724097074700,3.9911342,6.4427967,5.559336,-0.38362336,-1.3524556,-0.77946407,TONIC,e4f65f7a47f3
1777347927496,7724117124748,4.5777135,4.8745947,5.604826,-0.39950588,-1.5283848,-0.893085,TONIC,e4f65f7a47f3
1777347927505,7724137174797,4.027047,5.801151,5.4324436,0.02076942,-1.5968018,-1.0567969,TONIC,e4f65f7a47f3
1777347927526,7724157224846,3.845088,6.943185,5.303157,-0.18448131,-1.772731,-1.1325442,TONIC,e4f65f7a47f3
1777347927567,7724177274895,5.171476,5.0876784,4.88896,-0.675617,-2.0744984,-1.1594223,TONIC,e4f65f7a47f3
1777347927571,7724197294426,5.1690817,5.949591,5.674258,-0.47036624,-1.8668042,-1.4489723,TONIC,e4f65f7a47f3
1777347927600,7724217313957,3.9264908,7.019799,5.5018754,-0.043982297,-1.7617353,-1.6212363,TONIC,e4f65f7a47f3
1777347927607,7724237394524,5.3821654,6.7803793,4.9320555,-0.043982297,-2.1917844,-1.5332718,TONIC,e4f65f7a47f3
1777347927633,7724257475090,6.4284315,6.5984197,5.6120086,-0.057421334,-2.180789,-1.3732251,TONIC,e4f65f7a47f3
1777347927645,7724277525139,5.899313,7.2424603,5.911284,-0.31398472,-1.998751,-1.3121386,TONIC,e4f65f7a47f3
1777347927667,7724297605705,5.329493,6.2584434,5.645528,-0.6805039,-1.9694295,-1.3292428,TONIC,e4f65f7a47f3
1777347927707,7724317655754,5.602432,5.0541596,6.7013707,-0.46303585,-1.9523253,-1.3377949,TONIC,e4f65f7a47f3
1777347927712,7724337766838,5.9064956,6.4667387,5.829881,0.02687807,-1.9034561,-1.2388347,TONIC,e4f65f7a47f3
1777347927737,7724357877922,7.144298,6.0405707,6.4188547,-0.1881465,-1.7715092,-0.94806284,TONIC,e4f65f7a47f3
1777347927746,7724377958489,6.277597,5.2528787,7.067683,-0.46303585,-1.2644911,-0.80878556,TONIC,e4f65f7a47f3
1777347927767,7724398008537,5.8586116,4.900931,6.703765,-0.30298916,-1.0348058,-0.8491027,TONIC,e4f65f7a47f3
1777347927807,7724418058586,6.145916,6.339846,6.0238113,-0.08552113,-0.95539325,-0.86620694,TONIC,e4f65f7a47f3
1777347927809,7724438139153,6.373365,6.4667387,5.6120086,-0.31520647,-0.8417723,-0.71593404,TONIC,e4f65f7a47f3
1777347927832,7724458219719,6.215348,6.0118403,5.473145,-0.5363397,-0.64873886,-0.52534413,TONIC,e4f65f7a47f3
1777347927845,7724478239250,6.191406,5.78918,6.4906807,-0.5546656,-0.40194935,-0.43982297,TONIC,e4f65f7a47f3
1777347927866,7724498258782,6.0381765,6.167464,6.291962,-0.49235737,-0.36285394,-0.4642576,TONIC,e4f65f7a47f3
1777347927904,7724518308830,5.374983,6.4523735,5.106832,-0.4373795,-0.3408628,-0.4251622,TONIC,e4f65f7a47f3
1777347927907,7724538358879,5.5018754,5.961562,4.903325,-0.3286455,-0.32253686,-0.29565877,TONIC,e4f65f7a47f3
1777347927939,7724558378410,5.595249,6.4140663,5.580884,-0.07696902,-0.22479841,-0.1881465,TONIC,e4f65f7a47f3
1777347927946,7724578397942,5.470751,6.859388,6.31351,-0.04642576,-0.1282817,-0.17837265,TONIC,e4f65f7a47f3
1777347927967,7724598417473,5.9663506,6.1411276,5.6096144,-0.13316862,-0.21991149,-0.18570304,TONIC,e4f65f7a47f3
1777347928003,7724618467522,5.4444146,7.141904,4.7500963,0.064751714,-0.058643065,-0.22724187,TONIC,e4f65f7a47f3
1777347928010,7724638517571,4.8578353,7.577648,4.8243165,0.0720821,0.10629055,-0.15393804,TONIC,e4f65f7a47f3
1777347928050,7724658567619,5.267244,7.117962,5.3318872,-0.058643065,0.059864793,-0.12705997,TONIC,e4f65f7a47f3
1777347928053,7724678587151,5.279215,7.28795,4.7046065,-0.03176499,0.03176499,-0.20891592,TONIC,e4f65f7a47f3
1777347928064,7724698637200,5.092467,6.4020953,3.8714242,0.19425514,0.04886922,-0.20891592,TONIC,e4f65f7a47f3
1777347928096,7724718687248,4.5561657,7.8170686,3.3901896,0.42271876,0.1001819,-0.19792034,TONIC,e4f65f7a47f3
