epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777358951058,18747688273258,9.375694,-0.47405192,4.4364557,0.13683382,-0.17837265,-0.3640757,FALLS,e7adf01d4e80
1777358951112,18747708323307,9.437943,-0.50517654,4.5681367,-0.10262536,-0.095294975,0.028099801,FALLS,e7adf01d4e80
1777358951114,18747728403874,9.507375,-0.5386954,4.735731,0.007330383,-0.0061086523,-0.010995574,FALLS,e7adf01d4e80
1777358951121,18747748484440,9.672575,-0.50757074,4.8817773,0.06719518,-0.16737708,-0.05009095,FALLS,e7adf01d4e80
1777358951163,18747768534489,9.809045,-0.37349546,4.9320555,0.10629055,-0.15760323,-0.059864793,FALLS,e7adf01d4e80
1777358951165,18747788584538,9.91439,-0.28491,4.84347,0.10629055,-0.14782938,-0.0720821,FALLS,e7adf01d4e80
1777358951215,18747808665104,10.053253,-0.23223756,4.8147397,0.10140363,-0.14782938,-0.09285152,FALLS,e7adf01d4e80
1777358951217,18747828745671,10.307038,-0.1364695,4.9919105,0.06719518,-0.13805555,-0.13927728,FALLS,e7adf01d4e80
1777358951220,18747848795719,10.19451,-0.023942016,5.044583,-0.05131268,-0.10995574,-0.15882497,FALLS,e7adf01d4e80
1777358951268,18747868876286,9.916783,-0.25378537,4.7764325,-0.19303341,-0.07086037,-0.14538592,FALLS,e7adf01d4e80
1777358951270,18747888956852,9.713276,-0.08140286,4.6806645,-0.2443461,-0.009773844,-0.12705997,FALLS,e7adf01d4e80
1777358951277,18747909006901,9.160215,0.08619126,4.5082817,-0.28099802,0.0720821,-0.09896017,FALLS,e7adf01d4e80
1777358951318,18747929056950,8.935161,0.10295067,4.4843397,-0.3323107,0.12705997,-0.08307768,FALLS,e7adf01d4e80
1777358951321,18747948906999,8.556877,-0.035913024,4.259285,-0.35063666,0.1685988,-0.080634214,FALLS,e7adf01d4e80
1777358951367,18747968887565,8.47308,-0.39983168,4.1491513,-0.33841935,0.18325958,-0.10140363,FALLS,e7adf01d4e80
1777358951370,18747988807096,8.389283,-0.5506664,4.0294414,-0.20769419,0.18570304,-0.12339478,FALLS,e7adf01d4e80
1777358951377,18748008826628,8.145074,-0.35434186,3.9552212,-0.035430185,0.18936823,-0.12583824,FALLS,e7adf01d4e80
1777358951417,18748028846159,8.123527,-0.4309563,4.012682,0.02687807,0.1563815,-0.09896017,FALLS,e7adf01d4e80
1777358951419,18748048896208,8.195353,-0.60094464,3.8762126,0.07574729,0.112399206,-0.10262536,FALLS,e7adf01d4e80
1777358951464,18748068915739,8.300697,-0.51714754,4.2784386,0.12950343,0.080634214,-0.1441642,FALLS,e7adf01d4e80
1777358951466,18748088935270,8.487445,-0.4285621,4.510676,-0.012217305,0.06352998,-0.15760323,FALLS,e7adf01d4e80
1777358951478,18748108985319,8.602366,-0.60094464,4.5394063,-0.18692477,0.087964594,-0.16982053,FALLS,e7adf01d4e80
1777358951553,18748129035368,8.59279,-0.533907,4.7022123,-0.16371189,0.1282817,-0.15393804,FALLS,e7adf01d4e80
1777358951555,18748149054899,8.583213,-0.08379706,4.831499,-0.07941248,0.17959438,-0.12583824,FALLS,e7adf01d4e80
1777358951557,18748169074430,8.66701,-0.2825158,4.805163,-0.10140363,0.20769419,-0.10995574,FALLS,e7adf01d4e80
1777358951559,18748189093962,8.659827,-0.0023942017,4.687847,-0.12461651,0.2883284,-0.07452556,FALLS,e7adf01d4e80
1777358951645,18748209144010,8.288726,0.16280572,4.510676,-0.18692477,0.35430184,-0.019547688,FALLS,e7adf01d4e80
1777358951647,18748229163542,8.255207,-0.11492168,4.2305546,-0.27488935,0.36896262,0.02687807,FALLS,e7adf01d4e80
1777358951649,18748249213590,8.080431,-0.22505496,4.036624,-0.26389378,0.35430184,0.029321533,FALLS,e7adf01d4e80
1777358951651,18748269263639,7.941567,-0.2896984,4.0533834,-0.1881465,0.30787608,0.0061086523,FALLS,e7adf01d4e80
1777358951660,18748289283171,7.893683,-0.05746084,4.1491513,-0.1441642,0.24556783,-0.02443461,FALLS,e7adf01d4e80
1777358951704,18748309302702,7.9583263,-0.51954174,4.036624,-0.17104226,0.14782938,0.007330383,FALLS,e7adf01d4e80
1777358951705,18748329352751,8.236053,-1.0510546,4.0198646,-0.09162979,0.04520403,0.0036651916,FALLS,e7adf01d4e80
1777358951715,18748349372282,8.415619,-0.6751649,4.0318356,0.08307768,-0.040317107,-0.036651913,FALLS,e7adf01d4e80
1777358951755,18748369422331,8.401254,-0.47165772,3.8953662,0.11728613,-0.11728613,-0.042760566,FALLS,e7adf01d4e80
1777358951757,18748389441862,8.264784,-0.60094464,3.9312792,-0.017104227,-0.20158553,-0.02687807,FALLS,e7adf01d4e80
1777358951803,18748409461393,8.329428,-0.93373865,3.5098996,-0.1160644,-0.31520647,0.010995574,FALLS,e7adf01d4e80
1777358951805,18748429511442,8.494628,-1.0486604,3.1603463,-0.034208454,-0.408058,0.02076942,FALLS,e7adf01d4e80
1777358951816,18748449530973,8.848969,-0.94092125,2.944868,0.047647487,-0.5314528,0.05131268,FALLS,e7adf01d4e80
1777358951852,18748469550505,8.597578,-0.5602432,2.8562827,-0.035430185,-0.65118235,0.111177474,FALLS,e7adf01d4e80
