epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777355788207,15584840811205,1.7501614,-2.147599,10.077195,0.13561209,-0.19792034,-0.32620203,JERKING,efb41e493d14
1777355788229,15584860861254,0.44771573,-1.934515,10.441113,-0.27366763,0.7330383,0.49357912,JERKING,efb41e493d14
1777355788288,15584880911303,-0.48602295,-2.1332338,9.6845455,-0.61208695,2.3139575,1.3634512,JERKING,efb41e493d14
1777355788290,15584900961352,-1.0319009,-1.3431472,11.087548,-1.1154399,2.5692992,1.5882497,JERKING,efb41e493d14
1777355788292,15584921011400,-2.4157495,-2.231396,9.876082,-1.6187929,2.7146852,1.9706513,JERKING,efb41e493d14
1777355788354,15584941091967,-3.560178,-2.3343468,9.967062,-1.609019,2.6535985,2.1832323,JERKING,efb41e493d14
1777355788356,15584961142016,-3.1771057,-1.7860745,9.991004,-1.4501941,2.4129176,2.3909266,JERKING,efb41e493d14
1777355788358,15584981192064,-3.359065,0.830788,9.531317,-1.2620476,2.3945918,2.6132815,JERKING,efb41e493d14
1777355788394,15585001211596,-3.6176388,2.896984,9.064447,-1.5063937,2.4263568,2.7403414,JERKING,efb41e493d14
1777355788396,15585021261645,-4.0462008,2.597709,7.0700774,-1.4795157,2.4275784,2.7220156,JERKING,efb41e493d14
1777355788427,15585041311693,-4.2161894,3.4979286,5.825093,-0.49235737,2.5118778,2.6780334,JERKING,efb41e493d14
1777355788431,15585061331225,-4.7381253,6.564901,6.445191,0.204029,2.637716,2.4080307,JERKING,efb41e493d14
1777355788460,15585081411791,-5.4180784,9.308656,6.5960255,-0.16371189,2.6462681,1.8973475,JERKING,efb41e493d14
1777355788468,15585101461840,-5.571307,8.611943,6.8402343,-1.2913691,2.4190264,1.4404203,JERKING,efb41e493d14
1777355788500,15585121542406,-5.255273,4.8985367,6.1626754,-1.505172,2.0952678,0.77457714,JERKING,efb41e493d14
1777355788537,15585141592455,-5.386954,4.096479,6.2488666,0.50946164,1.9107865,-0.073303826,JERKING,efb41e493d14
1777355788539,15585161611986,-5.542577,7.2951326,4.9536033,3.1923819,1.6603317,-0.9810496,JERKING,efb41e493d14
1777355788568,15585181662035,-5.2744265,9.962274,2.4708161,4.388456,1.1630874,-1.8521434,JERKING,efb41e493d14
1777355788570,15585201742602,-4.9823337,11.827356,0.38067806,3.9046507,0.61208695,-2.8099802,JERKING,efb41e493d14
1777355788600,15585221823168,-4.7165775,12.315774,0.12689269,2.6267207,-0.052534413,-3.813021,JERKING,efb41e493d14
1777355788630,15585241873217,-3.6391866,11.676521,0.22026655,1.105666,-0.7501425,-4.75131,JERKING,efb41e493d14
1777355788632,15585261923266,-2.3415294,9.349358,0.39025488,-0.37018433,-1.4074335,-5.626069,JERKING,efb41e493d14
1777355788687,15585281942797,-1.5394717,6.7324953,0.62488663,-1.4172074,-1.6859881,-6.315125,JERKING,efb41e493d14
1777355788689,15585301962328,-0.78050977,2.825158,0.62009823,-1.53205,-1.6737708,-6.8197,JERKING,efb41e493d14
1777355788691,15585321981859,0.6488287,-0.7613561,-2.5594015,-0.89919364,-1.7641789,-7.4097953,JERKING,efb41e493d14
1777355788721,15585342001391,8.0445175,-8.171411,4.2185836,-0.46303585,-2.2553146,-7.8813834,JERKING,efb41e493d14
1777355788752,15585362081957,18.05228,-12.196063,2.9831753,-4.845383,-2.7183504,-8.119621,JERKING,efb41e493d14
1777355788757,15585382132006,15.557523,-26.056097,2.2888567,-9.177639,-1.3060299,-6.9076643,JERKING,efb41e493d14
1777355788786,15585402182055,13.330915,-42.427647,6.5098343,-4.388456,-0.49113566,-5.771455,JERKING,efb41e493d14
