epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777350219480,10016114796601,1.3096284,-2.7724855,9.363723,0.15882497,-0.2321288,-0.3652974,TREMOR,f51f378be9a8
1777350219524,10016134246650,1.2497733,0.49081135,9.603143,0.2125811,-0.065973446,0.039095376,TREMOR,f51f378be9a8
1777350219526,10016153796699,0.6631939,4.8147397,9.0476885,0.86498517,0.2443461,0.02565634,TREMOR,f51f378be9a8
1777350219580,10016173616230,-0.20829555,7.117962,8.626308,0.43004912,0.25289822,-0.02443461,TREMOR,f51f378be9a8
1777350219582,10016193466279,-0.46208093,5.755661,9.866506,-0.6731735,0.09773844,0.0,TREMOR,f51f378be9a8
1777350219584,10016213385810,0.842759,-1.7525556,10.352529,-1.1826351,-0.09896017,-0.017104227,TREMOR,f51f378be9a8
1777350219601,10016233435859,1.1923125,-5.1810527,9.26556,-0.54733527,0.10873401,-0.13561209,TREMOR,f51f378be9a8
1777350219655,10016253355390,0.5746084,-1.5969325,8.480263,0.5338962,0.25045475,-0.08552113,TREMOR,f51f378be9a8
1777350219658,10016273374921,0.81402856,3.5529952,8.961497,1.0409144,0.0720821,0.02565634,TREMOR,f51f378be9a8
1777350219660,10016293424970,0.8403648,6.5577183,9.181764,0.6817256,0.07574729,-0.02443461,TREMOR,f51f378be9a8
1777350219693,10016313475019,0.035913024,5.106832,8.578424,-0.1600467,0.23457226,-0.019547688,TREMOR,f51f378be9a8
1777350219704,10016333494550,-0.6512229,5.070919,9.220071,-1.033584,0.22235495,-0.02565634,TREMOR,f51f378be9a8
1777350219731,10016353514082,-0.35673606,1.2330139,10.328587,-1.6676621,0.062308256,-0.058643065,TREMOR,f51f378be9a8
1777350219739,10016373533613,0.7637503,-4.3766007,10.453085,-1.3903292,-0.04886922,-0.15149458,TREMOR,f51f378be9a8
1777350219765,10016393583662,1.4077905,-6.4858923,9.9550905,-0.34574974,-0.089186326,-0.15027285,TREMOR,f51f378be9a8
1777350219797,10016413603193,1.1779473,-3.2824504,9.172187,1.0567969,-0.028099801,0.0720821,TREMOR,f51f378be9a8
1777350219828,10016433553242,0.272939,4.3263226,9.631873,1.7482964,0.20769419,0.14538592,TREMOR,f51f378be9a8
1777350219830,10016453572773,-0.33758244,7.422025,8.310274,1.2596041,0.30543262,0.09773844,TREMOR,f51f378be9a8
1777350219878,10016473592304,-0.6895301,9.126697,6.969521,0.0061086523,0.14049901,0.012217305,TREMOR,f51f378be9a8
