epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1777356050281,15846905834447,-2.9520507,5.159505,7.477092,-0.13561209,-0.042760566,0.0036651916,JERKING,f8c7e7ad3815
1777356050292,15846925853978,-2.8275523,5.2289367,7.6231384,-0.028099801,0.04520403,-0.06841691,JERKING,f8c7e7ad3815
1777356050343,15846945873510,-2.8083985,5.243302,7.6351094,-0.05497787,0.18081611,0.04886922,JERKING,f8c7e7ad3815
1777356050345,15846965923558,-2.8778305,5.363012,7.6351094,-0.009773844,0.015882496,0.018325957,JERKING,f8c7e7ad3815
1777356050357,15846985943090,-3.0885203,5.267244,7.630321,0.0012217305,0.029321533,0.008552114,JERKING,f8c7e7ad3815
1777356050434,15847005993138,-2.906561,5.183447,7.615956,0.04642576,0.02565634,-0.009773844,JERKING,f8c7e7ad3815
1777356050435,15847026012670,-2.779668,5.279215,7.5201874,0.06841691,0.018325957,-0.02687807,JERKING,f8c7e7ad3815
1777356050437,15847046032201,-2.8682537,5.2528787,7.338228,0.028099801,0.02443461,-0.02565634,JERKING,f8c7e7ad3815
1777356050439,15847066051732,-2.8898015,5.133168,7.3789296,-0.02076942,0.02687807,-0.017104227,JERKING,f8c7e7ad3815
1777356050461,15847086071263,-3.052607,5.0661306,7.5704656,-0.02565634,0.028099801,-0.010995574,JERKING,f8c7e7ad3815
1777356050536,15847106090795,-2.9735985,5.1906295,7.5704656,0.018325957,0.013439035,-0.014660766,JERKING,f8c7e7ad3815
1777356050538,15847126110326,-2.8538885,5.3007627,7.479486,0.061086524,0.017104227,-0.028099801,JERKING,f8c7e7ad3815
1777356050541,15847146160375,-2.908955,5.351041,7.620744,0.057421334,0.028099801,-0.039095376,JERKING,f8c7e7ad3815
1777356050543,15847166179906,-2.870648,5.305551,7.9726915,0.015882496,0.035430185,-0.042760566,JERKING,f8c7e7ad3815
1777356050583,15847186168920,-2.5809495,5.317522,8.396465,0.0,0.043982297,-0.040317107,JERKING,f8c7e7ad3815
1777356050585,15847206218968,-2.5330653,4.9919105,8.655039,-0.03176499,0.11362094,-0.040317107,JERKING,f8c7e7ad3815
1777356050592,15847226207982,-2.7222073,4.9464207,8.626308,-0.09773844,0.21868975,-0.029321533,JERKING,f8c7e7ad3815
1777356050667,15847246258031,-2.7964275,5.097255,8.801085,-0.1282817,0.34574974,-0.043982297,JERKING,f8c7e7ad3815
1777356050672,15847266247045,-2.3918076,4.2640734,9.325416,-0.062308256,0.43004912,-0.039095376,JERKING,f8c7e7ad3815
1777356050674,15847286297093,-2.1547816,4.5322237,9.138668,0.12583824,0.52778757,-0.04520403,JERKING,f8c7e7ad3815
1777356050676,15847306286107,-2.554613,5.41329,5.4180784,0.5497787,0.63407815,-0.14294247,JERKING,f8c7e7ad3815
1777356050756,15847326305638,-4.450821,9.854534,0.8858546,1.3267993,0.61941737,-0.4972443,JERKING,f8c7e7ad3815
1777356050764,15847346355687,-5.499481,16.587029,0.25378537,1.9877555,0.42394048,-1.1191051,JERKING,f8c7e7ad3815
1777356050767,15847366375218,-4.355053,17.355568,3.1603463,1.2840388,0.13072516,-1.9230038,JERKING,f8c7e7ad3815
1777356050770,15847386394750,-1.9369092,15.746665,4.2401314,-0.39095375,-0.40439278,-2.461787,JERKING,f8c7e7ad3815
1777356050774,15847406414281,-1.8962077,15.114595,3.6224272,-0.12705997,-0.6585127,-3.5576792,JERKING,f8c7e7ad3815
1777356050856,15847426433812,-1.4796166,16.891092,0.7613561,0.32498032,-1.6212363,-4.5998154,JERKING,f8c7e7ad3815
1777356050859,15847446483861,0.3854665,14.781801,-2.707842,-0.46670106,-2.669481,-5.4513617,JERKING,f8c7e7ad3815
1777356050861,15847466533910,4.220978,9.6845455,-0.24899697,-1.2705997,-3.296229,-5.911954,JERKING,f8c7e7ad3815
1777356050864,15847486614476,7.4962454,4.1371803,4.903325,-0.9773844,-2.9578094,-6.020688,JERKING,f8c7e7ad3815
1777356050878,15847506664525,7.9846625,1.0989386,9.16261,-0.3371976,-2.6035078,-6.206391,JERKING,f8c7e7ad3815
