epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776795271718,325953733565887,0.61530983,-0.6440403,9.715671,0.06963864,0.08307768,-0.105068825,TREMOR,01d3477d6253
1776795271735,325953753615936,0.45489833,-0.62009823,9.672575,0.40561453,0.12095132,-0.03176499,TREMOR,01d3477d6253
1776795271754,325953773635468,0.6727707,-0.51235914,9.598354,-0.6560693,-0.03176499,0.037873644,TREMOR,01d3477d6253
1776795271775,325953793654999,0.6584055,0.08379706,9.718064,-0.17959438,0.002443461,0.087964594,TREMOR,01d3477d6253
1776795271807,325953813574530,0.30645782,-0.24181437,9.923966,-0.25045475,-0.061086524,0.12950343,TREMOR,01d3477d6253
1776795271817,325953833594061,0.7278373,-0.7637503,10.053253,-0.31520647,-0.19547687,0.19425514,TREMOR,01d3477d6253
1776795271842,325953853613593,1.0630256,-0.81163436,9.880871,-0.29565877,-0.23090707,0.21380283,TREMOR,01d3477d6253
1776795271854,325953873633124,1.2593501,-0.49799395,9.653421,-0.41905355,-0.1441642,0.21746802,TREMOR,01d3477d6253
1776795271875,325953893683173,1.13964,-0.21068975,8.875306,-0.9969321,-0.10629055,0.172264,TREMOR,01d3477d6253
1776795271903,325953913733221,1.1228806,0.14844051,8.954314,-2.0708332,0.057421334,0.1881465,TREMOR,01d3477d6253
1776795271924,325953933783270,0.39983168,-2.8802247,8.508993,-3.1483996,-0.09285152,0.20158553,TREMOR,01d3477d6253
1776795271934,325953953802801,0.5267244,-6.6750345,8.403648,-2.9859092,-0.42271876,0.1881465,TREMOR,01d3477d6253
1776795271958,325953973822333,1.3814543,-8.236053,9.040505,-1.1044444,-0.4801401,0.16737708,TREMOR,01d3477d6253
1776795271975,325953993872382,1.6879122,-4.9895163,9.749189,1.600467,-0.14172074,0.19425514,TREMOR,01d3477d6253
1776795272007,325954013891913,1.8842367,0.25139117,9.844957,2.9578094,0.30787608,0.21135938,TREMOR,01d3477d6253
1776795272016,325954033972479,0.7469909,2.6144683,11.097125,1.3316863,0.6401868,-0.0842994,TREMOR,01d3477d6253
1776795272036,325954053992010,-0.7278373,-0.6727707,10.630256,-1.7434094,0.14905111,-0.2773328,TREMOR,01d3477d6253
1776795272057,325954074072577,0.4141969,-4.4580035,8.640674,-3.6224308,-0.49480084,-0.16249016,TREMOR,01d3477d6253
1776795272076,325954094153143,2.705448,-3.8666358,7.314286,-3.8887682,-0.2919936,-0.19058995,TREMOR,01d3477d6253
1776795272102,325954114203192,1.3838485,-7.6973586,7.819463,-3.4611626,0.029321533,-0.13927728,TREMOR,01d3477d6253
1776795272119,325954134253241,1.0342951,-9.94312,8.360553,-0.88331115,-0.35063666,-0.44837508,TREMOR,01d3477d6253
1776795272136,325954154333807,2.018312,-3.6942532,8.671799,2.9309313,0.16371189,-0.11362094,TREMOR,01d3477d6253
1776795272156,325954174353339,1.5562311,1.2042835,9.916783,3.6224308,0.57910025,0.07452556,TREMOR,01d3477d6253
1776795272176,325954194433905,-0.22744916,2.4995465,10.714052,1.0592403,0.5045747,-0.1160644,TREMOR,01d3477d6253
1776795272204,325954214514471,-1.0726024,-1.364695,10.031705,-2.4007003,-0.11484267,-0.14049901,TREMOR,01d3477d6253
1776795272217,325954234534003,0.8882488,-3.3614593,6.789956,-4.439769,-0.61819565,-0.18081611,TREMOR,01d3477d6253
1776795272240,325954254584051,1.6759412,-7.5848308,6.4643445,-5.181359,-0.4569272,-0.081855945,TREMOR,01d3477d6253
1776795272256,325954274603583,2.0590134,-13.086706,5.9998693,-3.376863,-0.70005155,-0.36774087,TREMOR,01d3477d6253
1776795272278,325954294653632,2.4732103,-9.6845455,7.1395097,1.3109168,0.06719518,0.04153884,TREMOR,01d3477d6253
1776795272311,325954314703680,1.1659763,-4.3526587,8.226477,3.86189,0.46792278,0.105068825,TREMOR,01d3477d6253
1776795272318,325954334784247,1.0414777,0.19153613,7.6351094,3.8374555,0.51923543,0.32742378,TREMOR,01d3477d6253
1776795272338,325954354834296,0.6991069,3.2369606,9.579201,1.2498302,0.6536258,0.49846604,TREMOR,01d3477d6253
1776795272358,325954374914862,-1.1348516,-1.4748282,9.370906,-2.888171,0.09896017,0.14782938,TREMOR,01d3477d6253
1776795272389,325954394934393,-0.533907,-6.229713,7.9607205,-5.244889,-0.6047566,-0.1001819,TREMOR,01d3477d6253
1776795272398,325954415014960,0.9792285,-15.832856,5.4539914,-4.293161,-1.097114,-0.015882496,TREMOR,01d3477d6253
1776795272430,325954435126044,3.5434184,-15.210363,6.531382,0.33964106,-0.8356637,-0.23090707,TREMOR,01d3477d6253
1776795272437,325954455145575,2.315193,-7.2687964,7.4746976,5.7140336,0.2565634,-0.13927728,TREMOR,01d3477d6253
1776795272458,325954475195624,0.59136784,-3.5122938,8.403648,6.889338,0.40439278,-0.20525073,TREMOR,01d3477d6253
1776795272486,325954495245673,0.28491,0.48362875,8.695741,6.015801,0.23579398,-0.012217305,TREMOR,01d3477d6253
1776795272502,325954515295721,0.90740246,1.2090719,8.3868885,5.2571063,0.09896017,0.10995574,TREMOR,01d3477d6253
1776795272520,325954535345770,2.2146366,4.675876,10.512939,0.12583824,0.3286455,-0.08674286,TREMOR,01d3477d6253
1776795272537,325954555456854,0.51235914,2.815581,10.024523,-2.0109684,0.16126843,-0.014660766,TREMOR,01d3477d6253
1776795272559,325954575537421,0.5602432,-0.9504981,8.477868,-4.9113564,-0.34697145,0.32375857,TREMOR,01d3477d6253
1776795272586,325954595587469,2.542642,-1.3239936,7.0700774,-5.9730406,-0.29810223,0.3921755,TREMOR,01d3477d6253
1776795272602,325954615668036,2.372654,-3.5362358,5.2959743,-6.47395,0.057421334,0.5314528,TREMOR,01d3477d6253
1776795272624,325954635748602,0.25857377,-9.095572,5.0876784,-6.2589254,0.17104226,0.42394048,TREMOR,01d3477d6253
1776795272638,325954655798651,-0.59136784,-18.686745,5.032612,-3.082426,-0.19425514,0.010995574,TREMOR,01d3477d6253
1776795272660,325954675879218,0.9600749,-14.20001,6.184223,3.154508,-0.21624629,0.012217305,TREMOR,01d3477d6253
1776795272690,325954695929266,1.6831238,-7.015011,6.567295,7.260744,-0.09407325,-0.09162979,TREMOR,01d3477d6253
1776795272699,325954715979315,1.8148049,-1.0726024,6.471527,8.297994,0.16126843,-0.07086037,TREMOR,01d3477d6253
1776795272720,325954736059882,1.8291701,3.2585084,8.810662,6.966307,0.4728097,0.30176744,TREMOR,01d3477d6253
1776795272738,325954756109930,0.7086837,6.0238113,11.355699,2.453235,0.77946407,0.059864793,TREMOR,01d3477d6253
1776795272761,325954776221014,-0.89543146,2.1045034,10.06283,-2.978579,0.25900686,-0.02565634,TREMOR,01d3477d6253
