epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776794448763,325130781747567,0.18914193,1.8171991,9.11712,-0.010995574,-0.019547688,0.021991149,JERKING,04814f2a72a7
1776794448786,325130801797616,0.24420857,2.3199813,8.875306,0.42149702,0.07452556,-0.02443461,JERKING,04814f2a72a7
1776794448817,325130821817147,0.1340753,2.1811178,9.059659,-0.6658431,-0.052534413,0.052534413,JERKING,04814f2a72a7
1776794448826,325130841897713,0.35434186,1.8339585,9.334992,-0.24923302,-0.09773844,0.10262536,JERKING,04814f2a72a7
1776794448850,325130861917245,0.7374141,1.8052281,9.528923,-0.24801129,-0.12461651,0.08674286,JERKING,04814f2a72a7
1776794448863,325130881997811,0.7661445,1.5897499,9.471462,-0.30176744,-0.09773844,0.119729586,JERKING,04814f2a72a7
1776794448886,325130902047860,0.59376204,1.5921441,9.469068,-0.2773328,-0.065973446,0.16126843,JERKING,04814f2a72a7
1776794448911,325130922158944,0.5410896,1.6160861,9.279925,-0.26145032,-0.08552113,0.17959438,JERKING,04814f2a72a7
1776794448928,325130942178475,0.79248077,1.3694834,9.346964,-0.20769419,-0.14660765,0.17470746,JERKING,04814f2a72a7
1776794448945,325130962289559,0.89543146,0.6655881,9.203311,-0.12217305,-0.19914207,0.17470746,JERKING,04814f2a72a7
1776794448963,325130982370126,0.7733272,1.0821792,9.354146,0.03176499,-0.0842994,0.13683382,JERKING,04814f2a72a7
1776794448987,325131002450692,0.6512229,2.0709844,9.816227,0.1563815,0.12339478,0.017104227,JERKING,04814f2a72a7
1776794449012,325131022531258,0.62728083,2.7222073,10.292673,0.021991149,0.10873401,-0.10629055,JERKING,04814f2a72a7
1776794449024,325131042581307,0.90500826,2.60968,9.962274,-0.29443705,-0.036651913,-0.029321533,JERKING,04814f2a72a7
1776794449052,325131062661874,0.6631939,1.7405846,9.916783,-0.4886922,-0.15882497,0.16493362,JERKING,04814f2a72a7
1776794449064,325131082742440,0.6392518,1.8579005,9.837775,-0.408058,-0.27855456,0.25167647,JERKING,04814f2a72a7
1776794449094,325131102792489,0.7398083,2.1428106,10.668563,-0.2406809,-0.22968534,0.17592919,JERKING,04814f2a72a7
1776794449111,325131122842538,0.33518824,1.5873557,11.353305,-0.33964106,-0.32375857,0.13683382,JERKING,04814f2a72a7
1776794449128,325131142892586,0.01436521,1.4652514,11.836933,-0.70005155,-0.5815437,0.2565634,JERKING,04814f2a72a7
1776794449144,325131162912118,-0.22505496,0.1340753,12.710816,-1.1068878,-0.88208944,0.23945917,JERKING,04814f2a72a7
1776794449164,325131182992684,-0.59136784,-1.3311762,11.908759,-1.4624114,-1.3842206,0.15027285,JERKING,04814f2a72a7
1776794449198,325131203042733,0.07182605,-1.0869676,10.97502,-1.600467,-1.6175711,-0.040317107,JERKING,04814f2a72a7
1776794449204,325131223092782,0.85473,-0.8475474,10.0748005,-1.9315559,-1.7348573,-0.21991149,JERKING,04814f2a72a7
1776794449233,325131243173348,1.400608,-0.4285621,8.504205,-2.4569001,-1.9779817,-0.22113322,JERKING,04814f2a72a7
1776794449245,325131263223397,2.2864625,-0.079008654,7.055712,-2.615725,-2.053729,-0.052534413,JERKING,04814f2a72a7
1776794449267,325131283273446,3.004723,0.1436521,5.7843914,-2.460565,-1.9168952,0.18203785,JERKING,04814f2a72a7
1776794449284,325131302892977,3.4979286,1.8507179,2.717419,-2.1526892,-1.5894713,0.45814893,JERKING,04814f2a72a7
1776794449315,325131322781991,3.8762126,5.2241483,-0.9935937,-1.5137241,-0.98837996,0.8222246,JERKING,04814f2a72a7
1776794449323,325131342601522,4.429273,7.386112,-2.183512,-1.1691961,0.23579398,1.7446312,JERKING,04814f2a72a7
1776794449354,325131362290536,3.2848446,6.6295447,-2.4157495,-1.2327261,1.2644911,3.097087,JERKING,04814f2a72a7
1776794449364,325131382110067,2.7030537,1.5849615,1.0127473,-1.1765264,1.8802432,3.998724,JERKING,04814f2a72a7
1776794449383,325131402060116,-0.78290397,-12.935872,20.62126,-2.8307495,3.032335,4.3090434,JERKING,04814f2a72a7
1776794449415,325131422079647,-6.993463,-37.57939,22.919693,-3.2045991,2.652377,1.4025466,JERKING,04814f2a72a7
1776794449425,325131442099178,-9.485827,-27.837383,23.772028,-1.1325442,2.461787,-0.44715336,JERKING,04814f2a72a7
1776794449456,325131462118709,-3.7110126,-10.864887,18.586187,0.13316862,-1.3622295,-1.1362094,JERKING,04814f2a72a7
1776794449463,325131482107723,-1.0630256,-6.612785,14.973337,-0.4251622,-3.0775392,-1.5247196,JERKING,04814f2a72a7
1776794449485,325131502127254,5.947197,-2.336741,7.36217,-0.68661255,-4.348139,-0.42638394,JERKING,04814f2a72a7
1776794449513,325131522177303,15.818491,3.514688,1.3503298,0.32742378,-3.2302554,-0.41538838,JERKING,04814f2a72a7
1776794449530,325131542227352,13.213599,12.679692,-5.5377884,2.5705209,-0.80756384,-1.9168952,JERKING,04814f2a72a7
1776794449546,325131562246883,6.327875,14.449007,-2.2481554,2.375044,2.4825563,-0.8173377,JERKING,04814f2a72a7
1776794449567,325131582266415,1.6998832,8.159439,1.1324574,0.7501425,2.6487117,1.2388347,JERKING,04814f2a72a7
1776794449584,325131602255428,1.115698,1.6472107,4.939238,-0.38728857,1.3267993,2.4654522,JERKING,04814f2a72a7
1776794449612,325131622305477,-2.9592333,-20.30283,16.771383,-2.4715607,1.8460348,3.731165,JERKING,04814f2a72a7
1776794449623,325131642294491,-10.505757,-46.61511,19.017143,-4.9260173,2.8502972,-0.7049385,JERKING,04814f2a72a7
1776794449652,325131662314022,-10.836157,-20.60929,18.243816,-0.08552113,1.0714576,-2.1587977,JERKING,04814f2a72a7
1776794449664,325131682333553,-3.9384618,-9.414001,10.709264,0.4642576,-3.037222,-2.6572638,JERKING,04814f2a72a7
1776794449683,325131702353084,0.33039984,-3.2848446,4.879383,-0.07819075,-4.8576,-2.64749,JERKING,04814f2a72a7
1776794449715,325131722342098,6.1411276,1.8339585,1.6831238,0.25534168,-4.261396,-1.6639969,JERKING,04814f2a72a7
