epoch_ms,event_ts_ns,AX,AY,AZ,GX,GY,GZ,label,sessionID
1776747346385,278028404407057,-0.5410896,-1.2689269,10.405201,0.32253686,0.16249016,-0.06841691,TREMOR,1f4345cffc51
1776747346413,278028424548659,-0.6631939,-0.90740246,10.685322,0.72204274,0.09285152,0.059864793,TREMOR,1f4345cffc51
1776747346425,278028444659743,-0.80205756,-0.62728083,10.6398325,0.17104226,-0.05131268,0.19181168,TREMOR,1f4345cffc51
1776747346446,278028464770827,-0.8810662,-0.5722142,10.548853,0.516792,-0.14538592,0.2724459,TREMOR,1f4345cffc51
1776747346474,278028484912428,-0.80684596,-0.46926352,10.448297,0.3200934,-0.23335053,0.30665436,TREMOR,1f4345cffc51
1776747346491,278028505084548,-0.7541735,-0.6799533,10.3214035,0.14538592,-0.32498032,0.37140608,TREMOR,1f4345cffc51
1776747346507,278028525226149,-0.6631939,-0.6895301,9.962274,0.07086037,-0.4092797,0.42149702,TREMOR,1f4345cffc51
1776747346526,278028545367751,-0.6344634,-0.8475474,9.67018,0.062308256,-0.45448375,0.4654793,TREMOR,1f4345cffc51
1776747346547,278028565509352,-0.6871359,-1.0726024,9.241618,0.05375614,-0.4972443,0.45570546,TREMOR,1f4345cffc51
1776747346577,278028585650954,-0.29927522,-1.0630256,9.167398,0.06352998,-0.49357912,0.44837508,TREMOR,1f4345cffc51
1776747346587,278028605792555,0.10534488,-0.7613561,8.9758625,0.10873401,-0.44837508,0.45448375,TREMOR,1f4345cffc51
1776747346608,278028625934157,0.20829555,-0.6464345,8.880095,0.10995574,-0.40561453,0.47769663,TREMOR,1f4345cffc51
1776747346627,278028646075758,0.44532153,-0.6512229,8.901642,0.057421334,-0.3567453,0.47403142,TREMOR,1f4345cffc51
1776747346648,278028666156325,0.56982,-0.51475334,8.875306,0.042760566,-0.29565877,0.516792,TREMOR,1f4345cffc51
1776747346677,278028686297926,0.40701428,-0.37110126,8.7292595,0.05497787,-0.26389378,0.5681047,TREMOR,1f4345cffc51
1776747346687,278028706347975,0.40701428,-0.031124622,8.908825,0.064751714,-0.19914207,0.62796944,TREMOR,1f4345cffc51
1776747346711,278028726520094,0.47405192,-0.04070143,9.124303,-0.09040806,-0.18692477,0.71837753,TREMOR,1f4345cffc51
1776747346728,278028746661696,0.78529817,-0.23942018,8.868123,-0.21624629,-0.22235495,0.7648033,TREMOR,1f4345cffc51
1776747346767,278028766772780,1.0726024,-0.90021986,8.736442,-0.45081854,-0.21380283,0.829555,TREMOR,1f4345cffc51
1776747346774,278028786944899,1.2497733,-2.303222,8.827422,-0.8723156,-0.06352998,0.8197812,TREMOR,1f4345cffc51
1776747346791,278028807086501,1.340753,-3.1914709,9.543288,-1.6872098,0.064751714,0.75625116,TREMOR,1f4345cffc51
1776747346817,278028827197585,0.78769237,-3.347094,10.922348,-3.3438764,-0.07941248,0.8857546,TREMOR,1f4345cffc51
1776747346828,278028847339186,0.6488287,-3.53863,12.373235,-3.6554177,-0.30787608,0.95172805,TREMOR,1f4345cffc51
1776747346858,278028867480788,1.2330139,-4.261679,10.896012,-3.3756413,-0.7867944,0.9407325,TREMOR,1f4345cffc51
1776747346875,278028887652907,1.4748282,-5.329493,6.811504,-2.2540927,-0.784351,0.7684685,TREMOR,1f4345cffc51
1776747346892,278028907794508,1.0749966,-5.080496,5.841852,-0.689056,-0.5204572,0.50335294,TREMOR,1f4345cffc51
1776747346910,278028927936110,1.3958195,-4.6830587,6.631939,0.9138544,-0.13927728,0.103847094,TREMOR,1f4345cffc51
1776747346931,278028948077712,1.4293385,-3.193865,8.935161,1.5332718,0.23335053,-0.33475417,TREMOR,1f4345cffc51
1776747346958,278028968219313,1.091756,-2.4396915,9.442732,0.9786061,0.29077184,-0.48258355,TREMOR,1f4345cffc51
1776747346975,278028988360915,1.0151415,-2.7126305,8.856153,-0.15882497,0.2846632,-0.49846604,TREMOR,1f4345cffc51
1776747346998,278029008502516,1.2976574,-4.1635165,7.7907324,-1.3096951,0.2846632,-0.43004912,TREMOR,1f4345cffc51
1776747347010,278029028583083,1.3575124,-3.6631286,8.202535,-2.3530529,0.47036624,-0.39461896,TREMOR,1f4345cffc51
1776747347030,278029048694167,0.89303726,-3.6248214,8.056489,-2.8087585,0.6059783,-0.1600467,TREMOR,1f4345cffc51
1776747347058,278029068866286,0.94570965,-4.584896,8.221688,-2.9969049,0.48502702,0.10140363,TREMOR,1f4345cffc51
1776747347080,278029088946852,0.89064306,-4.307169,8.961497,-2.819754,0.4605924,0.30298916,TREMOR,1f4345cffc51
1776747347090,278029109118971,-0.78529817,-5.3941364,8.63828,-2.3139575,0.2932153,0.49968776,TREMOR,1f4345cffc51
1776747347112,278029129260573,-0.49799395,-8.291121,7.515399,-0.95172805,-0.3652974,0.61208695,TREMOR,1f4345cffc51
1776747347132,278029149432692,0.47165772,-6.7253127,8.437167,1.1887437,-0.18448131,0.548557,TREMOR,1f4345cffc51
1776747347153,278029169604811,-0.6584055,-6.423643,8.042124,2.7537806,0.04642576,0.29443705,TREMOR,1f4345cffc51
1776747347178,278029189715895,-0.1604115,-4.144363,8.389283,3.1703906,0.09162979,0.06841691,TREMOR,1f4345cffc51
1776747347201,278029209857497,0.545878,-2.6743233,9.52174,2.5399778,0.34330627,-0.029321533,TREMOR,1f4345cffc51
1776747347226,278029230029616,-0.32321724,-4.201824,10.005369,0.10140363,0.3848451,-0.20769419,TREMOR,1f4345cffc51
1776747347243,278029250140700,-0.81402856,-6.8809357,8.094796,-2.3493876,-0.002443461,-0.21380283,TREMOR,1f4345cffc51
1776747347258,278029270282301,0.9816227,-5.1810527,7.776367,-3.4281757,-0.09162979,0.035430185,TREMOR,1f4345cffc51
1776747347280,278029290454421,0.94092125,-3.5577838,7.3286514,-4.0084977,-0.002443461,0.19425514,TREMOR,1f4345cffc51
1776747347292,278029310596022,-1.1372458,-10.0029745,6.0262055,-3.9217548,-0.6169739,0.26511553,TREMOR,1f4345cffc51
1776747347312,278029330768141,1.0510546,-13.611036,5.616797,-1.2473868,-1.105666,0.25167647,TREMOR,1f4345cffc51
1776747347333,278029350909743,1.460463,-10.78109,5.7724204,3.903429,-0.54244834,-0.09040806,TREMOR,1f4345cffc51
1776747347358,278029371020827,1.0654198,-5.3965306,6.4404025,7.3633695,-0.07941248,-0.3042109,TREMOR,1f4345cffc51
1776747347375,278029391162428,1.6711528,0.521936,7.587225,7.600385,0.4007276,-0.2284636,TREMOR,1f4345cffc51
1776747347396,278029411304030,0.47405192,3.9432502,11.008539,4.4764204,0.7770206,-0.29810223,TREMOR,1f4345cffc51
1776747347413,278029431445632,-0.7517793,2.4396915,10.474632,-0.9859365,0.13194689,-0.19181168,TREMOR,1f4345cffc51
1776747347447,278029451587233,-0.07182605,-3.6296098,7.603985,-5.539326,-0.77457714,0.13194689,TREMOR,1f4345cffc51
1776747347457,278029471728835,0.320823,-7.1610575,8.173804,-7.182554,-0.96761054,0.3286455,TREMOR,1f4345cffc51
1776747347475,278029491870436,1.1420342,-14.578294,6.471527,-4.3078218,-1.3695599,0.41050145,TREMOR,1f4345cffc51
1776747347494,278029512012038,2.327164,-8.4108305,6.9024835,1.5931365,-0.45570546,0.2761111,TREMOR,1f4345cffc51
1776747347516,278029532153639,0.60573304,-3.2585084,7.929596,4.8221703,0.1881465,0.17470746,TREMOR,1f4345cffc51
1776747347544,278029552295241,-0.107739076,-1.7190368,8.62152,4.491081,0.1001819,0.028099801,TREMOR,1f4345cffc51
1776747347553,278029572406325,1.1300632,-0.92176765,9.481039,2.9724703,0.004886922,0.08307768,TREMOR,1f4345cffc51
1776747347575,278029592547926,0.41180268,-0.6775591,10.584765,0.35796702,0.095294975,-0.008552114,TREMOR,1f4345cffc51
1776747347594,278029612689528,-0.4333505,-3.3303347,9.701305,-2.3102922,-0.2968805,0.061086524,TREMOR,1f4345cffc51
1776747347617,278029632861647,1.4820108,-4.187459,8.013393,-3.7116172,-0.49113566,0.2125811,TREMOR,1f4345cffc51
1776747347636,278029653033766,1.8890251,-3.2345665,6.459556,-4.128227,-0.015882496,0.24190263,TREMOR,1f4345cffc51
1776747347662,278029673144850,0.8858546,-5.5282116,5.032612,-4.6034803,0.32742378,0.37140608,TREMOR,1f4345cffc51
1776747347684,278029693316969,-1.673547,-14.058752,3.8618474,-4.085467,-0.119729586,0.3567453,TREMOR,1f4345cffc51
1776747347694,278029713428053,1.472434,-16.168043,4.7261543,0.089186326,-0.408058,0.27366763,TREMOR,1f4345cffc51
1776747347717,278029733539137,1.6328455,-7.9367785,6.789956,5.119051,0.5876524,0.030543262,TREMOR,1f4345cffc51
1776747347748,278029753711257,-0.521936,-3.442862,8.65025,6.787935,0.7965683,0.08307768,TREMOR,1f4345cffc51
1776747347757,278029773852858,-1.2880806,-2.0949266,8.580819,6.115983,0.16737708,0.15149458,TREMOR,1f4345cffc51
1776747347776,278029794024977,1.0773908,0.79726917,9.32781,4.673119,-0.07941248,0.0720821,TREMOR,1f4345cffc51
1776747347795,278029814197096,0.9816227,1.13964,10.01734,2.8075366,-0.0036651916,-0.06963864,TREMOR,1f4345cffc51
1776747347836,278029834369216,0.21068975,0.37349546,10.647015,0.31520647,0.013439035,-0.08307768,TREMOR,1f4345cffc51
1776747347845,278029854541335,0.8379706,0.05746084,11.046846,-2.0451767,-0.062308256,0.061086524,TREMOR,1f4345cffc51
1776747347859,278029874713454,1.0342951,-1.3790601,8.645462,-3.9229765,-0.2687807,0.11728613,TREMOR,1f4345cffc51
1776747347876,278029894855055,1.1061212,-2.111686,6.9982514,-5.778785,-0.17104226,0.1282817,TREMOR,1f4345cffc51
1776747347896,278029914935622,0.8379706,-4.6902413,5.57849,-7.070154,-0.073303826,0.21624629,TREMOR,1f4345cffc51
1776747347930,278029935107741,-0.49799395,-9.112331,4.6279917,-7.2998395,-0.07452556,0.3200934,TREMOR,1f4345cffc51
